ExomiRHub ID	GEO ID	Disease	Disease Type	Drug	Life Style	Sample Name	Sample Type	Sample Number	Sample Source	Isolation Method	Extraction Method	Infection	Genotype	Body Site	Age	Gender	Status	Stage	Grade	Metastatisis	Citation	Platform Id	Platform Name
EMIR00000066	GSE140356	Inflammatory periodontal ligament disease	Oral disease	N/A	N/A	Exosome derived from periodontal ligament stem cells with Ad-control transfected and Ad-P2X7 transfected	Cell derived exosomes	6	Periodontal ligament stem cell	Total Exosome Isolation Kit	Trizol reagent	N/A	Ad-P2X7 transfected	Oral	N/A	N/A	Public on Oct 28, 2020	N/A	N/A	N/A	32597574	GPL25134	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (miRNA ID version)
EMIR00000072	GSE109356	Prostate cancer	Cancer	N/A	N/A	Exosome in GFP-PC3 and cavin-1-PC3 cell lines	Cell derived exosomes	12	PC3 cell	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	Cavin-1 overexpression	Prostate	N/A	N/A	Public on Jan 14, 2021	N/A	N/A	N/A	33931969	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000131	GSE64029	Acute myeloid leukemia	Cancer	N/A	N/A	Extracellular vesicle released from primary normal BM and AML CD34+ cells	Cell derived exosomes	3	CD34+ T cell	ExoQuick-TC Kit with filtered through 0.45 um membranes	Toray 3D-Gene RNA extraction reagent	N/A	CD34 positive	Blood system	N/A	N/A	Public on Feb 01, 2016	N/A	N/A	N/A	26802051	GPL18941	3D-Gene Human miRNA V20_1.0.0
EMIR00000115	GSE34738	Pancreatic adenocarcinoma	Cancer	N/A	N/A	Exosome from highly metastatic pancreatic adenocarcinoma line: ASML and a CD44v kd of ASML	Cell derived exosomes	8	ASML cell	Density gradient centrifugation	Trizol reagent	N/A	CD44v knockdown	Pancreas	N/A	N/A	Public on Dec 28, 2011	N/A	N/A	Yes	23479506, 23190502	GPL7723	miRCURY LNA microRNA Array, v.11.0 - hsa, mmu & rno
EMIR00000034	GSE132645	Lymphoma	Cancer	N/A	N/A	Exosome derived from JK and JinB8 cell lines	Cell derived exosomes	12	"JK cell; JinB8 cell"	ExoQuick-TM Kit	Trizol reagent	N/A	"CD47 wildtype; CD47 mutant; CD47 knockout"	Lymph	N/A	N/A	Public on Sep 30, 2019	N/A	N/A	N/A	Link to PubMed	GPL16384	[miRNA-3] Affymetrix Multispecies miRNA-3 Array
EMIR00000147	GSE119033	"Colorectal carcinoma; Pancreatic adenocarcinoma"	Cancer	N/A	N/A	Exosome derived from HT-29, SW-948, A818.4, Capan-1 cells	Cell derived exosomes	8	"HT-29 cell; SW-948 cell; A818.4 cell; Capan-1 cell"	Density gradient centrifugation	miRNeasy Mini Kit	N/A	"Cld7 knockdown; CD151 knockdown; Tspan8 knockdown; CD44v6 knockdown"	"Pancreas; Intestine"	N/A	N/A	Public on Aug 25, 2018	N/A	N/A	N/A	31485223	GPL21575	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (Feature Number version)
EMIR00000149	GSE119031	"Colorectal carcinoma; Pancreatic adenocarcinoma"	Cancer	N/A	N/A	Exosome derived from HT-29, A818.4, Capan-1 cells	Cell derived exosomes	8	"HT-29 cell; SW-948 cell; A818.4 cell; Capan-1 cell"	Density gradient centrifugation	miRNeasy Mini Kit	N/A	"Cld7 knockdown; CD151 knockdown; Tspan8 knockdown; CD44v6 knockdown"	"Pancreas; Intestine"	N/A	N/A	Public on Aug 25, 2018	N/A	N/A	N/A	31485223, 31592143	GPL25448	Agilent-040150 EMBL_rel18_30rep 031181
EMIR00000148	GSE119032	"Colorectal carcinoma; Pancreatic adenocarcinoma"	Cancer	N/A	N/A	Exosome derived from SW-948, A818.4, Capan-1 cells	Cell derived exosomes	8	"SW-948 cell; A818.4 cell; Capan-1 cell"	Density gradient centrifugation	miRNeasy Mini Kit	N/A	"Cld7 knockdown; CD44v6 knockdown"	"Pancreas; Intestine"	N/A	N/A	Public on Aug 25, 2018	N/A	N/A	N/A	31485223, 31592143	GPL21575	Agilent-070156 Human_miRNA_V21.0_Microarray 046064 (Feature Number version)
EMIR00000111	GSE55246	Multiple myeloma	Cancer	N/A	N/A	Exosome derived from KMS12-BM, RPMI-8226 and HEK-293T cells	Cell derived exosomes	8	"KMS12-BM cell; RPMI-8226 cell; HEK-293T cell"	NA	Trizol reagent	N/A	DIS3 knockdown	Blood system	N/A	N/A	Public on Jun 12, 2015	N/A	N/A	N/A	25925570	GPL8786	[miRNA-1] Affymetrix Multispecies miRNA-1 Array
EMIR00000070	GSE165540	Non-small cell lung cancer	Cancer	Osimertinib	N/A	Exosomal miRNAs involved in resistance to osimertinib in primary EGFR-mutant NSCLC cells (SH82K33)	Cell derived exosomes	4	SH82K33 cell	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	EGFR mutant	Lung	N/A	N/A	Public on Jun 15, 2021	N/A	N/A	N/A	33939301	GPL21263	3D-Gene Human miRNA V21_1.0.0
EMIR00000089	GSE67004	Colorectal carcinoma	Cancer	N/A	N/A	Cell and exosome miRNAs of Dks-8, DLD-1, and DKO-1 cell lines	Cell derived exosomes	18	"Dks-8 cell; DLD-1 cell; DKO-1 cell"	Step-wise centrifugation-ultracentrifugation	Trizol reagent	N/A	KRAS mutant	Intestine	N/A	N/A	Public on Aug 28, 2015	N/A	N/A	N/A	26132860	GPL11154	Illumina HiSeq 2000 (Homo sapiens)
EMIR00000104	GSE113411	Breast cancer	Cancer	N/A	N/A	Exosome derived from MCU downregulated and control MDA-MB-231 cells	Cell derived exosomes	6	MDA-MB-231 cell	PEG6000-based enrichment and ultracentrifugation.Â 	miRNeasy Mini Kit	N/A	MCU knockdown	Breast	N/A	N/A	Public on Apr 19, 2021	N/A	N/A	N/A	Link to PubMed	GPL20301	Illumina HiSeq 4000 (Homo sapiens)
EMIR00000001	GSE144777	Perioperative myocardial injury	Heart disease	N/A	N/A	Plasma exosome of patients with positive and negative perioperative myocardial injury	Plasma derived exosomes	11	Plasma	NA	miReasy Serum/Plasma Advanced Kit	N/A	N/A	Heart	N/A	N/A	Public on Jul 26, 2020	N/A	N/A	N/A	32718726	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000002	GSE115572	Preterm birth pregnancies	Pregnancy-related disease	N/A	N/A	Exosome present in maternal plasma of full term (n=20 per time point) and preterm birth (PTB)	Plasma derived exosomes	106	Plasma	Step-wise centrifugation-ultracentrifugation with filtered through 0.22 um membranes	Trizol-LS reagent and miRNeasy Mini Kit	N/A	N/A	Other	N/A	N/A	Public on Feb 12, 2019	N/A	N/A	N/A	30358826	GPL18573	Illumina NextSeq 500 (Homo sapiens)
EMIR00000003	GSE115114	Colorectal carcinoma	Cancer	N/A	N/A	Tissues and exosome of colorectal cancer patients	Tissue derived exosomes	20	Colorectal cancer tissue fluid	NA	Trizol-LS reagent and miRNeasy Mini Kit	N/A	N/A	Intestine	N/A	N/A	Public on May 30, 2021	Yes	N/A	N/A	Link to PubMed	GPL18573	Illumina NextSeq 500 (Homo sapiens)
