Unnamed: 0,samples
hsa-let-7a-2-3p,25420
hsa-let-7a-3p,25551
hsa-let-7a-5p,25627
hsa-let-7b-3p,25579
hsa-let-7b-5p,25636
hsa-let-7c-3p,24809
hsa-let-7c-5p,25224
hsa-let-7d-3p,26297
hsa-let-7d-5p,25633
hsa-let-7e-3p,25553
hsa-let-7e-5p,25633
hsa-let-7f-1-3p,25584
hsa-let-7f-2-3p,25545
hsa-let-7f-5p,25636
hsa-let-7g-3p,25552
hsa-let-7g-5p,25635
hsa-let-7i-3p,25577
hsa-let-7i-5p,25633
hsa-miR-1-3p,19545
hsa-miR-100-3p,26294
hsa-miR-100-5p,25636
hsa-miR-101-3p,26354
hsa-miR-101-5p,25549
hsa-miR-103a-2-5p,26263
hsa-miR-103a-3p,25634
hsa-miR-105-3p,25545
hsa-miR-105-5p,25609
hsa-miR-106a-5p,24492
hsa-miR-106b-3p,25579
hsa-miR-106b-5p,25633
hsa-miR-107,25984
hsa-miR-10a-3p,25580
hsa-miR-10a-5p,25637
hsa-miR-10b-3p,25580
hsa-miR-10b-5p,25636
hsa-miR-1179,26089
hsa-miR-1180-3p,25439
hsa-miR-1207-5p,26056
hsa-miR-122-5p,26354
hsa-miR-1224-3p,26097
hsa-miR-1224-5p,26128
hsa-miR-1225-5p,26071
hsa-miR-1226-3p,25610
hsa-miR-1226-5p,25584
hsa-miR-1228-5p,25583
hsa-miR-1229-3p,25576
hsa-miR-1231,26112
hsa-miR-1236-5p,24274
hsa-miR-1237-3p,25575
hsa-miR-1244,26092
hsa-miR-1246,26185
hsa-miR-1247-3p,24342
hsa-miR-1247-5p,25608
hsa-miR-1248,26143
hsa-miR-1249-3p,19544
hsa-miR-1254,1373
hsa-miR-1255a,26147
hsa-miR-1255b-5p,25609
hsa-miR-1256,26091
hsa-miR-1257,26146
hsa-miR-125a-3p,26129
hsa-miR-125a-5p,26127
hsa-miR-125b-1-3p,26266
hsa-miR-125b-2-3p,25584
hsa-miR-125b-5p,25640
hsa-miR-126-3p,26353
hsa-miR-126-5p,26294
hsa-miR-1260b,25699
hsa-miR-1262,26143
hsa-miR-1263,26089
hsa-miR-1266-5p,25437
hsa-miR-1267,26124
hsa-miR-1268a,25590
hsa-miR-1268b,24464
hsa-miR-1269a,25604
hsa-miR-1269b,24423
hsa-miR-127-3p,26124
hsa-miR-1270,26092
hsa-miR-1271-5p,25609
hsa-miR-1273a,741
hsa-miR-1273c,25705
hsa-miR-1273d,837
hsa-miR-1273e,837
hsa-miR-1273f,831
hsa-miR-1273g-3p,773
hsa-miR-1273h-3p,24084
hsa-miR-1273h-5p,24086
hsa-miR-1275,26184
hsa-miR-1276,26152
hsa-miR-1277-3p,25606
hsa-miR-1277-5p,24053
hsa-miR-128-1-5p,24862
hsa-miR-128-3p,25437
hsa-miR-1281,26183
hsa-miR-1283,26077
hsa-miR-1284,26089
hsa-miR-1285-5p,24404
hsa-miR-1286,26151
hsa-miR-1287-3p,24141
hsa-miR-1287-5p,25436
hsa-miR-1289,26079
hsa-miR-129-1-3p,26267
hsa-miR-129-5p,26129
hsa-miR-1290,26184
hsa-miR-1291,26179
hsa-miR-1292-5p,25544
hsa-miR-1293,26151
hsa-miR-1294,26088
hsa-miR-1295a,25633
hsa-miR-1296-5p,25437
hsa-miR-1297,26149
hsa-miR-1298-5p,25437
hsa-miR-1299,26179
hsa-miR-1301-3p,25437
hsa-miR-1302,26079
hsa-miR-1303,26182
hsa-miR-1304-3p,24404
hsa-miR-1304-5p,25600
hsa-miR-1306-5p,24371
hsa-miR-1307-3p,25641
hsa-miR-1307-5p,24399
hsa-miR-130a-3p,25639
hsa-miR-130b-3p,25636
hsa-miR-130b-5p,25550
hsa-miR-132-3p,25632
hsa-miR-132-5p,26264
hsa-miR-1322,26146
hsa-miR-1323,26180
hsa-miR-133a-3p,25435
hsa-miR-133a-5p,24866
hsa-miR-133b,25984
hsa-miR-134-5p,25380
hsa-miR-1343-3p,24143
hsa-miR-135a-5p,25636
hsa-miR-135b-3p,25548
hsa-miR-135b-5p,25634
hsa-miR-136-3p,25547
hsa-miR-136-5p,25637
hsa-miR-137,1379
hsa-miR-138-1-3p,25551
hsa-miR-138-2-3p,25579
hsa-miR-138-5p,25639
hsa-miR-139-3p,26119
hsa-miR-139-5p,26089
hsa-miR-140-3p,26126
hsa-miR-140-5p,26124
hsa-miR-141-3p,26353
hsa-miR-141-5p,25548
hsa-miR-142-3p,26126
hsa-miR-142-5p,26809
hsa-miR-143-3p,25641
hsa-miR-143-5p,26263
hsa-miR-144-3p,25635
hsa-miR-144-5p,26263
hsa-miR-145-3p,25549
hsa-miR-145-5p,25642
hsa-miR-1468-5p,25380
hsa-miR-146a-5p,25637
hsa-miR-146b-3p,26098
hsa-miR-146b-5p,26120
hsa-miR-147b,1351
hsa-miR-148a-3p,25634
hsa-miR-148a-5p,25549
hsa-miR-148b-3p,25637
hsa-miR-149-5p,26356
hsa-miR-150-5p,25639
hsa-miR-151a-3p,25636
hsa-miR-151a-5p,25425
hsa-miR-151b,24407
hsa-miR-152-3p,25438
hsa-miR-153-3p,25437
hsa-miR-1538,26070
hsa-miR-154-5p,26321
hsa-miR-155-5p,25632
hsa-miR-1587,24410
hsa-miR-15a-3p,25553
hsa-miR-15a-5p,25634
hsa-miR-15b-3p,25553
hsa-miR-15b-5p,25642
hsa-miR-16-1-3p,25552
hsa-miR-16-2-3p,26297
hsa-miR-16-5p,25641
hsa-miR-17-3p,25576
hsa-miR-17-5p,25578
hsa-miR-181a-2-3p,25638
hsa-miR-181a-3p,25637
hsa-miR-181a-5p,25636
hsa-miR-181b-2-3p,17338
hsa-miR-181b-3p,25029
hsa-miR-181b-5p,25581
hsa-miR-181c-3p,25551
hsa-miR-181c-5p,26349
hsa-miR-181d-5p,25382
hsa-miR-182-3p,25609
hsa-miR-182-5p,25642
hsa-miR-183-3p,26298
hsa-miR-183-5p,26353
hsa-miR-184,26164
hsa-miR-185-3p,26267
hsa-miR-185-5p,25641
hsa-miR-186-3p,26296
hsa-miR-186-5p,25635
