"","GSM3182557","GSM3182558","GSM3182559","GSM3182560","GSM3182561","GSM3182562","GSM3182563","GSM3182564","GSM3182565","GSM3182566","GSM3182567","GSM3182568","GSM3182569","GSM3182570","GSM3182571","GSM3182572","GSM3182573","GSM3182574","GSM3182575","GSM3182576","GSM3182577","GSM3182578","GSM3182579","GSM3182580","GSM3182581","GSM3182582","GSM3182583","GSM3182584","GSM3182585","GSM3182586","GSM3182587","GSM3182588","GSM3182589","GSM3182590","GSM3182591","GSM3182592","GSM3182593","GSM3182594","GSM3182595","GSM3182596","GSM3182597","GSM3182598","GSM3182599","GSM3182600","GSM3182601","GSM3182602","GSM3182603","GSM3182604","GSM3182605","GSM3182606","GSM3182607","GSM3182608","GSM3182609","GSM3182610","GSM3182611","GSM3182612","GSM3182613","GSM3182614","GSM3182615","GSM3182616","GSM3182617","GSM3182618","GSM3182619","GSM3182620","GSM3182621","GSM3182622","GSM3182623","GSM3182624","GSM3182625","GSM3182626","GSM3182627","GSM3182628","GSM3182629","GSM3182630","GSM3182631","GSM3182632","GSM3182633","GSM3182634","GSM3182635","GSM3182636","GSM3182637","GSM3182638","GSM3182639","GSM3182640","GSM3182641","GSM3182642","GSM3182643","GSM3182644","GSM3182645","GSM3182646","GSM3182647","GSM3182648","GSM3182649","GSM3182650","GSM3182651","GSM3182652","GSM3182653","GSM3182654","GSM3182655","GSM3182656","GSM3182657","GSM3182658","GSM3182659","GSM3182660","GSM3182661","GSM3182662"
"hsa-let-7a-1-3p",2,1,0,1.58496250072116,2,0,0,0,0,0,0,2.8073549220576,2.8073549220576,0,1.58496250072116,2,3.70043971814109,0,0,4.64385618977472,1.58496250072116,0,0,0,4.70043971814109,0,4,0,1,0,0,0,1,0,1,2,4.64385618977472,0,4.75488750216347,2.8073549220576,1.58496250072116,3.70043971814109,2.8073549220576,0,1.58496250072116,3.32192809488736,1,4.4594316186373,0,0,5.24792751344359,0,0,0,0,0,0,3,1,1.58496250072116,2,1.58496250072116,1.58496250072116,0,3,2.32192809488736,4.95419631038687,0,0,1.58496250072116,1.58496250072116,0,1,0,1.58496250072116,0,1,1.58496250072116,3.32192809488736,0,0,1.58496250072116,3.4594316186373,0,2.58496250072116,3.4594316186373,2,0,2.58496250072116,1,1.58496250072116,3.8073549220576,3.32192809488736,2.32192809488736,0,0,2.58496250072116,0,3.70043971814109,2.32192809488736,0,0,1,1.58496250072116,2.32192809488736,0
"hsa-let-7a-1-5p",11.189206834597,10.3782948559119,0,9.57742882803575,14.8280372855802,7.99435343685886,9.58120058192496,1,0,1,5.75488750216347,11.9351650496037,11.403012023575,0,10.4625022725973,10.7090838125503,13.3346922876939,7.48381577726426,0,12.3655022681931,10.6582114827518,0,8.16490692667569,7.89481776330794,13.1067265020392,8.51963625284321,11.9012440324674,2.32192809488736,9.44294349584873,11.8447057644119,8.4262647547021,7.07681559705083,9.02236781302845,1,9.25266543245025,8.57742882803575,13.3230547603416,9.33985000288462,14.196371596542,9.43462822763673,10.1006623390052,11.0566377151132,12.7502882675917,0,10.3309168781146,12.3747678140928,13.5538692431961,13.1959872980285,8.65105169117893,2.32192809488736,13.3801904667498,6.52356195605701,8.62570884306447,0,0,1,10.57931593758,11.6515002206527,12.6781599575428,11.0334230015375,11.5910547740368,11.5294305541462,12.0617087046606,7.05528243550119,11.0457596613827,13.02669633425,15.0986900966736,6.74146698640115,0,10.8955752823807,8.74819284958946,0,10.9439799143437,4.75488750216347,9.60177078840771,10.4040771362412,8.54689445988764,12.0028150156071,12.5565060546719,0,8.92777796208234,12.567005370247,12.3376219019925,0,11.7176764230664,11.7039035734447,9.75988818322183,6.6724253419715,9.90388184573618,9.45121111183233,7.52356195605701,11.5048189876328,12.5471355318309,13.42167038965,1.58496250072116,6.49185309632967,11.3679607096416,0,14.4299297413533,12.3517674439599,1.58496250072116,3.90689059560852,9.84549005094438,9.31288295528435,12.3094763538411,0
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-2-5p",11.189206834597,10.3761253892762,0,9.57931593758001,14.8272930784824,7.98868468677217,9.58120058192496,1,0,1,5.75488750216347,11.9347965921784,11.403012023575,0,10.4614794472862,10.7090838125503,13.3345526337524,7.48381577726426,0,12.3690520070014,10.6591039634737,0,8.15987133677839,7.89481776330794,13.1073805630459,8.51963625284321,11.9001120629775,2.32192809488736,9.44294349584873,11.8447057644119,8.4262647547021,7.07681559705083,9.02236781302845,1,9.25266543245025,8.57742882803575,13.3224915375975,9.33985000288462,14.1959872980285,9.43462822763673,10.1006623390052,11.0579917227592,12.7502882675917,0,10.3297963382207,12.3750394313469,13.5551882513459,13.1959872980285,8.65105169117893,2.32192809488736,13.3795137487671,6.52356195605701,8.63299519714296,0,0,1,10.57931593758,11.6515002206527,12.6781599575428,11.0334230015375,11.590587049915,11.5304063370991,12.0630579636235,7.05528243550119,11.0457596613827,13.0268692052634,15.0984433767002,6.74146698640115,0,10.8963324039099,8.74483383749955,0,10.9439799143437,4.75488750216347,9.59991284218713,10.4019461239765,8.55074678538324,12.0031665066652,12.5567455260047,0,8.92777796208234,12.5655781367843,12.3376219019925,0,11.7168194613299,11.7047682393626,9.75822321472672,6.68650052718322,9.90388184573618,9.44914864537544,7.52356195605701,11.502334580198,12.5488219084588,13.420618191561,1.58496250072116,6.49185309632967,11.3685064615077,0,14.4307138857919,12.3503867423128,1.58496250072116,4,9.84549005094438,9.319672120947,12.3086234451311,0
"hsa-let-7a-3-3p",2,1,0,1.58496250072116,1.58496250072116,0,0,0,0,0,0,2.8073549220576,2.8073549220576,0,1.58496250072116,2,3.70043971814109,0,0,4.64385618977472,1.58496250072116,0,0,0,4.70043971814109,0,4,0,1,0,0,0,1,0,1,2,4.64385618977472,0,4.75488750216347,2.8073549220576,1.58496250072116,3.70043971814109,2.8073549220576,0,1.58496250072116,3.32192809488736,1,4.4594316186373,0,0,5.24792751344359,0,0,0,0,0,0,3,1,1.58496250072116,2,1.58496250072116,1.58496250072116,0,3,2.32192809488736,4.95419631038687,0,0,1.58496250072116,1.58496250072116,0,1,0,1.58496250072116,0,1,1.58496250072116,3.32192809488736,0,0,1.58496250072116,3.4594316186373,0,2.58496250072116,3.4594316186373,2,0,2.58496250072116,1,1.58496250072116,3.8073549220576,3.32192809488736,2.32192809488736,0,0,2.58496250072116,0,3.70043971814109,2.32192809488736,0,0,1,1.58496250072116,2.32192809488736,0
"hsa-let-7a-3-5p",11.1885888457073,10.3761253892762,0,9.57742882803575,14.8272434510236,7.98868468677217,9.58120058192496,1,0,1,5.75488750216347,11.9347965921784,11.403012023575,0,10.4614794472862,10.7073591320809,13.3339938827614,7.48381577726426,0,12.3652288492515,10.6582114827518,0,8.15987133677839,7.89481776330794,13.1060721443725,8.51963625284321,11.9001120629775,2.32192809488736,9.44294349584873,11.8447057644119,8.4262647547021,7.07681559705083,9.02236781302845,1,9.25266543245025,8.57742882803575,13.3222098437489,9.33762190199251,14.1959104260402,9.43462822763673,10.1006623390052,11.0566377151132,12.7494504655699,0,10.3297963382207,12.3747678140928,13.5531492755985,13.1953722074027,8.65105169117893,2.32192809488736,13.3795137487671,6.52356195605701,8.62570884306447,0,0,1,10.5764843467969,11.6510516911789,12.6761774768326,11.0334230015375,11.590587049915,11.5294305541462,12.0603581826421,7.05528243550119,11.0457596613827,13.0263505300678,15.0974560746662,6.74146698640115,0,10.8963324039099,8.74483383749955,0,10.9439799143437,4.75488750216347,9.59991284218713,10.3998119593257,8.54689445988764,12.0028150156071,12.5560269927247,0,8.92777796208234,12.5648639902269,12.337343147274,0,11.7168194613299,11.7021726853655,9.75822321472672,6.6724253419715,9.90388184573618,9.44914864537544,7.52356195605701,11.502334580198,12.5468944598876,13.4199601778479,1.58496250072116,6.49185309632967,11.3679607096416,0,14.4295375092495,12.3498340914572,1.58496250072116,3.90689059560852,9.84549005094438,9.31288295528435,12.3083390301394,0
"hsa-let-7b-3p",3.32192809488736,3.32192809488736,0,3.32192809488736,4.90689059560852,1.58496250072116,3.32192809488736,0,0,0,0,4.08746284125034,4.75488750216347,0,3,4,5.70043971814109,0,0,4.16992500144231,3.70043971814109,0,0,0,6,0,5.64385618977472,0,1.58496250072116,4.24792751344359,1.58496250072116,0,3.90689059560852,0,0,2,3,0,4.58496250072116,3.8073549220576,4.16992500144231,3.90689059560852,3.32192809488736,0,2.8073549220576,5.12928301694497,4.75488750216347,6.20945336562895,2.8073549220576,0,5,1.58496250072116,0,0,0,0,3.16992500144231,4.16992500144231,0,3.4594316186373,3.16992500144231,2.58496250072116,2,1,4.32192809488736,3.8073549220576,5.28540221886225,0,0,3.58496250072116,3.58496250072116,0,3.32192809488736,0,2,2.58496250072116,2,4,3.58496250072116,0,1,5.61470984411521,4.90689059560852,0,2.8073549220576,3.4594316186373,4.16992500144231,0,2.8073549220576,0,2,2,3.32192809488736,1,0,0,3.32192809488736,0,5.88264304936184,4.32192809488736,0,0,1.58496250072116,3,3.16992500144231,0
"hsa-let-7b-5p",8.99717948093762,8.37503943134693,0,7.93663793900257,11.4527560290325,6.62935662007961,7.86418614465428,0,0,0,2.8073549220576,11.0505289055306,9.50581155391959,0,8.2336196767597,9.47775826644389,10.6969675262343,5.4594316186373,0,9.90538700501813,8.17990909001493,0,5.4594316186373,4.85798099512757,10.7490313820402,4.32192809488736,10.523561956057,1,8.40514146313634,9.98156728190301,7.57742882803575,5.78135971352466,7.68650052718322,0,7.70735913208088,7.51569983828404,11.2946207488916,7.27612440527424,11.4173251176799,7.24792751344359,8.66888498426625,9.11894107272351,9.55842071326866,1,8.43879185257826,10.5651020783603,9.49585502688717,10.72366094441,6.76818432477693,1,11.0354864512922,4.52356195605701,5.7279204545632,0,0,0,7.83920378809694,9.00281501560705,8.60733031374961,8.25266543245025,9.61838550225861,8.16992500144231,9.36194377373524,4.08746284125034,9.70043971814109,10.6375305515253,11.6293566200796,3.8073549220576,0,9.24079133216196,6.91886323727459,0,8.50382573799575,3,7.69348695749933,7.83289001416474,6.4093909361377,8.8073549220576,9.59618975614441,0,6.97727992349992,8.40087943628218,10.4737057496194,0,9.1006623390052,8.94544383637791,7.876516946565,4.4594316186373,8.00562454919388,6.79441586635011,5.61470984411521,9.71424551766612,9.63843591399047,9.44914864537544,0,4.39231742277876,9.43254190038826,0,12.010877723007,9.57364718749332,0,3.32192809488736,7.66533591718518,7.82654848729092,8.55458885167764,0
"hsa-let-7c-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c-5p",10.0940776856719,9.35314682549808,0,8.81698362325538,13.2223421032491,7.45121111183233,8.64385618977473,0,0,1,4.4594316186373,11.753216749179,10.4325419003883,0,9.29920801838728,10.2384047393251,11.9829935746943,6.59991284218713,0,11.2461467746359,9.56033283421244,0,6.97727992349992,6.5077946401987,12.0351427478859,7.98299357469431,11.5459297690855,1.58496250072116,9.19721669311005,11.0244471240406,8.24792751344359,6.70043971814109,8.4594316186373,0,8.67948009950545,8.2045711442492,12.3866708596376,8.4262647547021,12.7986742988268,8.55842071326866,9.59245703726808,10.1774195379892,11.1842554954053,1,9.40087943628218,11.4737057496194,11.5072991241228,12.1478408936723,7.75488750216347,2,12.3032099489448,5.12928301694497,6.97727992349992,0,0,1,9.44914864537544,10.4398308839814,10.7108064336994,9.88264304936184,10.6891244049133,9.82654848729091,10.6926155016946,6.02236781302845,10.5343028824546,11.7661147575867,13.3538360220147,5.85798099512757,0,10.0980320829605,8.0389189892923,0,9.66355810421727,4,8.78135971352466,9.1548181090521,7.59245703726808,10.3060616894283,11.0967151544885,0,8.11894107272351,10.9203528554151,11.4051414631363,0,10.4553272203046,10.468624042918,8.98868468677217,5.52356195605701,8.98013957763916,8.09803208296053,6.53915881110803,10.7372473430277,11.1286388128526,11.4093909361377,1,5.58496250072116,10.4888443464573,0,13.2233984147116,11.0161118382205,0,3.8073549220576,8.83605035505807,8.59991284218713,10.3750394313469,0
