"","GSM3151945","GSM3151946","GSM3151947","GSM3151948","GSM3151949","GSM3151950","GSM3151951","GSM3151952","GSM3151953","GSM3151954","GSM3151955","GSM3151956","GSM3151957","GSM3151958","GSM3151959","GSM3151960","GSM3151961","GSM3151962","GSM3151963","GSM3151964","GSM3151965","GSM3151966","GSM3151967","GSM3151968","GSM3151969","GSM3151970","GSM3151971","GSM3151972"
"hsa-let-7a-1-3p",1.58496250072116,1,0,1,6.24792751344359,6.82017896241519,6.02236781302845,6,6.02236781302845,3.4594316186373,1,0,0,0,0,0,0,1,5.49185309632967,5.64385618977472,5.93073733756289,4.39231742277876,4.90689059560852,5.78135971352466,0,1,0,0
"hsa-let-7a-1-5p",7.76155123244448,7.62935662007961,5.61470984411521,8.26209484537018,16.4689421745299,16.84027389526,16.8085243231196,16.4179019484908,16.3900345707461,14.3856602150843,5.64385618977472,0,0,1.58496250072116,6.96578428466209,9.16239132875691,2.58496250072116,9.08480838780436,16.0804428178428,16.2781408778219,17.4833198285755,15.5782252534151,14.556266543583,15.8620803558155,6.62935662007961,7.28540221886225,1,2.8073549220576
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-2-5p",7.74146698640115,7.65105169117893,5.61470984411521,8.26209484537018,16.4684967706281,16.8395605786856,16.8075813317352,16.4168634869176,16.3894296812463,14.3843115867637,5.61470984411521,0,0,1.58496250072116,6.96578428466209,9.16239132875691,2.58496250072116,9.09011241966429,16.0792347572456,16.2773055644882,17.4825480138025,15.577192765687,14.5550683913333,15.8609172242215,6.62935662007961,7.28540221886225,1,2.8073549220576
"hsa-let-7a-3-3p",1.58496250072116,1,0,1,6.24792751344359,6.82017896241519,6.02236781302845,6,6.02236781302845,3.4594316186373,1,0,0,0,0,0,0,1,5.49185309632967,5.64385618977472,5.93073733756289,4.39231742277876,4.90689059560852,5.75488750216347,0,1,0,0
"hsa-let-7a-3-5p",7.74146698640115,7.63662462054365,5.61470984411521,8.26209484537018,16.4678124896405,16.8390438188407,16.8071662201803,16.4165006733802,16.3889926588261,14.3839742326079,5.61470984411521,0,0,1.58496250072116,6.96578428466209,9.16741814583174,2.58496250072116,9.08746284125034,16.0786303473903,16.2765606382184,17.4819728220921,15.5765433949925,14.5547686977281,15.860650541106,6.64385618977472,7.29462074889163,1,2.8073549220576
"hsa-let-7b-3p",1,1,1,0,3.70043971814109,4.16992500144231,4.70043971814109,2.8073549220576,3.8073549220576,2.32192809488736,1,0,0,0,1.58496250072116,1,0,2.32192809488736,4.08746284125034,4.08746284125034,4.16992500144231,3.8073549220576,3.16992500144231,4.39231742277876,0,1,0,0
"hsa-let-7b-5p",5.4262647547021,5.16992500144231,3.8073549220576,5.78135971352466,13.6974020075027,14.144737894732,13.9934691615992,13.6497052654714,13.4099212412497,11.1414685553931,4.75488750216347,1,1,2.32192809488736,3.32192809488736,6.70043971814109,1.58496250072116,6.8703647195834,13.4855777709032,13.1848753429083,14.7112905505312,12.6640027628865,11.8895039634115,13.3346922876939,3,4.95419631038687,0,2
"hsa-let-7c-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"hsa-let-7c-5p",3.90689059560852,4.32192809488736,2,5,15.4263630454381,15.8478892796194,15.81960532125,15.4632369806393,15.4442707967463,13.0155892803974,3,0,0,0,2.8073549220576,4.32192809488736,0,4.58496250072116,15.2298327289904,15.2153433984731,16.4696577142676,14.6632801229372,13.7590559391602,14.8237652797897,2.32192809488736,4.24792751344359,0,0
"hsa-let-7d-3p",3.4594316186373,2.58496250072116,3.16992500144231,6.20945336562895,9.57364718749332,10.5264992391366,10.9736973663054,9.65463602852797,9.86108690599539,9.25266543245025,1,0,0,0,2.8073549220576,5.35755200461808,1,4.16992500144231,10.1611318829843,10.1535520317081,10.8384160757973,10.2276159434142,8.66177809777199,10.2550285698187,3,5.8073549220576,0,0
"hsa-let-7d-5p",3.58496250072116,3.4594316186373,2.32192809488736,4.70043971814109,11.3799198176465,12.0175044011094,11.5517082616207,11.1935253605012,11.0327345285867,9.20212382383046,2.8073549220576,0,0,0,3.58496250072116,5.6724253419715,1,6.22881869049588,10.91288933623,10.8933015308606,12.3885555039826,10.1522848423066,8.97154355395077,11.0914353863236,3.58496250072116,4.75488750216347,0,0
"hsa-let-7e-3p",0,0,0,0,2.58496250072116,3.8073549220576,3,1.58496250072116,3,1,0,0,0,0,1.58496250072116,0,0,0,2.32192809488736,3.32192809488736,1.58496250072116,2.32192809488736,2,3.4594316186373,0,0,0,0
"hsa-let-7e-5p",3.90689059560852,3.8073549220576,2,3.58496250072116,14.9522407300809,15.3887572842166,15.3643398796521,14.9810766679076,15.0557908145659,12.5999128421871,3.4594316186373,0,0,1.58496250072116,3.4594316186373,4.64385618977472,0,5.78135971352466,14.7524851858842,14.8497960222456,16.0016940659999,14.2517782570359,13.3345526337524,14.2754698084357,3.8073549220576,2.58496250072116,0,1
"hsa-let-7f-1-3p",0,0,0,0,3,3.4594316186373,3.32192809488736,2.8073549220576,3.58496250072116,1,0,0,0,0,0,2.58496250072116,0,3,2.58496250072116,2.8073549220576,3.8073549220576,1.58496250072116,1.58496250072116,3.32192809488736,1,1,0,0
"hsa-let-7f-1-5p",8.17492568250068,8.21431912080077,7.01122725542325,8.15987133677839,16.4316934673706,16.7892024799247,16.7642107223766,16.3776003036939,16.3502313306562,14.3554887515979,5.90689059560852,0,1,2,7.2667865406949,10.1674181458317,0,10.0940776856719,16.0195038582666,16.2274467266599,17.4454028931315,15.5209255520698,14.4927294677096,15.8117258912056,7.33985000288462,8.58120058192496,0,2
"hsa-let-7f-2-3p",0,0,0,0,6.06608919045777,6.4594316186373,6.39231742277876,5.4262647547021,6.18982455888002,4.52356195605701,0,0,0,0,1,1.58496250072116,0,0,5.16992500144231,5.6724253419715,5.90689059560852,5.12928301694497,4.90689059560852,6,0,0,0,0
"hsa-let-7f-2-5p",8.27146302790437,8.30833903013941,7.06608919045777,8.17990909001493,16.4476644242824,16.8073675013052,16.7885526660675,16.4030453202513,16.3723719734522,14.3687110652437,6,0,1,2,7.2667865406949,10.2656150464845,0,10.1922928144708,16.0502525495678,16.2511865035243,17.4656381424141,15.5536892849778,14.5232556448728,15.8297970478205,7.37503943134692,8.66177809777199,0,2
"hsa-let-7g-3p",0,0,0,0,1,3,1.58496250072116,1,2.58496250072116,1,0,0,0,0,0,0,0,0,1.58496250072116,1,2.58496250072116,1,2,0,0,0,0,0
"hsa-let-7g-5p",5.75488750216347,5.6724253419715,3,6.61470984411521,14.0412313441908,14.3826915668966,14.1563991448716,13.637417341258,14.0239275771744,11.6416002158344,3,0,1,0,4,7.09803208296053,0,7.44294349584873,13.6778297332158,13.5471355318309,14.9612235772808,13.0421723531749,12.3755825124905,13.6090632809741,4.39231742277876,4.16992500144231,0,0
"hsa-let-7i-3p",0,0,0,0,4.52356195605701,4.85798099512757,4.70043971814109,3.90689059560852,4.8073549220576,3.32192809488736,0,0,0,0,0,0,0,0,4.95419631038687,3.4594316186373,4.39231742277876,4.16992500144231,4,3.32192809488736,0,1,0,0
"hsa-let-7i-5p",6.20945336562895,6.2667865406949,4.24792751344359,6.22881869049588,15.8322966787499,16.1348875174303,15.5866638960175,15.2232098443791,15.6131275787393,13.7362962200128,7.21916852046216,1,2.8073549220576,3.16992500144231,4.32192809488736,9.11113567023471,0,8.99435343685886,14.5829652028171,15.2134080408583,16.3433071843681,14.4032783754711,13.5761300068612,15.3316167738451,3.32192809488736,5.93073733756289,0,3.58496250072116
"hsa-miR-1-1-3p",0,0,0,0,1,0,0,1,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"hsa-miR-1-1-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-2-3p",0,0,0,0,1,0,0,1,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
"hsa-miR-100-3p",0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"hsa-miR-100-5p",4.24792751344359,5.04439411935845,2,3.90689059560852,7.06608919045777,7.20945336562895,6.65821148275179,5.55458885167764,7.29462074889163,6.06608919045777,7.02236781302845,0,2.32192809488736,3,2.8073549220576,3,0,4.64385618977472,5.90689059560852,6.7279204545632,6.98868468677217,6.3037807481771,4.64385618977472,5.93073733756289,1.58496250072116,4,0,3.32192809488736
"hsa-miR-101-1-3p",5.4262647547021,5.49185309632967,4,6.18982455888002,13.400612641082,13.7193888209421,13.6219373879639,13.1938333325465,13.244512497601,11.5406124082495,2.58496250072116,0,0,0,5.61470984411521,6.2667865406949,0,6.14974711950468,12.946358033887,13.017852331906,13.6893428461342,12.5665297826242,12.2632692003727,13.0413169158294,4.24792751344359,6.32192809488736,0,0
"hsa-miR-101-1-5p",0,0,0,0,4.08746284125034,4.90689059560852,4.24792751344359,3.4594316186373,4.24792751344359,3.32192809488736,0,0,0,0,0,1,0,1,3.32192809488736,4.90689059560852,4,4,3.16992500144231,4.24792751344359,1,0,0,0
"hsa-miR-101-2-3p",5.4262647547021,5.52356195605701,4.16992500144231,6.22881869049588,13.4019461239765,13.7209923501067,13.6234242898699,13.1961410297182,13.2455527062557,11.5410966153495,2.58496250072116,0,0,0,5.61470984411521,6.28540221886225,0,6.18982455888002,12.9469062744564,13.0190694293311,13.6899979714194,12.567005370247,12.2650289424582,13.0421723531749,4.4594316186373,6.35755200461808,0,0
"hsa-miR-103a-1-3p",5.49185309632967,5.08746284125034,4.58496250072116,5.78135971352466,13.047294352783,13.6663349750767,13.6651138103352,12.7448338374995,13.0299773465896,12.2036538855296,4.08746284125034,0,1,1.58496250072116,4.32192809488736,7.58496250072116,1,7.62935662007961,13.5335730813898,13.2663473418359,14.3123157466901,13.0208063607243,11.4614794472862,13.1896701526038,4.24792751344359,6.68650052718322,0,2
"hsa-miR-103a-2-3p",5.49185309632967,5.08746284125034,4.58496250072116,5.78135971352466,13.047294352783,13.6663349750767,13.6651138103352,12.7442031511328,13.0299773465896,12.2036538855296,4.08746284125034,0,1,1.58496250072116,4.32192809488736,7.58496250072116,1,7.62935662007961,13.5334514119787,13.2663473418359,14.3118901938506,13.0209799389042,11.4614794472862,13.188743367749,4.24792751344359,6.68650052718322,0,2
"hsa-miR-103a-2-5p",0,0,0,0,0,4.4594316186373,3.90689059560852,3,3.32192809488736,1,0,0,0,0,0,0,0,0,2,3.4594316186373,3.32192809488736,2,2.32192809488736,4.32192809488736,0,0,0,0
"hsa-miR-103b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-1-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-1-5p",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-2-5p",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
