"","GSM2729742","GSM2729743","GSM2729744","GSM2729745","GSM2729746","GSM2729747","GSM2729748","GSM2729749","GSM2729750","GSM2729751","GSM2729752","GSM2729753","GSM2729754","GSM2729755","GSM2729756","GSM2729757","GSM2729758","GSM2729759","GSM2729760","GSM2729761","GSM2729762","GSM2729763","GSM2729764","GSM2729765","GSM2729766","GSM2729767","GSM2729768","GSM2729769","GSM2729770","GSM2729771","GSM2729772","GSM2729773","GSM2729774","GSM2729775","GSM2729776","GSM2729777","GSM2729778","GSM2729779","GSM2729780","GSM2729781","GSM2729782","GSM2729783","GSM2729784","GSM2729785","GSM2729786","GSM2729787","GSM2729788","GSM2729789","GSM2729790","GSM2729791","GSM2729792","GSM2729793","GSM2729794"
"hsa-let-7a-5p",-0.944353430434781,-1.80618082652175,-2.39920356391305,-1.64895044956522,-1.32102065826087,-1.75608821391304,-1.19782869521739,-1.75303006043478,-2.9558320147826,-3.67292521043478,-2.02404582304348,-2.49912748043479,-3.31629212130434,-2.6209155447826,-2.49855677043478,-2.3183005426087,-2.26395851086957,-2.3547667373913,-3.1764427726087,-0.90784621043478,-2.64091219913044,-2.58009825956522,-2.00126128173912,-1.68049298565218,-1.35293133391304,-2.18571345347825,-2.30506052043478,-2.72007975347827,-2.23667323391305,-2.12965586173913,-2.12246680217392,-0.693617733478266,-1.09027021043478,-2.42836536173913,-2.84497099,-1.40614258173913,-0.84764001130435,-0.37546963217391,-0.120774228260871,-3.59176952608695,-1.16250829739131,-0.468620671739131,-1.91157196913044,-1.62671326086956,-2.64502990434783,-0.301531982608694,-2.94414295347826,-2.38628272217392,-1.29738822869565,-1.03118359304348,-1.73355902086957,-2.08905432347827,-1.58604473565216
"hsa-let-7b-5p",-0.842550150434782,-2.57297073652175,-1.85031106391305,-2.31972246956522,-1.92186056826087,-3.01904367391304,-2.14788832521739,-1.99972592043478,-1.9273352347826,-1.69813556043478,-2.13059748304348,-2.07827806043479,-2.12776868130434,-1.65161577478261,-1.87381376043478,-2.0016779626087,-1.48635983086957,-2.3694825573913,-2.4119403426087,-1.05557294043478,-0.749559459130442,-2.43510391956521,-2.38538170173912,-2.86569958565218,-1.79447851391304,-2.38451928347826,-2.01865691043478,-2.01540783347827,-2.05393696391305,-1.31404521173912,-1.79632951217392,-1.60611142347826,-1.02574238043478,-1.39555736173913,-2.00960947,-2.70705551173913,-0.81470427130435,-2.28996322217391,-2.31767045826087,0.432437303913048,-1.61147747739131,-4.32842836173913,-3.64158675913044,-1.06246907086956,-1.77445445434783,-1.17609760260869,-1.10578644347826,-0.961573462173916,-1.24766921869565,-1.86220064304348,-1.13746778086957,-0.987894353478264,-2.53135618565216
"hsa-let-7c-5p",-4.40856885043478,-6.42533204652175,-4.79347745391305,-5.03963436956522,-5.24871400826087,-5.91648231391304,-6.60639865521738,-6.73299432043478,-7.08777863478261,-7.45306662043478,-6.20354025304347,-6.50039274043478,-6.70836190130434,-5.9326819747826,-6.67703105043478,-6.3769919326087,-6.62153388086957,-6.6030151673913,-5.9667386526087,-6.24927388043478,-6.77563932913045,-6.50812051956521,-6.38049393173912,-5.76650158565218,-5.99782568391304,-6.59099376347826,-6.05948754043478,-7.42551280347827,-6.78031717391304,-5.38574281173912,-6.05240382217392,-4.49193653347826,-3.67901682043478,-5.92927612173913,-7.05617143,-5.64460199173913,-4.60835436130435,-5.13048017217391,-4.21342052826087,-7.68964251608695,-5.81629897739131,-7.15560456173913,-7.42016433913044,-4.36805369086956,-5.55248515434783,2.83097958739131,-6.44809252347826,-6.49488735217392,-4.43055860869565,-4.40904053304348,-5.44244140086957,-5.18612926347826,-5.24068772565217
"hsa-let-7d-3p",-1.10715053043478,-1.57654361652175,-2.42544130391305,-2.22244686956522,-2.81865199826087,-1.64234266391304,-2.27766315521739,-1.91753057043478,-2.18784216478261,-3.62521977043478,-1.57270211304348,-2.61329103043478,-2.17836162130434,-3.98610440478261,-2.77850026043478,-2.86767570260869,-1.35293621086957,-2.8881492373913,-1.8917261526087,-2.36379022043478,-1.12010773913044,-1.67667202956521,-2.67480431173912,-1.88118853565218,-2.35900202391304,-2.25675408347826,-3.64679680043478,-2.62356365347827,-2.18941032391305,-1.73478599173913,-1.76494045217392,-0.866153633478266,-1.69346230043478,-3.50775225173913,-1.79944019,-1.68149781173913,-1.49511554130435,-1.15234490217391,-0.622440038260873,-3.63520604608695,-2.33127319739131,-1.28778526173913,-0.598924549130441,-1.91613442086956,-1.58302118434783,-0.455423962608691,-3.19166292347826,-2.06845022217392,-2.32202136869565,-1.03189924304348,-2.33661148086957,-2.07299158347826,-0.0177422456521619
"hsa-let-7d-5p",-4.16073443043478,-6.03547739652175,5.37166246608695,-4.94864012956522,-5.80691266826087,-5.21758682391304,-6.14293557521739,-7.29240207043478,-6.0842946047826,-6.98809944043478,-4.44736636304347,-6.57128502043479,-6.67015919130434,-7.05994505478261,-5.17295445043478,-5.12477715260869,-4.23077464086957,-5.4360143173913,-6.2927671426087,-4.69911657043478,-0.0164630491304436,-6.02352336956521,-0.98124257173912,-4.57515462565218,-4.48347542391304,-5.60761679347825,-6.74575064043478,-6.60410415347827,-6.15633040391305,-5.44790109173913,-5.78432832217392,-4.41029153347826,-6.24668551043478,-4.85265484173913,-6.67432765,-4.16923383173913,1.25882585869565,-4.53737819217391,-2.88710397826087,-7.68000397608696,-6.61314230739131,2.00621649826087,-3.61558216913044,-3.80576624086956,-6.55534004434783,-2.27097186260869,-6.50488092347826,-5.59438714217391,-5.31012696869565,-4.66001857304348,-5.25766857086957,-5.40216855347827,-4.78296504565216
"hsa-let-7e-5p",1.71748420956522,-0.469701186521746,-0.869431743913051,-4.95036301956523,-5.75233668826087,-7.01025136391304,-6.80893321521739,-5.88106743043478,-6.98411243478261,-8.42921663043478,-4.92337175304348,-6.61577417043478,-6.32816937130434,-9.14391770478261,-6.91906545043478,-5.9448089026087,-5.38060187086957,-6.3024923173913,-8.3590609926087,-1.33033176043478,-2.54652898913044,-6.27221024956522,-7.04059217173912,-8.24874745565218,-6.76260523391304,1.61061678652175,-6.97527061043478,-0.270108023478272,-7.58393393391305,-5.29116499173913,-6.87051468217392,-3.29531083347826,-2.96916504043478,-10.4575865317391,-7.0960549,-7.09595080173913,5.26736054869565,-4.16784496217391,-4.96393334826087,-7.87443454608695,-5.05728627739131,-4.75600003173913,-3.92236525913044,-4.84481484086956,-6.75067184434783,-2.27097186260869,-7.66928082347826,-6.81424264217392,-6.28415033869565,-4.49770164304347,-6.90353847086957,-6.06563599347826,-5.31218985565216
"hsa-let-7f-5p",-4.84185287043478,-5.68031762652175,-4.81265134391305,-5.07971174956522,-4.88334065826087,-4.72380193391304,-5.43374822521739,-5.70025900043478,-6.2928159047826,-6.27051647043477,-7.06354968304348,-5.50331466043478,-4.74672142130434,-6.19669496478261,-5.45368385043478,-4.3898368526087,-5.21898347086957,-5.4590588773913,-5.5905801726087,-6.19771267043478,-7.17740184913044,-5.14324974956522,5.83296626826088,-4.90801113565218,-4.49792646391304,-5.57316738347825,-5.39070118043478,-5.73863708347827,-5.20005662391305,-1.28589526173912,-5.79805981217392,-4.04494332347827,-4.13723949043478,-5.11232129173913,-6.32116532,-4.59636466173913,-3.78671620130434,-4.18434962217391,-3.11960342826087,-8.52606693608695,-7.20005752739131,-6.80489628173913,-4.03999754913044,-7.56875849086956,-5.37912098434783,-5.91454905260869,-5.13684203347826,-5.67091509217392,-4.64999958869565,-3.73856753304348,-4.42100857086957,-5.65452512347826,-4.11928338565216
"hsa-let-7g-5p",-0.826577490434779,-2.27255368652175,-2.95076908391305,-2.47376045956522,-1.94710629826087,-2.42439286391304,-2.17953829521738,-2.79700358043478,-2.66504654478261,-2.92198458043478,-2.00243848304348,-2.94116139043479,-2.77789827130434,-2.67740125478261,-2.44395351043478,-2.3937034626087,-2.21362929086957,-2.6226102373913,-2.8208221626087,-1.78776968043478,-4.31493132913044,-2.52136078956521,-2.74254287173912,-2.33810926565218,-2.07044257391304,-2.61949369347825,-2.10977408043478,-2.84514948347827,-2.65237768391304,-3.19765059173913,-2.43167927217392,-1.59694015347826,-1.03400618043478,-2.46071933173913,-2.8388998,-2.26699018173913,-2.13748002130435,-0.99348244217391,-0.918364328260871,-1.81706874608695,-1.85374789739131,-2.50027298173913,-2.58910858913044,-1.98742581086956,-2.64362654434783,-1.08423220260869,-2.63215678347826,-2.32653579217392,-2.39125983869565,-2.38068096304347,-2.35579833086957,-2.16089242347826,-2.51214932565216
"hsa-let-7i-5p",-2.84208043043478,-2.47478819652175,-2.32446913391305,-2.23644582956522,-3.65496840826087,-2.93063824391304,-3.12986182521739,-2.57218965043478,-2.84815737478261,-2.40230288043478,-2.52686559304348,-1.92516258043479,-2.30675007130434,-2.6698676147826,-2.36190110043478,-2.2522917326087,-2.00098981086957,-2.5922849473913,-2.7731554826087,-2.76208495043478,-1.92751064913044,-3.00139679956521,-3.12283765173912,-3.14199134565218,-2.36258298391304,-2.40594564347825,-2.92878474043478,-2.22393674347827,-2.32804979391305,-2.66198046173913,-2.90873394217392,-1.67650895347827,-2.37928083043478,-1.76925454173913,-2.8974512,-2.82180210173913,-0.203411341304346,-2.39402013217391,-2.05899765826087,-1.27795232608695,-1.98953000739131,-2.54350091173913,-4.00571231913044,-1.54474813086956,-2.76796095434783,-2.94626912260869,-1.71156431347826,-1.80233487217392,-1.34510074869565,-2.13495807304347,-1.84650797086957,-1.76869798347827,-2.81066169565216
"hsa-miR-1",-0.842550150434782,-1.57654361652175,-4.44384554391305,-6.01461197956522,-5.80691266826087,-7.70129977391304,-6.03624842521739,-6.20508187043477,-10.4770513947826,-8.48776317043478,-5.73295619304347,-8.69349118043478,-7.81079563130434,-8.4613639447826,-8.23456019043478,-4.6218416826087,-3.56845537086957,-8.7315976773913,-6.0820343026087,-0.90784621043478,-4.06609633913044,-7.50400527956522,-6.53178902173912,-8.19957519565218,-4.48347542391304,0.291804556521747,-9.90920002043478,-6.70024416347827,-7.49736424391304,-1.45257845173913,-3.66092050217392,0.0684619665217348,4.97337382956522,-8.60124706173913,-3.63202086,-5.94144410173913,-4.01974258130435,-5.53719065217391,-8.36445597826087,-7.92985786608695,-4.73526205739131,-4.40705363173913,-1.97128205913044,-6.64487730086956,-4.47317294934783,1.54829673739131,-9.13407688347826,-2.06845022217392,-5.76934284869565,-5.06712444304348,-1.65525207086957,0.260313466521737,-8.16182427565217
