"","GSM4118113","GSM4118114","GSM4118115","GSM4118116","GSM4118117","GSM4118118","GSM4118119","GSM4118120","GSM4118121","GSM4118122","GSM4118123","GSM4118124","GSM4118125","GSM4118126","GSM4118127","GSM4118128","GSM4118129","GSM4118130","GSM4118131","GSM4118132","GSM4118133","GSM4118134","GSM4118135","GSM4118136","GSM4118137","GSM4118138","GSM4118139","GSM4118140","GSM4118141","GSM4118142","GSM4118143","GSM4118144","GSM4118145","GSM4118146","GSM4118147","GSM4118148","GSM4118149","GSM4118150","GSM4118151","GSM4118152","GSM4118153","GSM4118154","GSM4118155","GSM4118156","GSM4118157","GSM4118158","GSM4118159","GSM4118160","GSM4118161","GSM4118162","GSM4118163","GSM4118164","GSM4118165","GSM4118166","GSM4118167","GSM4118168","GSM4118169","GSM4118170","GSM4118171","GSM4118172","GSM4118173","GSM4118174","GSM4118175","GSM4118176","GSM4118177","GSM4118178","GSM4118179","GSM4118180","GSM4118181","GSM4118182","GSM4118183","GSM4118184","GSM4118185","GSM4118186","GSM4118187","GSM4118188","GSM4118189","GSM4118190","GSM4118191","GSM4118192","GSM4118193","GSM4118194","GSM4118195","GSM4118196","GSM4118197","GSM4118198","GSM4118199","GSM4118200","GSM4118201","GSM4118202","GSM4118203","GSM4118204","GSM4118205","GSM4118206","GSM4118207","GSM4118208","GSM4118209","GSM4118210","GSM4118211","GSM4118212","GSM4118213","GSM4118214","GSM4118215","GSM4118216","GSM4118217","GSM4118218","GSM4118219","GSM4118220","GSM4118221","GSM4118222","GSM4118223","GSM4118224","GSM4118225","GSM4118226","GSM4118227","GSM4118228","GSM4118229","GSM4118230","GSM4118231","GSM4118232","GSM4118233","GSM4118234","GSM4118235","GSM4118236","GSM4118237","GSM4118238","GSM4118239","GSM4118240","GSM4118241","GSM4118242","GSM4118243","GSM4118244","GSM4118245","GSM4118246","GSM4118247","GSM4118248","GSM4118249","GSM4118250","GSM4118251","GSM4118252","GSM4118253","GSM4118254","GSM4118255","GSM4118256","GSM4118257","GSM4118258","GSM4118259","GSM4118260","GSM4118261","GSM4118262","GSM4118263","GSM4118264","GSM4118265","GSM4118266","GSM4118267","GSM4118268","GSM4118269","GSM4118270","GSM4118271","GSM4118272","GSM4118273","GSM4118274","GSM4118275","GSM4118276","GSM4118277","GSM4118278","GSM4118279","GSM4118280","GSM4118281","GSM4118282","GSM4118283","GSM4118284","GSM4118285","GSM4118286","GSM4118287","GSM4118288","GSM4118289","GSM4118290","GSM4118291","GSM4118292","GSM4118293","GSM4118294","GSM4118295","GSM4118296","GSM4118297","GSM4118298","GSM4118299","GSM4118300","GSM4118301","GSM4118302","GSM4118303","GSM4118304","GSM4118305","GSM4118306","GSM4118307","GSM4118308","GSM4118309","GSM4118310","GSM4118311","GSM4118312","GSM4118313","GSM4118314","GSM4118315","GSM4118316","GSM4118317","GSM4118318","GSM4118319","GSM4118320","GSM4118321","GSM4118322","GSM4118323","GSM4118324","GSM4118325","GSM4118326","GSM4118327","GSM4118328","GSM4118329","GSM4118330","GSM4118331","GSM4118332","GSM4118333","GSM4118334","GSM4118335","GSM4118336","GSM4118337","GSM4118338","GSM4118339","GSM4118340","GSM4118341","GSM4118342","GSM4118343","GSM4118344","GSM4118345","GSM4118346","GSM4118347"
"hsa-miR-149-3p",4.98624,8.14951,8.77753,8.32824,5.25594,6.26824,6.99032,7.9783,4.50256,9.8337,5.29703,6.65887,6.79864,9.16642,5.38668,7.7054,9.22772,7.88204,6.07068,9.84631,5.823,0.98713,4.57813,7.69476,5.66485,9.01261,1.31629,4.33918,2.43667,5.24721,5.8584,3.62376,4.15328,2.05966,5.77775,7.62275,6.24612,6.96265,6.42837,7.17048,9.48686,1.71601,5.5794,5.73603,4.18375,3.33277,5.67998,5.56612,7.20356,7.44748,4.48638,7.89527,1.5243,8.26326,4.31229,7.59647,8.17855,5.46975,6.87942,4.59017,6.25852,7.67292,5.82349,8.4205,7.91496,4.6821,9.6446,4.95163,6.50269,4.94528,7.43756,5.34184,7.49507,9.55167,4.50649,4.88384,5.84373,6.66844,3.39228,8.74946,8.81299,9.03578,9.22061,6.12721,8.05924,8.32995,9.35592,8.71445,8.43345,9.21498,7.26281,7.88085,7.65462,5.66433,6.63875,6.83919,8.44638,5.27584,8.10185,4.77994,2.63749,6.80864,6.50493,4.96043,5.37985,6.7971,4.13617,5.24076,6.54547,6.17033,5.38694,4.32758,6.6239,7.47447,4.31838,7.35826,8.36377,5.2367,1.04048,7.76775,5.50474,5.95551,7.07449,7.95825,4.94542,6.60939,8.22843,4.39043,1.12636,5.95836,8.89823,5.49471,7.584,6.54595,6.54635,8.09808,8.54753,1.89886,3.48552,1.11308,1.53032,10.2067,8.25737,10.9245,8.53619,6.14927,1.57785,7.15628,3.44312,9.04402,6.37735,9.36833,8.68837,9.13361,10.4697,7.83153,10.0452,5.48356,8.03536,8.45977,6.18491,9.26963,6.05609,8.50536,10.1926,8.60942,4.4687,7.26872,7.9538,10.1017,8.76595,9.02867,5.7718,4.9444,6.42421,9.07557,6.09334,6.56726,2.41726,4.91545,5.6038,3.97815,6.90172,6.71175,7.71144,3.24854,7.93843,9.37049,7.87003,6.50436,6.15707,7.73725,1.7634,6.43441,1.29015,5.77933,3.90573,7.99686,4.61936,7.30478,4.70682,7.17991,8.13742,7.65361,2.30681,6.20315,8.33235,10.0869,1.77467,7.08679,4.8859,3.99932,5.06791,7.00526,6.5617,8.12571,6.78555,3.33559,7.0356,6.53441,6.68022,8.87016,8.23648,9.14042,8.28004,6.61233,3.97374,4.90864,3.65175,7.54526,8.08962,9.0468,7.75938,5.64314,8.69607
"hsa-miR-212-5p",2.82566,1.59909,2.76693,1.6174,1.73218,2.04741,3.25656,2.03282,2.96062,2.57126,1.0576,0.96443,0.77167,3.26922,1.99513,2.49835,0.98767,3.4352,2.14804,1.44353,1.33484,0.59577,1.75579,0.78058,1.88601,2.7065,0.97133,1.25647,1.45039,1.49292,0.69576,1.56522,1.26644,2.49892,0.79864,1.42241,0.97479,0.44986,1.0012,2.13099,3.3063,1.07335,3.20114,1.43397,1.82304,2.78122,2.76488,3.11469,2.66987,4.25476,2.40084,3.58729,1.48271,4.10704,2.51686,3.9011,2.2711,2.64928,2.82117,2.22229,2.59602,2.91982,1.41818,2.10806,2.08956,2.51416,4.34862,1.62275,3.2364,3.56183,3.48732,2.87855,2.05804,3.88293,1.44923,1.36019,1.86492,1.81455,1.61475,3.56216,2.23953,2.79884,2.37295,2.29437,3.97558,3.35858,1.68937,3.2928,3.00755,3.15883,2.86437,2.47781,4.24976,3.10648,2.46738,2.46777,1.82216,3.09189,3.19651,2.98772,1.94789,2.72377,2.76332,3.76724,2.53449,3.32419,2.16555,3.02156,3.56248,3.90953,1.86469,4.1859,2.94747,3.35674,2.1012,3.52813,3.39794,3.33249,1.5642,3.93653,2.73979,3.62255,2.11763,2.58328,2.17578,2.61093,2.97067,1.68453,1.00113,2.91092,2.57189,2.50815,2.64396,2.08956,1.44372,2.05174,2.90538,1.59915,2.21113,1.62442,0.96233,3.80193,3.10665,3.46963,2.99491,4.00358,1.77595,2.94844,2.08331,2.38424,1.91344,3.33332,3.03744,3.92534,2.86436,2.84232,1.95908,2.1723,2.43858,2.69081,2.80482,2.06837,3.48433,3.61244,2.91727,2.89972,2.01774,3.16947,3.66967,1.74109,2.09289,3.1169,1.32496,2.68975,2.50028,3.05807,1.74102,3.29038,1.17998,1.34113,2.96478,1.125,2.25147,1.33497,2.86836,2.38524,2.07905,1.91554,2.76757,2.10845,1.28931,1.23253,1.95627,2.00071,0.61241,1.68184,2.11924,3.19874,1.46002,2.5926,1.24786,2.01871,3.15863,3.19109,2.66828,1.64804,3.17323,3.345,-0.03403,0.36421,3.23182,2.39158,2.53705,2.94685,1.34393,3.28056,2.59325,1.99334,2.61671,3.49031,2.09655,2.94165,3.67756,3.53414,3.01619,3.36383,1.67333,1.33944,2.13483,0.77828,2.12557,2.407,2.53394,2.91717,2.77652
"hsa-miR-16-2-3p",2.52167,0.9426,3.78847,1.56711,0.86635,2.46121,3.70101,2.29787,3.51992,3.81344,0.58211,1.33746,1.60378,3.53515,1.18898,1.84258,0.84652,4.07183,1.13662,1.2438,1.14321,0.71673,1.79001,0.98135,1.09052,1.28576,0.69227,1.11824,0.7383,1.11509,1.01143,1.05986,0.51332,1.43767,1.32376,1.25047,0.50101,1.05238,0.50552,1.30046,4.26803,0.2048,2.82714,0.73978,1.91172,0.97299,1.84427,4.15592,3.77806,4.27697,1.25982,2.39162,-0.13255,3.967,2.83554,4.21115,2.08863,3.17688,3.77994,1.10544,2.02252,3.00737,2.22016,3.41285,3.70404,1.90709,4.22412,3.26751,2.96381,2.0803,1.90464,0.90189,1.15322,0.99533,0.79133,1.28784,3.56802,1.65519,1.23437,2.87594,1.18485,3.06534,4.1969,3.35099,4.05343,4.27129,1.6504,2.54087,4.01043,3.62873,3.98722,1.84413,5.32298,4.17952,1.20249,3.14411,3.165,2.42114,2.54285,2.51514,1.16621,1.43353,2.96137,3.24029,1.76444,5.14623,0.26047,1.71164,1.76036,4.24621,2.98188,4.16544,1.77131,2.48797,2.30722,2.66049,3.81224,1.18198,0.27616,1.36593,1.24255,4.05389,2.78826,3.00361,2.7145,2.18467,3.33761,0.8615,0.12589,4.23917,4.76037,4.28213,4.54979,1.53131,0.94236,1.72255,4.93234,0.95136,1.36279,0.6918,0.58228,2.99397,3.42849,3.25033,4.10925,2.00687,1.55792,4.20738,2.19044,3.40368,3.21636,2.31736,4.87718,4.10442,3.75994,1.96118,3.5729,0.6697,3.22035,3.35728,2.93948,0.82414,3.33603,4.53923,3.6895,1.9018,1.35754,3.18304,4.0812,2.21526,1.32338,3.45565,1.72423,1.22286,3.71799,1.80455,1.76509,2.94272,1.21146,0.14765,1.31552,0.16561,0.73866,2.47829,3.82034,0.70922,4.02367,3.2744,2.86581,1.78547,0.43035,0.32456,0.6403,1.95931,-0.09782,0.4673,2.48748,3.95381,1.05348,0.95776,0.25132,1.31293,2.48891,2.46635,2.05041,0.71667,4.46838,2.75475,-0.42036,0.4596,3.61421,0.63457,0.98725,1.41063,0.89894,3.76921,1.81058,0.96904,2.41916,4.24762,3.05853,1.24379,3.98075,3.32733,3.71239,3.16183,0.63606,1.82323,2.34114,0.9843,3.12951,3.11335,3.69478,4.2052,2.18802
"hsa-miR-197-5p",0.40215,0.98487,3.23669,2.63416,0.84806,0.91302,0.89774,1.49457,0.74174,3.33129,0.77213,0.91598,0.99674,2.64116,0.3423,2.04193,1.24751,2.87617,1.3295,3.08983,1.4274,0.86296,0.54826,1.62465,0.61332,1.46538,0.4514,1.11032,0.79245,1.08819,0.43167,1.81711,0.45677,2.0296,0.75503,1.35609,0.63599,3.25064,0.69662,0.65404,2.97116,0.45743,0.83604,0.14613,0.9629,0.63309,1.55182,1.3855,1.33132,2.50963,0.68283,2.06999,0.49989,1.25631,1.23025,0.97239,0.78775,0.79976,0.96784,0.36816,1.48845,0.79719,0.50314,1.01987,0.8268,0.41803,2.63406,0.35516,2.14287,0.19865,0.62132,1.06635,1.37099,1.34603,0.82079,0.77589,0.77085,0.3799,0.81558,1.757,1.21326,1.52103,1.88217,1.7267,2.4307,0.87327,0.77276,1.29706,1.54598,1.83376,1.50611,1.10493,1.48252,0.79641,0.75255,1.31607,1.09137,0.34323,1.8137,0.96705,0.27417,1.38539,1.9207,1.33464,1.21335,0.63596,0.39539,0.62758,0.69678,2.25605,0.35187,0.82344,1.82152,1.8084,0.8685,2.35418,1.49923,0.82997,-0.13406,0.85528,1.24255,1.21261,0.69693,2.06177,0.39171,0.71786,0.48668,0.64424,-0.22849,1.87116,1.58559,0.35457,3.93603,1.80715,0.47011,1.05727,2.22584,0.69868,0.93218,0.52846,0.64659,1.88402,1.35001,2.10559,2.87955,1.63064,1.02212,0.82202,1.2626,1.39822,0.96873,4.34574,4.07859,3.27743,1.91881,1.28664,4.93889,0.42582,2.5181,1.68353,0.65676,2.67328,1.26294,3.66483,3.60773,3.51179,1.07755,1.79342,2.10808,4.7927,3.57285,3.87868,0.50997,0.33048,0.54309,2.79695,2.29699,2.39242,0.00555,1.39696,0.95974,0.47004,1.77706,1.44609,1.17206,0.66185,2.04914,3.2632,3.34785,0.64,0.89092,5.21616,1.278,1.38641,0.18923,2.13363,0.83374,1.03811,1.4862,4.67704,0.6533,0.34988,3.03807,2.1469,0.75874,0.94091,2.71941,4.64988,-0.47039,-0.21444,1.25584,0.9098,0.5969,2.51027,0.82999,2.55328,2.15065,0.51574,2.43726,0.50826,0.97113,3.36728,1.19655,2.31851,3.7767,0.93036,0.28776,0.8683,0.66381,1.29571,0.55129,2.49346,1.57983,0.77563,3.39495
"hsa-miR-191-3p",1.99943,1.34434,3.12334,1.9168,1.08806,1.0792,1.13339,2.02451,0.44774,3.20845,1.19008,1.97337,0.66351,2.71015,0.70036,1.63238,1.0701,2.54134,1.11912,3.44693,2.32482,0.49386,0.51879,2.28676,0.28401,1.82387,0.95358,0.78462,-0.01719,1.3353,1.18393,1.43977,0.47094,2.70267,0.69792,1.85865,0.97931,2.82586,0.70321,1.04939,2.27726,0.10501,0.6433,0.25721,0.69915,0.69602,1.86867,0.55249,1.94043,2.30587,0.62529,1.94232,0.31852,1.04685,1.09124,2.31962,0.53624,1.04652,1.01355,0.64949,0.88321,0.43156,0.80072,0.81529,0.72636,0.10136,1.3877,0.81214,2.09718,0.66282,1.26303,0.96333,0.7805,1.03251,0.86651,0.93131,0.40798,0.35303,0.75846,1.77116,1.46664,2.15823,1.95164,0.33518,1.49732,0.94846,0.6259,2.92052,0.77455,2.10223,1.03866,1.31495,2.02406,0.90016,0.84026,0.77741,0.71978,0.51908,0.68374,0.65876,0.37193,1.06907,1.13146,1.33464,1.08066,0.33776,1.69234,1.09011,1.06371,1.12321,0.42384,1.18016,1.22794,1.38954,1.15205,2.8661,1.34753,0.5365,0.35221,0.52848,1.80466,0.72504,0.78707,3.744,0.78386,0.69889,1.28574,0.75064,-0.20281,1.3002,2.37531,0.87325,1.74972,1.65612,0.7317,1.73015,1.21525,0.60078,0.79698,1.13249,0.83386,1.08735,0.78759,1.07895,2.37171,1.32194,1.03404,0.11623,1.3379,1.90304,0.49454,3.35682,3.53121,1.80589,1.22311,1.37417,3.92151,1.36168,4.10692,1.5411,0.85531,1.03788,1.16957,3.52235,3.62943,3.79479,0.59977,1.53617,1.25594,5.11379,2.32005,3.86811,0.91331,0.74225,0.34484,3.24969,1.95395,2.69079,0.01971,0.392,1.84946,0.41756,1.91519,0.49611,1.41259,0.55607,1.58015,1.965,2.09262,1.8286,1.46967,3.58041,0.92975,1.0429,0.15669,0.72492,0.95239,1.38639,1.49431,4.04776,0.6876,0.52196,2.24254,1.81765,0.45046,1.6334,2.28794,4.17917,-0.51208,-0.02127,1.5199,1.22409,0.35585,3.13135,1.55686,2.66456,2.9642,0.59751,2.9336,0.39633,1.04632,2.13638,0.75445,1.24924,3.26193,1.92326,0.99878,1.05886,1.00453,1.74272,0.30125,1.35709,1.31344,1.01101,2.05861
"hsa-miR-210-5p",2.38339,0.48911,1.68853,2.33141,1.29929,1.99164,1.89239,1.30456,1.10936,2.62488,0.83156,2.0239,1.11797,2.08069,2.07695,1.05481,1.20613,2.58199,1.53355,1.47137,1.48616,0.74661,1.17403,1.24783,1.07302,1.51275,1.04879,2.28814,1.29796,0.74546,1.4463,0.96138,1.92649,1.28868,0.88574,1.30913,0.81567,1.4844,2.10406,1.21839,1.31302,0.31625,1.68093,0.39226,1.69747,2.56864,1.41283,1.60893,1.84655,1.72973,0.62047,1.72032,0.60291,1.51434,1.62571,1.65874,0.87493,1.58437,1.79821,1.16423,0.83155,1.33644,0.80502,1.50818,1.82415,1.24821,2.70588,1.13876,2.02376,1.46581,1.70344,1.26665,1.25438,1.59631,1.91061,0.69556,1.02694,0.5091,0.9646,2.0617,1.82902,1.67072,2.00526,1.02296,1.93178,1.74733,1.20584,1.21519,1.3306,1.10398,2.41218,1.67637,2.33083,1.61836,1.61279,1.21011,1.27535,1.04493,2.46475,1.6888,0.56875,1.69622,2.17064,2.01154,1.38507,1.16247,0.6625,1.22657,1.41083,1.85891,1.55527,1.31563,1.24859,2.15619,1.77283,2.61391,1.50246,1.75951,1.14729,1.8611,1.41155,1.67232,1.13623,1.86345,0.86312,1.11411,0.97085,0.65083,0.84663,2.39614,2.1551,1.15785,1.85515,1.15085,0.69789,0.87003,0.94714,0.69868,1.65767,0.86363,1.10696,1.19731,1.86016,1.41389,2.12073,2.24412,1.19166,1.60329,1.6902,1.54645,1.24034,1.57921,1.90932,2.42458,1.47201,1.62418,1.15011,1.16252,1.66687,1.34573,0.82576,0.96446,1.09709,1.32186,1.99953,1.19966,1.4122,1.91663,2.36012,1.07691,0.82506,1.62088,0.35281,1.10412,1.16049,1.40072,1.16282,0.69526,0.05297,0.55667,0.9283,1.22347,1.63032,0.08285,1.46772,1.04593,0.85848,1.10216,1.49885,1.24164,1.86776,1.49247,1.32267,1.33779,0.20634,1.0681,2.0738,0.98099,1.41178,0.84318,0.65061,0.60414,2.25634,1.82971,1.75807,1.04696,1.82784,0.91991,-0.34541,-0.20605,1.26243,1.16157,0.49095,1.40186,0.76066,1.35478,1.97958,1.8229,1.56745,2.02759,0.58517,1.22495,1.67168,1.51206,1.25852,1.51969,1.42097,1.40505,0.86132,1.02871,0.54859,0.54644,0.88578,1.70246,0.92204
"hsa-miR-204-3p",1.29267,0.73787,4.2365,4.73096,1.61452,1.11484,0.70095,2.11288,0.94531,6.18656,0.74099,3.83703,1.17538,3.77259,0.6089,3.60693,2.02472,1.68061,0.9214,5.41214,1.07006,0.65809,0.49862,1.07341,0.16176,0.81876,1.01332,0.78048,0.21037,1.18078,1.1495,1.50549,0.48802,1.94014,1.30626,1.79767,0.54934,2.48618,1.21625,0.9216,3.98125,0.22282,1.33506,0.55568,0.81259,0.5569,2.14392,1.34632,1.50245,2.00109,0.92376,2.23193,0.29184,4.83739,1.82503,1.05138,0.40845,2.56959,0.91168,0.50161,1.13486,0.67834,1.09626,1.00629,1.15458,0.80684,2.08334,0.66689,2.14805,0.81173,0.62423,0.92702,0.76559,1.02214,0.86238,1.10701,0.64817,1.72624,1.08339,1.4173,1.32408,1.31064,1.40943,2.50399,0.88186,0.74548,0.47265,1.36105,1.94426,2.52588,1.04189,1.39524,2.22798,1.43992,0.61321,1.91604,1.19275,0.77041,0.97774,0.64839,0.54088,1.80372,1.98495,0.83743,0.97876,0.62486,1.30422,0.81033,1.74424,1.55788,0.48272,0.98271,0.94829,0.9093,1.00928,0.71038,1.09983,0.62718,0.42994,0.62838,1.13427,1.91281,0.88495,2.29919,0.2874,0.80843,0.84306,0.54256,0.00794,0.91609,1.81599,1.55959,0.99687,2.32318,1.88015,2.08106,1.37967,0.39792,0.85599,0.98529,0.81527,1.49648,0.7397,1.15016,1.07551,1.74907,0.27708,0.90818,1.21231,1.56389,0.49889,3.21851,1.32961,3.34718,0.80499,0.79954,4.4137,0.82859,1.26407,1.4133,0.74512,5.53478,0.76594,2.9266,1.3031,2.66726,0.76873,1.08288,0.61374,2.8534,1.05998,2.03014,1.47789,0.17304,0.66008,1.92678,3.50434,0.98278,-0.15041,0.09461,0.7739,-0.01844,1.22964,0.03312,1.05085,0.3858,2.8811,1.19968,1.41029,0.74681,0.93356,0.69305,0.61361,1.15336,-0.2815,0.80482,0.96947,3.8806,0.7923,2.54867,0.30866,0.75071,1.68423,2.39094,0.88116,0.57715,3.89434,1.83695,-0.35724,-0.07672,2.60263,1.4284,0.00478,1.8901,0.68222,1.80209,1.55622,0.68936,1.73167,0.46739,0.76589,1.5755,0.99021,1.51475,2.21574,1.2655,0.79971,0.49051,0.99486,1.8747,0.21977,3.06031,1.04582,0.95003,3.265
"hsa-miR-129-2-3p",2.707,0.55282,0.81568,0.74344,1.3119,0.95106,1.13339,0.68957,0.8234,1.06679,1.23713,1.14339,1.03477,1.83098,0.85394,1.11758,0.98224,1.60955,0.9185,0.96995,0.55865,0.75498,0.72058,0.71859,0.82251,0.67954,1.17908,1.27214,0.43212,1.7529,1.24351,0.88376,0.82094,1.40747,0.56832,1.02338,0.57603,1.67304,0.88826,0.75825,1.67477,0.15177,1.12207,0.0029,0.76173,1.11198,1.59919,1.3236,0.99819,1.0971,0.66881,1.39166,0.04447,1.1654,1.49968,0.86215,0.63414,0.89701,0.6094,0.85959,0.5848,0.96991,0.71811,1.2231,0.77668,1.5996,1.41411,1.01964,2.24626,0.86007,0.6712,0.92219,0.81273,1.29773,0.94406,0.42063,0.99315,0.62625,1.00243,1.47069,0.91702,1.20764,1.23943,0.70629,1.44647,1.08059,0.84188,1.44745,1.43218,0.92921,1.5239,0.82626,1.32202,1.31801,1.11538,0.90124,1.30717,0.7675,0.62885,1.29842,0.65834,0.6947,0.89498,1.49568,1.20181,0.8346,0.49792,0.98646,0.26391,1.02544,0.49215,1.83065,0.75961,1.64125,0.73055,1.24298,0.61454,0.9125,0.42052,0.64031,1.19169,2.10683,0.55291,0.64093,0.68299,0.61103,1.02073,0.41986,-0.07967,1.44134,1.30313,0.41104,1.2762,1.21769,0.46936,0.76692,0.59353,0.8714,0.93866,0.682,1.32138,1.37457,1.16925,1.5847,1.12026,1.72635,1.1408,1.05968,1.49084,0.98064,0.36837,0.78142,0.30861,1.7716,1.25216,0.77537,0.87099,0.89127,1.26117,1.49024,1.05617,0.72736,0.6278,1.28894,1.13372,0.93013,0.87489,1.1403,0.52278,0.37581,0.79723,1.66681,0.32172,0.67837,0.49066,1.25817,0.88803,0.89182,-0.19414,0.6026,0.46561,-0.15264,0.89567,0.02829,1.35771,0.84283,0.39749,0.62953,1.24566,0.63887,0.64819,0.29436,1.29578,0.86928,0.03954,1.01994,1.37849,0.62782,0.65811,0.82747,0.27869,0.57632,1.5117,1.76276,0.85844,0.50232,1.07126,0.84912,-0.39758,-0.2447,1.31076,1.36069,0.01329,1.67965,0.6689,1.07579,0.72977,0.56556,1.006,0.86298,0.97113,0.541,1.04434,0.89234,0.87502,0.90061,0.33758,1.08064,0.80986,1.24082,1.09002,0.83861,0.93412,0.92183,0.98821
"hsa-miR-129-1-3p",2.29965,0.41295,0.87057,1.0495,1.01159,0.62229,1.21801,0.72064,1.28378,2.16152,0.68767,0.87708,1.27643,1.86198,0.80406,0.56509,0.66765,2.13399,1.09933,1.20543,0.9094,0.58112,0.51879,0.86769,0.8774,0.9987,1.03169,1.51443,0.32497,0.91112,0.61723,1.08726,0.90181,1.7849,0.90953,1.13385,0.7169,0.903,0.92162,0.8212,1.17255,0.41611,1.56207,0.46483,0.70084,0.81429,1.5794,1.30862,1.53843,1.20167,0.95489,1.29973,0.3994,1.16094,2.25308,1.35671,0.63414,1.22323,1.36394,1.39039,0.72809,0.84456,0.55668,0.91722,1.02038,0.84086,2.14339,0.66407,2.5165,1.37768,0.93353,1.30271,0.73817,0.72306,0.82468,0.54299,0.50588,0.41315,1.05551,1.12779,1.17229,1.67342,1.39135,0.79453,1.26896,1.06669,0.75716,1.08217,0.67809,1.24315,0.68421,1.22388,1.51697,1.40223,0.9691,1.22436,1.67601,0.75884,1.24913,0.97558,0.57021,0.89284,1.26272,0.96615,1.12724,0.71109,0.66226,1.20337,0.94296,1.46039,0.73756,1.1235,0.9285,1.9178,0.5831,1.35764,1.14945,0.78071,0.19874,0.51528,0.86825,1.63325,0.46612,1.42484,0.23408,0.58835,0.60115,0.6429,-0.24828,1.47898,1.84268,0.38226,0.4127,1.06273,0.22786,0.42097,0.50751,0.90519,1.69103,1.11308,0.84781,1.147,0.71867,0.99658,0.42595,0.86487,0.94525,1.71837,1.37126,1.0911,1.13688,0.71175,0.82799,1.45733,1.07481,0.78797,0.73992,0.77527,2.29684,1.00816,0.42551,0.5356,0.79263,0.75261,1.08539,0.97956,0.40677,1.73631,0.86026,0.29583,0.44337,1.27535,0.16711,0.72906,0.75314,1.1467,0.86824,0.92946,-0.05049,0.71869,0.78372,0.34053,0.79932,0.47631,0.9563,0.67097,0.59821,0.64418,0.76799,0.27482,0.17462,0.3124,0.89055,0.92417,-0.01377,1.051,0.68742,0.68271,0.50843,0.56119,0.45029,0.42048,0.98955,1.81765,1.27456,0.5572,0.82566,1.04196,-0.28093,-0.2176,1.28353,1.49842,0.21942,1.30189,0.44567,0.57693,0.84024,0.72534,0.66523,0.65606,0.67753,0.65566,1.20567,0.8621,1.106,0.91461,0.55188,0.83004,0.99266,1.1814,0.26333,0.66151,0.91914,0.73738,0.83654
"hsa-miR-103a-2-5p",1.62192,0.71045,1.40507,0.47285,0.99246,1.0023,1.13339,1.22692,1.26268,1.57046,0.8195,0.80152,0.81965,2.26615,0.80818,0.67439,0.77111,2.56299,1.07629,1.20395,1.05392,0.45941,0.40433,0.46463,0.52311,0.73452,0.71696,1.02174,0.17755,0.93277,0.95931,1.19989,0.40378,1.17256,0.91008,0.88143,0.76505,0.7125,0.53433,1.03026,2.0122,-0.04795,0.72158,0.15123,0.66577,0.86245,1.27075,1.93255,0.89492,1.04722,0.49404,1.21565,-0.15004,0.7148,1.48562,1.27789,0.87042,1.21823,0.93689,1.37939,0.45316,0.88504,0.96247,1.00733,1.02451,0.69765,2.34989,0.57853,2.33423,1.55705,0.88899,1.26935,1.1175,0.75065,1.32395,0.37488,0.35818,0.29554,0.25425,1.24379,1.28209,1.63058,1.45125,0.91817,1.29288,0.85415,0.32111,0.76779,0.79621,1.02633,1.30441,0.75855,2.14021,0.7857,0.73116,0.93355,0.72573,0.63681,1.29151,0.99629,0.34047,0.88113,0.94838,1.53144,0.93191,0.85625,0.62629,0.71882,0.94351,1.74714,1.11208,2.30803,0.4814,1.88182,0.70387,1.69232,1.25291,0.60452,0.45424,0.64833,0.8899,0.70848,0.3873,1.08471,0.39578,0.50599,1.20993,0.45159,-0.20013,1.76184,0.81603,0.54792,2.15755,1.77091,0.68145,0.68157,0.53143,1.14697,0.95188,0.97387,0.78044,1.18377,0.64697,1.18097,1.84123,0.91302,0.62961,1.2539,1.42878,1.67729,0.42418,0.81521,1.63012,2.14049,1.13239,0.61419,0.78492,0.45418,2.04049,1.27369,0.9701,0.48231,1.01945,1.43521,0.68663,1.16769,1.35754,0.81854,0.88862,0.22828,0.45063,0.97181,0.51748,0.93363,0.72551,0.85267,1.16643,0.8471,-0.05305,0.55936,1.07271,0.11257,0.61342,0.08377,0.98466,0.70922,0.96897,1.10578,1.38439,0.75437,0.01484,0.23479,0.74011,0.93143,0.26496,0.55733,1.37941,1.14358,0.79811,0.43748,0.10877,0.57703,0.77104,1.18456,1.09421,0.63517,2.26685,1.63107,-0.4638,-0.31395,1.28408,0.74533,0.34453,0.97508,0.59237,1.03347,0.9493,0.87205,0.92113,0.87344,0.77717,0.83612,0.56481,0.80699,0.71733,0.69082,0.29435,0.92295,0.69218,0.71033,0.25162,0.70069,1.23675,0.97672,0.82675
