"","GSM2779536","GSM2779537","GSM2779538","GSM2779539","GSM2779540","GSM2779541","GSM2779542","GSM2779543","GSM2779544","GSM2779545","GSM2779546","GSM2779547","GSM2779548","GSM2779549","GSM2779550","GSM2779551","GSM2779552","GSM2779553","GSM2779554","GSM2779555","GSM2779556","GSM2779557","GSM2779558","GSM2779559","GSM2779560","GSM2779561","GSM2779562","GSM2779563","GSM2779564","GSM2779565","GSM2779566","GSM2779567"
"hsa-let-7a-5p",8.4201,8.2915,9.6684,-3.3219,6.9337,10.1246,10.1327,8.3266,7.5362,7.3787,8.4826,7.371,9.5066,6.629,8.011,4.4645,4.9995,5.461,4.068,3.7238,9.1267,3.8338,10.23,8.0802,7.8866,7.9248,8.6284,7.6216,9.2247,8.1515,6.5953,8.0267
"hsa-let-7b-3p",0.8921,2.6109,-3.3219,3.4204,2.8195,-3.3219,2.4348,1.7447,-3.3219,1.8462,0.6295,-3.3219,-3.3219,-3.3219,0.6219,-3.3219,-3.3219,2.2926,-3.3219,1.5367,0.6117,-3.3219,0.2809,0.697,0.4078,2.4954,1.3691,0.4696,-3.3219,2.0887,2.549,-3.3219
"hsa-let-7b-5p",8.4386,8.2354,9.9634,3.1311,5.0707,9.8703,9.9278,5.0455,7.6784,6.8196,8.0925,5.9063,6.5748,4.367,6.5774,5.3443,7.2252,7.3988,6.1786,3.2085,7.0922,6.71,10.0132,4.2649,7.4777,7.4495,7.8158,5.7624,6.5808,6.2311,6.0112,6.0965
"hsa-let-7c",7.2205,6.9233,8.7967,-3.3219,4.2245,8.5747,8.5411,4.3956,5.8419,5.0035,6.8083,3.6554,5.05,4.2324,7.203,4.3401,5.2615,5.4085,4.0806,-3.3219,6.0665,4.5145,8.2837,3.5809,6.1273,5.9267,6.6264,4.2335,5.2359,5.8847,5.3861,6.4336
"hsa-let-7d-3p",-3.3219,2.0914,-3.3219,-3.3219,-3.3219,-3.3219,1.8126,0.6274,-3.3219,-3.3219,-3.3219,-3.3219,3.1064,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-let-7d-5p",5.4516,5.4087,7.3038,-3.3219,3.9382,7.312,7.3932,6.8491,5.1386,5.8291,6.5597,5.6984,7.7495,2.5437,6.4111,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,5.8471,-3.3219,7.1526,6.7488,5.6788,6.1818,6.5398,5.8498,7.3338,4.7148,4.6028,4.613
"hsa-let-7e-5p",5.5585,4.968,6.6893,-3.3219,1.8153,6.8801,6.6675,8.5743,4.6818,4.0963,5.1939,5.4086,8.6062,3.9335,5.3245,-3.3219,1.6939,1.8975,-3.3219,4.1572,4.2936,-3.3219,7.3966,8.04,4.919,4.306,5.4473,5.4661,8.3287,5.4732,4.293,5.7754
"hsa-let-7f-1-3p",-3.3219,-3.3219,0.7593,3.3764,3.05,-3.3219,2.3047,2.3149,-3.3219,1.7053,-3.3219,-3.3219,-3.3219,0.4361,-3.3219,-3.3219,-3.3219,1.9226,1.7704,1.4454,1.61,-3.3219,1.4579,1.6035,1.695,2.4535,2.0559,-3.3219,-3.3219,2.5509,2.4677,2.0265
"hsa-let-7f-5p",7.7576,7.7539,9.3077,-3.3219,6.3119,9.7075,9.6922,8.4176,7.0051,7.1098,8.2464,7.5006,9.476,5.5317,7.8162,2.6886,4.0214,4.3938,2.8017,2.2935,8.2256,2.4396,9.5618,8.2845,7.7033,7.907,8.5733,8.0247,9.2645,7.1868,6.3072,7.1909
"hsa-let-7g-5p",5.1985,5.8411,8.3319,-3.3219,4.6224,6.9249,7.1678,6.212,6.1348,5.3054,6.9471,6.8713,6.7141,3.2257,6.829,1.7734,-3.3219,-3.3219,-3.3219,-3.3219,6.1215,-3.3219,6.9342,6.022,6.7063,5.8511,6.5035,7.0358,6.6118,4.6643,4.6895,5.197
"hsa-let-7i-3p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.5917,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,0.443,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-let-7i-5p",6.1585,7.4836,8.838,-3.3219,6.1097,7.7923,9.2025,7.3439,6.6606,6.0321,8.1207,7.4811,7.283,3.1356,6.7662,3.1209,3.9532,5.3495,3.4388,-3.3219,7.749,2.1396,9.1774,7.0531,7.3696,6.4139,7.8359,7.3078,7.1724,4.1087,4.9938,4.0353
"hsa-miR-100-3p",-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,2.0536,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-100-5p",7.2257,7.8908,7.0975,-3.3219,7.2267,5.5381,8.0413,2.4634,-3.3219,-3.3219,5.9238,-3.3219,9.1597,4.4454,5.4374,-3.3219,4.9169,5.8846,3.0931,2.8463,8.9955,-3.3219,6.8996,-3.3219,-3.3219,-3.3219,5.4381,-3.3219,7.8678,5.5112,2.4052,3.5055
"hsa-miR-101-3p",-3.3219,-3.3219,3.8932,-3.3219,-3.3219,3.4569,4.041,3.3933,-3.3219,-3.3219,-3.3219,2.1804,2.2728,-3.3219,4.4626,-3.3219,-3.3219,-3.3219,-3.3219,1.4587,2.9512,-3.3219,1.806,-3.3219,-3.3219,-3.3219,1.6363,3.7022,3.4246,3.5515,3.6626,2.8884
"hsa-miR-103a-3p",5.4161,5.1347,7.0572,3.9035,4.7118,7.0672,8.543,8.6592,6.2654,5.9907,5.8137,6.5584,7.6739,6.1656,7.7558,3.1608,3.1936,3.7129,1.9044,7.1401,7.1169,-3.3219,8.5472,8.0704,7.0279,6.3039,6.303,7.2082,7.6541,7.8715,6.4421,7.2511
"hsa-miR-106b-3p",-3.3219,-3.3219,1.7786,-3.3219,-3.3219,-3.3219,-3.3219,2.2549,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.5525,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-106b-5p",4.309,4.7042,8.0292,3.5501,4.1632,7.0641,6.4604,8.5162,5.6092,5.9607,6.5735,5.3858,7.3179,5.9352,7.6241,1.7217,3.5743,3.8658,3.4933,6.5782,5.8148,3.6068,5.3932,7.307,6.2099,6.3143,6.5277,5.1814,6.5757,7.0543,6.1094,6.1688
"hsa-miR-107",5.0125,5.1272,7.0064,3.5082,4.5013,6.8021,7.8881,7.8972,5.7316,5.5034,6.1807,5.9678,6.9901,5.5483,7.1518,2.4104,-3.3219,1.9513,-3.3219,6.2314,6.2653,-3.3219,7.436,6.9748,6.312,5.6874,6.1334,6.2054,6.8037,6.8611,5.4651,6.4005
"hsa-miR-10a-3p",-3.3219,-3.3219,0.6,2.5723,-3.3219,-3.3219,2.1333,-3.3219,-3.3219,-3.3219,-3.3219,1.8584,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.7952,-3.3219,-3.3219,-3.3219,-3.3219,3.0458,-3.3219,-3.3219,-3.3219,-3.3219
"hsa-miR-10a-5p",5.4096,4.3079,8.1236,1.8927,2.612,2.7332,8.8378,6.2461,1.9693,5.0488,5.5888,9.1354,3.0368,-3.3219,-3.3219,-3.3219,-3.3219,-3.3219,1.7842,3.9283,5.0235,-3.3219,7.6207,4.865,-3.3219,4.9474,4.8703,8.1966,2.1032,1.8317,-3.3219,2.8471
