"","GSM3597761","GSM3597762","GSM3597763","GSM3597764","GSM3597765","GSM3597766","GSM3597767","GSM3597768","GSM3597769","GSM3597770","GSM3597771","GSM3597772","GSM3597773","GSM3597774","GSM3597775","GSM3597776","GSM3597777","GSM3597778","GSM3597779","GSM3597780","GSM3597781","GSM3597782"
"hsa-let-7a-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-5.8572335,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7a-5p",-5.868042,-6.4691525,0,0,0,-0.22432661,1.5325937,0,0,0,0,0,0,0,0,3.091783,0,0,0,0,0,0
"hsa-let-7b-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-6.321196,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7b-5p",-5.868042,-6.4691525,0,0,0,1.1338601,3.0997114,0,0,0,0,0,0,0,0,2.9737024,0,4.5322485,0,0,0,0
"hsa-let-7c",-5.868042,-6.4691525,0,0,0,-2.2357774,1.2987461,0,0,0,0,0,0,0,0,1.60952,0,0,0,0,0,0
"hsa-let-7d-3p",-5.868042,-6.4691525,0,0,0,-3.5101142,-0.37370014,0,0,0,0,0,0,0,0,-0.8900337,0,0,0,0,0,0
"hsa-let-7d-5p",-5.868042,-6.4691525,0,0,0,-2.8015485,0.3766818,0,0,0,0,0,0,0,0,-0.015398979,0,0,0,0,0,0
"hsa-let-7e-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7e-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-3.6668162,0,0,0,0,0,0,0,0,0.41714287,0,0,0,0,0,0
"hsa-let-7f-1-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7f-2-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7f-5p",-5.868042,-6.4691525,0,0,0,-1.2921348,0.91116524,0,0,0,0,0,0,0,0,2.5973601,0,0,0,0,0,0
"hsa-let-7g-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7g-5p",-5.868042,-6.4691525,0,0,0,-2.3965805,0.36333752,0,0,0,0,0,0,0,0,0.17063522,0,0,0,0,0,0
"hsa-let-7i-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-let-7i-5p",-5.868042,-6.4691525,0,0,0,-1.6084735,3.0654764,0,0,0,0,0,0,0,0,0.058746815,0,0,0,0,0,0
"hsa-miR-1",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-100-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-100-5p",-5.868042,-6.4691525,0,0,0,-1.8074422,-0.3134699,0,0,0,0,0,0,0,0,2.6889625,0,4.5232296,0,0,0,0
"hsa-miR-101-3p",-5.868042,-6.4691525,0,0,0,-8.416856,2.0753632,0,0,0,0,0,0,0,0,-0.9401376,0,0,0,0,0,0
"hsa-miR-101-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-103a-2-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-103a-3p",-5.868042,-6.4691525,0,0,0,-2.2174916,-0.062284946,0,0,0,0,0,0,0,0,0.07065678,0,0,0,0,0,0
"hsa-miR-103b",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-105-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-105-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-5.8003726,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-106a-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-4.1615877,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-106b-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-5.9824123,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-106b-5p",-5.868042,-6.4691525,0,0,0,-1.6481159,1.2216864,0,0,0,0,0,0,0,0,-0.8403716,0,0,0,0,0,0
"hsa-miR-107",-5.868042,-6.4691525,0,0,0,-0.3555212,5.1693945,0,0,0,0,0,0,0,0,1.6880941,0,0,0,0,0,0
"hsa-miR-10a-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-10a-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-0.4957695,0,0,0,0,0,0,0,0,0.5575619,0,0,0,0,0,0
"hsa-miR-10b-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-10b-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-0.4202366,0,0,0,0,0,0,0,0,-0.9674673,0,0,0,0,0,0
"hsa-miR-1178-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1178-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1179",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1180",-5.868042,-6.4691525,0,0,0,0.3093524,-2.4055967,0,0,0,0,0,0,0,0,0.43580246,0,0,0,0,0,0
"hsa-miR-1181",0.98914146,-1.2885988,0,0,0,-0.42822218,-0.368567,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1182",0.55043817,0.64411235,0,0,0,-0.72372866,-2.856093,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1183",-5.868042,-0.26711106,0,0,0,0.6015949,1.0618076,0,0,0,0,0,0,0,0,0.12211323,0,0,0,0,0,0
"hsa-miR-1184",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1185-1-3p",5.24092,3.9165125,0,6.85371,7.79796,2.2449808,0.25765085,0,0,0,0,0,0,0,0,0.26049185,6.573888,0,5.574834,10.005714,0,0
"hsa-miR-1185-2-3p",4.483037,3.0831895,0,5.927804,6.9065576,1.4443989,-1.1479316,0,0,0,0,0,0,0,0,-0.64676905,0,0,0,8.909689,0,0
"hsa-miR-1185-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1193",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1197",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1200",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1202",8.951419,8.725577,7.146255,12.633358,11.13356,6.807145,4.1692905,0,0,0,0,8.080652,11.994682,0,5.6626725,4.3193,12.239473,8.92207,10.566129,12.049814,0,0
"hsa-miR-1203",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1204",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1205",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1206",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1207-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1207-5p",9.569059,9.01107,7.4025335,12.397594,11.253316,6.7928524,4.6623898,0,0,0,4.000243,7.95734,11.849886,0,0,4.7820916,12.123834,10.115847,10.573984,12.722839,4.095511,0
"hsa-miR-1208",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-122-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-122-5p",-5.868042,-6.4691525,0,0,0,-2.645517,-0.3164749,0,0,0,0,0,0,0,0,-0.89378357,0,0,0,0,0,0
"hsa-miR-1224-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1224-5p",2.2896585,1.847898,0,0,0,0.47538328,-0.22858,0,0,0,0,0,0,0,0,-0.24252796,6.686803,5.5724893,4.335576,6.0489616,0,0
"hsa-miR-1225-3p",-5.868042,-6.4691525,0,0,0,-2.7010531,-3.5992916,0,0,0,5.7523174,5.4618587,0,0,0,-8.259018,0,0,0,0,0,5.683531
"hsa-miR-1225-5p",10.262984,9.934642,8.448599,12.0949545,12.153773,7.2805767,4.3937216,0,0,0,5.1840935,7.462272,12.228004,0,5.999921,4.3016887,12.837834,9.436743,11.765676,14.052048,4.2215834,0
"hsa-miR-1226-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1226-5p",1.9866667,1.3508363,0,0,0,0.40925074,-1.8127279,0,0,0,0,0,0,0,0,-8.259018,0,0,0,4.441915,0,0
"hsa-miR-1227-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1227-5p",3.3143249,3.5582767,0,8.850075,5.1373644,1.7912555,1.0055351,0,0,0,0,0,8.458365,0,0,1.2766848,8.314764,8.060528,6.53399,4.5591493,0,0
"hsa-miR-1228-3p",2.0301785,1.1989322,0,0,0,-0.7241864,-3.112121,0,0,0,6.704047,6.379739,0,0,0,-8.259018,0,4.490461,0,6.01446,6.119298,6.571026
"hsa-miR-1228-5p",-5.868042,-6.4691525,0,0,0,0.5820222,-2.4281363,0,0,0,0,0,0,0,0,0.71800375,0,0,0,0,0,0
"hsa-miR-1229-3p",-5.868042,-6.4691525,0,0,0,-1.9615023,-1.7942162,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1229-5p",7.5661917,6.8964596,0,10.127094,10.099779,5.473892,3.6737385,0,0,0,0,0,9.229879,0,0,3.9064507,10.372572,8.339529,8.446835,12.06856,0,0
"hsa-miR-1231",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1233-1-5p",-1.155815,-6.4691525,0,0,0,-8.416856,-0.7551303,0,0,0,0,0,0,0,0,-1.2856989,0,0,0,0,0,0
"hsa-miR-1234-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-2.979392,0,0,0,6.7127123,6.343955,0,0,0,-2.574082,0,4.498576,0,4.3802586,6.0465345,6.6455116
"hsa-miR-1234-5p",11.354499,10.7201605,9.304747,13.012541,13.369811,8.57745,6.12169,0,5.5273175,0,5.255818,7.831206,13.184541,0,6.6101284,5.699392,13.954016,10.7036915,12.558155,15.125259,6.0345154,0
"hsa-miR-1236-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1236-5p",0.4907763,0.6625695,0,0,0,0.03354311,-0.78186274,0,0,0,0,0,0,0,0,-1.5268688,0,0,0,4.56539,0,0
"hsa-miR-1237-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,5.519545,5.1911125,0,0,0,-8.259018,0,0,0,0,4.057112,5.425432
"hsa-miR-1237-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1238-3p",0.62367797,0.5217626,0,0,0,-8.416856,-10.845523,0,0,0,6.36918,6.0545487,0,0,0,-8.259018,0,0,0,0,5.778416,6.3135977
"hsa-miR-1238-5p",-5.868042,-6.4691525,0,0,0,0.28611326,-2.32333,0,0,0,0,0,0,0,0,0.22403955,0,0,0,0,0,0
"hsa-miR-124-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-124-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1243",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1244",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1245a",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1245b-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1245b-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1246",-5.868042,-6.4691525,0,0,0,4.9923344,6.2055597,0,0,0,0,0,0,0,0,4.1202826,0,5.2060647,0,0,0,0
"hsa-miR-1247-3p",-5.868042,-6.4691525,0,0,0,-0.27531624,-3.760184,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1247-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1248",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1249",2.748867,1.8740063,0,0,0,0.008855343,-2.5737891,0,0,0,0,0,0,0,0,-8.259018,0,0,0,6.102089,0,0
"hsa-miR-1250",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1251",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1252",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1253",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1254",-5.868042,0.41364193,0,0,0,-8.416856,0.05937624,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1255a",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1255b-2-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1255b-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1256",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1257",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1258",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-125a-3p",2.3501716,1.0284629,0,0,0,-0.29408455,-0.08052826,0,0,0,0,0,5.8752613,0,0,-0.27155972,0,0,0,0,0,0
"hsa-miR-125a-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-2.7528095,0,0,0,0,0,0,0,0,0.6200299,0,0,0,0,0,0
"hsa-miR-125b-1-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-125b-2-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-5.122131,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-125b-5p",-5.868042,-6.4691525,0,0,0,-1.3745179,-0.88217306,0,0,0,0,0,0,0,0,2.5136137,0,0,0,0,0,0
"hsa-miR-126-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-1.5434804,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-126-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-2.6023912,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1260a",-5.868042,-6.4691525,0,0,0,3.6559696,2.583065,0,0,0,0,0,0,0,0,7.214998,0,12.213376,0,0,0,0
"hsa-miR-1260b",-5.868042,-6.4691525,0,0,0,2.4031053,1.2130947,0,0,0,0,0,0,0,0,5.5886045,0,10.361777,0,0,0,0
"hsa-miR-1261",-5.868042,-6.4691525,0,0,0,-8.416856,-2.6096811,0,0,0,0,0,0,0,0,-0.31208897,0,0,0,0,0,0
"hsa-miR-1262",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1263",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1264",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1265",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1266",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1267",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1268a",6.1811867,5.6653767,0,8.143557,8.379617,3.9234695,2.7305384,0,0,0,0,0,8.729885,0,0,2.8839374,9.212496,7.3786674,8.146452,9.627874,4.190433,0
"hsa-miR-1268b",6.287257,5.3429327,4.385376,7.9043994,7.322601,2.7170863,1.0058126,0,0,0,0,0,8.26362,0,0,1.8555336,8.503531,7.378172,7.5579967,8.439428,0,0
"hsa-miR-1269a",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1269b",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-127-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-2.11732,0,0,0,0,0,0,0,0,0.22020435,0,0,0,0,0,0
"hsa-miR-127-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1270",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1271-3p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1271-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1272",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273a",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273c",-5.868042,-6.4691525,0,0,0,-8.416856,-2.803125,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273d",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273e",-5.868042,-6.4691525,0,0,0,-8.416856,-3.8063781,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1273f",-1.2071477,-6.4691525,0,0,0,0.43173265,-1.8094454,0,0,0,0,0,0,0,0,0.5396185,0,0,0,0,0,0
"hsa-miR-1273g-3p",-0.46468234,-0.5640881,0,4.4187026,5.5107718,4.5984125,3.0385342,0,0,0,0,0,4.6219697,0,0,4.572847,7.0192013,8.832022,0,0,0,0
"hsa-miR-1273g-5p",-5.868042,-6.4691525,0,0,0,-8.416856,-10.845523,0,0,0,0,0,0,0,0,-8.259018,0,0,0,0,0,0
"hsa-miR-1275",5.4005303,4.7884903,0,8.935854,8.796692,4.5149117,3.1514883,0,0,0,0,0,7.490936,0,0,2.9823122,8.306326,7.000428,6.0853186,10.604418,0,0
