"","GSM1086789","GSM1086790","GSM1086791","GSM1086792","GSM1086793","GSM1086794","GSM1086795","GSM1086796","GSM1086797","GSM1086798","GSM1086799","GSM1086800","GSM1086801","GSM1086802","GSM1086803","GSM1086804","GSM1086805","GSM1086806","GSM1086807","GSM1086808"
"hsa-miR-923_v12.0",15.93284104,15.39542368,15.93284104,15.99997799,15.98577635,15.9243834,15.99997799,15.99997799,15.99997799,15.99648397,15.89906066,15.32839794,15.99997799,15.99837226,15.99997799,15.97503907,15.99997799,15.99997799,15.99997799,15.99997799
"hsa-miR-21",14.70358189,15.78831688,15.93284104,15.39542368,14.24682223,14.36230687,15.2874689,15.37011523,15.60816529,15.39542368,15.89906066,15.48477885,14.67232313,15.99837226,15.50343135,15.10824061,12.0812504,14.75804099,15.21119818,13.43574187
"hsa-miR-1225-5p",14.12134734,14.17319694,14.4016162,15.79742595,15.10824061,15.17664067,13.86737528,14.70358189,14.31416898,13.42128248,13.58062956,12.55075881,15.17664067,14.12134734,14.26553081,13.58694531,15.48477885,15.38111706,15.80241918,15.52682167
"hsa-miR-1202",14.77468412,13.93927617,15.93284104,15.99997799,14.69051095,13.61323695,12.9664694,13.9746969,14.23290804,14.26553081,12.73795499,14.17319694,14.27625165,14.96831129,13.64759896,13.42128248,15.1385278,15.54862025,14.00381654,14.83536209
"hsa-miR-1207-5p",14.04511119,14.06726208,14.65867174,15.41836984,14.79418738,15.38111706,13.19779261,14.07597629,13.37064654,13.56155049,13.80138503,13.31295384,15.18562268,14.17319694,13.7455903,13.17309932,14.80987613,14.79418738,15.12401829,14.08494123
"hsa-miR-451",15.38111706,15.1385278,15.93284104,14.38421376,15.98577635,14.5288051,12.56796796,15.07627281,13.56155049,15.37011523,15.89906066,15.10824061,12.16901677,15.99837226,12.24535958,13.59308761,8.14172399,14.61018571,13.99819374,14.80987613
"hsa-miR-720",15.10824061,15.16347279,12.97965741,12.06344564,12.63920503,13.56155049,15.29897721,15.25339694,15.83840007,14.49937566,13.65945523,13.66986498,13.83096078,13.54967037,14.36230687,15.97503907,14.50959874,14.12134734,11.95430538,15.60816529
"hsa-miR-638",14.5288051,13.42128248,14.88981051,14.5288051,14.23290804,15.72970438,12.97405602,13.76208612,14.16839399,12.17564311,13.00926878,12.62462413,15.16347279,14.20124713,12.88555339,12.75166958,14.53966016,14.98019984,14.7265641,13.76208612
"hsa-let-7b",13.93927617,14.43688718,13.68736475,12.63920503,12.47152281,12.93179015,14.50959874,14.20124713,14.56754616,14.36230687,14.47926871,14.82171171,13.6949781,13.53981917,13.42128248,14.24682223,12.9664694,13.12069958,13.12069958,12.35962604
"hsa-miR-1308_v15.0",12.3582391,12.78220992,12.01595509,15.99997799,15.32839794,14.69051095,12.87704443,13.41158381,12.42779733,14.08494123,14.15727587,13.94768716,13.98403566,14.49937566,14.77468412,11.54865336,13.65945523,12.88555339,12.69722823,12.95494146
"hsa-miR-1246",12.42779733,12.15586179,13.0898725,14.22325133,13.43574187,13.17309932,12.57312644,12.79760074,13.65945523,13.68736475,13.81385633,12.41303285,14.02008145,13.25575888,15.16347279,13.83096078,13.50365185,12.89129007,15.41836984,15.03859325
