"","GSM5269066","GSM5269067","GSM5269068","GSM5269069","GSM5269070","GSM5269071","GSM5269072","GSM5269073","GSM5269074","GSM5269075","GSM5269076","GSM5269077","GSM5269078","GSM5269079","GSM5269080","GSM5269081","GSM5269082","GSM5269083","GSM5269084","GSM5269085","GSM5269086"
"hsa-let-7a-5p",6.48800077083407,4.39231742277876,4.39231742277876,4.39231742277876,5.53884852074424,9.8325419536415,8.9182967788555,6.94497554292549,6.55166981487147,6.51064550409004,5.26903314645524,4.87282875953489,5.70348834965682,6.24336442569366,4.39231742277876,8.2687057342641,4.39231742277876,5.61794491742059,5.57742882803575,5.5197934862411,7.05430584523653
"hsa-let-7b-5p",7.54365053798355,4.39231742277876,4.39231742277876,4.39231742277876,7.00180224263399,7.98105347111553,7.67842408259294,7.31206610424382,7.19327893552139,7.16007309819972,7.36124198846498,7.19327893552139,6.84423498775875,7.15886210620845,4.39231742277876,7.76818432477693,6.92540608314137,7.32129677769627,6.99424027986904,7.09824268000358,7.64875303298957
"hsa-let-7e-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876
"hsa-let-7c-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,6.09169983413681,6.50589092972996,5.45680614923047,5.59604063267114,5.12350066435096,5.64385618977472,6.02081330425245,5.48317085322987,5.33735429849697,5.23342794374847,4.39231742277876,4.39231742277876,4.39231742277876,5.78450398292957,5.75915583380027,6.14771372235215,6.31524015250724
"hsa-let-7d-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,7.69849632031307,6.47540919340106,4.605257262939,4.46008724011683,4.69209237542757,4.39231742277876,4.39231742277876,5.1122831085982,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.50652577904312
"hsa-let-7i-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876
"hsa-miR-1-3p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876
"hsa-let-7f-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,6.50589092972996,6.80567939272007,5.19770815795585,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.90544717873885
"hsa-miR-100-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876
"hsa-let-7g-5p",4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,7.81826260830447,6.76831667604906,5.61647532878288,5.09887428674445,5.21761848535105,4.44493204894218,4.39231742277876,4.39231742277876,4.39231742277876,4.39231742277876,6.99525837340469,4.39231742277876,4.46270675067016,4.39231742277876,4.39231742277876,5.74846123300404
