"","GSM3359735","GSM3359736","GSM3359737","GSM3359738","GSM3359739","GSM3359740","GSM3359741","GSM3359742","GSM3359743","GSM3359744","GSM3359745","GSM3359746","GSM3359747","GSM3359748","GSM3359749","GSM3359750","GSM3359751","GSM3359752","GSM3359753","GSM3359754","GSM3359755","GSM3359756","GSM3359757","GSM3359758","GSM3359759","GSM3359760","GSM3359761","GSM3359762","GSM3359763","GSM3359764","GSM3359765","GSM3359766","GSM3359767","GSM3359768","GSM3359769","GSM3359770","GSM3359771","GSM3359772","GSM3359773","GSM3359774","GSM3359775","GSM3359776","GSM3359777","GSM3359778","GSM3359779","GSM3359780","GSM3359781","GSM3359782","GSM3359783","GSM3359784","GSM3359785","GSM3359786","GSM3359787","GSM3359788","GSM3359789","GSM3359790","GSM3359791","GSM3359792","GSM3359793","GSM3359794","GSM3359795","GSM3359796","GSM3359797","GSM3359798","GSM3359799","GSM3359800","GSM3359801","GSM3359802","GSM3359803","GSM3359804","GSM3359805","GSM3359806","GSM3359807","GSM3359808","GSM3359809","GSM3359810","GSM3359811","GSM3359812","GSM3359813","GSM3359814","GSM3359815","GSM3359816","GSM3359817","GSM3359818","GSM3359819","GSM3359820","GSM3359821","GSM3359822","GSM3359823","GSM3359824","GSM3359825","GSM3359826","GSM3359827","GSM3359828","GSM3359829","GSM3359830","GSM3359831","GSM3359832","GSM3359833","GSM3359834","GSM3359835","GSM3359836","GSM3359837","GSM3359838","GSM3359839","GSM3359840","GSM3359841","GSM3359842","GSM3359843","GSM3359844","GSM3359845","GSM3359846","GSM3359847","GSM3359848","GSM3359849","GSM3359850","GSM3359851","GSM3359852","GSM3359853","GSM3359854","GSM3359855","GSM3359856","GSM3359857","GSM3359858","GSM3359859","GSM3359860","GSM3359861","GSM3359862","GSM3359863","GSM3359864","GSM3359865","GSM3359866","GSM3359867","GSM3359868","GSM3359869","GSM3359870","GSM3359871","GSM3359872","GSM3359873"
"hsa-let-7a-5p",3.011015943,1,1,1,1,1,1,1,1,3.455032787,1,5.341338624,1,1,1,1,1,1,1,1,1,1.846506354,1,1,3.022177454,4.11626635,2.733494445,2.108004547,2.030797655,4.458150833,4.909862706,1,6.195899489,1,5.357984074,5.452676151,1,4.967295806,4.47690451,6.804243857,5.286372198,4.122627762,6.289564313,4.07863898,4.199903236,5.424210982,3.97753409,5.941124869,4.516243776,4.848104437,4.583962447,5.136002238,4.236410468,4.919988339,3.323199751,3.418651294,1,4.539486188,4.870267731,6.148182756,5.161371854,5.645154598,7.602197811,5.670310334,3.342374729,4.88778144,4.971860284,4.232692207,3.839230886,4.198682074,4.487754589,5.127988373,3.851290837,6.665107636,5.48605186,6.393482761,7.836877085,4.557744368,3.968253449,5.555827728,6.67721701,5.806356859,5.583957995,6.600396119,4.943369266,5.206019222,3.747029671,5.297578315,4.17484887,5.741096975,4.285309205,4.534967859,4.183924907,1,5.027121775,6.52103319,5.828428934,5.1351693,5.194698627,5.297526441,4.983759509,4.251456304,4.680736503,3.85449116,4.992904032,5.980561914,4.470791261,5.880852067,6.502471942,5.294677555,4.453646676,3.905696769,3.789887039,4.318696472,4.737203962,4.225942066,6.576369685,5.608334065,4.745573312,6.043667026,4.445315414,5.728156488,4.696384193,7.205158221,5.152226633,3.621958097,3.828340028,5.343558847,4.364334053,5.904872209,7.008812998,6.032903964,3.737543837,6.140791118,4.850826763,4.469000177,5.6983692,4.912290991,5.485627003
"hsa-let-7b-5p",3.894897307,3.999758253,1,2.087608122,4.555361254,3.852487546,1,3.275313985,3.098673803,3.248492433,4.588533806,5.471837594,1,4.117904326,2.343340542,3.27576121,2.387624107,4.623890345,1,2.242134539,1,2.877157533,1.700783556,3.143798882,4.208314669,4.988469107,5.948438765,3.203572852,4.334236249,5.57798479,5.186814766,1,6.501847357,3.424265584,5.181764529,5.905048666,1.042050796,4.476943426,4.46752217,7.016119579,5.137156866,4.099024077,5.932588109,3.817483415,4.329969729,5.21360174,3.623749597,5.693464246,3.469120047,4.552300192,3.994434573,4.689832216,3.47260158,4.110749592,2.713688411,3.949614396,3.238682806,4.457511656,4.49311613,6.175509392,4.816908648,5.788808696,7.520299783,5.939693383,4.014072559,4.887607947,5.002009349,3.450200883,1.889038072,3.808958788,4.911453262,5.232721872,3.656430622,6.744561505,5.188388158,6.393745868,7.635504194,4.274838947,4.89856042,5.379173562,6.779433532,5.808970926,5.39614783,6.570992834,5.369477791,5.050339229,3.781815044,5.438078001,4.3611702,5.597235678,4.046983036,4.298999962,4.482108884,1,4.741548557,6.469882168,6.013956793,5.311367741,5.198136336,5.593483064,5.012423205,4.168459227,4.930783448,3.830184459,4.542549893,6.086300367,4.65094877,5.963071269,6.440992549,5.003191968,4.810894231,1,2.837632407,3.856928771,4.869786638,4.534290441,6.458473469,6.111303368,4.967972643,7.035085091,4.773508507,5.672542163,4.579008894,7.321438898,5.010202384,4.291198271,4.060526473,5.549305381,4.253287445,5.935406314,7.00612713,6.13641934,3.729297979,6.103466282,5.311428633,4.651465874,5.538720615,5.112622263,5.187051585
"hsa-let-7c-5p",2.590442057,1,1,1,1,2.67233874,1,1,1,3.363780787,1,4.448534869,1,1,1.329417178,1,1,1,1,1,1,1,1,2.358191622,3.459935949,4.019584057,3.445039993,3.325110654,1,4.108851737,4.950120763,1,5.694010665,1,5.273499062,5.485033355,1,5.178033283,3.987096743,7.078416415,5.327125588,4.135795474,5.839791721,3.79938642,3.748128108,5.141982696,3.126218613,6.294758126,3.997452131,4.26073423,3.512701638,4.423964373,3.183302242,4.538320998,4.253267537,1.626813838,1,4.633773388,4.16281882,5.994985052,5.069500988,5.614837816,7.203068076,5.560481573,3.861584654,4.626301948,5.072988381,2.841932641,3.102829235,1,4.051196598,5.14344823,3.35054015,6.505761238,5.319189293,6.314694885,7.602678524,4.425380369,3.755973069,5.30891182,6.404459976,5.723550325,5.193918712,6.353828899,4.807734352,5.508319754,3.513719807,5.085266796,3.789839127,5.543477339,3.696192263,4.564950926,3.905555597,1,4.542701409,6.232174341,5.962312325,5.061228597,5.140156209,4.887175765,4.840518591,3.3439908,4.303172558,3.501315486,4.277593072,5.71344849,4.150518464,5.434994175,5.878223621,5.215996937,4.44845114,1,2.93775768,4.344952479,4.523327656,4.022624738,6.195749917,5.864654109,4.182290151,6.159208604,4.100561706,5.346716284,4.019450414,7.280991226,5.047703543,3.506711124,2.432348003,5.066197769,4.347209286,5.219959688,6.769792342,5.905701237,3.988933445,5.9781111,5.273774151,5.023603703,5.269696106,4.774178839,4.970228942
"hsa-let-7d-5p",2.291789825,1,1,1,1,2.606203023,1,1,3.119159017,3.318322578,1,3.554361911,2.086181612,1,1.757222706,1,1,1,1,1,1,1,2.35070449,1,2.931788561,4.184144906,1,2.98782366,1,4.092592308,4.771521374,1,5.980244659,1,5.035069194,5.212141259,1,5.342543012,3.66362554,6.811454789,5.055285169,4.207146108,5.605782752,3.551932012,4.448951814,4.99838202,3.119115929,6.375386424,3.799076026,3.987662094,4.155570854,4.321736817,3.653008142,4.587389296,4.22507239,3.135570658,1,4.655807322,4.385858306,5.725810127,4.973444184,5.47819884,7.297000101,5.556808837,4.215530774,4.660796038,4.674207911,2.363847494,2.417640792,3.96546678,4.228786079,5.210364465,3.187177903,6.195536146,5.41855106,6.214792354,7.504552208,4.402484755,3.636018068,4.947148794,6.288049575,5.480581431,5.304858739,6.277201829,4.592659449,5.179346157,3.477554594,5.023914315,3.765097558,5.748903809,3.609220805,4.032676484,3.869833727,1,4.778828292,6.110742348,5.909559436,4.80447856,4.922394009,5.318668577,4.703820169,3.702732262,4.339263675,4.202577838,4.649555039,5.738587543,4.004647063,5.472243955,5.858986004,4.587053884,4.614542698,1,2.912913217,4.540980999,4.217450594,3.741082522,6.454434186,5.659473146,4.364922885,5.940908901,4.410462907,5.50457844,4.145457991,7.179832232,4.67578659,3.344250759,3.703100146,5.111428889,3.880930508,5.430981069,6.76620179,5.829069013,4.046189419,5.876103491,5.223720706,4.932472408,5.37148744,4.68186984,4.998536704
"hsa-let-7e-5p",1,3.122325033,1,1,1,1,1,1,1,1,1,2.612098107,2.474654692,1,1,1,1,3.178256719,1,1,1,1,1,1,1,1,3.916653181,2.157576104,1,1,3.029432566,1,2.937529332,1,4.038729031,2.099196945,2.98140821,1,2.052448008,5.078265279,2.924606736,1.847703996,3.455467356,1,3.028542101,2.575105877,1,1,1,1.94739037,1,1,1,2.250550529,3.280925936,1,1,1,1,2.786787454,3.596645521,3.229122843,4.320672512,3.578059448,1.919732249,3.025687487,3.285785382,1,1,1,2.69667652,1,2.168926739,3.936195492,3.620424108,3.791012554,5.552599216,1.931353008,2.881380946,3.347568198,3.859252394,3.981466026,2.460742739,4.443046747,1.400631374,3.196004248,1,2.74145149,1,3.946602724,1,1,1,1,3.433491704,3.522831642,3.180640825,3.390139486,2.503074377,3.134512243,3.256528432,2.950318787,2.822446849,1,1.699157517,2.891686897,2.15578053,1,4.71231134,1,2.278387357,1,1.207164242,2.366620539,1,2.769125802,4.32630322,4.082434912,1,3.816508115,1,4.525798834,2.070445546,3.809103902,1,3.291344988,2.089857085,1,1,3.091521002,4.933773088,2.762675874,1,3.529441487,3.948056261,2.903751951,3.351559429,2.861849093,2.285438471
"hsa-let-7f-5p",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.204259215,1,4.357399833,3.243062931,1,2.860039297,2.854625533,5.721520982,3.387955132,2.241826204,4.495098809,2.071193692,3.263453929,3.868107138,1,3.667434651,1,3.733710487,1,1,1,3.75963193,4.339426133,1,1,2.793037395,1,4.720704151,3.869995161,4.14721589,5.601945179,3.598584733,2.040620461,3.431567114,3.618689584,1,1,1,3.229295996,1,2.614904703,4.735949976,4.337793594,5.117341244,6.415735845,3.362794067,1,4.176117392,4.551668954,4.111817094,4.292932832,4.771546498,3.044573002,4.624921474,2.794960262,3.541590809,1,4.321032516,6.039936391,1,3.167350889,1,4.008800459,4.452336206,4.149500391,3.430452396,3.469089518,3.903193043,2.159960223,2.820185363,3.396779001,2.99743682,2.578231277,4.018412964,3.001934018,3.860618118,5.048667473,2.943597598,2.634416386,1,1,1,2.479479441,3.147842182,5.074749254,4.130696783,1,5.139251548,2.947218475,4.199803915,3.110712626,4.935107494,3.220401959,2.378301354,2.547055169,1,1,4.185091351,5.132817053,4.052618679,2.200986856,4.702717017,1,3.44701618,4.356033455,2.973055671,3.68097438
"hsa-miR-15a-5p",2.317800754,1,1,2.784119073,1,2.445319983,1,1,1,1,1,4.052601509,1,1,1.772672544,1,2.303626073,2.595462206,1,1,1,2.678034823,1,1,2.84705083,4.202731382,4.144080791,3.105574526,3.052144784,5.067217999,6.286868269,1,7.228207022,1,4.53045371,5.69638391,1.990009691,5.178013397,4.38213713,7.144319751,5.275048182,4.782886125,6.840714343,3.350574094,4.551168991,5.138137972,2.987613014,7.346987474,3.452387234,4.037535855,4.065907557,3.730604907,4.501196043,4.034258157,3.099986982,4.736770186,2.617509174,4.797656624,4.044125287,5.973054201,4.831400494,6.075603195,8.739671546,5.389596277,4.376227259,3.000051455,4.41546115,3.67403922,3.73341127,1,5.125043769,5.231396995,2.469766007,6.011130909,5.11538552,5.974881167,8.04448637,3.772957837,3.993523654,5.658982828,6.7715406,5.756996578,5.268852299,6.982431506,5.139505144,5.242092525,6.573911458,5.141973135,3.190623762,5.180002713,3.321723338,4.078399426,1,1,3.713831226,6.176985478,5.761754968,4.580495611,4.76593678,5.399005653,4.999507927,4.113799359,5.538623886,4.631438971,4.40159735,6.451936844,3.614680362,5.707097159,6.332492283,4.659884353,4.389829217,1,3.484430208,4.888875573,4.78465081,4.066595136,6.555693091,6.599975479,4.826013544,5.959594594,4.056319183,6.115502114,4.488314456,7.962525116,5.045547821,2.999416522,3.450630488,5.32051545,4.888366102,5.760206182,6.945123638,6.362981568,4.518407324,5.905206433,5.041011796,5.000882802,5.115892397,4.805885794,4.898092502
"hsa-miR-16-5p",4.204340308,1,1,2.738220914,1,3.80432903,1,1,1,1,1,5.024716686,1,1,1.905264756,1,2.890187056,3.787772759,1,1,1,1,1,1,3.19885384,5.434514809,3.736599338,2.989972072,1,4.772697297,6.214812331,1,7.755304641,1,4.895728184,6.906909341,2.809731487,5.683091631,5.24848225,7.633532532,5.80608755,5.549522866,7.547480295,4.02216372,4.611153549,5.460602519,4.365825702,8.079106398,5.050170813,5.439788163,5.491884846,5.0823717,5.156109807,5.629017124,5.27841111,4.674579515,1,4.650834768,4.86821262,6.593127637,5.55777201,6.043265024,9.338941236,5.864134607,4.667390916,5.041202162,5.632680687,3.679625441,4.534911964,4.846758596,4.994878105,6.400378228,4.160057631,6.397479409,5.579755788,7.035334819,8.386258734,4.487226454,4.783500919,6.44102525,6.574317033,6.419071226,5.78529253,7.799870235,5.72211837,6.482645304,4.154210233,6.145137549,4.461786098,6.357216988,3.065702726,5.478536019,4.368660608,1,4.763895534,6.996668671,6.847114898,5.617257625,5.196675921,6.324230313,5.568149284,4.801560016,5.344100392,4.843432397,4.72613857,7.359029535,4.04554464,6.3014362,6.829194999,5.238903291,4.98790045,3.414405325,4.285390875,6.443956863,5.459444865,4.077700706,6.44633983,6.346212726,4.792957288,6.932100826,4.535790227,6.77916026,4.617250498,9.231259664,5.574290105,3.705611396,4.30544557,5.190581808,4.796689036,5.962723203,7.868609232,7.57416144,5.118900947,6.540099646,5.040685909,4.828155995,5.713304642,4.421477912,5.652007128
"hsa-miR-17-5p",1,1,1,1,1,1,1,1,1,1,1,1,1,1.797596788,1,1,1,1,1,1,1,1,1,1,1,3.660781133,1,1,1,2.733508292,3.730373563,1,5.61080059,1,3.073192273,3.85412586,1.656359836,2.885856433,1,5.77206634,3.32121364,3.159177896,5.451891096,2.921243286,3.077986035,3.782106172,1,4.274206139,1,3.563305159,1,3.155605069,1,3.61083398,1.959212749,3.925796573,1,2.958628807,2.352724538,4.570280579,3.358419917,4.212541844,6.137294738,3.672283234,2.700726527,3.807121427,2.840706499,1.926994472,2.717901608,3.220072455,3.919189814,3.41214224,2.388932694,4.568687474,4.034277382,5.253323359,6.291590547,3.256218931,2.799372086,4.194952483,4.705530155,4.742401891,4.282730069,5.629128093,3.808891913,4.41980544,2.894176013,4.218687271,2.912738059,4.168673923,1,1,1,1,3.548825052,3.981687464,3.512850444,3.300370768,3.447672398,3.957953033,3.466433356,3.180950532,3.198917444,1,3.383545167,4.318447148,2.464315042,4.270308933,4.438448425,3.511262766,3.181786781,1,3.10282081,3.606736699,3.742349592,2.660196902,4.744227209,2.94455348,1,4.940706955,1,3.38926817,2.4453802,6.111507905,2.963834783,2.017320541,2.99907259,3.11451051,1,4.235524221,5.782919219,4.552591353,3.824418744,4.483534658,1,3.154331608,3.747205144,1,3.331938697
"hsa-miR-17-3p",1,1,1,1,1,1,1,1,1,1,1,2.791709034,1,1,1,1,1.790379482,2.5285524,1,1,1,1,1,1,1,1,1,1.958137825,2.972678166,3.38315858,1,1,3.575874896,1,2.485375258,2.929736123,2.553484286,1,2.507449959,3.693497718,3.435481517,2.538448561,4.346038412,3.364803992,3.522802271,3.275386624,1,1,1,1,1,1,1,1,1,1.545043661,2.375560561,2.442295564,3.381184328,1,3.392230332,3.955618634,3.605053292,2.808902756,2.125153588,3.449211168,2.919460763,1,1,1,2.65787872,1,3.257611616,2.766826794,3.476897794,3.791530035,3.452807514,3.071316534,1,3.770324525,3.272519982,2.979953499,2.897876362,3.318404726,2.705921298,3.314527041,2.852485182,3.404258337,3.2879185,3.72790483,1,1,1,1,3.372132133,1,1,2.786511017,2.953414034,1,2.89278314,3.338574928,3.143814252,1,3.32430742,3.779749922,3.264100955,2.299593125,3.688212368,2.360879593,4.013103075,1,1.49995743,1,2.919481008,3.146297626,3.527841056,1,3.576813389,1,2.409978305,3.314486969,3.4426858,3.797893635,1,3.115324811,2.659556305,1,1,3.64158618,4.037282612,2.858164919,3.193378063,3.028353704,2.519115835,2.9007633,2.390571255,3.109878282,3.368006928
