"","GSM2323416","GSM2323417"
"hsa-miR-6087",11.4023903443403,11.3690974596335
"hsa-miR-6089",11.0892518403132,11.3822997890096
"hsa-miR-1246",11.2521331926718,10.57857711403
"hsa-miR-4430",10.6343875552113,11.0279635740157
"hsa-miR-6090",10.5286901454718,10.7692317736847
"hsa-miR-1234-5p",10.7368810590588,10.5420242246347
"hsa-miR-3926",10.4490970459176,10.5742781500059
"hsa-miR-4454",10.611040171521,10.2401552937348
"hsa-miR-4281",10.2046322740999,10.2412681773294
"hsa-miR-4655-5p",10.235236410326,10.1959667988221
"hsa-miR-6088",10.1404357129844,10.1561884397556
"hsa-miR-1290",10.3938730627884,9.81983314223934
"hsa-miR-1268a",9.92594998330691,9.93221475196838
"hsa-miR-3960",9.78224746290469,9.86563018065469
"hsa-miR-1202",9.87503256057503,9.75278482338058
"hsa-miR-3138",9.64571846834631,9.83547147719761
"hsa-miR-1225-5p",9.82076400774558,9.61017898013214
"hsa-miR-3934-5p",9.36267443715762,9.96604875446251
"hsa-miR-6125",9.57819969590937,9.60410530939236
"hsa-miR-3162-5p",9.40485771946738,9.26475534566036
"hsa-miR-4487",9.21367130075339,9.38771220555986
"hsa-miR-4516",8.99573182490562,9.37642388445644
"hsa-miR-1207-5p",9.22853813910328,9.1532986828549
"hsa-miR-4459",8.85639959007394,9.25404439953952
"hsa-miR-638",8.95719879845164,9.01362509342384
"hsa-miR-4271",8.99520183149718,8.8376279331714
"hsa-miR-6165",8.78395313935479,8.76257582457262
"hsa-miR-150-3p",8.4272473608478,8.92583256763348
"hsa-miR-4257",8.62180768784359,8.64754836723241
"hsa-miR-5100",8.47143813248302,8.72601942743349
"hsa-miR-2861",8.55778277590276,8.62962983190523
"hsa-miR-3656",8.73631736289358,8.43055709099682
"hsa-miR-3665",8.61520047315591,8.56151071330618
"hsa-miR-584-5p",8.62360718731449,8.4146147726493
"hsa-miR-4685-5p",8.515929757565,8.44487684848938
"hsa-miR-4466",8.40013228535466,8.44384144615259
"hsa-miR-4687-3p",8.28517099920619,8.35989594494001
"hsa-miR-4762-3p",8.29293508861241,8.22881869049588
"hsa-miR-4443",8.30773209084558,8.20884399073461
"hsa-miR-630",8.21811919944251,8.29863540673424
"hsa-miR-4505",8.35850468991499,8.09500134832624
"hsa-miR-5739",8.11209193206149,8.24400698265362
"hsa-miR-5703",8.1106138055009,8.15675727207421
"hsa-miR-4530",8.06519171277439,8.07645933188978
"hsa-miR-1915-3p",7.92906110371351,8.18272539878509
"hsa-miR-2276",8.03213758633845,7.95613411443472
"hsa-miR-6085",7.92535662770472,7.96664964210534
"hsa-miR-5787",7.83915128753215,7.98190020950982
"hsa-miR-4298",7.66041193707069,7.85284157841707
"hsa-miR-3940-5p",7.69789426124629,7.81698362325538
"hsa-miR-21-5p",8.17758564167928,7.00777482608528
"hsa-miR-1226-5p",7.84402570457885,7.54702303686078
"hsa-miR-6720-3p",7.65725889461544,7.67578065357349
"hsa-miR-4763-3p",7.49031607454248,7.75416374697206
"hsa-miR-6724-5p",7.67578065357349,7.57805813860797
"hsa-miR-6076",7.98944180811219,7.13519623665344
"hsa-miR-4787-5p",7.29874994724805,7.84731839670183
"hsa-miR-3679-5p",7.39753203159138,7.76625282091356
