"","GSM971829","GSM971830","GSM971831","GSM971832","GSM971833","GSM971834","GSM971835","GSM971836","GSM971837","GSM971838","GSM971839","GSM971840","GSM971841"
"hsa-miR-105",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-155",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-183",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-187",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-188",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-200a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-208a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-208b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-219",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-220a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-220b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-220c",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-296",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-299",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-325",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-330",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-342",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-346",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-371",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-380",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-392",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-448",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-450b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-485",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-488",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-490",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-492",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-499",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-501",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-504",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-506",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-507",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-508",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-509",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-510",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-512",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-513a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-515",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-516a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-516b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-517b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-518a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-518c",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-518d",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-519c",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-520a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-520d",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-520e",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-520g",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-521",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-524",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-525",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-526b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-548a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-548b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-556",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-582",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-624",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-653",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-874",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-875",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-876",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-885",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-887",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-890",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-891b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-892a",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-384",16.02876854,16.37693214,16.17997742,15.86102889,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-429",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,14.645911,15.82544327,15.9522419
"hsa-miR-298",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,13.7517989
"hsa-miR-518b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,13.45229362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-561",16.02876854,16.37693214,13.71460342,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-522",16.02876854,16.37693214,13.41729742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.50825355,16.376091,15.82544327,15.9522419
"hsa-miR-520f",16.02876854,13.12143914,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-33b",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,12.47857327,15.9522419
"hsa-miR-127",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,12.24571239,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-453",12.33329854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-216a",16.02876854,16.37693214,16.17997742,16.10641289,11.73162429,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-96",16.02876854,16.37693214,16.17997742,16.10641289,10.80795929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-129",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,10.32691455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-23b",16.02876854,16.37693214,10.64037242,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-519e",16.02876854,10.53010214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-873",10.35919354,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.071141,15.82544327,15.9522419
"hsa-miR-616",16.02876854,10.25174514,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-491",16.02876854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,9.649353616,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-153",16.02876854,16.37693214,13.08506442,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,11.42821362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-539",16.02876854,16.37693214,11.11673342,13.07588289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-651",9.564978539,16.37693214,14.41653442,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-519d",11.20135854,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,12.5099699
"hsa-miR-576",16.02876854,16.37693214,16.17997742,12.47436289,15.64308929,15.71443939,15.19643593,12.53857055,15.85800362,13.60276555,16.376091,15.82544327,15.9522419
"hsa-miR-517a",16.02876854,13.08548214,13.83884442,16.39191989,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,12.38056327,15.9522419
"hsa-miR-23a",16.02876854,16.37693214,5.919914417,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-338",16.02876854,16.37693214,12.51713942,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,9.439289003,15.82544327,15.9522419
"hsa-miR-98",16.02876854,16.37693214,5.112597417,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-107",16.02876854,16.37693214,8.622997417,16.10641289,15.64308929,15.71443939,9.465525928,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-517c",11.53152654,16.37693214,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,11.39427762,15.77108955,16.376091,11.44862327,15.9522419
"hsa-miR-182",10.65373854,16.37693214,16.17997742,16.10641289,11.96437929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,11.39540127,15.9522419
"hsa-miR-654",16.02876854,10.12911414,7.899906417,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-202",16.02876854,16.37693214,16.17997742,9.918515888,15.64308929,15.71443939,15.19643593,14.63952455,13.47104362,15.77108955,10.774851,15.82544327,15.9522419
"hsa-miR-891a",12.12256054,16.37693214,16.17997742,14.49865289,12.85012429,11.26285939,15.19643593,15.21297455,13.38249362,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-519a",12.67626854,14.65246014,16.17997742,15.49314289,15.64308929,15.71443939,15.19643593,15.21297455,11.35845362,15.77108955,16.376091,12.89090727,13.2215249
"hsa-miR-518e",16.02876854,10.30788214,16.17997742,11.49885289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,9.549289268,15.9522419
"hsa-miR-147b",16.02876854,11.72407714,16.17997742,16.10641289,15.64308929,11.38634939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,11.22309327,12.2920089
"hsa-miR-326",16.02876854,16.37693214,11.55173142,10.89752289,13.14783929,15.71443939,15.19643593,15.21297455,14.45778862,15.77108955,12.850091,15.82544327,15.9522419
"hsa-miR-548d",16.02876854,8.947798144,16.17997742,11.35326989,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,10.52008955,16.376091,15.82544327,15.9522419
"hsa-miR-377",16.02876854,11.62799614,16.17997742,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,8.664619554,16.376091,15.82544327,9.904374898
"hsa-miR-205",16.02876854,16.37693214,8.258073417,16.10641289,15.64308929,15.71443939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,5.571679898
"hsa-miR-544",16.02876854,16.37693214,7.835596417,10.27391989,15.64308929,15.71443939,14.58238593,15.21297455,11.06875062,15.77108955,16.376091,15.82544327,15.9522419
"hsa-miR-198",16.02876854,16.37693214,13.25585742,7.886796888,15.64308929,12.14895939,15.19643593,15.21297455,15.85800362,15.77108955,16.376091,15.82544327,10.9712419
