"","GSM5259648","GSM5259649","GSM5259650","GSM5259651","GSM5259652","GSM5259653","GSM5259654","GSM5259655","GSM5259656","GSM5259657","GSM5259658","GSM5259659","GSM5259660","GSM5259661","GSM5259662","GSM5259663","GSM5259664","GSM5259665","GSM5259666","GSM5259667","GSM5259668","GSM5259669","GSM5259670","GSM5259671","GSM5259672","GSM5259673","GSM5259674","GSM5259675","GSM5259676","GSM5259677","GSM5259678","GSM5259679","GSM5259680","GSM5259681","GSM5259682","GSM5259683","GSM5259684","GSM5259685","GSM5259686","GSM5259687","GSM5259688","GSM5259689"
"hsa-miR-330-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-369-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-371a-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-376b-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-485-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-496",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-513a-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-525-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-544a",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-548a-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-548b-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-556-5p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-561-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-624-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-875-3p",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
"hsa-miR-384",40,40,40,40,40,39.762,40,40,40,40,40,40,39.758,40,40,39.884,40,40,40,39.756,40,40,40,39.751,40,40,40,40,40,39.123,40,40,40,40,40,40,39.942,40,40,40,40,40
