"","GSM2445880","GSM2445881","GSM2445882","GSM2445883","GSM2445884","GSM2445885","GSM2445886","GSM2445887","GSM2445888","GSM2445889","GSM2445890","GSM2445891","GSM2445892","GSM2445893","GSM2445894","GSM2445895","GSM2445896","GSM2445897","GSM2445898","GSM2445899","GSM2445900","GSM2445901","GSM2445902","GSM2445903","GSM2445904","GSM2445905","GSM2445906","GSM2445907","GSM2445908","GSM2445909","GSM2445910","GSM2445911","GSM2445912","GSM2445913","GSM2445914","GSM2445915","GSM2445916","GSM2445917","GSM2445918","GSM2445919","GSM2445920"
"hsa-miR-128-3p",4.25096157353322,4.21179097625254,4.16510798514454,4.21412480535285,4.20476675065461,4.19455988602261,4.24792751344359,4.25776496857139,4.22032995487956,4.22650852980868,4.19377174339668,4.22419466397043,4.17152710603881,4.24640808724638,4.20476675065461,4.24640808724638,4.24260250592898,4.20241772157518,4.17392693199981,4.23189316164533,4.1906148602095,4.17712050284652,4.24107745817504,4.20867331962947,4.2349610948395,4.23725777090037,4.22804904788446,4.20084957463721,4.22573765346606,4.18745105402733,4.22881869049588,4.21567859660793,4.18982455888002,4.22496636500027,4.21567859660793,4.18269229751619,4.18428029441938,4.23955079661364,4.21567859660793,4.23955079661364,4.21179097625254
"hsa-miR-99a-5p",4.16349873228288,4.19770815795585,4.19534759832222,4.19455988602261,4.19140472885276,4.15785216914174,4.13586316536868,4.14730669878029,4.19849415363908,4.20398416585599,4.22110372536788,4.19770815795585,4.20867331962947,4.19298316997399,4.20867331962947,4.18428029441938,4.19613488076516,4.20006486151431,4.21412480535285,4.19298316997399,4.18824265626441,4.20476675065461,4.19455988602261,4.20241772157518,4.18428029441938,4.19613488076516,4.18030701996943,4.19692173382033,4.20006486151431,4.21101219348551,4.19692173382033,4.19298316997399,4.20867331962947,4.19849415363908,4.19455988602261,4.20711196120771,4.20945336562895,4.1811025507538,4.20476675065461,4.19534759832222,4.21179097625254
"hsa-miR-9-5p",4.07382023329167,4.06608919045777,4.09761079662642,4.12267271882414,4.07724299893246,4.05831649559082,4.08746284125034,4.05137210172103,4.08831123588866,4.0703893278914,4.03562390973072,4.06608919045777,4.07382023329167,4.06608919045777,4.08491465976794,4.08321336824898,4.03738222200308,4.12928301694497,4.06781078378962,4.09845324630927,4.0408924306469,4.10265813136374,4.05398016818765,4.06522762277562,4.10517519226548,4.07296327155522,4.05484847699562,4.09254574154357,4.07895134139482,4.07382023329167,4.07210580048042,4.08321336824898,4.09508049190141,4.07895134139482,4.07553263116736,4.09423606984577,4.07809742302666,4.08151006812092,4.07895134139482,4.07210580048042,4.07210580048042
"hsa-miR-129-5p",3.98913900736823,4.00988458893184,4.01435529297707,4.0241423458978,4.05224198118114,4.0686708106651,4.01167453338092,4.01792190799726,4.01167453338092,4.01881218574282,4.06004738366994,4.01346225980656,4.06091204958787,4.01613970265525,4.06695024392463,4.00180224263399,4.01613970265525,4.01524777369894,4.0408924306469,4.00809242094872,4.07210580048042,4.04614178164472,4.00180224263399,4.04264433740849,3.99095486039699,4.00898878322726,4.04875931191986,4.05050169744673,4.04351949366274,4.05050169744673,4.02059109477325,4.01703108052784,4.04526821513853,4.02147972741045,4.02059109477325,4.0408924306469,4.03562390973072,3.99367436175058,4.04001567884788,4.00180224263399,4.01167453338092
"hsa-let-7b-5p",3.96347412397489,3.97085365434048,4,3.92599941855622,4.01792190799726,4.09423606984577,4.0686708106651,4.05311133645956,3.97911075501579,3.99457972421575,3.99819550315325,4.0036022366802,3.99457972421575,3.99638874644762,3.99729240763651,3.97727992349992,3.96716860753263,3.96809075204526,4.0232553523003,3.98185265328974,4.12184429787638,4.00988458893184,3.97636363573276,3.96993327469786,3.97452931248388,3.99276843076892,4.07210580048042,3.97544676564096,3.93922657772821,3.96439863220318,3.97911075501579,3.97819562968165,3.97727992349992,3.98185265328974,3.96439863220318,3.99367436175058,4,3.98458935036246,3.98276546258365,3.95698592461258,3.98093926608551
"hsa-miR-22-3p",3.93073733756289,3.99457972421575,4.03650333373899,4.01167453338092,3.98276546258365,3.93073733756289,3.87479696589867,3.88655014732434,3.99004721957379,3.97085365434048,3.99548451887751,3.96716860753263,4.01881218574282,3.9136075118231,3.97085365434048,3.94579495674006,3.98367769469807,3.94392132655349,4.00809242094872,3.97911075501579,3.90303827011291,4.02502879449152,3.96901230751632,4,3.97544676564096,3.95140129167431,3.90400231628369,3.97452931248388,4.00988458893184,4.03033607837096,3.99367436175058,3.99004721957379,4.0071955014042,3.97727992349992,3.98458935036246,3.99729240763651,4.01346225980656,3.95977015521147,3.96439863220318,3.96716860753263,3.99457972421575
"hsa-miR-320a",3.94953493301701,3.98458935036246,3.99095486039699,3.96993327469786,3.95140129167431,3.92029330021101,3.87479696589867,3.89627184880738,3.97819562968165,3.98550043030489,4.01167453338092,3.96347412397489,3.98732086592925,3.94766615679601,3.98002530023873,3.92124588858559,3.97544676564096,3.99004721957379,3.97911075501579,3.95512678126137,3.94860084749336,3.99276843076892,3.96254902292306,3.99276843076892,3.96809075204526,3.97177344719337,3.92694824794977,3.99367436175058,3.96162332828694,3.99638874644762,4.00539998774259,4.00539998774259,3.99095486039699,3.99004721957379,4.00180224263399,3.97636363573276,4.00898878322726,3.98913900736823,3.96993327469786,3.98002530023873,3.98458935036246
"hsa-let-7i-5p",3.9136075118231,3.9297909977186,3.96162332828694,3.91838623444635,3.95512678126137,3.96716860753263,3.95977015521147,3.91169158187234,3.93828579188405,3.95512678126137,3.91456452349394,3.95884267524324,3.97452931248388,3.9429835981871,3.97452931248388,3.9560566524124,3.91456452349394,3.94579495674006,3.97544676564096,3.94953493301701,3.97177344719337,3.95884267524324,3.91552090075196,3.93451650158608,3.95233356636969,3.95791459863299,3.95791459863299,3.96809075204526,3.93734439215023,3.94673086014031,3.93828579188405,3.94485844580754,3.9560566524124,3.94485844580754,3.94766615679601,3.96069703930431,3.95512678126137,3.94953493301701,3.94392132655349,3.92694824794977,3.92789645372882
"hsa-miR-100-5p",3.89917563048051,3.95512678126137,3.93545974780529,3.93545974780529,3.94204525991605,3.87282875953489,3.84599177066457,3.87085786436376,3.95698592461258,3.95419631038688,3.97085365434048,3.95791459863299,3.96347412397489,3.95233356636969,3.94766615679601,3.93640237772506,3.94766615679601,3.93734439215023,3.96993327469786,3.92694824794977,3.9174317553901,3.96439863220318,3.95884267524324,3.94673086014031,3.93357263826102,3.94953493301701,3.89530262133331,3.95884267524324,3.93640237772506,3.9560566524124,3.93828579188405,3.95326523901484,3.95233356636969,3.94673086014031,3.95140129167431,3.94485844580754,3.96439863220318,3.93168305705981,3.94953493301701,3.9429835981871,3.97452931248388
"hsa-miR-3184-3p",3.88264304936184,3.90400231628369,3.96809075204526,3.91456452349394,3.96439863220318,3.97911075501579,3.93357263826102,3.93922657772821,3.90400231628369,3.89820835250872,3.95419631038688,3.8972404255748,3.94673086014031,3.90592847817313,3.96347412397489,3.89530262133331,3.92219784839637,3.89627184880738,3.92219784839637,3.89044669267991,4.01703108052784,3.94579495674006,3.87676249078156,3.91552090075196,3.84799690655495,3.89530262133331,3.96347412397489,3.93922657772821,3.9429835981871,3.97269265400426,3.91073266190291,3.89433274227769,3.94016675048282,3.90207357931074,3.90014226035982,3.92504996472736,3.92694824794977,3.85798099512757,3.92504996472736,3.88264304936184,3.90014226035982
