"","GSM867220","GSM867221","GSM867222","GSM867223","GSM867224","GSM867225","GSM867226"
"hsa-miR-24-2 ",12.7045,12.3623,12.4649,12.3798,12.7902,12.6606,12.2491
"hsa-miR-23a",12.5835,12.642,11.9935,12.1871,12.5025,12.8139,12.2888
"hsa-miR-923",10.2259,10.5524,13.586,13.6096,11.7545,11.7832,12.1627
"hsa-miR-17",12.6509,12.3809,12.2399,12.1362,11.6124,11.4017,10.4685
"hsa-miR-1826",12.1611,12.5178,13.108,13.1725,11.6157,12.1012,7.88517
"hsa-miR-103-2 ",11.7958,11.5315,11.1846,11.1346,12.2672,12.1847,11.9152
"hsa-miR-1308",11.109,11.3773,13.1687,13.1294,10.6621,10.8767,11.1549
"hsa-let-7b",11.5182,11.102,11.5108,11.1789,12.2374,12.3575,11.4872
"hsa-miR-92a-1 ",12.2272,12.0922,12.0792,11.8912,11.1206,11.264,10.1039
"hsa-miR-222",12.5581,12.5655,12.2862,12.2575,10.9899,11.0588,8.86059
"hsa-miR-106a",12.2742,12.199,11.8766,11.6956,11.2371,11.0189,9.63792
"hsa-miR-191",11.3001,10.879,11.3563,11.1336,11.5799,11.4552,11.845
"hsa-miR-107",11.1302,10.9587,10.7037,10.6418,11.9004,11.8165,11.1947
"hsa-miR-221",11.8919,11.9011,11.6132,11.7761,11.0066,10.9768,8.86498
"hsa-miR-320b-1 ",10.831,10.5127,11.5105,11.3166,11.1684,11.0832,10.6627
"hsa-miR-320a",10.7445,10.4432,11.5449,11.1837,11.1223,11.0374,10.6183
"hsa-miR-638",9.48142,9.53858,12.8195,12.8787,12.3355,11.6929,7.82343
"hsa-miR-16-1 ",11.1748,11.2385,10.9439,10.9667,11.4474,11.4279,9.05948
"hsa-let-7e",10.4568,10.2968,10.2044,10.0444,11.7659,11.8965,10.7422
"hsa-miR-93",11.1926,10.8745,10.967,10.9537,10.9402,10.8089,9.5421
"hsa-let-7a-2 ",10.9328,11.311,10.9944,11.0581,10.832,11.1744,7.95141
"hsa-miR-320c-1 ",10.5541,10.3457,11.2618,11.0585,10.9175,10.8416,8.47733
"hsa-let-7d",10.0894,9.97205,9.50162,9.33482,11.5633,11.7258,11.0055
"hsa-miR-26a-2 ",10.1678,10.1627,9.94713,9.917,11.6099,11.5654,9.18185
"hsa-miR-23b",10.3068,10.2361,9.77112,9.56191,10.4099,10.6176,10.9679
"hsa-miR-20a",11.4623,11.5522,11.2054,11.4784,10.2156,10.1621,5.67177
"hsa-miR-149",8.21295,8.18887,13.4254,13.4867,11.0082,9.66826,7.47416
"hsa-miR-100",11.4566,11.4134,11.3994,11.311,8.45537,8.62967,5.74016
"hsa-miR-146a",8.20975,8.1223,9.05917,9.0884,11.3454,11.6494,10.5035
"hsa-miR-27a",10.3254,10.3598,9.32882,9.36474,10.6952,10.9082,6.78459
"hsa-miR-99b",9.86605,9.53067,9.31287,8.97209,10.0884,9.90017,9.05969
"hsa-let-7i",9.16174,9.4863,8.8164,8.65765,11.1715,11.7544,7.32873
"hsa-let-7c",10.5851,10.5787,10.3165,10.3138,9.77717,10.0948,4.38381
"hsa-miR-140",10.5305,10.3943,11.0225,10.8591,8.7895,8.83896,5.15777
"hsa-miR-181a-1 ",9.36061,9.26063,9.27572,9.13518,10.5755,10.5857,7.20109
"hsa-miR-151",9.75391,9.65325,9.30626,9.17694,9.81011,9.87262,7.13418
"hsa-miR-125b-1 ",10.9214,11.0188,10.5001,10.4373,7.61952,8.47632,5.01113
"hsa-miR-1228",7.81316,7.80034,12.313,12.3274,10.5661,9.70001,3.33992
"hsa-miR-125a",9.86065,9.71737,8.06312,7.85856,10.7571,10.8867,6.50968
"hsa-miR-663",7.64961,7.68489,10.9999,11.211,10.4528,10.3941,5.04149
"hsa-miR-185",8.53051,8.19146,8.5929,8.1161,10.3483,10.3722,9.09705
"hsa-miR-31",11.0379,10.8877,10.4149,10.3784,7.88422,8.10061,4.0825
"hsa-miR-455",8.92985,8.73901,7.94966,7.99318,9.46689,9.29482,10.3307
"hsa-miR-181b-1 ",9.28275,8.97169,8.78775,8.87818,9.83534,10.1269,5.69496
