"","GSM2478346","GSM2478347","GSM2478348","GSM2478349","GSM2478350","GSM2478351","GSM2478352","GSM2478353","GSM2478354","GSM2478355","GSM2478356","GSM2478357","GSM2478358","GSM2478359","GSM2478360"
"hsa-miR-21-5p",16.3351581103946,16.2701858059911,16.7613464430976,17.0486863121148,15.6050477098247,16.3404741242914,16.2887721907009,15.4934464442531,16.1158741559181,16.480085528935,17.7478832555369,16.155541450323,16.4401888517683,16.7620880658762,16.227789839954
"hsa-miR-451a",14.5988352988508,14.4080716196411,15.5026257877185,15.2115704652059,17.9323804050472,15.6246781007742,13.8418168955331,16.3238645356331,12.7364125020228,16.0227431770248,14.9295769686188,15.9920950281002,14.7924603844429,16.3241933825525,14.9576734185139
"hsa-miR-26a-5p",15.8529827187141,16.2117637943845,15.4252227888729,16.1496901678033,14.3509536802273,15.0822729760449,14.9336339528251,14.6286471661469,15.1366691604144,14.8479421156638,13.6743842909666,14.4901758654126,14.8270141499989,14.9516749366992,14.8753615606179
"hsa-miR-486-5p",15.5799175244052,15.3201623902616,15.8454697138974,14.8300784106894,15.785365362305,15.4603691809738,16.0728299531918,15.628019127933,15.0663276292674,15.7699803708928,16.1240976787783,15.9871756176426,16.1021653896096,16.6083982121308,16.9895027156551
"hsa-miR-30d-5p",15.3884939553943,15.4675679794104,15.3324628442888,15.4396143725972,13.5072210648249,14.5237616359297,14.6708415527231,13.1846475799014,14.4695120909434,14.0367977866153,13.3884317314747,14.2189960403172,14.4181286622594,14.5197523369683,14.3749321486418
"hsa-let-7a-5p",15.1212514098554,15.372130469541,14.8955554025876,15.0403102720908,13.8150600142444,15.41743852435,15.3396151701274,15.8939475459481,15.6247703295403,14.7268865497006,14.6116455806718,15.3071502797694,15.6480870513265,14.797395048439,14.8193718089223
"hsa-miR-92a-3p",15.4281916695892,14.9845185930309,15.1126667426769,14.3656205058351,13.8586405896975,15.1901120965248,15.490582664928,14.981005291971,14.117165803337,14.381524701085,14.5241480543608,15.1473567879549,15.0138129110065,14.9228236242323,15.6488106002653
"hsa-let-7f-5p",15.0553048926916,15.2679143031218,14.8346438707062,14.7101127877423,14.0555976516238,15.0651320950653,14.6373024237513,15.200431216266,15.387644451235,15.5463808423288,14.5705506869924,15.4766914690762,16.0535184543607,14.6088346485184,14.9284494403243
"hsa-let-7i-5p",14.5132853204274,14.6167894643258,14.2828828180229,14.643949172982,15.3803031094749,14.5985654964552,14.0727606730084,14.1492588890967,14.4788170092581,14.7293759191834,13.7218532442022,15.018464921059,15.0832220958094,14.2035781856376,14.6090292193445
"hsa-miR-122-5p",15.9906790387593,11.7583356605931,14.400163646789,12.984534168842,14.6666134778874,13.3422913894191,15.1043292877396,12.4248958518106,13.4845006933081,12.1719554926352,16.1620214805963,15.8130107968008,14.5273493228767,12.8501379915101,13.4673317075046
"hsa-miR-148a-3p",14.8480536520701,13.7590330456643,15.0082106255861,14.3413513330295,13.6772979131874,15.8874057964194,15.1488550810844,16.3047632424184,16.2875883024405,16.1513202405434,14.9288005577592,15.2568938207077,14.2633968538671,14.5075654851678,15.0407101033062
"hsa-let-7g-5p",13.9096784256728,14.0466832296599,13.6746733805701,13.8409283603678,15.4545364241975,13.7660754070561,13.6240826121846,14.2130707954016,14.5283326193964,14.7013351639393,13.459989940132,14.2026036728151,14.9905808822744,13.1973149994738,13.9440009687497
"hsa-miR-101-3p",12.465375087089,11.9574866122187,13.4684280389228,12.8357247648721,15.6077007659917,13.0193804937487,12.7766098627896,13.7074033527673,12.0765684475651,14.2216664129401,13.2101599181967,13.2930246890139,12.6364728214653,13.2707698191719,14.4004745551908
"hsa-miR-126-3p",13.4101889712739,13.9133017698242,13.9406008227175,14.1790413465262,13.4501003243894,13.195489094803,13.6441289235248,11.9390906426948,12.9807554483804,13.3886537072217,12.5679370674504,12.3721631259546,13.1278089762632,13.9648435211689,13.0441379362732
"hsa-miR-423-3p",13.9770392753513,14.1261510970504,13.5899483616311,14.2018107262591,11.2139365373012,13.5265090200867,13.9744002488293,13.083180119916,14.0985067055184,13.2168837562777,12.2254183418545,12.9888639475333,13.1069276573722,13.3439421268155,13.3774830438439
"hsa-miR-151a-3p",13.6089628257212,13.9670965401636,13.8243064376631,14.1193148341138,12.5171477192237,12.402801570803,12.4634630676468,10.7644154943536,12.1707732120213,11.8642674100582,11.287700837943,12.0608411394704,12.5422435376059,12.5499410556983,11.9860802323314
"hsa-miR-320a",13.5636169571987,13.5367037539968,14.0716777116237,13.5597690220207,13.0746549467071,14.8758909074864,15.2599671964737,13.3944399178558,13.9815476605462,12.4484906140078,14.7340983138047,14.6398895293611,13.3034896687868,15.3443787911395,14.5076676804215
"hsa-miR-191-5p",13.6751587442676,14.170462624506,13.4757410294104,13.7219311906349,11.5493466920385,12.8946358995296,13.7816875615072,12.533539014989,13.8583016015832,12.6314976695097,11.9063908256162,12.4828986894106,13.1230948363637,13.2032669332326,12.8280114928233
"hsa-let-7b-5p",13.244716140333,12.7350249636367,13.0890730402033,13.3043085364784,14.0010844313747,13.0454183970308,13.6204741537075,13.2027467547773,13.0722682901904,11.4877295167388,11.8297148081685,13.0460513784014,12.7590621827778,12.7437888503988,12.2008618323937
"hsa-miR-423-5p",12.5531324720643,11.8640274704334,12.2874930732355,14.2853588679994,13.6554904738175,13.6983411260556,14.0664079410522,13.5072024786552,12.8384653204184,10.7157132282852,12.4022713068287,12.9531506320636,11.4317744163575,13.4837427339414,12.7288622371708
"hsa-miR-22-3p",12.5782830508854,12.9894228851049,13.0635804624319,13.3212023382037,13.0608664649125,14.4436034141515,13.7148851424059,14.2196971797944,13.4821764504205,14.3012082274068,15.1197436080609,14.4796571296021,13.3372748441528,14.4095991041346,14.4563306694874
"hsa-miR-140-3p",12.1467214011414,12.5354382053153,12.7187768721038,12.4809769619828,14.0652755946584,12.4092848517198,12.6966002875372,13.1350679457778,13.7861041902212,13.3677341619867,11.7094586577221,12.0932954088355,12.2747508644146,13.2518137545292,12.1603126532451
"hsa-miR-146a-5p",12.8394656071881,13.5256627225906,12.5421443672654,13.2283316987351,11.5574972077293,13.0921013715617,12.4439924884786,9.98903963696239,13.1807654359929,13.3751833677605,12.5699054373978,13.913763630299,13.6985527504496,13.1730899461144,12.7688831677083
"hsa-miR-25-3p",12.3144274678486,13.0115312797546,12.9879265757321,11.9838736068143,13.4882895501578,11.8957494555197,12.0087542422114,12.9147756534714,12.0187426525743,12.7657336336239,11.4748162581597,11.6807419057065,12.6292222719566,12.0709158852509,12.5489206208638
"hsa-miR-185-5p",12.5109742778374,12.9878697457407,13.1818665930359,12.1900314373849,13.1007165375959,12.9789856744748,12.8124821810379,12.7314526862861,12.677147029988,12.7599984195482,12.4228952334317,12.6781203346143,13.3450586699652,13.7090353340799,14.3501394572257
"hsa-miR-30e-5p",12.7595178938988,12.612504553215,12.8539040572039,12.7844896691095,12.7949965641928,12.8628697816456,11.7347011536808,12.4058780496367,12.5308671650517,12.7575025201905,11.5799051534513,12.436534577347,12.3192713166547,12.3197596056697,12.9272075848795
"hsa-miR-143-3p",12.5439090640492,12.0183114721127,13.9261764448252,12.3926528318522,10.8864205891508,11.7274865600352,11.5252320454376,13.9134962554144,13.4093498293515,12.6202083682269,11.244167577187,10.782359417048,10.2530083274044,12.1882982994563,11.7376698631775
"hsa-miR-146b-5p",11.8561803897106,12.3078923854532,11.5861923998319,13.2733512436456,12.5434572171958,11.2640554837709,12.1496328169542,9.62049477294806,11.2143980539761,10.4248276349372,9.27307290537004,10.7004570581215,11.5338309866112,11.614245125784,11.0623362670432
"hsa-miR-24-3p",12.144234420778,12.4943030954788,13.1638241850225,12.4193203007571,10.9717303450007,13.5454664882741,13.4340274139526,14.1020470491133,14.1062365796553,13.8306191866037,13.9448721686177,12.3515410994531,12.3781729099677,13.3494443453287,13.1543766907435
"hsa-miR-103a-3p",12.0493993386136,13.1531038906723,12.1651770925223,11.8710157891632,12.1855382849388,11.955439226707,12.4826743676677,11.4721120207012,13.1333011827258,13.1820032083563,11.6773452674345,12.0016333779951,13.5135277560208,12.3435271906021,12.5129428801451
"hsa-miR-222-3p",12.530306349698,12.2237905620702,11.8903288852048,12.4575501754559,8.57901416588182,11.762340509758,12.2314102069869,10.2892465910171,11.3727344935673,10.3363057066126,10.4181372292323,11.1027499763855,11.9023261193084,11.864793589505,11.3172769307351
"hsa-let-7d-5p",12.157290085489,12.3630861857234,11.90128552114,12.1335339864386,10.9156329347219,11.9122756113448,11.771617391593,12.132580055624,11.7417324111294,10.1375547549085,10.6521996483041,11.2848298825579,11.6208704497291,11.6904345563951,10.8943100029156
"hsa-miR-16-5p",10.329863595163,10.845011686877,11.2565743294029,10.8399123616258,13.5383768970527,10.2817098398261,9.63655212148381,10.921892992142,9.81839044446963,11.1231190922398,10.5763331724022,10.8016841117372,10.9200327172831,10.5805035504284,10.0670309413455
"hsa-miR-142-5p",11.5022550084736,10.9481262755511,11.9661845769979,11.7546077859061,12.7437804369686,12.4848883325391,11.8101498498746,13.1710078685681,12.6539892662281,12.663962749218,11.4008741008617,11.4209707634061,10.7372642462098,11.4854217954405,11.233230192389
"hsa-miR-221-3p",11.619101165774,12.3369723200248,11.6112138849687,12.2390554773089,9.50263293508292,11.2583245830877,10.7244030034978,9.71786488635528,11.3322883544569,11.5722738911632,10.8848878716009,11.1207497941825,11.5372378175686,11.0389601301993,11.5404235234226
