"","GSM4292511","GSM4292512","GSM4292513","GSM4292514","GSM4292515","GSM4292516","GSM4292517","GSM4292518","GSM4292519","GSM4292520","GSM4292521","GSM4292522","GSM4292523","GSM4292524","GSM4292525","GSM4292526","GSM4292527","GSM4292528","GSM4292529","GSM4292530","GSM4292531","GSM4292532","GSM4292533","GSM4292534","GSM4292535","GSM4292536","GSM4292537","GSM4292538","GSM4292539"
"hsa-let-7a-1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-let-7a-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-let-7a-2-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-let-7a-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hsa-let-7a-3p",5.32192809488736,6.06608919045777,5.24792751344359,6.4093909361377,7.59245703726808,6.91886323727459,3.58496250072116,2.58496250072116,2.32192809488736,4.64385618977472,3.4594316186373,4.32192809488736,2.8073549220576,3.16992500144231,1.58496250072116,2.8073549220576,2,7.12928301694497,7.58496250072116,6.22881869049588,5.04439411935845,5.16992500144231,3,2.8073549220576,3,2.32192809488736,4.64385618977472,4.52356195605701,3.8073549220576
"hsa-let-7a-5p",8.59245703726808,8.23840473932508,8.35755200461808,10.6564248632778,10.9520131648895,10.8818787076004,9.5274770060604,8.06608919045777,8.44294349584873,8.61838550225861,8.2807707701306,9.24079133216196,7.98868468677217,9.08746284125034,9.21431912080077,9.14465824283188,6.12928301694497,11.1910592145317,12.0202855008446,10.0265234425198,11.1711767976518,8.27146302790437,9.07681559705083,9.12412131182919,9.69174351917128,9.43879185257826,8.76818432477693,8.4757334309664,9.4178525148859
"hsa-let-7b-3p",0,3.32192809488736,2,2.8073549220576,3.8073549220576,3.70043971814109,0,0,0,1,0,0,1,1.58496250072116,1,0,1.58496250072116,3.16992500144231,3.16992500144231,2.8073549220576,0,0,1,2.32192809488736,1.58496250072116,1.58496250072116,1,0,1
"hsa-let-7b-5p",12.5176693881338,11.602698865018,12.7034710460719,13.8012031251376,14.3177658951147,13.6464462061547,14.3293759112788,11.192909219112,13.6086013598812,13.8077574035893,13.7422041567728,14.4655026350549,11.8057438721516,13.6621120163109,14.1777309670333,13.5220910688871,10.1774195379892,14.1711767976518,14.2131042196419,12.690216280422,16.9007724864456,11.9132634306288,14.0675183922701,14.5079184926296,14.6696601802386,14.6812384117778,13.459303532781,12.9625345635113,13.7563478255166
"hsa-let-7c",0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116
"hsa-let-7c-3p",1,2.58496250072116,0,1.58496250072116,1.58496250072116,2.32192809488736,0,1.58496250072116,0,0,0,2.32192809488736,0,2.32192809488736,0,0,1,2.58496250072116,2.58496250072116,2.32192809488736,2.8073549220576,1,2.32192809488736,1,0,1,2,1.58496250072116,1
