"","GSM3939089","GSM3939090","GSM3939091","GSM3939092","GSM3939093","GSM3939094","GSM3939095","GSM3939096","GSM3939097","GSM3939098","GSM3939099","GSM3939100","GSM3939101","GSM3939102","GSM3939103","GSM3939104","GSM3939105","GSM3939106"
"hsa-miR-6859-5p",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6859-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58496250072116,0,0,0
"hsa-miR-1302",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-12136",13.6565365918386,13.0986900966736,8.23840473932508,8.33091687811462,7.4757334309664,9.4655664048094,8.07681559705083,9.0389189892923,10.8864586957037,9.50581155391959,10.6429542234803,10.0498485494506,6.59991284218713,9.19229281447077,7.43462822763672,8.94544383637791,9.43671154213721,10.9751314569213
"hsa-miR-200b-5p",7.467605550083,8.16490692667569,1,5.4262647547021,4.39231742277876,4.16992500144231,4.75488750216347,5.28540221886225,5,4.8073549220576,4.75488750216347,5.4262647547021,2.8073549220576,4.95419631038687,7.74819284958946,4.52356195605701,3.70043971814109,5.52356195605701
"hsa-miR-200b-3p",10.3241805466187,11.12153351734,4.32192809488736,10.7047682393626,9.12153351734003,8.18982455888002,8.38370429247405,9.24792751344359,9.211888294546,8.78135971352466,8.52356195605701,9.56224242422107,6.83289001416474,8.2807707701306,11.9733386208004,7.5077946401987,7.85174904141606,8.56985560833095
"hsa-miR-200a-5p",6.24792751344359,7.32192809488736,2.32192809488736,6.08746284125034,3.58496250072116,3.32192809488736,3.70043971814109,4.70043971814109,4.4594316186373,4.24792751344359,2.58496250072116,4.39231742277876,2.32192809488736,4.24792751344359,7.68650052718322,3.8073549220576,3.32192809488736,5.32192809488736
"hsa-miR-200a-3p",11.4330637651221,12.2717548056465,5.7279204545632,11.8898841703028,9.76818432477693,8.99717948093762,9.37937836707126,10.0525680508042,9.96578428466209,9.86727873970966,9.1873520732005,10.2620948453702,8.04439411935845,9.4178525148859,12.7829982089204,8.62205181945638,8.82654848729091,9.9469062744564
"hsa-miR-429",9.56605403817109,10.8407779235951,3,9.32192809488736,7.2667865406949,7.34872815423108,7.59991284218713,8.05528243550119,8.12928301694497,7.91886323727459,7.69348695749933,7.88874324889826,5.39231742277876,7.4262647547021,10.4928546201747,6.6724253419715,6.4594316186373,6.97727992349992
"hsa-miR-6726-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6726-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-6727-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6727-3p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hsa-miR-6808-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6808-3p",1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4251",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"hsa-miR-551a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4689",2.32192809488736,1.58496250072116,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
"hsa-miR-4252",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6728-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-6728-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-34a-5p",6.84549005094437,7.15987133677839,0,9.74819284958946,3.70043971814109,3.58496250072116,3.58496250072116,4.08746284125034,4.4594316186373,4,4,5.20945336562895,5.20945336562895,4.24792751344359,7.73470962022584,4.08746284125034,4,7.3037807481771
"hsa-miR-34a-3p",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"hsa-miR-5697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"hsa-miR-6729-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6729-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hsa-miR-7846-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4632-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4632-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6730-5p",0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"hsa-miR-6730-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-3675-5p",1.58496250072116,1.58496250072116,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
"hsa-miR-3675-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4695-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4695-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-1290",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"hsa-miR-6084",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1256",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4418",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4684-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4684-3p",2.8073549220576,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-4253",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3115",1,2.32192809488736,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"hsa-miR-378f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6731-5p",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"hsa-miR-6731-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1976",2,2.58496250072116,0,2.32192809488736,2.32192809488736,0,0,2,0,0,0,1,0,0,3.8073549220576,1,1,1
"hsa-miR-4420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4254",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5585-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5585-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3605-5p",2.58496250072116,1,0,0,0,0,0,0,1,0,1,0,0,2.32192809488736,2,0,0,1.58496250072116
"hsa-miR-3605-3p",3.16992500144231,3.8073549220576,0,2.8073549220576,1.58496250072116,0,1,1,1.58496250072116,0,1.58496250072116,1,0,1.58496250072116,3.16992500144231,0,2.58496250072116,3.16992500144231
"hsa-miR-552-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-552-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-4255",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-6732-5p",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"hsa-miR-6732-3p",2,2,0,0,0,1.58496250072116,2,0,0,0,0,1,0,1,2.8073549220576,0,0,0
"hsa-miR-5581-5p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-5581-3p",0,1.58496250072116,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-3659",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-30e-5p",11.0223678130285,11.9607259948391,4.32192809488736,11.1337844091799,8.79766152585376,8.91886323727459,9.09803208296053,9.52943055414615,9.94251450533924,9.33985000288462,9.11634396123747,9.78299820892041,7.5077946401987,8.95419631038687,12.4853261892405,8.59618975614441,8.4262647547021,9.32192809488736
"hsa-miR-30e-3p",7.15987133677839,7.11894107272351,2.8073549220576,8.28540221886225,5.28540221886225,5.75488750216347,5.08746284125034,6.4757334309664,6.3037807481771,5.64385618977472,5.70043971814109,6.5077946401987,4.52356195605701,5.75488750216347,9.15987133677839,5.35755200461808,5.35755200461808,6.96578428466209
"hsa-miR-30c-5p",8.78135971352466,8.41362792902417,3.58496250072116,9.32192809488736,6.84549005094437,6.79441586635011,7.39231742277876,7.89481776330794,7.68650052718322,6.88264304936184,6.7279204545632,8.49984588708321,5.4594316186373,7.05528243550119,11.6375305515253,6.4594316186373,6.64385618977472,7.88264304936184
"hsa-miR-30c-1-3p",0,2,0,3.32192809488736,0,2.32192809488736,1.58496250072116,2.58496250072116,2.32192809488736,1.58496250072116,2,0,0,1,4.32192809488736,0,0,2.32192809488736
"hsa-miR-6733-5p",0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
