"","GSM1315087","GSM1315088","GSM1315089","GSM1315090","GSM1315091","GSM1315092","GSM1315093","GSM1315094","GSM1315095","GSM1315096","GSM1315097","GSM1315098","GSM1315099","GSM1315100","GSM1315101","GSM1315102"
"hsa-miR-374b",0.010761232,0.034689191,0.009685827,0.010004466,0.008420762,0.012923345,0.009048077,0.021843863,0.6926061,3.288018235,3.33323908,2.971205313,14.96829508,15.33775048,7.010580941,4.042854548
"hsa-miR-150",0.910392767,0.888496501,1.118140127,1.362319412,0.779834832,0.92772692,1.000918842,0.615005748,0.0038294,0.014768123,0.01161429,0.1389176,0.195037981,0.034077445,0.156207865,0.399227305
"hsa-miR-363",0.003513046,0.00074994,0.004910937,0.004995096,0.000765581,0.00110603,0.001953545,2.09e-05,0.19810305,0.206906274,0.134742306,0.266179118,3.513183663,0.513367546,0.078549396,0.029275737
"hsa-miR-155",0.423843333,0.555745783,0.55023774,0.46764608,0.325087841,0.448727601,0.538100294,0.345513934,0.012918219,0.020738758,0.012846372,0.026953909,0.102204102,0.025379809,0.167596392,0.840310432
"hsa-miR-16",0.155214581,0.230111821,0.124973577,0.136477686,0.067864763,0.140136862,0.14373467,0.178611243,0.022763181,0.021262401,0.055142588,0.00740903,0.043696332,0.006929505,0.219985296,0.443957753
"hsa-miR-223",0.161425343,0.23104904,0.142995039,0.090758149,0.040593302,0.11062806,0.126592426,0.081528925,0.019053264,0.032154117,0.084917388,0.055394529,0.014927755,0.005450767,0.018529336,0.437075768
"hsa-miR-342",0.020888244,0.021123914,0.030351718,0.027412885,0.012601109,0.021653655,0.033870686,0.01424527,0.002140391,0.000378893,0.000691051,0.004416993,0.003088748,0.001873972,0.007824461,0.021792044
"hsa-miR-323",2.7e-05,8.93e-05,4.02e-05,3.72e-05,9.35e-06,3e-05,2.61e-05,2.48e-05,0.005567271,0.006202103,0.007511958,0.009396331,0.060572678,0.067426055,0.008365045,0.007528438
"hsa-let-7a",0.000207705,0.00126079,0.000695819,0.000234261,0.000103282,0.000358747,0.000273048,0.000635287,0.001082565,0.000950661,0.003767797,0.001213808,0.002117431,0.004955471,0.004069612,0.001141676
"hsa-let-7b",2.21e-05,0.001436106,9.72e-05,9.25e-05,4.44e-05,8.35e-05,2.18e-05,0.000102725,0.002486784,0.018365389,0.000300823,0.007686808,0.018638028,0.034077445,0.009728385,0.001983397
"hsa-let-7c",0.000125451,0.007801369,0.02056627,0.006557197,0.000100475,1.93e-05,4.64e-05,0.001053133,0.000394986,0.000278921,3.33323908,0.266179118,0.043696332,0.004955471,0.093844239,0.437075768
"hsa-let-7d",0.000102013,0.000555601,0.000121206,4.76e-05,4.46e-05,0.000145775,0.000338121,0.00028335,0.002486784,0.002211007,0.000691051,0.009872515,0.010261931,0.005450767,0.018529336,0.004576497
"hsa-let-7e",0.002345831,0.005768544,0.001056818,0.001542221,0.001251129,0.002527315,0.004276733,0.005580723,0.000346142,0.000173203,0.010292268,0.007907171,0.010261931,0.000590505,0.010393252,0.012284571
"hsa-let-7f",0.00010838,9.17e-05,0.001259795,0.000471512,5.7e-05,0.000196095,6.85e-05,0.000483734,8.23e-05,0.00011115,0.000691051,0.001576122,0.001113982,0.009248884,0.001178413,0.002211283
"hsa-let-7g",0.00898706,0.008849551,0.014740885,0.008192628,0.003396622,0.0076479,0.009551261,0.004911352,0.002486784,0.010726129,0.003767797,0.009872515,0.018638028,0.025379809,0.000903796,0.007435262
"hsa-miR-1",1.16e-05,7.51e-06,4.61e-05,1.03e-05,2.3e-06,3.82e-05,0.001560604,0.008870676,0.002156067,0.063492513,0.002247115,0.0008749,0.001589764,0.025379809,0.00073922,0.003489447
