"","GSM3147994","GSM3147995","GSM3147996","GSM3147997","GSM3147998","GSM3147999","GSM3148000","GSM3148001","GSM3148002","GSM3148003","GSM3148004","GSM3148005","GSM3148006","GSM3148007","GSM3148008","GSM3148009","GSM3148010","GSM3148011","GSM3148012","GSM3148013","GSM3148014","GSM3148015","GSM3148016","GSM3148017","GSM3148018","GSM3148019"
"hsa-let-7a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
"hsa-let-7a-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7a-3*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7b",3.16992500144231,4.24792751344359,2.32192809488736,0,5.16992500144231,3.70043971814109,2.8073549220576,0,2.8073549220576,5.4594316186373,3.32192809488736,4.32192809488736,3.70043971814109,3,1,4,4,2.8073549220576,0,0,0,3.16992500144231,3.70043971814109,1,3.32192809488736,0
"hsa-let-7b*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"hsa-let-7c*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7d",6.2667865406949,6.02236781302845,7.13955135239879,4.90689059560852,8.22881869049588,6.24792751344359,5.8073549220576,5.08746284125034,6.28540221886225,7.29462074889163,3.32192809488736,7.16992500144231,6.02236781302845,4.52356195605701,5.16992500144231,7.94251450533924,7.73470962022584,7.53138146051631,4.52356195605701,5.95419631038687,5.4594316186373,4.8073549220576,4.64385618977472,6.59991284218713,6.53915881110803,6.10852445677817
"hsa-let-7d*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7e",2.32192809488736,0,2,1.58496250072116,1,3.58496250072116,2,0,0,0,0,1.58496250072116,0,0,0,1.58496250072116,1,0,0,4,0,0,2.58496250072116,0,0,0
"hsa-let-7e*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-1",0,0,0,0,0,0,2.58496250072116,0,1.58496250072116,0,0,0,0,0,1.58496250072116,1,3.8073549220576,0,0,1.58496250072116,2,2.8073549220576,0,0,0,1
"hsa-let-7f-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7f-2",0,2,0,0,1,0,0,0,0,0,0,3.4594316186373,0,0,1.58496250072116,0,2.32192809488736,0,0,1,1,0,1.58496250072116,0,1.58496250072116,0
"hsa-let-7f-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7g",2,2.58496250072116,2.32192809488736,2,2.58496250072116,0,0,0,2.32192809488736,4.75488750216347,0,4,3.4594316186373,0,0,3.90689059560852,2,0,0,0,2,0,2,1,2,1
"hsa-let-7g*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-let-7i",5.32192809488736,4.90689059560852,5.78135971352466,3.4594316186373,5.97727992349992,2.32192809488736,2.32192809488736,1.58496250072116,4.58496250072116,5.39231742277876,4.24792751344359,4,3.4594316186373,1,3.58496250072116,5.55458885167764,6.14974711950468,4.85798099512757,1.58496250072116,3.70043971814109,2,3,3.16992500144231,4,3.58496250072116,3.58496250072116
"hsa-let-7i*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-100*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-101-1",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0
"hsa-miR-101-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-101-2",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2.58496250072116,0,0,0,0,0,2.32192809488736,0,0
"hsa-miR-101-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103a-2",1,0,3.16992500144231,2,0,1,0,0,1,3.90689059560852,0,0,0,0,0,1,3.8073549220576,4.58496250072116,0,1.58496250072116,1,0,2,3.58496250072116,1,2.32192809488736
"hsa-miR-103a-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-103b-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-1*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-105-2*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a",0,0,0,0,0,0,0,0,1.58496250072116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106a*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-106b",4.90689059560852,2.58496250072116,6,4.24792751344359,6.91886323727459,7.02236781302845,5.83289001416474,4.16992500144231,4.90689059560852,6.44294349584873,3,5.93073733756289,4.85798099512757,3.58496250072116,4.4594316186373,6.56985560833095,7.91288933622996,6.59991284218713,4.95419631038687,7.03342300153745,3.90689059560852,4.08746284125034,3.90689059560852,6.2667865406949,5.83289001416474,4.95419631038687
"hsa-miR-106b*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-107",1.58496250072116,0,0,0,1,0,0,2,0,0,0,2.8073549220576,3,1,0,0,0,0,1,0,0,1,0,0,0,0
"hsa-miR-107*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10a",0,2.8073549220576,3.4594316186373,2.32192809488736,3.16992500144231,0,4.24792751344359,1.58496250072116,0,3.32192809488736,0,3.16992500144231,4.16992500144231,1,2.58496250072116,0,1.58496250072116,0,0,0,1.58496250072116,0,3.70043971814109,3,0,2
"hsa-miR-10a*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-10b",0,4.24792751344359,4.39231742277876,4.52356195605701,3,4.52356195605701,4,1,0,4.16992500144231,1.58496250072116,0,3.4594316186373,1,0,0,4.08746284125034,4,2.32192809488736,0,1,2.58496250072116,1.58496250072116,3.8073549220576,1.58496250072116,0
"hsa-miR-10b*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1178*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1179",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.32192809488736,0,0,1,0,1,0,0,0,1.58496250072116
"hsa-miR-1179*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1180",0,0,1.58496250072116,3.58496250072116,5.24792751344359,0,3.90689059560852,0,1,2.32192809488736,0,2.8073549220576,0,0,0,2,1,3.32192809488736,0,2.58496250072116,0,1.58496250072116,1.58496250072116,0,2.32192809488736,0
"hsa-miR-1180*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1181*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1182*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1183",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-miR-1183*",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
