"","GSM2971972"
"hsa-miR-7977",8.29462074889163
"hsa-miR-7704",8.29001884693262
"hsa-miR-7108-p5",8.28540221886225
"hsa-miR-6789-p5",8.2807707701306
"hsa-miR-6752-p3",8.27612440527424
"hsa-miR-6720-5p",8.27146302790437
"hsa-miR-4792-p5",8.2667865406949
"hsa-miR-4787-p3",8.26209484537018
"hsa-miR-4516",8.25738784269265
"hsa-miR-4508",8.24792751344359
"hsa-miR-4492",8.24317398347295
"hsa-miR-4488",8.23840473932508
"hsa-miR-4485-p3",8.2336196767597
"hsa-miR-4473",8.22881869049588
"hsa-miR-3976-p3",8.2240016741981
"hsa-miR-3976-p5",8.21916852046216
"hsa-miR-3960-p5",8.21431912080077
"hsa-miR-3960",8.20945336562895
"hsa-miR-3687-1-p3",8.19967234483636
"hsa-miR-3687-1-p5",8.19475685442225
"hsa-miR-3656-p3",8.18982455888002
"hsa-miR-3648-2-p3",8.18487534290828
"hsa-miR-3648-2-p5",8.17990909001493
"hsa-miR-3615",8.17492568250068
"hsa-miR-3168",8.16992500144231
"hsa-miR-3148-p5",8.16490692667569
"hsa-miR-1307-3p",8.15987133677839
"hsa-miR-1307-5p",8.1548181090521
"hsa-miR-1306-3p",8.14974711950468
"hsa-miR-1306-5p",8.14465824283188
"hsa-miR-1291",8.13955135239879
"hsa-miR-1268a",8.13442632022093
"hsa-miR-1260a",8.12928301694497
"hsa-miR-1248",8.12412131182919
"hsa-miR-1246",8.11894107272351
"hsa-miR-1185-5p",8.11374216604919
"hsa-miR-1185-1-3p",8.10852445677817
"hsa-miR-1180-3p",8.09803208296053
"hsa-miR-940",8.09275714091985
"hsa-miR-769-5p",8.08746284125034
"hsa-miR-744-5p",8.08214904135387
"hsa-miR-663b-p3",8.07681559705083
"hsa-miR-663a-p3",8.07146236255662
"hsa-miR-663a",8.06608919045777
"hsa-miR-660-5p",8.06069593168755
"hsa-miR-629-3p",8.05528243550119
"hsa-miR-629-5p",8.04984854945056
"hsa-miR-624-p5",8.04439411935845
"hsa-miR-589-5p",8.0389189892923
"hsa-miR-582-5p",8.03342300153745
"hsa-miR-574-5p",8.02790599656988
"hsa-miR-548a-3p",8.02236781302845
"hsa-miR-548am-5p",8.01680828768655
"hsa-miR-548e-5p",8.00562454919388
"hsa-miR-548aj-5p",7.98868468677217
"hsa-miR-532-5p",7.97154355395077
"hsa-miR-505-3p",7.96578428466209
"hsa-miR-502-3p",7.96000193206808
"hsa-miR-501-3p",7.95419631038687
"hsa-miR-501-5p",7.94836723158468
"hsa-miR-500a-3p",7.94251450533924
"hsa-miR-497-5p",7.93663793900257
"hsa-miR-495-3p",7.93073733756289
"hsa-miR-494-3p",7.92481250360578
"hsa-miR-493-5p",7.91886323727459
"hsa-miR-487b-3p",7.91288933622996
"hsa-miR-487b-5p",7.90689059560852
"hsa-miR-486-5p",7.90086680798075
"hsa-miR-484",7.88874324889826
"hsa-miR-455-5p",7.88264304936184
"hsa-miR-452-5p",7.876516946565
"hsa-miR-450a-5p",7.86418614465428
"hsa-miR-450a-1-3p",7.85798099512757
"hsa-miR-431-5p",7.84549005094437
"hsa-miR-425-5p",7.83920378809694
"hsa-miR-424-3p",7.83289001416474
"hsa-miR-424-5p",7.82654848729092
"hsa-miR-423-3p",7.82017896241519
"hsa-miR-423-5p",7.81378119121704
"hsa-miR-411-3p",7.8073549220576
"hsa-miR-411-5p",7.8008998999203
"hsa-miR-409-3p",7.79441586635011
"hsa-miR-409-5p",7.78790255939143
"hsa-miR-382-3p",7.78135971352466
"hsa-miR-382-5p",7.77478705960117
"hsa-miR-381-3p",7.76818432477693
"hsa-miR-378c",7.76155123244448
"hsa-miR-377-3p",7.75488750216347
"hsa-miR-376a-5p",7.74819284958946
"hsa-miR-376c-3p",7.74146698640115
"hsa-miR-375",7.73470962022584
"hsa-miR-369-3p",7.7279204545632
"hsa-miR-369-5p",7.72109918870718
"hsa-miR-365b-3p",7.71424551766612
"hsa-miR-362-5p",7.70043971814109
"hsa-miR-361-3p",7.69348695749933
"hsa-miR-339-5p",7.68650052718322
"hsa-miR-338-3p",7.67948009950545
"hsa-miR-335-5p",7.6724253419715
"hsa-miR-331-3p",7.66533591718518
"hsa-miR-331-5p",7.65821148275179
"hsa-miR-330-3p",7.65105169117893
"hsa-miR-328-3p",7.64385618977472
"hsa-miR-324-3p",7.63662462054365
"hsa-miR-324-5p",7.62935662007961
"hsa-miR-320c",7.62205181945638
"hsa-miR-320d",7.61470984411521
"hsa-miR-320e-p3",7.60733031374961
"hsa-miR-320a",7.59991284218713
"hsa-miR-301a-3p",7.58496250072116
"hsa-miR-299-5p",7.57742882803575
"hsa-miR-296-3p",7.56985560833095
"hsa-miR-296-5p",7.56224242422107
"hsa-miR-223-3p",7.55458885167764
"hsa-miR-222-3p",7.54689445988764
"hsa-miR-222-5p",7.53915881110803
"hsa-miR-221-3p",7.53138146051631
"hsa-miR-221-5p",7.52356195605701
"hsa-miR-219a-5p",7.51569983828404
"hsa-miR-218-5p",7.49984588708321
"hsa-miR-214-3p",7.48381577726426
"hsa-miR-214-5p",7.4757334309664
"hsa-miR-210-3p",7.467605550083
"hsa-miR-205-5p",7.4594316186373
"hsa-miR-204-5p",7.45121111183233
"hsa-miR-203a-3p",7.44294349584873
"hsa-miR-200a-3p",7.43462822763672
"hsa-miR-200b-3p",7.4262647547021
"hsa-miR-200c-3p",7.4178525148859
"hsa-miR-199a-3p",7.40087943628218
"hsa-miR-199b-5p",7.39231742277876
"hsa-miR-199a-5p",7.37503943134692
"hsa-miR-197-3p",7.34872815423108
"hsa-miR-196a-5p",7.33985000288462
"hsa-miR-196b-5p",7.32192809488736
"hsa-miR-194-5p",7.31288295528436
"hsa-miR-193b-3p",7.29462074889163
"hsa-miR-193a-3p",7.28540221886225
"hsa-miR-193a-5p",7.27612440527424
"hsa-miR-192-5p",7.2667865406949
"hsa-miR-191-5p",7.25738784269265
"hsa-miR-190a-5p",7.24792751344359
"hsa-miR-188-5p",7.23840473932508
"hsa-miR-186-5p",7.22881869049588
"hsa-miR-185-5p",7.21916852046216
"hsa-miR-183-3p",7.20945336562895
"hsa-miR-183-5p",7.19967234483636
"hsa-miR-182-5p",7.18982455888002
"hsa-miR-181a-3p",7.17990909001493
"hsa-miR-181a-5p",7.16992500144231
"hsa-miR-181d-5p",7.15987133677839
"hsa-miR-181b-5p",7.14974711950468
"hsa-miR-155-5p",7.11894107272351
"hsa-miR-152-3p",7.10852445677817
"hsa-miR-150-5p",7.09803208296053
"hsa-miR-148a-3p",7.08746284125034
"hsa-miR-148b-3p",7.07681559705083
"hsa-miR-147b",7.06608919045777
"hsa-miR-146b-5p",7.05528243550119
"hsa-miR-146a-5p",7.04439411935845
"hsa-miR-145-3p",7.03342300153745
"hsa-miR-145-5p",7.02236781302845
"hsa-miR-144-3p",7.01122725542325
"hsa-miR-144-5p",7
"hsa-miR-143-3p",6.98868468677217
"hsa-miR-143-5p",6.97727992349992
"hsa-miR-142-3p",6.96578428466209
"hsa-miR-142-5p",6.95419631038687
"hsa-miR-141-3p",6.94251450533924
"hsa-miR-140-3p",6.93073733756289
"hsa-miR-140-5p",6.91886323727459
"hsa-miR-139-5p",6.90689059560852
"hsa-miR-138-5p",6.89481776330794
"hsa-miR-136-3p",6.8703647195834
"hsa-miR-136-5p",6.85798099512757
"hsa-miR-130b-5p",6.84549005094437
"hsa-miR-128-3p",6.83289001416474
"hsa-miR-127-3p",6.8073549220576
"hsa-miR-126-3p",6.79441586635011
"hsa-miR-126-5p",6.78135971352466
"hsa-miR-125b-1-3p",6.76818432477693
"hsa-miR-125b-5p",6.75488750216347
"hsa-miR-125a-3p",6.74146698640115
"hsa-miR-125a-5p",6.7279204545632
"hsa-miR-122-5p",6.70043971814109
"hsa-miR-107",6.68650052718322
"hsa-miR-106b-3p",6.6724253419715
"hsa-miR-106b-5p",6.65821148275179
"hsa-miR-106a-5p",6.64385618977472
"hsa-miR-103a-3p",6.62935662007961
"hsa-miR-103a-2-5p",6.59991284218713
"hsa-miR-101-3p",6.58496250072116
"hsa-miR-100-5p",6.53915881110803
"hsa-miR-99b-3p",6.52356195605701
"hsa-miR-99b-5p",6.5077946401987
"hsa-miR-99a-5p",6.49185309632967
"hsa-miR-98-3p",6.4757334309664
"hsa-miR-98-5p",6.4594316186373
"hsa-miR-96-5p",6.44294349584873
"hsa-miR-93-5p",6.4262647547021
"hsa-miR-92a-3p",6.4093909361377
"hsa-miR-92b-3p",6.37503943134692
"hsa-miR-92b-5p",6.35755200461808
"hsa-miR-34c-5p",6.33985000288462
"hsa-miR-34a-5p",6.32192809488736
"hsa-miR-34b-3p",6.3037807481771
"hsa-miR-34b-5p",6.28540221886225
"hsa-miR-33a-5p",6.2667865406949
"hsa-miR-32-5p",6.24792751344359
"hsa-miR-31-3p",6.22881869049588
"hsa-miR-31-5p",6.20945336562895
"hsa-miR-30a-5p",6.18982455888002
"hsa-miR-30e-5p",6.16992500144231
"hsa-miR-30c-5p",6.14974711950468
"hsa-miR-30b-5p",6.10852445677817
"hsa-miR-30d-3p",6.08746284125034
"hsa-miR-30d-5p",6.06608919045777
"hsa-miR-29c-3p",6.04439411935845
"hsa-miR-29b-3p",6.02236781302845
"hsa-miR-29b-2-p5",5.97727992349992
"hsa-miR-29a-3p",5.95419631038687
"hsa-miR-29a-5p",5.93073733756289
"hsa-miR-28-3p",5.90689059560852
"hsa-miR-27a-3p",5.88264304936184
"hsa-miR-27b-3p",5.85798099512757
"hsa-miR-26b-5p",5.83289001416474
"hsa-miR-26a-5p",5.8073549220576
"hsa-miR-25-3p",5.75488750216347
"hsa-miR-24-3p",5.7279204545632
"hsa-miR-24-2-5p",5.6724253419715
"hsa-miR-23b-3p",5.64385618977472
"hsa-miR-23b-5p",5.61470984411521
"hsa-miR-23a-3p",5.58496250072116
"hsa-miR-22-3p",5.55458885167764
"hsa-miR-22-5p",5.52356195605701
"hsa-miR-21-3p",5.49185309632967
"hsa-miR-21-5p",5.4594316186373
"hsa-miR-20a-5p",5.4262647547021
"hsa-miR-19a-3p",5.39231742277876
"hsa-miR-19b-3p",5.35755200461808
"hsa-miR-18a-5p",5.28540221886225
"hsa-miR-18b-5p",5.24792751344359
"hsa-miR-17-3p",5.20945336562895
"hsa-miR-17-5p",5.16992500144231
"hsa-miR-16-2-3p",5.12928301694497
"hsa-miR-451a",5.08746284125034
"hsa-miR-16-5p",5
"hsa-miR-15a-3p",4.95419631038687
"hsa-miR-15a-5p",4.90689059560852
"hsa-miR-15b-3p",4.85798099512757
"hsa-miR-15b-5p",4.8073549220576
"hsa-miR-10b-5p",4.75488750216347
"hsa-miR-10a-5p",4.70043971814109
"hsa-miR-9-5p",4.64385618977472
"hsa-let-7a-3p",4.4594316186373
"hsa-let-7a-5p",4.39231742277876
"hsa-let-7f-2-3p",4.32192809488736
"hsa-let-7f-5p",4.24792751344359
"hsa-let-7d-3p",4.16992500144231
"hsa-let-7d-5p",4.08746284125034
"hsa-miR-7-5p",3.8073549220576
"hsa-let-7c-5p",3.70043971814109
"hsa-let-7e-5p",3.58496250072116
"hsa-let-7g-5p",3.32192809488736
"hsa-let-7i-3p",3.16992500144231
"hsa-let-7i-5p",3
"hsa-let-7b-5p",2.8073549220576
"hsa-miR-1-3p",1.58496250072116
