"","GSM2123259","GSM2123260","GSM2123261","GSM2123262","GSM2123263","GSM2123264","GSM2123265","GSM2123266","GSM2123267","GSM2123268","GSM2123269","GSM2123270","GSM2123271","GSM2123272","GSM2123273","GSM2123274","GSM2123275","GSM2123276","GSM2123277","GSM2123278","GSM2123279","GSM2123280","GSM2123281","GSM2123282","GSM2123283","GSM2123284","GSM2123285","GSM2123286","GSM2123287","GSM2123288","GSM2123289","GSM2123290","GSM2123291","GSM2123292","GSM2123293","GSM2123294","GSM2123295"
"hsa-let-7a-2-3p",1.58496250072116,0,2.32192809488736,6.55458885167764,7.58496250072116,7.08746284125034,10.3151495622563,8.56605403817109,7.91886323727459,10.5868397879618,8.19967234483636,6.93073733756289,1,3.16992500144231,5.32192809488736,0,0,0,0,1.58496250072116,1,0,2,1.58496250072116,5,5.08746284125034,5.49185309632967,4.32192809488736,5.52356195605701,1,6.16992500144231,5.35755200461808,7,5.85798099512757,1,0,2.32192809488736
"hsa-let-7a-3p",1,0,0,2.8073549220576,4.64385618977472,3.32192809488736,7.8703647195834,5.16992500144231,4.95419631038687,7.24792751344359,5.12928301694497,4.8073549220576,0,1,2.8073549220576,0,2.32192809488736,2.32192809488736,0,1,0,1,3.58496250072116,5.4594316186373,4.4594316186373,4.24792751344359,4.8073549220576,1,1,1,7.35755200461808,6.4594316186373,8.27146302790437,7.08746284125034,0,0,2
"hsa-let-7a-5p",1.58496250072116,1,1.58496250072116,2.8073549220576,3.90689059560852,3.16992500144231,9.93369065495223,5.49185309632967,4.95419631038687,10.9285183752579,7.5077946401987,6.35755200461808,1,1,3.58496250072116,1,0,1,1.58496250072116,2,2,1.58496250072116,4.70043971814109,5.64385618977472,6.22881869049588,6.18982455888002,5.28540221886225,4,5.61470984411521,1.58496250072116,10.0566377151132,9.05528243550119,10.3575520046181,9.18239435340453,3.16992500144231,1.58496250072116,4.24792751344359
"hsa-let-7b-3p",0,1,0,3.70043971814109,5.83289001416474,5.24792751344359,9.79766152585376,5.8073549220576,4.85798099512757,10.8634119589416,7.39231742277876,6.32192809488736,0,7.23840473932508,6.44294349584873,0,0,0,0,1.58496250072116,0,3.32192809488736,3.16992500144231,4,5.32192809488736,5.12928301694497,4.85798099512757,1,1,0,9.53138146051631,8.45532722030456,9.7714894695006,8.84549005094438,0,0,2.8073549220576
"hsa-let-7b-5p",1,1,1,2.8073549220576,3.8073549220576,3.32192809488736,10.0168082876866,5.90689059560852,4.75488750216347,10.8665062122262,7.31288295528436,5.93073733756289,1,4.75488750216347,4.58496250072116,1,0,0,1.58496250072116,1,1.58496250072116,0,3.16992500144231,4.24792751344359,5.32192809488736,5.4262647547021,4.16992500144231,3.8073549220576,4.32192809488736,0,8.4757334309664,7.62935662007961,9.00562454919388,7.24792751344359,2.32192809488736,1,2.58496250072116
"hsa-let-7c",1.58496250072116,1,1.58496250072116,3,3.8073549220576,3.16992500144231,9.97154355395077,5.4262647547021,4.85798099512757,10.9322147519684,7.4757334309664,6.3037807481771,1.58496250072116,1.58496250072116,3.70043971814109,1,0,1,1.58496250072116,2.58496250072116,1.58496250072116,1.58496250072116,4.70043971814109,5.64385618977472,6.2667865406949,6.14974711950468,5.28540221886225,4,5.58496250072116,1.58496250072116,10.1163439612375,9.11374216604919,10.515699838284,9.28540221886225,3.16992500144231,1.58496250072116,4.24792751344359
"hsa-let-7d-3p",1,1.58496250072116,1,3.32192809488736,4.95419631038687,3,8.55074678538324,5.49185309632967,5.12928301694497,8.39660478118186,5.61470984411521,4.32192809488736,1,2,3,0,0,0,1.58496250072116,2.8073549220576,0,1.58496250072116,4.08746284125034,5.4594316186373,5.35755200461808,6.37503943134692,6.08746284125034,3.32192809488736,3.32192809488736,1,7.83289001416474,7.11894107272351,8.72451385311995,7.04439411935845,2.58496250072116,1,2.8073549220576
"hsa-let-7d-5p",1.58496250072116,1.58496250072116,0,3.16992500144231,3.32192809488736,3.4594316186373,9.86263735755879,5.08746284125034,4.52356195605701,10.9240701855853,7.467605550083,6.04439411935845,0,0,6.44294349584873,0,0,0,1,3.16992500144231,1,0,2,2.58496250072116,5.35755200461808,5.58496250072116,5.4262647547021,1,2.32192809488736,1,10.0126245388651,8.98584193700334,10.3387363825739,9.16239132875691,1.58496250072116,1,3
"hsa-let-7e-3p",1,0,0,6.56985560833095,7.65821148275179,7.09803208296053,9.11634396123747,7.33985000288462,6.75488750216347,10.7829982089204,8.72109918870719,7.55458885167764,0,3.16992500144231,3.70043971814109,1,0,0,0,2.58496250072116,1.58496250072116,0,0,2,5.04439411935845,5.24792751344359,5.08746284125034,0,2.8073549220576,0,7.92481250360578,6.94251450533924,8.38370429247405,6.83289001416474,1,0,1.58496250072116
"hsa-let-7e-5p",1,0,1.58496250072116,2.8073549220576,4.32192809488736,3.16992500144231,10.7090838125503,5.95419631038687,5.24792751344359,11.1019756709492,7.8073549220576,6.52356195605701,0,1.58496250072116,6.10852445677817,0,0,0,1.58496250072116,3.58496250072116,1,0,2.58496250072116,3.32192809488736,4.90689059560852,5.39231742277876,5.12928301694497,2.32192809488736,4.39231742277876,0,6.55458885167764,5.83289001416474,7.02236781302845,5.49185309632967,1,0,2.58496250072116
