"","GSM1112869","GSM1112870","GSM1112871","GSM1112872","GSM1112873","GSM1112874","GSM1112875","GSM1112876","GSM1112877","GSM1112878","GSM1112879","GSM1112880","GSM1112881","GSM1112882"
"hsa-let-7a-2-3p",2,2.8073549220576,1,2.8073549220576,3.32192809488736,3.32192809488736,2.32192809488736,2.32192809488736,2.32192809488736,2.8073549220576,2.8073549220576,2.8073549220576,3.58496250072116,2.8073549220576
"hsa-let-7a-3p",4.85798099512757,4.8073549220576,2.58496250072116,2.8073549220576,4.85798099512757,4.75488750216347,5,4.52356195605701,4.70043971814109,4.39231742277876,5.70043971814109,4.95419631038687,4.52356195605701,4.4594316186373
"hsa-let-7a-5p",9.98726401207254,9.86108690599539,9.6582114827518,9.44086916761087,11.8595347863827,11.7598881832218,9.33985000288462,9.79603960882977,11.2556187498396,11.1686721181322,9.34872815423108,9.77313920671969,11.3168471836025,11.1382718001722
"hsa-let-7b-3p",7.14974711950468,8.56605403817109,5.24792751344359,5.24792751344359,6.65821148275179,6.4093909361377,8.8073549220576,7.16992500144231,6.53915881110803,6.89481776330794,9.27612440527424,8.94544383637791,6.64385618977472,6.6724253419715
"hsa-let-7b-5p",12.2152296257479,12.1560830762887,10.4040771362412,10.4470832262097,14.4121728658238,14.6155721670917,11.7536346188534,12.0056245491939,14.4714847051098,14.4519194042502,10.8501868376458,11.3269911749008,14.4077324751654,14.5054394215825
"hsa-let-7c",10.2550285698187,10.2240016741981,9.59991284218713,9.62388149001346,12.0854724591813,11.998237821888,9.12153351734003,9.467605550083,11.0209799389042,10.9359016822676,8.58496250072116,9.00281501560705,11.2650289424582,11.0821490413539
"hsa-let-7d-3p",10.0834793273318,10.0927571409199,11.0881256921882,10.6626683755175,11.5679560754155,11.5693809595223,9.72962074355304,9.81217730551445,10.9166259222112,10.8610869059954,9.74819284958946,9.4797802640291,11.8101699376647,11.7739633684336
"hsa-let-7d-5p",8.37937836707126,8.23840473932508,7.18982455888002,7.03342300153745,9.41574176829009,9.24792751344359,7.74819284958946,7.85798099512757,8.69696752623429,8.75822321472672,8.3037807481771,8.53138146051631,8.91288933622996,8.68999797141945
"hsa-let-7e-3p",4.90689059560852,5.88264304936184,5.08746284125034,4.8073549220576,6.5077946401987,6.39231742277876,5,4,5.7279204545632,5.4594316186373,6.32192809488736,5.55458885167764,5.97727992349992,6.02236781302845
"hsa-let-7e-5p",7.97727992349992,7.91886323727459,9.97584796800678,9.99435343685886,9.71596199025514,9.62935662007961,7.14974711950468,7.4093909361377,9.38586240064146,9.26912667914942,7.54689445988764,7.69348695749933,9.30606168942834,9.17242750864548
"hsa-let-7f-1-3p",6.18982455888002,6.4594316186373,4.75488750216347,4.90689059560852,5.49185309632967,5.7279204545632,5.70043971814109,5.7279204545632,5.64385618977472,5.64385618977472,6.62935662007961,6.88264304936184,5.6724253419715,5.88264304936184
"hsa-let-7f-2-3p",6.58496250072116,7.3037807481771,5.49185309632967,4.70043971814109,7.23840473932508,6.90689059560852,6.56985560833095,5.70043971814109,6.56985560833095,6.14974711950468,7.37503943134692,7,6.6724253419715,6.52356195605701
"hsa-let-7f-5p",9.18487534290828,9.17741953798924,10.3431857154479,10.3564519702218,10.7615512324445,10.6483575820097,8.13955135239879,8.5352753766208,9.8703647195834,9.71424551766612,8.08746284125034,8.56224242422107,10.075479149488,9.85798099512757
"hsa-let-7g-3p",2.58496250072116,2,3.58496250072116,4.32192809488736,2.58496250072116,2,2,2,2,2.32192809488736,3,2.8073549220576,2,2.32192809488736
"hsa-let-7g-5p",10.3003525603282,10.6229669447905,8.97727992349992,8.88874324889826,13.1639640914123,13.0045716151677,9.89784545600551,9.79441586635011,12.3456824481868,12.3009244909763,10.9614496943982,11.1072170755914,12.8419573990995,12.6461086415061
"hsa-let-7i-3p",7.5077946401987,8.24792751344359,5.08746284125034,4.58496250072116,6.8703647195834,6.98868468677217,6.78135971352466,5.88264304936184,7.04439411935845,7.02236781302845,8.26209484537018,8.01680828768655,6.64385618977472,6.8703647195834
"hsa-let-7i-5p",12.5873087283335,12.7174622303497,12.211279947482,12.3379006028609,15.066341505445,14.9297669614759,11.794009645021,11.6114859432409,14.2347426005957,14.1630206395808,12.2891543537234,12.3387363825739,14.1682803688587,13.9517400392696
"hsa-miR-1",5.75488750216347,5.90689059560852,1,1,6.95419631038687,6.64385618977472,4.52356195605701,4.58496250072116,5.52356195605701,5.39231742277876,5.75488750216347,6.10852445677817,5.78135971352466,5.61470984411521
"hsa-miR-100-5p",15.0942014247935,13.7219536128014,14.8651532929381,14.6903799904978,14.3170592458838,14.3022105065488,13.8895990245284,16.1319574121473,14.5117526537674,14.4276402159943,13.539522347721,13.7428357174311,14.4165996315758,14.2416852876016
"hsa-miR-101-3p",9.49984588708321,9.55458885167764,8.7176764230664,8.84235034341381,12.3320365483617,12.2161395564251,8.64024493622235,8.48784003382305,11.929998062609,11.7850437147797,10.3923174227788,10.7473538294781,11.7469341363723,11.567480801143
"hsa-miR-101-5p",2.8073549220576,2.8073549220576,1,1,1,1,2,2,1,1,3.32192809488736,2.32192809488736,1,1
"hsa-miR-103a-2-5p",4.08746284125034,3.4594316186373,1,1,1,1,2.8073549220576,2.8073549220576,1,1,3.70043971814109,4.24792751344359,1,1
"hsa-miR-105-3p",2.32192809488736,2.58496250072116,2.32192809488736,2,3,3,2,1,2.8073549220576,2,1,1,2.58496250072116,3
"hsa-miR-105-5p",5.35755200461808,5.20945336562895,5.12928301694497,4.75488750216347,9.22881869049588,9.34429590791582,3.58496250072116,4.64385618977472,9.49585502688717,9.59991284218713,5.04439411935845,5.32192809488736,9.12153351734003,9.18982455888002
"hsa-miR-106a-5p",2.32192809488736,2.32192809488736,1,1,2.32192809488736,2.32192809488736,1,1.58496250072116,2,2,3.32192809488736,3.16992500144231,1.58496250072116,2
"hsa-miR-106b-3p",5.49185309632967,5.75488750216347,5.58496250072116,5.61470984411521,6.49185309632967,6.33985000288462,4.70043971814109,4.75488750216347,5.39231742277876,5.6724253419715,4.32192809488736,4.58496250072116,5.6724253419715,5.52356195605701
"hsa-miR-106b-5p",6.16992500144231,5.85798099512757,3,3.4594316186373,4.32192809488736,4.64385618977472,3.58496250072116,3.58496250072116,3.4594316186373,3.58496250072116,6.22881869049588,6.22881869049588,4.24792751344359,4
"hsa-miR-107",8.17990909001493,8.51175265376738,9.34429590791582,9.77807712953536,7.83289001416474,7.59245703726808,7.78135971352466,6.90689059560852,7.4178525148859,7.53138146051631,9.3151495622563,9.29691620687929,7.4178525148859,7.44294349584873
"hsa-miR-10a-3p",2.58496250072116,2.32192809488736,2.32192809488736,2.58496250072116,3.90689059560852,3.70043971814109,2.58496250072116,2.32192809488736,3.8073549220576,3.8073549220576,2.58496250072116,2.32192809488736,3.58496250072116,3.8073549220576
"hsa-miR-10a-5p",10.6697708885255,10.5868397879618,14.3083390301394,14.2806982856409,10.4470832262097,10.3901689562002,11.0960562391809,11.3890935219045,10.0402897210257,9.96578428466209,9.22158712126481,9.52552080909507,10.5018371849023,10.3230547603416
"hsa-miR-10b-3p",3.70043971814109,3.32192809488736,1,2,2.8073549220576,2.32192809488736,2.8073549220576,3.32192809488736,3.16992500144231,2.58496250072116,2,2,2.32192809488736,2.32192809488736
"hsa-miR-10b-5p",11.0244471240406,10.8540891798706,14.8604080591247,14.7901448269498,10.5255208090951,10.3923174227788,11.1143930548673,11.612868497291,10.1267044728432,10.0430272835945,9.75321674917896,10.0112272554233,10.6366246205436,10.2491134527137
"hsa-miR-1180",3.4594316186373,3.16992500144231,1,2.32192809488736,4.16992500144231,4.24792751344359,2.58496250072116,2,2.58496250072116,2.32192809488736,1,2,2.58496250072116,2.8073549220576
"hsa-miR-1185-1-3p",1,1,1,1,2.58496250072116,2.32192809488736,1,1,1,1,1,1,1,1
