"","GSM1100823","GSM1100824","GSM1100825","GSM1100826"
"hsa-miR-1",17.1739,17.0872,11.1379,11.0274
"hsa-miR-10b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-122",17.1739,17.0872,11.1379,11.0274
"hsa-miR-129-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-133b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-136",17.1739,17.0872,11.1379,11.0274
"hsa-miR-137",17.1739,17.0872,11.1379,11.0274
"hsa-miR-139-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-147",17.1739,17.0872,11.1379,11.0274
"hsa-miR-147b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-153",17.1739,17.0872,11.1379,11.0274
"hsa-miR-187",17.1739,17.0872,11.1379,11.0274
"hsa-miR-188-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-190",17.1739,17.0872,11.1379,11.0274
"hsa-miR-198",17.1739,17.0872,11.1379,11.0274
"hsa-miR-199a-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-203",17.1739,17.0872,11.1379,11.0274
"hsa-miR-205",17.1739,17.0872,11.1379,11.0274
"hsa-miR-208",17.1739,17.0872,11.1379,11.0274
"hsa-miR-208b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-211",17.1739,17.0872,11.1379,11.0274
"hsa-miR-214",17.1739,17.0872,11.1379,11.0274
"hsa-miR-216a",17.1739,17.0872,11.1379,11.0274
"hsa-miR-219-2-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-220",17.1739,17.0872,11.1379,11.0274
"hsa-miR-220b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-220c",17.1739,17.0872,11.1379,11.0274
"hsa-miR-23b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-28-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-296-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-298",17.1739,17.0872,11.1379,11.0274
"hsa-miR-302a",17.1739,17.0872,11.1379,11.0274
"hsa-miR-302c",17.1739,17.0872,11.1379,11.0274
"hsa-miR-31",17.1739,17.0872,11.1379,11.0274
"hsa-miR-326",17.1739,17.0872,11.1379,11.0274
"hsa-miR-335",17.1739,17.0872,11.1379,11.0274
"hsa-miR-338-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-346",17.1739,17.0872,11.1379,11.0274
"hsa-miR-34c-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-363",17.1739,17.0872,11.1379,11.0274
"hsa-miR-367",17.1739,17.0872,11.1379,11.0274
"hsa-miR-371-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-372",17.1739,17.0872,11.1379,11.0274
"hsa-miR-384",17.1739,17.0872,11.1379,11.0274
"hsa-miR",17.1739,17.0872,11.1379,11.0274
"hsa-miR-429",17.1739,17.0872,11.1379,11.0274
"hsa-miR-450b-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-450b-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-453",17.1739,17.0872,11.1379,11.0274
"hsa-miR-455-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-455-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-490-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-491-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-499-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-503",17.1739,17.0872,11.1379,11.0274
"hsa-miR-504",17.1739,17.0872,11.1379,11.0274
"hsa-miR-506",17.1739,17.0872,11.1379,11.0274
"hsa-miR-507",17.1739,17.0872,11.1379,11.0274
"hsa-miR-508-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-508-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-509-3-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-509-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-510",17.1739,17.0872,11.1379,11.0274
"hsa-miR-511",17.1739,17.0872,11.1379,11.0274
"hsa-miR-512-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-512-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-513-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-515-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-515-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-516a-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-516b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-517b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518a-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518a-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518c",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518d-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518d-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-518e",17.1739,17.0872,11.1379,11.0274
"hsa-miR-519c-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-519d",17.1739,17.0872,11.1379,11.0274
"hsa-miR-519e",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520a-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520a-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520d-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520f",17.1739,17.0872,11.1379,11.0274
"hsa-miR-520g",17.1739,17.0872,11.1379,11.0274
"hsa-miR-521",17.1739,17.0872,11.1379,11.0274
"hsa-miR-522",17.1739,17.0872,11.1379,11.0274
"hsa-miR-523",17.1739,17.0872,11.1379,11.0274
"hsa-miR-524-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-525-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-525-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-526b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-542-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-542-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-544",17.1739,17.0872,11.1379,11.0274
"hsa-miR-548a-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-548a-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-548b-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-548c-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-551b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-556-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-556-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-561",17.1739,17.0872,11.1379,11.0274
"hsa-miR-576-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-582-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-582-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-598",17.1739,17.0872,11.1379,11.0274
"hsa-miR-615-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-615-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-624",17.1739,17.0872,11.1379,11.0274
"hsa-miR-651",17.1739,17.0872,11.1379,11.0274
"hsa-miR-653",17.1739,17.0872,11.1379,11.0274
"hsa-miR-672",17.1739,17.0872,11.1379,11.0274
"hsa-miR-674",17.1739,17.0872,11.1379,11.0274
"hsa-miR-708",17.1739,17.0872,11.1379,11.0274
"hsa-miR-871",17.1739,17.0872,11.1379,11.0274
"hsa-miR-872",17.1739,17.0872,11.1379,11.0274
"hsa-miR-873",17.1739,17.0872,11.1379,11.0274
"hsa-miR-874",17.1739,17.0872,11.1379,11.0274
"hsa-miR-875-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-876-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-876-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-885-3p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-885-5p",17.1739,17.0872,11.1379,11.0274
"hsa-miR-887",17.1739,17.0872,11.1379,11.0274
"hsa-miR-890",17.1739,17.0872,11.1379,11.0274
"hsa-miR-891b",17.1739,17.0872,11.1379,11.0274
"hsa-miR-892a",17.1739,17.0872,11.1379,11.0274
"hsa-miR-98",17.1739,17.0872,11.1379,11.0274
"hsa-miR-299-3p",17.1739,17.0872,11.1336,11.0274
"hsa-miR-488",17.1739,17.0872,11.1379,11.0162
"hsa-miR-449a",17.1739,17.0872,11.1379,11.0091
"hsa-miR-499-5p",17.1739,17.0872,11.1379,11.0033
"hsa-miR-496",17.1739,17.0872,11.1379,11.0023
"hsa-miR-33b",17.1739,17.0872,11.1127,11.0274
"hsa-miR-129-3p",17.14,17.0872,11.1379,11.0274
"hsa-miR-517a",17.1739,17.0872,11.1379,10.9893
"hsa-miR-517c",17.1739,17.0872,10.9749,11.0274
"hsa-miR-155",17.1739,17.0872,10.7599,11.0274
"hsa-miR-296-5p",17.1739,17.0756,11.1379,10.6428
"hsa-miR-193a-3p",17.1739,17.0872,11.1379,10.548
"hsa-miR-519a",17.1739,17.0872,11.1379,10.2682
"hsa-miR-95",17.1739,17.0872,10.3333,11.0274
"hsa-miR-184",17.1739,17.0872,11.0773,10.1914
"hsa-miR-143",17.1739,17.0872,11.1379,10.0438
"hsa-miR-891a",17.1739,17.0872,11.1099,10.0304
"hsa-miR-217",17.1739,17.0872,11.1379,9.9838
"hsa-miR-888",17.1739,17.0872,11.0822,10.008
"hsa-miR-219-1-3p",17.1739,17.0872,11.1379,9.6215
"hsa-miR-618",17.1739,17.0872,11.1379,9.5683
"hsa-miR-219-5p",17.1739,17.0872,11.1093,9.5471
"hsa-miR-138",17.1739,17.0872,10.1054,10.4715
"hsa-let-7c",17.1739,17.0872,11.1379,9.1384
"hsa-miR-330-5p",17.1739,17.0872,9.1464,11.0274
"hsa-miR-489",17.1089,17.0872,9.4896,10.001
"hsa-miR-28-3p",17.1739,17.0872,8.0931,11.0274
"hsa-miR-627",17.1099,17.0872,10.1049,8.8974
"hsa-miR-181c",17.1739,17.0872,10.1576,8.7484
"hsa-miR-501-3p",16.1972,14.7392,11.1379,11.0274
"hsa-miR-449b",17.1739,16.4326,11.1379,8.2184
"hsa-miR-502-3p",17.1739,17.0872,9.1313,9.2316
"hsa-miR-221",17.1739,17.0872,7.1289,11.0274
"hsa-miR-150",17.1739,17.0872,9.1032,8.4554
"hsa-miR-125b",17.1739,17.0872,8.5479,9.0085
"hsa-miR-199b-5p",17.1739,17.0872,7.296,9.9807
"hsa-miR-127-5p",17.1739,17.0872,8.2219,9.0018
"hsa-miR-485-5p",12.1956,17.0872,11.1379,11.0274
"hsa-miR-369-5p",17.1739,17.0872,7.9774,8.9927
"hsa-miR-450a",17.1739,17.0872,6.8971,10.0499
"hsa-miR-204",17.1739,17.0872,7.5866,9.0393
"hsa-miR-302b",17.1739,17.0872,8.1107,7.7989
"hsa-miR-548c-5p",17.1739,17.0872,8.1114,7.7819
"hsa-miR-216b",17.1739,17.0872,7.5294,8.0051
"hsa-miR-34a",17.1739,17.0872,7.0959,8.0564
"hsa-miR-342-5p",17.1739,17.0872,8.2071,6.9287
"hsa-let-7f",17.1739,16.0534,5.0553,11.0274
"hsa-miR-518f",17.1739,17.0872,8.24,6.7045
"hsa-miR-625",16.1529,16.1722,8.3236,7.9961
"hsa-miR-141",17.1739,17.0872,7.0771,7.29
"hsa-miR-196b",17.1242,16.4213,7.069,7.9991
"hsa-miR-377",17.1739,17.0872,8.1359,6.1908
"hsa-miR-541",17.1739,17.0872,7.1253,7.0246
"hsa-miR-100",17.1513,17.0872,7.1194,6.8827
"hsa-miR-545",17.1739,16.2947,8.1006,6.5913
"hsa-miR-636",17.1739,17.0872,6.8716,7.0097
"hsa-miR-548d-3p",17.1739,17.0872,6.8755,6.9892
"hsa-miR-202",17.1739,17.0872,7.0767,6.7734
"hsa-miR-502-5p",16.6761,17.0872,7.1296,7.1703
"hsa-miR-154",17.1739,17.0872,7.1257,6.6314
"hsa-miR-548d-5p",16.8443,17.0432,7.0555,7.0085
"hsa-miR-570",17.1028,17.0872,7.1192,6.6226
"hsa-miR-130a",17.1393,17.0872,7.1245,6.4093
"hsa-miR-29b",17.1209,17.0872,7.0974,6.4276
"hsa-miR-133a",17.1739,17.0872,7.1218,6.2972
"hsa-miR-589",17.1739,17.0872,7.1113,6.3038
"hsa-miR-424",17.1739,17.0872,7.1177,6.1771
"hsa-miR-325",17.1739,8.1794,11.1379,11.0274
"hsa-miR-380",17.1739,17.0872,6.0274,6.9897
"hsa-miR-518b",17.1739,15.8921,7.1671,6.7782
"hsa-miR-193a-5p",17.1739,17.0872,6.6502,6.0143
"hsa-miR-369-3p",16.9124,17.0872,6.9438,5.9723
"hsa-miR-548b-5p",15.8572,17.0872,6.958,7.0103
"hsa-miR-362-3p",17.1739,17.0872,6.6012,5.9774
"hsa-let-7d",17.1739,17.0872,6.1066,6.3522
"hsa-miR-181a",17.1739,17.0872,6.4011,6.0227
"hsa-miR-99a",17.1739,17.0872,7.167,5.2447
"hsa-miR-146a",17.1739,16.4126,7.1228,5.8942
"hsa-miR-493",16.1779,15.9252,6.876,7.0011
"hsa-miR-107",17.1739,17.0872,6.1036,5.6081
"hsa-miR-654-3p",17.1098,16.5035,6.0977,5.8854
"hsa-miR-331-5p",16.1781,15.2658,7.1374,6.7893
"hsa-miR-182",16.1702,14.9981,7.0972,7.0694
"hsa-miR-487a",17.1739,16.0428,6.0914,6.014
"hsa-miR-218",17.129,17.0872,5.5954,4.9895
"hsa-miR-329",17.1739,17.0872,5.0826,5.3355
"hsa-miR-199a-3p",15.4729,17.0872,5.976,5.9932
"hsa-miR-383",17.1739,17.0872,5.1162,5.0242
"hsa-miR-200b",17.1739,17.0872,5.0644,5.0577
"hsa-miR-501-5p",17.1739,17.0872,5.106,5.0075
"hsa-miR-146b-3p",17.1739,17.0872,5.1024,4.976
"hsa-miR-616",16.9416,17.0563,5.296,4.9956
"hsa-miR-381",16.3533,17.0872,5.736,4.9806
"hsa-miR-629",17.1739,16.7682,5.1135,4.9814
"hsa-miR-505",16.1355,17.0872,5.7655,5.012
"hsa-miR-152",17.1739,17.0226,5.0854,4.6445
"hsa-miR-409-5p",16.0117,16.0575,6.1104,5.4933
"hsa-let-7g",17.1593,16.6113,5.1064,4.734
"hsa-let-7b",17.1739,17.0872,5.104,4.1746
"hsa-miR-124",17.159,17.0872,4.2194,5.0257
"hsa-miR-96",15.6525,15.0923,6.1711,6.5261
"hsa-miR-376b",17.1739,17.0872,4.1143,4.9714
"hsa-miR-125a-3p",17.1276,15.5849,5.3274,4.9903
"hsa-miR-361-5p",16.1398,16.3197,5.133,4.7172
"hsa-miR-135a",16.1458,16.0246,5.1026,5.0071
"hsa-miR-32",16.1141,16.0636,4.9276,4.9994
"hsa-miR-365",15.966,16.0634,5.1231,4.9345
"hsa-miR-105",17.1454,15.0656,5.0855,4.6744
"hsa-miR-597",17.1487,16.7191,4.0903,3.9
"hsa-miR-330-3p",16.1434,15.4457,4.7518,4.9449
"hsa-miR-375",16.1504,17.0872,3.7597,3.982
"hsa-miR-654-5p",17.1739,17.0872,3.6312,3.0356
"hsa-miR-324-5p",15.0201,17.0626,4.6128,3.9704
"hsa-miR-576-3p",15.122,15.4107,5.1204,4.7139
"hsa-miR-491-5p",15.1269,15.6433,4.4678,4.9613
"hsa-miR-222",16.1282,16.1472,4.0823,3.6868
"hsa-miR-671-3p",15.1337,14.5344,5.0978,5.0055
"hsa-let-7a",16.0026,16.0991,3.4967,4.0632
"hsa-miR-483-5p",16.6581,17.0625,2.8026,2.9796
"hsa-miR-139-5p",15.1437,14.6225,5.123,4.6132
"hsa-miR-215",17.1739,13.9091,4.1168,4.0619
"hsa-miR-500",15.673,16.0713,4.089,3.4158
"hsa-miR-299-5p",13.8765,14.0389,5.2813,5.9978
"hsa-miR-23a",17.1739,15.0875,3.8625,2.9942
"hsa-miR-148b",15.1455,15.6687,4.11,3.9782
"hsa-miR-29c",15.1614,15.5235,4.0977,4.0098
"hsa-miR-423-5p",16.1873,15.6679,3.1057,3.0018
"hsa-miR-101",15.1408,15.9143,3.0996,2.9803
"hsa-miR-149",15.1816,13.9186,4.1055,3.7446
"hsa-miR-27b",16.1387,14.7235,3.0758,3.0058
"hsa-miR-194",14.6639,16.0715,3.128,2.8171
"hsa-miR-579",15.1304,14.9272,3.5664,3.001
"hsa-miR-148a",16.1381,14.6173,3.1122,2.7372
"hsa-miR-758",13.1611,13.7689,4.5734,4.985
"hsa-miR-362-5p",14.1482,13.9563,4.0989,4.2622
"hsa-miR-337-5p",15.1647,15.2943,3.0943,2.8598
"hsa-miR-373",17.1739,17.0872,1.1732,0.8063
"hsa-miR-532-3p",14.5488,14.099,3.5918,3.9819
"hsa-miR-22",17.1739,17.0872,1.1428,0.6496
"hsa-miR-324-3p",15.1414,14.9979,3.1112,2.7406
"hsa-miR-128",14.9301,15.0334,3.1093,2.8218
"hsa-miR-140-3p",13.1715,12.2497,5.414,5.0122
"hsa-miR-192",14.7936,15.0422,3.0923,2.8585
"hsa-miR-628-5p",14.0274,14.0092,3.705,3.9542
"hsa-miR-889",15.1433,14.3614,3.099,2.9951
"hsa-miR-433",15.1412,13.6024,3.0948,3.3781
"hsa-miR-328",14.1452,14.5631,2.9369,2.9863
"hsa-miR-200c",14.1556,14.0287,3.0958,2.7312
"hsa-miR-485-3p",12.8646,13.0444,3.1125,3.9912
"hsa-miR-744",14.1864,15.0337,1.7792,2.0049
"hsa-miR-142-5p",14.1193,14.2643,2.0799,1.9914
"hsa-miR-642",14.1513,13.8225,2.0989,2.3689
"hsa-miR-410",14.1312,14.283,2.0774,1.8615
"hsa-miR-660",13.1572,13.163,3.1178,2.6523
