"","GSM2345091","GSM2345092","GSM2345093","GSM2345094","GSM2345095","GSM2345096","GSM2345097","GSM2345098","GSM2345099"
"hsa-let-7a-5p",9.186,9.587,9.77,6.96,6.87,6.743,7.483,7.583,7.353
"hsa-let-7b-5p",7.338,7.669,7.779,6.724,6.872,6.765,6.788,6.891,6.878
"hsa-let-7c",8.781,8.87,8.903,6.763,6.781,6.799,7.442,7.25,7.239
"hsa-let-7d-5p",9.093,9.408,9.408,6.771,6.762,6.74,7.864,7.564,7.963
"hsa-let-7e-5p",8.35,8.35,8.315,6.764,6.823,6.808,6.903,7.126,7.031
"hsa-let-7f-5p",9.937,10.022,9.937,6.964,6.801,6.796,7.754,7.684,7.815
"hsa-miR-15a-5p",7.257,7.411,7.419,6.969,6.726,6.768,6.817,7.06,6.864
"hsa-miR-16-5p",9.85,10.096,10.322,7.182,6.716,6.838,8.35,8.315,8.412
"hsa-miR-17-5p",6.755,6.824,6.715,6.793,6.762,6.794,7.101,10.454,6.784
"hsa-miR-17-3p",6.975,6.995,6.947,6.7,6.761,6.89,6.766,6.795,6.721
"hsa-miR-18a-5p",7.564,7.353,7.442,6.759,6.694,6.799,6.82,6.912,6.916
"hsa-miR-19a-3p",7.669,7.815,7.827,6.77,6.698,6.757,6.954,6.968,6.995
"hsa-miR-19b-3p",8.963,9.093,9.186,7.047,6.756,6.969,7.779,7.864,7.684
"hsa-miR-20a-5p",9.77,9.621,9.679,6.971,6.743,6.826,7.935,7.754,7.669
"hsa-miR-21-5p",9.587,10.173,10.173,6.938,6.781,6.803,8.578,8.511,8.439
"hsa-miR-22-3p",7.054,7.164,7.107,6.848,6.767,6.78,7.041,6.827,6.879
"hsa-miR-23a-3p",8.759,8.781,8.824,7.064,6.792,6.888,7.6,7.91,7.91
"hsa-miR-24-1-5p",6.788,6.767,6.846,6.715,6.721,6.813,6.707,6.796,6.757
"hsa-miR-24-3p",7.645,8.038,8.059,7.373,7.626,7.164,6.947,7.132,7.326
"hsa-miR-25-3p",7.284,7.284,7.265,6.767,6.744,6.766,6.787,6.742,6.947
"hsa-miR-26a-5p",7.717,8.439,8.412,6.836,6.886,6.819,7.55,7.497,7.899
"hsa-miR-26b-5p",7.613,8.315,8.371,6.691,6.82,6.783,7.132,7.027,7.55
"hsa-miR-27a-3p",7.107,7.368,7.301,6.743,6.787,6.763,7.099,7.041,7.012
"hsa-miR-28-5p",7.027,7.294,7.193,6.705,6.889,6.766,6.872,6.777,6.768
"hsa-miR-29a-3p",7.583,7.963,7.864,6.772,6.742,6.748,7.06,7.068,7.062
"hsa-miR-30a-5p",7.002,7.132,7.164,6.793,6.853,6.664,6.742,6.842,6.883
"hsa-miR-30a-3p",6.849,6.875,6.794,6.745,6.803,6.647,6.808,6.841,6.754
"hsa-miR-31-5p",6.747,6.717,6.687,6.709,6.724,6.668,6.791,6.817,6.825
"hsa-miR-32-5p",6.753,6.789,6.804,6.752,6.701,6.804,6.78,6.752,6.76
"hsa-miR-33a-5p",6.77,6.847,6.816,6.713,6.706,6.738,6.821,6.673,6.682
"hsa-miR-92a-3p",7.799,7.864,7.91,6.885,6.785,6.877,7.301,7.265,7.212
"hsa-miR-93-5p",8.726,8.511,8.511,6.813,6.816,6.831,7.353,7.107,7.207
"hsa-miR-95",6.738,6.775,6.775,6.801,6.795,6.7,6.663,6.817,6.804
"hsa-miR-96-5p",6.917,7.027,6.911,6.759,6.737,6.774,6.646,6.768,6.793
"hsa-miR-98-5p",6.995,7.099,7.122,6.742,6.705,6.683,6.767,6.802,6.763
"hsa-miR-99a-5p",6.706,6.656,6.736,6.775,6.753,6.821,6.767,6.69,6.731
"hsa-miR-100-5p",6.833,6.833,6.83,6.777,6.725,6.682,6.696,6.825,6.736
"hsa-miR-101-3p",6.855,6.944,6.942,6.757,6.709,6.802,6.784,6.688,6.76
"hsa-miR-29b-3p",8.123,8.688,8.578,6.729,6.783,6.814,7.197,7.345,7.265
"hsa-miR-103a-3p",8.824,8.824,8.806,6.731,6.697,6.758,7.438,7.247,7.358
"hsa-miR-105-5p",6.786,6.863,6.847,6.71,6.804,6.688,6.78,6.833,6.813
"hsa-miR-106a-5p",9.679,9.467,9.587,6.891,6.831,6.912,7.899,7.899,8.02
"hsa-miR-107",8.688,8.578,8.642,6.875,6.773,6.775,7.185,7.228,7.314
"hsa-miR-192-5p",6.782,6.895,6.926,6.755,6.903,6.783,6.742,6.741,6.726
"hsa-miR-196a-5p",6.889,6.886,6.814,6.699,6.795,6.905,6.996,6.746,6.789
"hsa-miR-197-3p",6.824,6.862,6.831,6.911,6.92,6.845,6.766,6.605,6.788
"hsa-miR-198",6.71,6.829,6.803,6.736,6.835,6.748,6.818,6.763,6.762
"hsa-miR-199a-5p",6.676,6.707,6.788,6.825,6.725,6.733,6.703,6.766,6.791
"hsa-miR-199a-3p, hsa-miR-199b-3p",6.751,6.77,6.808,6.774,6.734,6.783,6.801,6.775,6.868
"hsa-miR-208a",6.716,6.695,6.796,6.76,6.762,6.767,6.76,6.719,6.751
"hsa-miR-129-5p",6.791,6.778,6.781,6.787,6.813,6.767,6.719,6.744,6.705
"hsa-miR-148a-3p",7.05,7.26,7.338,6.711,6.746,6.717,7.257,6.78,6.822
"hsa-miR-30c-5p",7.25,7.426,7.483,6.841,6.695,6.872,7.009,7.314,7.177
"hsa-miR-30d-5p",7.086,7.326,7.326,6.755,6.814,6.713,6.887,7.072,7.172
"hsa-miR-139-5p",6.852,6.827,6.929,6.681,6.776,6.718,6.687,6.964,6.721
"hsa-miR-147a",6.765,6.75,6.862,6.799,6.704,6.699,6.786,7.09,6.809
"hsa-miR-7-5p",7.193,7.177,6.999,6.764,6.823,6.759,6.747,6.683,6.775
"hsa-miR-10a-5p",7.467,7.779,7.963,6.755,6.754,6.854,7.284,7.223,7.294
"hsa-miR-10b-5p",7.104,7.717,7.626,6.727,6.757,6.792,6.837,6.835,7.122
"hsa-miR-34a-5p",7.164,7.257,7.353,6.772,6.645,6.747,6.798,6.903,6.807
"hsa-miR-181a-5p",6.651,6.759,6.76,6.688,6.786,6.767,6.807,6.692,6.634
"hsa-miR-181b-5p",6.833,6.777,6.766,6.715,6.769,6.791,6.691,6.748,6.763
"hsa-miR-181c-5p",6.779,6.762,6.758,6.724,6.756,6.776,7.016,6.753,6.813
"hsa-miR-182-5p",6.957,7.06,6.983,6.703,6.712,6.702,6.712,6.826,6.851
"hsa-miR-182-3p",6.776,6.775,6.755,6.695,6.84,6.725,6.676,6.752,6.687
"hsa-miR-183-5p",6.812,6.836,6.672,6.769,6.654,6.731,6.811,6.67,6.781
"hsa-miR-187-3p",6.714,6.775,6.677,6.735,6.94,6.808,6.771,6.69,6.728
"hsa-miR-199b-5p",6.806,6.825,6.799,6.919,6.799,6.842,6.877,6.746,6.735
"hsa-miR-203a",6.807,6.854,6.863,6.929,6.813,6.734,6.759,6.819,6.803
"hsa-miR-204-5p",6.685,6.817,6.807,6.737,6.819,6.742,6.748,6.815,6.846
"hsa-miR-205-5p",6.801,6.753,6.737,6.841,6.844,6.75,6.843,6.78,6.706
"hsa-miR-210",7.438,8.059,8.259,6.756,6.743,6.784,6.906,7.021,7.043
"hsa-miR-211-5p",6.765,6.772,6.785,6.775,6.717,6.761,6.762,6.967,6.803
"hsa-miR-212-3p",6.806,6.812,6.753,6.707,6.753,6.679,6.683,6.768,6.932
"hsa-miR-181a-3p",6.795,6.736,6.711,6.651,6.747,6.82,6.704,6.728,6.777
"hsa-miR-214-3p",6.813,6.778,6.849,6.796,6.752,6.83,6.694,6.914,6.842
"hsa-miR-215",6.721,6.75,6.855,6.73,6.55,6.728,6.732,6.749,6.744
"hsa-miR-216a-5p",6.747,6.74,6.802,6.679,6.631,6.718,6.761,6.813,6.732
"hsa-miR-217",6.75,6.709,6.701,6.785,6.723,6.802,6.787,6.999,6.78
"hsa-miR-218-5p",6.79,6.716,6.69,6.769,6.71,6.69,6.743,6.83,6.726
"hsa-miR-219-5p",6.706,6.664,6.742,6.72,6.775,6.678,6.726,6.813,6.801
"hsa-miR-221-3p",8.412,8.123,7.899,6.725,6.735,6.792,7.314,7.086,7.368
"hsa-miR-222-3p",7.223,7.247,7.086,6.694,6.679,6.813,6.849,6.847,6.896
"hsa-miR-223-3p",9.351,9.679,9.85,7.076,6.793,6.76,9.025,9.587,9.621
"hsa-miR-224-5p",6.927,7.062,6.877,6.663,6.805,6.748,6.813,6.665,6.749
"hsa-miR-200b-3p",6.826,6.836,6.788,6.853,6.839,6.752,6.714,6.777,6.746
"hsa-let-7g-5p",8.038,8.412,8.439,6.786,6.754,6.709,7.201,7.064,6.975
"hsa-let-7i-5p",7.6,7.626,7.717,6.741,6.722,6.821,6.916,6.959,7.126
"hsa-miR-1",6.798,6.777,6.731,6.768,6.825,6.759,6.846,6.647,6.737
"hsa-miR-15b-5p",8.806,8.642,8.726,6.949,6.734,6.761,8.371,8.35,8.371
"hsa-miR-23b-3p",8.511,8.759,8.688,6.913,6.812,6.725,7.59,7.799,7.935
"hsa-miR-27b-3p",6.875,6.907,6.949,6.808,6.812,6.757,6.774,6.761,6.954
"hsa-miR-30b-5p",7.216,7.497,7.531,6.841,6.781,6.779,6.829,7.212,7.216
"hsa-miR-122-5p",6.728,6.811,6.627,6.794,6.586,6.685,6.796,6.767,6.653
"hsa-miR-124-3p",6.658,6.762,6.789,6.719,6.682,6.69,6.816,6.841,6.69
"hsa-miR-125b-5p",6.79,6.838,6.792,6.736,6.666,6.754,6.727,6.837,6.817
"hsa-miR-128",7.031,7.068,7.058,6.745,6.578,6.841,6.799,6.838,6.828
"hsa-miR-130a-3p",6.938,7.047,7.002,6.757,6.79,6.807,6.701,6.852,6.804
"hsa-miR-132-3p",6.828,6.929,6.898,6.772,6.778,6.756,6.975,6.726,6.822
"hsa-miR-133a",6.782,6.821,6.749,6.706,6.666,6.737,6.694,6.626,6.699
"hsa-miR-135a-5p",6.801,6.759,6.714,6.729,6.786,6.715,6.76,6.681,6.73
"hsa-miR-137",6.811,6.774,6.768,6.692,6.719,6.846,6.779,6.83,6.705
"hsa-miR-138-5p",6.815,6.728,6.78,6.812,6.73,6.78,6.7,6.829,6.786
"hsa-miR-140-5p",7.003,6.94,6.96,6.774,6.768,6.811,6.807,6.76,6.809
"hsa-miR-141-3p",6.787,6.723,6.706,6.753,6.702,6.717,6.779,6.733,6.716
"hsa-miR-142-5p",7.864,8.259,8.222,6.932,6.853,6.863,7.411,7.517,7.497
"hsa-miR-142-3p",7.373,7.899,7.935,6.697,6.723,6.673,6.978,7.11,7.083
"hsa-miR-143-3p",6.805,6.805,6.75,6.683,6.77,6.747,6.655,6.848,6.852
"hsa-miR-144-3p",6.727,6.809,6.785,6.844,6.728,6.746,6.655,6.645,6.677
"hsa-miR-145-5p",6.749,7.122,6.769,6.792,6.776,6.789,6.707,6.802,6.746
"hsa-miR-152",6.716,6.721,6.822,6.742,6.7,6.734,6.846,6.832,6.737
"hsa-miR-153",6.804,6.706,6.777,6.757,6.711,6.692,6.841,6.783,6.752
"hsa-miR-191-5p",9.025,9.025,9.093,6.865,6.717,6.776,7.963,7.963,8.088
"hsa-miR-9-5p",7.043,7.007,7.093,6.778,6.728,6.721,6.734,7.017,6.845
"hsa-miR-9-3p",6.93,6.965,6.979,6.793,6.713,6.638,6.749,6.824,6.823
"hsa-miR-125a-5p",7.047,7.086,7.207,6.685,6.792,6.743,7.11,6.917,6.996
"hsa-miR-126-5p",6.722,6.884,6.847,6.826,6.752,6.672,6.851,6.658,6.789
"hsa-miR-126-3p",6.968,7.136,7.228,6.776,6.735,6.785,6.842,7.003,7.117
"hsa-miR-127-3p",6.79,6.729,6.79,6.732,6.712,6.799,7.039,6.712,6.725
"hsa-miR-134",6.793,6.72,6.792,6.812,6.708,6.743,6.801,6.695,6.773
"hsa-miR-136-5p",6.807,6.846,6.952,6.826,6.764,6.836,6.741,6.7,6.74
"hsa-miR-146a-5p",7.497,7.827,7.517,6.73,6.851,6.746,7.212,7.122,7.185
"hsa-miR-149-5p",6.768,6.814,6.827,6.816,6.778,6.595,6.724,6.853,6.789
"hsa-miR-150-5p",6.842,6.737,6.76,6.757,6.786,6.703,6.672,6.969,6.869
"hsa-miR-154-5p",6.759,6.785,6.769,6.753,6.701,6.711,6.671,6.771,6.741
"hsa-miR-154-3p",6.822,6.781,6.708,6.648,6.668,6.728,6.738,6.638,6.731
"hsa-miR-184",6.772,6.699,6.787,6.784,6.851,6.702,6.695,6.748,6.663
"hsa-miR-185-5p",7.007,7.093,7.11,6.747,6.745,6.733,6.75,6.96,6.79
"hsa-miR-186-5p",6.861,6.881,6.866,6.714,6.664,6.754,6.811,6.883,6.63
"hsa-miR-188-5p",6.755,6.752,6.791,6.803,6.716,6.772,6.807,6.701,6.741
"hsa-miR-190a",6.753,6.694,6.735,6.799,6.722,6.84,6.793,6.793,6.67
"hsa-miR-193a-3p",6.859,6.856,6.791,6.788,6.721,6.799,6.699,6.732,6.808
"hsa-miR-194-5p",6.812,6.866,6.755,6.678,6.799,6.754,6.781,6.787,6.747
"hsa-miR-195-5p",8.439,8.806,9.025,6.81,6.706,6.731,6.944,7.368,7.373
"hsa-miR-206",6.671,6.745,6.744,6.829,6.716,6.798,6.778,6.729,6.7
"hsa-miR-320a",7.207,7.182,7.257,6.874,6.949,6.784,7.033,6.807,6.793
"hsa-miR-200c-3p",6.831,6.82,6.815,6.798,6.77,6.78,6.749,6.704,6.889
"hsa-miR-155-5p",6.734,6.751,6.814,6.795,6.783,6.697,6.79,6.754,6.75
"hsa-miR-106b-5p",7.899,8.088,7.995,6.827,6.864,6.824,7.368,7.197,7.26
"hsa-miR-29c-3p",8.315,8.963,8.963,6.843,6.762,6.93,7.15,7.438,7.517
"hsa-miR-200a-3p",6.805,6.74,6.686,6.722,6.695,6.683,6.837,6.691,6.839
"hsa-miR-302a-5p",6.838,6.69,6.817,6.755,6.744,6.773,6.821,6.68,6.816
"hsa-miR-302a-3p",6.811,6.793,6.766,6.718,6.681,6.739,6.728,6.753,6.748
"hsa-miR-34b-5p",6.906,6.95,6.937,6.755,6.708,6.798,6.751,6.686,6.73
"hsa-miR-34c-5p",6.635,6.81,6.845,6.8,6.69,6.705,6.716,6.756,6.847
"hsa-miR-299-3p",6.681,6.786,6.657,6.763,6.62,6.73,6.827,6.754,6.634
"hsa-miR-301a-3p",6.947,7.031,7.027,6.728,6.797,6.714,6.745,6.819,6.818
"hsa-miR-99b-5p",6.959,7.016,7.062,6.923,6.797,6.72,6.995,6.897,6.942
