"","GSM2515715","GSM2515716","GSM2515717"
"hsa-miR-124-3p",4.259538492465,8.19795519980327,7.07545958218544
"hsa-miR-5100",5.03063607830204,6.41155122699082,6.00115413406131
"hsa-miR-4454",4.24854913019439,6.80125405166674,5.5720762783547
"hsa-miR-451a",4.83219037486316,6.34560966866426,6.06509098558714
"hsa-miR-96-5p",3.38052642212264,5.27319913264414,6.61363226781175
"hsa-miR-181a-5p",2.53462645638788,6.1152834605228,5.64982572861208
"hsa-miR-125b-5p",4.43663269963427,5.27736143608461,5.95612466825634
"hsa-miR-182-5p",2.79974062187056,5.5954356497566,5.6285744595114
"hsa-miR-1280",4.51557879566497,5.43560624710618,4.79549328502508
"hsa-miR-183-5p",2.77147257403636,4.94313032209803,5.66731062238374
"hsa-miR-30c-5p",3.60876082643659,4.51738127572306,5.21334728173344
"hsa-miR-29c-3p",3.14610287029555,5.00588168571408,4.89049414664352
"hsa-miR-29a-3p",3.65450777690409,4.52061538889009,4.79117877465678
"hsa-miR-3613-3p",3.23473287308038,4.72849820791063,4.58525570169799
"hsa-miR-1260b",3.6945209604611,4.86739954438979,4.02615228813673
"hsa-miR-491-3p",4.41325980037902,4.00653372862547,4.01596571098844
"hsa-miRplus-a1015",3.17549273035092,4.72142765311048,4.14667111513583
"hsa-miR-30b-5p",3.29585233916578,3.6362924718833,4.88335855379119
"hsa-miR-16-5p",3.70972408502128,2.89707813959187,4.83227255436075
"hsa-miR-30e-5p",2.93602906568203,3.99465051047446,4.45831157589782
"hsa-miR-4800-3p",4.46485818713374,3.58267709640487,3.32894852259315
"hsa-miR-144-3p",3.04846038034256,2.84418588496693,4.83572693085402
"hsa-miR-9-5p",2.00773170066178,3.07556131330258,4.96606575862846
"hsa-miR-101-3p",3.61744960640061,3.62953571416035,4.24105885026442
"hsa-miR-22-3p",3.73655945622167,3.7779265755652,4.00153864033075
"hsa-miR-29b-3p",3.30275232862107,4.41712648350115,3.55114083368446
"hsa-miR-125a-5p",2.95252815155866,3.7439204856531,4.42773697611864
"hsa-miR-720",3.47836909713715,4.19099440420343,3.42380770889674
"hsa-miR-204-5p",1.14926868639825,3.95487213102025,4.39147937755625
"hsa-miR-23a-3p",4.63532546698095,2.2600088296418,2.89322012704342
"hsa-miR-26b-5p",3.28195256213486,2.87351628754318,4.12727088996623
"hsa-miR-3960",2.42341164155639,4.38384907097365,3.00263666538316
"hsa-miR-4787-5p",3.73323220534288,3.86458043071734,2.48228164378663
"hsa-miR-30a-5p",2.55034113958714,3.52503298561468,3.94302935472033
"hsa-miR-191-5p",2.10498898926357,3.17385995198893,3.9949328824199
"hsa-let-7c",2.97034879002069,3.1354871781175,3.54029345120596
"hsa-miR-24-3p",3.64084065740057,2.31481802417141,3.3045822701988
"hsa-miR-205-5p",4.6065198170983,0.231803081838013,0.245332404515926
"hsa-miR-9-3p",1.42588695533781,3.21575667597703,3.81687438938376
"hsa-miR-4467",2.71591809378092,4.07584810278335,1.29062579086221
"hsa-miR-15a-5p",2.62596676797824,1.83314451025446,3.7773876386696
"hsa-miR-181b-5p",1.22070382388502,3.39622685620619,3.35394290204577
"hsa-miR-106b-5p",1.39702098994484,3.16382252510921,3.40831420531891
"hsa-miR-4284",3.7543951984137,0.269735277122467,2.77584712084022
"hsa-miR-21-5p",3.10241228727573,1.87681186880141,3.11980152204481
"hsa-let-7g-5p",2.20637704282208,2.32450491175908,3.31628705140768
"hsa-miR-371b-5p",3.55499723127535,2.11125517691067,1.7404800785004
"hsa-miR-130a-3p",2.23300631637569,2.41795620377738,3.14786260470485
"hsa-miR-143-3p",3.56476382025423,1.16220283377993,2.23041298431708
"hsa-miR-129-1-3p",1.02416140530742,2.66466080493563,3.32122416947412
"hsa-miR-126-3p",3.36713638382567,1.21176052875945,2.50539524327889
"hsa-miR-4668-5p",2.36498813049842,2.98887506197243,2.3484258971128
"hsa-miR-4742-3p",0.552608142526323,3.15008763207337,2.87558829177994
"hsa-miR-4443",2.34187215371351,3.11962511946734,1.90923453608619
"hsa-miR-203",3.89602092400738,0.0845204055079858,0.162870243751206
"hsa-miRplus-a1072",1.41817199039695,2.96471355285164,2.63906271027071
"hsa-miR-103a-3p",2.15292570968523,2.08945270048369,2.99073353726853
"hsa-miR-5684",2.57533215138988,2.45370517426501,2.30280050491734
"hsa-miR-4708-3p",2.69736954814123,2.51364600381331,2.05438262031711
"hsa-miR-5701",3.25529197578417,0.424276563187636,2.43295940727611
"hsa-miR-19a-3p",2.74528468122797,1.48485101615556,2.73995345122627
"hsa-miR-15b-5p",2.28846586902004,1.21870325208988,3.15063892595888
"hsa-miR-30d-5p",1.24458172636929,2.94600937921346,2.56547829361597
"hsa-miR-3940-5p",2.91855811025354,2.58952247758973,1.12626377246886
"hsa-miR-3607-3p",2.48009045307978,2.27140564346983,2.41129395510223
"hsa-miR-5681b",1.11012862763719,2.96471355285164,2.41591692332667
"hsa-miR-19b-3p",2.42671111722341,2.028332081305,2.51835089858659
"hsa-miR-142-3p",2.81030521962134,1.05611846795017,2.55772986123762
"hsa-miR-335-5p",1.1808762312545,2.11572518828309,3.06198688686199
"hsa-let-7a-5p",2.25358986328375,1.9817506274023,2.56785407860043
"hsa-miR-195-5p",2.80862007423442,1.04053003904156,2.32614444959019
"hsa-miR-181d",0.646157939122563,2.94517242789134,2.24829786251765
"hsa-miR-27a-3p",3.36312371991232,0.433854657282466,1.17226894217604
"hsa-miR-4500",2.2818007393711,1.75506659639963,2.49169669817135
"hsa-miR-1246",2.26653721335455,2.50344823469315,1.74468618922865
"hsa-miR-141-3p",3.38024281781536,0.0905885313874309,0.624300649014069
"hsa-miR-26a-5p",1.7450644393526,1.96945485662906,2.50229333942136
"hsa-miR-199a-3p/hsa-miR-199b-3p",3.34201778480451,0.0661613650918502,0.78404427417443
"hsa-miR-4532",2.84483503654732,1.82770550240294,1.11655950937301
"hsa-miR-210",0.877553376816775,2.70081165867656,2.16600995142325
"hsa-miR-199a-5p",3.27403652003918,0.209671180228099,0.971571591852922
"hsa-miR-483-3p",2.53513606257703,1.94035051162314,1.64357466088125
"hsa-miR-4712-3p",0.845040563410143,2.67882730869496,2.15024263550134
"hsa-miR-1827",0.845040563410143,2.01003967201458,2.75514812808958
"hsa-miR-145-5p",3.00166028472439,0.817223072487944,1.35669351318544
"hsa-miR-4301",1.46706317269121,1.93445851672382,2.48981859635631
"hsa-miR-4497",2.95481542133071,1.26772828179472,0.99117614957759
"hsa-miR-107",1.670020149504,1.68058838053659,2.47597063176874
"hsa-miR-4286",1.68019304131174,2.31092498376189,1.89322012684923
"hsa-miR-5581-3p",1.59965402339821,2.40462307347033,1.76553474636298
"hsa-miR-99a-5p",1.94698556595411,1.7502831205491,2.10597236872666
"hsa-miR-140-3p",1.28392480463019,1.99717632645182,2.335934952937
"hsa-miR-211-5p",0.356651321927578,2.12610166786958,2.53119124431061
"hsa-miR-1264",2.37470136168655,1.61263584737411,1.66148266467951
"hsa-miR-4324",1.54706027850921,1.97110036022794,2.16757724664072
"hsa-let-7e-5p",1.58299227835066,1.44987487746671,2.44915871341159
"hsa-miR-335-3p",1.61130046395469,1.96202677644925,2.07206395965897
"hsa-miR-23b-3p",2.14626966541705,1.81950834978022,1.6736667257941
"hsa-miR-204-3p",1.64757257758359,2.29130062715981,1.62430064854611
"hsa-miR-5002-3p",0.600141173769539,2.00603218334158,2.47849835051575
"hsa-miR-4456",2.58126612396279,1.26236260396922,1.32051990071998
"hsa-miR-4791",0.960328064703693,1.87593378288021,2.38728183286128
"hsa-miR-4695-3p",2.06954527652664,1.96202677644925,1.34288771360624
"hsa-miR-4285",2.54781806250723,1.37851162325373,1.11980152221078
"hsa-miR-4714-5p",1.89473089832797,1.20058220615589,1.96797832696746
"hsa-miR-135a-5p",0.524139663072133,1.2556273203833,2.60302920671222
"hsa-miR-665",1.81303939014436,1.726124902909,1.4879380464392
"hsa-miR-1260a",1.50397624328343,2.01243883297281,1.34427425365538
"hsa-miR-4328",2.52131311564241,0.780157577745654,0.909234535702092
"hsa-miR-183-3p",1.25204074335885,1.67150845163452,1.87702595528144
"hsa-miR-200c-3p",2.47584956784621,0.0996431330169495,1.34288771360624
"hsa-miR-222-3p",2.40401283760205,0.840814838394428,1.02787903240287
"hsa-miR-3686",1.88036369217341,1.46279812814558,1.27326114784118
"hsa-miR-4750",1.40596449797129,2.12610166786958,0.721399336947471
"hsa-miR-20a-5p",1.53895238161474,0.4097891274727,2.12061088818428
"hsa-miR-1908",2.04040610997441,1.51449257297719,0.662594568249168
"hsa-miR-3158-5p",2.29630334574631,0.724662464528004,0.985855817768566
"hsa-miR-100-5p",1.85772637658509,1.06693100809206,1.47660297664415
"hsa-miR-27b-3p",2.05113517573123,0.80251094965069,1.3771576158245
"hsa-miR-4747-5p",0.963360530573608,1.70847703739147,1.70206285186299
"hsa-miR-675-5p",2.42780926769049,0.629926389232844,0.544521574330779
"hsa-miR-129-5p",0.167133057906126,2.00763651467289,1.65255644884501
"hsa-miR-99b-5p",1.03429069971818,1.49289153475444,1.77481919432011
"hsa-miR-4289",1.28634848450522,1.51223395001251,1.56011842983914
"hsa-miR-4279",2.12746769538233,1.03424719857323,0.781999347678391
"hsa-miR-200b-3p",2.34710563597567,0.0845204055079858,0.920432742811822
"hsa-miR-4429",0.991855433608049,1.75602139135439,1.40798274197031
"hsa-miR-338-3p",0.901465997066596,1.31773092599552,1.85287582580288
"hsa-miR-361-5p",1.01103264407531,1.34590695762839,1.75097245235872
"hsa-miR-30e-3p",0.924988719455785,1.30212704229795,1.82831454061398
"hsa-miR-3646",1.7573465024556,1.12425419035388,1.18470604533459
"hsa-miR-124-5p",0.64804381534765,1.54905647208054,1.72459703683161
"hsa-miR-301a-3p",0.452568997877864,1.23796699127071,1.99912003973485
"hsa-miR-221-3p",1.98776584306717,0.679079021717888,1.02960371330345
"hsa-miR-660-3p",1.63526604910193,1.04678563745544,1.26009911467702
"hsa-miR-155-5p",0.335742332345529,1.65726954123675,1.54813584395691
"hsa-miR-4780",0.572604235827293,1.92515077434124,1.0035144843342
"hsa-miR-4726-5p",1.8046099473152,0.964920020571075,0.87510875180768
"hsa-miR-126-5p",1.99963078837887,0.329965413696302,0.969776077742374
"hsa-miR-4657",1.91445092993958,1.24069807608762,0.105154745921218
