"","GSM3004865","GSM3004866","GSM3004867","GSM3004868","GSM3004869","GSM3004870","GSM3004871","GSM3004872","GSM3004873","GSM3004874","GSM3004875","GSM3004876","GSM3004877","GSM3004878","GSM3004879","GSM3004880","GSM3004881","GSM3004882","GSM3004883","GSM3004884","GSM3004885","GSM3004886","GSM3004887","GSM3004888","GSM3004889","GSM3004890","GSM3004891","GSM3004892","GSM3004893","GSM3004894","GSM3004895","GSM3004896","GSM3004897","GSM3004898","GSM3004899","GSM3004900","GSM3004901","GSM3004902","GSM3004903","GSM3004904","GSM3004905","GSM3004906","GSM3004907","GSM3004908","GSM3004909","GSM3004910","GSM3004911","GSM3004912","GSM3004913","GSM3004914","GSM3004915","GSM3004916","GSM3004917","GSM3004918","GSM3004919","GSM3004920","GSM3004921","GSM3004922","GSM3004923","GSM3004924","GSM3004925","GSM3004926","GSM3004927","GSM3004928","GSM3004929","GSM3004930","GSM3004931","GSM3004932","GSM3004933","GSM3004934","GSM3004935","GSM3004936","GSM3004937","GSM3004938","GSM3004939","GSM3004940","GSM3004941","GSM3004942","GSM3004943","GSM3004944","GSM3004945","GSM3004946","GSM3004947","GSM3004948","GSM3004949","GSM3004950","GSM3004951","GSM3004952","GSM3004953","GSM3004954","GSM3004955","GSM3004956","GSM3004957","GSM3004958","GSM3004959","GSM3004960","GSM3004961","GSM3004962","GSM3004963","GSM3004964","GSM3004965","GSM3004966","GSM3004967","GSM3004968","GSM3004969","GSM3004970","GSM3004971","GSM3004972","GSM3004973","GSM3004974","GSM3004975","GSM3004976","GSM3004977","GSM3004978","GSM3004979","GSM3004980","GSM3004981","GSM3004982","GSM3004983","GSM3004984","GSM3004985","GSM3004986","GSM3004987","GSM3004988","GSM3004989","GSM3004990","GSM3004991","GSM3004992","GSM3004993","GSM3004994","GSM3004995","GSM3004996","GSM3004997","GSM3004998","GSM3004999","GSM3005000","GSM3005001","GSM3005002","GSM3005003","GSM3005004","GSM3005005","GSM3005006","GSM3005007","GSM3005008","GSM3005009","GSM3005010","GSM3005011"
"hsa-let-7a-5p",6.726,6.535,2.63,5.183,5.159,5.773,4.142,5.493,6.678,6.506,5.515,4.189,6.705,0.071,0.117,3.235,5.565,4.403,2.87,5.435,4.476,5.587,0.281,5.085,5.244,5.026,2.516,1.114,6.655,-0.054,0.366,6.209,3.669,4.073,0.806,5.96,4.688,3.778,4.914,4.142,1.561,0.598,3.896,1.342,5.384,3.969,1.376,-1.034,5.968,4.077,5.179,6.745,4.111,5.67,4.481,-0.712,5.423,4.51,4.209,3.003,5.734,-0.293,-0.411,4.83,4.4,2.874,-1.214,2.204,-1.341,2.676,3.564,-0.62,2.414,5.056,5.109,4.14,4.543,5.143,3.542,5.677,5.466,4.474,2.725,4.967,2.149,6.308,5.605,5.198,0.561,4.306,6.726,2.097,2.868,3.209,6.439,6.328,5.888,4.325,6.729,0.974,3.18,3.798,6.332,5.038,3.993,5.605,2.753,3.405,0.297,4.184,5.404,6.076,2.123,5.329,-0.081,5.335,5.602,5.084,5.484,4.925,-0.137,5.478,1.288,-0.508,2.647,0.719,2.56,0.333,2.09,-0.203,3.12,0.963,-0.622,-0.767,3.721,-0.423,-0.26,4.979,0.993,4.487,5.094,4.691,4.65,3.137,1.367,-1.542,4.316
"hsa-let-7a-3p",0.636,0.895,0.392,0.631,-0.047,3.251,0.293,0.275,4.991,2.78,0.441,2.497,0.643,0.071,0.117,-0.243,0.4,0.736,0.6,2.676,-0.393,-0.127,3.668,0.217,3.617,1.046,0.652,3.089,1.001,-0.054,0.366,0.997,-0.489,-0.597,0.806,4.374,3.493,0.949,0.554,4.001,0.718,0.598,-1.393,1.342,3.879,-0.947,1.376,3.641,-0.198,2.416,0.354,1.701,0.036,-0.146,0.034,-0.712,4.519,3.1,2.662,-0.722,-0.59,3.139,-0.411,0.148,-1.557,-1.192,-1.214,3.95,-1.341,-0.461,-1.66,-0.62,-1.665,-1.46,-0.17,-0.652,0.487,-0.399,1.988,3.77,4.986,-0.633,-0.709,0.676,2.149,2.668,0.617,3.384,0.561,0.636,0.61,0.559,2.865,0.125,3.626,0.21,4.729,-0.136,0.125,0.974,-0.031,-0.91,-0.782,-0.285,-0.17,0.056,-1.244,-1.041,0.297,-0.031,3.048,0.007,-2.301,4.428,-0.081,2.623,1.574,0.032,0.241,0.939,-0.137,0.447,1.288,-0.508,-0.89,0.719,-0.032,0.333,-0.763,-0.073,-1.37,2.219,-0.622,-0.767,-0.459,1.939,-0.26,3.445,0.993,1.617,-0.389,2.949,3.811,-0.252,-0.609,-1.542,3.249
"hsa-let-7a-2-3p",0.636,0.895,0.392,0.631,-0.047,0.212,0.293,3.101,0.549,0.837,0.441,-0.609,0.643,0.071,0.117,0.82,0.4,0.736,0.6,0.398,-0.393,-0.127,0.281,0.217,0.448,1.046,5.04,-0.749,1.001,-0.054,0.366,0.997,-0.489,-0.597,0.806,0.822,-0.405,2.492,0.554,4.235,-0.253,5.294,5.486,1.342,-0.04,-0.947,1.376,0.542,-0.198,3.158,0.354,4.138,0.036,-0.146,0.034,-0.712,5.56,-0.044,5.023,-0.722,4.371,3.489,-0.411,5.191,3.683,-1.192,-1.214,3.466,-1.341,-0.461,2.564,-0.62,1.963,-1.46,-0.17,2.678,3.156,-0.399,0.422,-0.251,3.388,2.807,5.853,2.464,2.149,1.241,0.617,-0.043,0.561,3.071,0.61,0.559,-0.396,0.125,-0.282,0.21,2.893,4.038,0.125,0.974,1.81,-0.91,-0.782,-0.285,-0.17,0.056,-1.244,-1.041,3.047,-0.031,-0.196,0.007,0.45,4.008,-0.081,5.154,7.001,0.032,0.241,0.939,-0.137,0.447,5.348,-0.508,-0.89,0.719,-0.032,3.855,0.374,-0.203,1.16,0.963,-0.622,4.652,3.516,-0.13,3.987,0.042,0.993,3.301,-0.389,4.784,-0.455,-0.252,2.195,-1.542,-0.489
"hsa-let-7b-5p",7.304,6.883,0.392,0.631,5.769,5.507,3.494,3.181,5.774,5.637,0.441,-0.609,5.325,4.416,0.117,-0.243,4.577,0.736,4.513,4.194,4.934,4.593,1.212,4.936,0.448,5.817,0.652,-0.749,1.001,5.538,0.366,0.997,-0.489,-0.597,6.551,3.985,3.07,5.253,0.554,3.043,-1.761,0.598,0.485,1.342,-0.04,2.733,5.807,-1.034,0.659,4.554,0.354,3.243,2.401,2.576,0.034,-0.712,4.262,-0.044,5.227,3.766,4.016,-0.293,-0.411,4.21,3.037,-1.192,3.752,1.688,6.202,4.117,4.457,2.904,4.053,4.625,4.256,4.926,4.219,5.188,5.127,5.215,5.213,4.187,5.756,0.676,2.149,6.255,0.617,5.397,5.052,0.636,8.02,3.668,-0.396,0.125,7.837,6.311,5.721,3.907,7.247,0.974,5.264,3.116,6.036,4.9,3.904,5.923,4.9,-1.041,3.885,2.006,-0.196,6.456,3.688,5.326,1.175,5.92,5.306,5.923,6.26,3.75,-0.137,0.447,1.288,-0.508,-0.89,0.719,-0.032,0.333,3.366,-0.203,-1.37,0.963,-0.622,-0.767,4.087,-1.399,-0.26,4.705,5.488,1.617,-0.389,-0.641,-0.455,-0.252,2.914,-1.542,-0.489
"hsa-let-7b-3p",0.636,0.895,0.392,0.631,4.289,0.212,1.688,0.275,0.549,2.069,0.441,4.706,4.478,0.071,0.117,-0.243,0.4,0.736,4.989,0.398,4.471,1.995,4.518,0.217,2.451,1.046,4.565,2.713,1.001,3.692,4.96,0.997,-0.011,1.071,0.806,3.699,-0.405,0.949,0.554,4.099,3.825,3.949,6.014,1.342,-0.04,4.381,3.58,-1.034,4.299,4.638,3.553,5.822,0.036,3.595,3.556,2.216,5.352,5.456,4.247,2.302,3.571,4.264,4.253,5.421,3.764,-1.192,-1.214,4.475,1.689,4.476,3.716,-0.62,3.996,3.615,3.626,3.007,4.654,3.115,3.444,2.672,0.32,3.406,5.187,0.676,6.671,5.63,0.617,2.316,0.561,5.872,0.61,0.559,4.134,4.884,1.14,4.785,3.964,3.463,0.125,3.089,2.411,1.443,3.691,1.246,-0.17,0.056,1.696,4.316,5.064,-0.031,-0.196,0.007,3.207,-0.501,-0.081,5.267,6.456,0.922,0.241,0.939,3.746,4.558,2.184,-0.508,2.804,0.719,-0.032,0.333,2.533,3.513,3.985,0.963,3.231,5.321,3.225,1.385,4.072,4.167,0.993,1.617,-0.389,4.149,-0.455,-0.252,4.716,2.048,4.397
"hsa-let-7c-5p",6.923,7.133,6.855,2.534,5.769,0.212,5.134,6.177,5.176,6.948,0.441,2.07,5.031,0.071,0.117,-0.243,0.4,0.736,0.6,4.694,5.025,4.807,3.672,4.897,0.448,4.479,0.652,1.033,6.149,3.811,0.918,6.223,3.203,-0.597,0.806,5.255,4.494,0.949,3.142,-0.071,1.188,0.598,-1.393,1.342,4.759,-0.807,1.376,-1.034,-0.198,3.891,6.012,6.49,0.036,4.19,0.034,-0.712,3.853,3.198,6.052,1.282,2.868,6.914,3.632,3.802,3.511,2.506,-1.214,3.317,0.161,4.826,4.761,3.848,3.696,4.589,5.154,-0.652,6.539,4.257,4.677,5.372,4.81,4.431,0.623,0.676,6.76,4.782,4.219,5.358,3.858,0.636,7.332,6.285,-0.396,8.468,5.11,4.281,5.274,5.168,4.883,4.779,5.002,-0.91,6.021,5.73,4.936,5.54,4.453,0.872,5.432,3.906,-0.196,5.46,3.364,-0.501,3.379,5.489,1.574,5.703,5.559,5.795,-0.137,5.45,1.288,-0.508,-0.89,0.719,2.433,0.333,-0.763,-0.203,-1.37,0.963,4.299,-0.767,2.927,3.7,-0.26,4.485,5.888,5.717,-0.389,5.166,4.225,2.593,2.546,-1.542,4.397
"hsa-let-7c-3p",0.636,0.895,0.392,0.631,-0.047,0.212,0.293,0.275,0.549,0.837,0.441,-0.609,0.643,0.071,0.117,-0.243,0.4,0.736,6.089,0.398,-0.393,-0.127,3.734,0.217,0.448,1.046,4.937,-0.749,1.001,-0.054,0.366,0.997,-0.489,-0.597,0.806,0.822,3.475,0.949,4.893,3.626,5.562,0.598,4.34,1.342,-0.04,-0.947,1.376,-1.034,-0.198,-1.827,0.354,1.701,0.036,3.579,0.034,-0.712,1.025,-0.044,0.523,-0.722,3.23,1.938,1.859,0.148,-1.557,-1.192,-1.214,-0.982,-1.341,-0.461,3.042,-0.62,-0.721,2.591,-0.17,3.534,0.487,2.452,1.838,-0.251,-0.599,2.24,4.333,0.727,2.149,1.241,0.617,-0.043,0.561,0.636,0.61,0.559,-0.396,1.545,-0.282,0.21,3.978,4.103,0.125,0.974,2.712,-0.91,-0.782,2.602,-0.17,0.056,-1.244,-1.041,0.297,-0.031,-0.196,0.007,2.069,1.992,-0.081,-0.346,1.574,0.032,0.241,0.939,-0.137,4.854,1.288,7.453,3.048,0.719,2.866,0.333,-0.763,-0.203,2.696,0.963,-0.622,-0.767,3.31,3.355,4.288,0.042,0.993,1.617,-0.389,-0.641,-0.455,3.962,-0.609,6.237,-0.489
"hsa-let-7d-5p",6.834,4.133,0.392,5.915,4.148,0.212,1.406,4.207,6.577,0.837,3.051,3.609,5.02,0.071,0.117,2.485,0.4,3.404,4.848,4.857,5.024,2.286,5.895,4.526,0.448,1.046,0.652,-0.749,6.17,-0.054,0.366,3.67,3.82,-0.597,0.806,5.47,3.999,0.949,0.554,3.396,-1.761,0.598,-1.393,1.342,2.778,2.945,1.376,-1.034,1.056,4.105,3.781,6.142,0.036,3.227,0.034,-0.247,5.061,3.01,3.155,-0.722,0.745,-0.293,1.397,4.396,2.737,2.889,-1.214,-0.487,-1.341,-0.461,2.891,-0.62,3.828,2.625,4.298,-0.652,5.262,4.088,2.303,4.311,4.533,4.452,1.943,0.676,6.015,7.122,3.687,5.876,0.561,0.636,7.111,5.413,-0.396,7.289,1.358,5.379,6.109,-0.136,4.965,0.974,4.687,1.423,4.21,3.498,3.348,5.723,3.92,1.812,0.297,3.851,-0.196,6.57,2.675,4.273,2.146,6.015,1.574,2.69,5.178,0.939,-0.137,0.447,1.288,-0.508,-0.89,0.719,-0.032,0.333,-0.763,-0.203,-1.37,0.963,-0.622,3.688,2.269,-1.399,-0.26,2.719,0.993,1.617,-0.389,-0.641,-0.455,-0.252,-0.609,-1.542,-0.489
"hsa-let-7d-3p",0.636,0.895,0.392,0.631,-0.047,0.212,0.293,0.275,0.549,0.837,0.441,-0.609,0.643,0.071,0.117,-0.243,0.4,0.736,2.879,3.582,3.636,5.218,3.382,0.217,0.448,3.215,1.803,3.278,1.001,3.708,0.366,0.997,-0.489,-0.597,0.806,0.822,4.983,3.39,0.554,3.164,3.796,0.598,0.326,3.35,-0.04,4.266,1.376,3.879,-0.198,3.975,0.354,1.701,3.443,-0.146,0.034,-0.712,1.025,-0.044,0.105,-0.722,4.249,-0.293,3.829,0.148,1.38,-1.192,0.706,3.757,-1.341,0.857,2.125,-0.62,2.02,-1.46,2.232,2.136,0.567,-0.399,3.46,4.01,2.787,4.495,6.453,0.676,4.683,6.031,4.392,-0.043,0.561,0.636,0.61,0.559,-0.396,0.125,3.11,0.21,3.763,3.855,0.125,0.974,3.384,2.753,1.837,2.896,4.058,2.3,-1.244,4.918,0.297,-0.031,-0.196,3.422,2.59,4.298,-0.081,5.368,5.406,0.032,2.397,0.939,-0.137,5.802,1.288,-0.508,-0.89,0.719,-0.032,0.333,-0.763,-0.203,-1.37,0.963,-0.622,3.251,3.096,-1.399,-0.26,0.042,2.149,1.617,-0.389,-0.641,-0.455,-0.252,1.598,4.342,2.415
"hsa-let-7e-5p",3.393,6.603,5.27,4.903,1.132,4.988,0.293,0.275,3.552,5.428,0.441,4.667,5.792,4.762,0.476,2.856,6.719,3.025,5.192,4.924,4.544,5.915,3.947,0.217,5.689,5.902,4.903,4.578,5.79,3.053,0.366,0.997,-0.489,3.121,0.806,4.441,-0.405,6.378,0.554,3.308,-1.761,0.598,3.133,1.342,3.072,3.26,6.033,-1.034,2.3,2.8,0.354,6.169,3.617,4.978,5.329,-0.712,5.245,3.194,1.638,-0.722,6.034,-0.293,-0.411,0.148,2.729,-1.192,-1.214,3.708,2.806,-0.461,3.449,3.216,3.988,2.712,1.001,4.499,4.892,2.233,-1.5,5.138,3.635,3.282,4.197,3.017,3.789,6.927,4.958,5.476,0.561,6.339,3.557,0.559,1.612,0.125,6.567,5.464,4.981,5.298,4.284,2.831,4.627,2.152,4.425,4.012,4.897,5.716,4.971,2.453,5.499,-0.031,-0.196,5.693,-2.301,5.2,2.485,4.907,5.064,4.003,4.987,0.939,3.978,1.412,1.288,-0.508,-0.89,0.719,2.927,0.333,3.021,4.584,-0.897,2.586,-0.622,5.217,-0.459,3.914,-0.26,4.135,0.993,5.985,1.974,3.5,1.915,-0.252,-0.609,-1.542,3.904
