"","GSM3084795","GSM3084796","GSM3084797","GSM3084798","GSM3084799","GSM3084800","GSM3084801","GSM3084802","GSM3084803","GSM3084804","GSM3084805","GSM3084806","GSM3084807","GSM3084808","GSM3084809","GSM3084810","GSM3084811","GSM3084812","GSM3084813","GSM3084814","GSM3084815","GSM3084816","GSM3084817","GSM3084818","GSM3084819","GSM3084820","GSM3084821","GSM3084822","GSM3084823","GSM3084824","GSM3084825","GSM3084826","GSM3084827","GSM3084828","GSM3084829","GSM3084830","GSM3084831","GSM3084832","GSM3084833","GSM3084834","GSM3084835","GSM3084836","GSM3084837","GSM3084838","GSM3084839","GSM3084840","GSM3084841","GSM3084842","GSM3084843","GSM3084844","GSM3084845","GSM3084846","GSM3084847","GSM3084848","GSM3084849","GSM3084850","GSM3084851","GSM3084852","GSM3084853","GSM3084854","GSM3084855","GSM3084856","GSM3084857","GSM3084858","GSM3084859","GSM3084860","GSM3084861","GSM3084862","GSM3084863","GSM3084864","GSM3084865","GSM3084866","GSM3084867","GSM3084868","GSM3084869","GSM3084870","GSM3084871","GSM3084872","GSM3084873","GSM3084874","GSM3084875","GSM3084876","GSM3084877","GSM3084878","GSM3084879","GSM3084880","GSM3084881","GSM3084882","GSM3084883","GSM3084884","GSM3084885","GSM3084886","GSM3084887","GSM3084888","GSM3084889","GSM3084890","GSM3084891","GSM3084892","GSM3084893","GSM3084894","GSM3084895","GSM3084896","GSM3084897","GSM3084898"
"hsa-let-7a-5p",2.59,2.7,2.64,2.73,2.7,2.78,2.67,2.68,2.58,2.66,2.67,2.71,2.7,2.71,2.64,2.6,2.5,2.56,2.42,2.59,2.53,2.48,2.54,2.41,2.43,2.5,2.42,2.52,2.51,2.5,2.52,2.53,2.48,2.43,2.54,2.55,2.45,2.5,2.47,2.61,2.62,2.57,2.51,2.61,2.47,2.68,2.44,3.43,2.51,2.59,2.48,2.83,2.55,2.7,2.9,2.93,2.4,2.51,2.84,2.44,2.5,2.55,2.56,2.6,2.68,2.54,2.49,2.51,2.49,2.62,3.24,2.57,2.42,2.53,2.64,2.48,2.91,2.52,2.63,3.2,2.49,2.65,3.15,2.59,2.43,2.78,3.65,2.53,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7a-3p",2.6,2.71,2.63,2.68,2.56,2.65,2.6,2.59,2.56,2.69,2.56,2.65,2.56,2.64,2.5,2.57,2.35,2.36,2.34,2.44,2.37,2.44,2.41,2.41,2.48,2.44,2.52,2.52,2.35,2.47,2.47,2.48,2.48,2.45,2.35,2.44,2.4,2.35,2.45,2.38,2.4,2.44,2.43,2.4,2.43,2.42,2.37,2.39,2.43,2.46,2.48,2.4,2.43,2.39,2.51,2.45,2.4,2.45,2.45,2.52,2.36,2.37,2.31,2.35,2.45,2.42,2.43,2.39,2.4,2.35,2.41,2.41,2.43,2.29,2.39,2.3,2.39,2.47,2.49,2.52,2.46,2.42,2.36,2.38,2.39,2.37,2.45,2.26,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7b-5p",2.67,2.85,2.83,2.62,2.63,2.58,2.56,2.93,2.78,2.55,2.57,2.76,2.73,2.61,2.56,2.64,2.42,2.88,2.42,2.53,2.44,2.45,2.5,2.58,2.39,2.45,2.54,2.49,2.47,2.46,2.65,2.64,2.45,2.52,2.55,2.62,2.54,2.58,2.51,2.71,2.51,2.55,2.53,2.6,2.92,2.69,2.54,3.31,2.51,2.42,2.55,3.59,2.62,3,4.35,3.88,2.59,2.58,4.1,2.41,3.04,2.48,2.53,3.12,3.88,2.77,2.69,2.52,2.64,2.84,4.71,2.49,2.57,2.71,2.89,3.06,3.94,2.51,3.03,4.69,2.64,2.75,4.36,2.76,2.54,3.55,5.24,2.61,-3.08,-1.72,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-1.72,-1.89,-3.09,-3.07
"hsa-let-7b-3p",2.54,2.57,2.47,2.53,2.53,2.54,2.48,2.45,2.52,2.53,2.48,2.45,2.5,2.51,2.52,2.45,2.52,2.43,2.52,2.41,2.61,2.65,2.54,2.49,2.55,2.48,2.5,2.52,2.6,2.58,2.47,2.63,2.59,2.6,2.5,2.55,2.64,2.47,2.6,2.54,2.56,2.52,2.47,2.55,2.63,2.56,2.47,2.54,2.5,2.57,2.55,2.45,2.53,2.47,2.45,2.55,2.57,2.52,2.51,2.57,2.55,2.53,2.58,2.48,2.58,2.59,2.55,2.48,2.62,2.64,2.51,2.61,2.61,2.5,2.57,2.57,2.62,2.54,2.59,2.58,2.61,2.64,2.54,2.53,2.54,2.52,2.52,2.53,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7d-5p",2.57,2.59,2.6,2.52,2.52,2.64,2.53,2.57,2.56,2.57,2.55,2.51,2.58,2.52,2.59,2.59,2.35,2.41,2.4,2.44,2.44,2.48,2.45,2.46,2.41,2.45,2.36,2.46,2.47,2.44,2.44,2.38,2.41,2.43,2.39,2.43,2.48,2.52,2.43,2.39,2.41,2.4,2.49,2.41,2.37,2.44,2.47,2.73,2.44,2.5,2.5,2.6,2.37,2.48,2.45,2.5,2.42,2.41,2.49,2.39,2.39,2.47,2.41,2.46,2.39,2.35,2.33,2.4,2.38,2.5,2.62,2.48,2.37,2.45,2.4,2.4,2.55,2.41,2.48,2.51,2.35,2.48,2.48,2.37,2.43,2.44,2.86,2.41,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7d-3p",2.44,2.41,2.4,2.43,2.41,2.42,2.4,2.4,2.42,2.43,2.41,2.44,2.42,2.37,2.41,2.37,2.41,2.53,2.45,2.41,2.39,2.4,2.37,2.41,2.43,2.38,2.35,2.42,2.35,2.49,2.33,2.42,2.42,2.44,2.45,2.44,2.52,2.41,2.36,2.4,2.45,2.44,2.42,2.37,2.43,2.41,2.42,2.45,2.38,2.4,2.4,2.61,2.38,2.42,2.46,2.44,2.43,2.49,2.53,2.4,2.4,2.41,2.37,2.48,2.43,2.43,2.51,2.45,2.48,2.39,2.43,2.45,2.45,2.47,2.41,2.45,2.51,2.4,2.48,2.41,2.38,2.5,2.45,2.49,2.41,2.43,2.5,2.46,-3.08,-2.4,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-2.37,-2.53,-3.09,-3.07
"hsa-let-7e-5p",2.61,2.57,2.59,2.62,2.57,2.57,2.51,2.57,2.53,2.61,2.56,2.63,2.52,2.61,2.57,2.61,2.39,2.41,2.39,2.45,2.38,2.41,2.43,2.41,2.44,2.39,2.39,2.5,2.36,2.41,2.38,2.38,2.35,2.39,2.36,2.46,2.38,2.41,2.47,2.36,2.44,2.46,2.36,2.39,2.41,2.41,2.38,2.63,2.47,2.41,2.39,2.43,2.38,2.38,2.42,2.39,2.41,2.37,2.33,2.45,2.42,2.38,2.41,2.39,2.42,2.42,2.43,2.38,2.36,2.4,2.41,2.37,2.37,2.43,2.42,2.46,2.36,2.38,2.41,2.38,2.35,2.41,2.45,2.42,2.37,2.42,2.39,2.4,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7e-3p",2.39,2.48,2.52,2.46,2.5,2.45,2.45,2.45,2.45,2.45,2.39,2.38,2.47,2.44,2.47,2.43,2.36,2.39,2.43,2.42,2.37,2.39,2.39,2.38,2.29,2.33,2.33,2.41,2.34,2.39,2.38,2.45,2.43,2.39,2.43,2.47,2.43,2.41,2.37,2.37,2.39,2.42,2.48,2.46,2.47,2.5,2.44,2.28,2.43,2.36,2.39,2.4,2.45,2.41,2.34,2.39,2.37,2.46,2.39,2.48,2.47,2.48,2.53,2.44,2.4,2.43,2.4,2.44,2.37,2.43,2.45,2.32,2.47,2.41,2.39,2.44,2.41,2.42,2.44,2.35,2.45,2.33,2.43,2.41,2.46,2.5,2.45,2.4,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7f-5p",2.74,2.62,2.61,2.7,2.69,2.7,2.65,2.75,2.6,2.62,2.66,2.7,2.71,2.73,2.55,2.65,2.44,2.43,2.4,2.38,2.45,2.43,2.45,2.37,2.55,2.53,2.42,2.62,2.48,2.57,2.49,2.52,2.34,2.47,2.43,2.48,2.43,2.51,2.49,2.42,2.43,2.42,2.44,2.48,2.51,2.47,2.54,3.25,2.5,2.57,2.5,2.62,2.52,2.58,2.58,2.57,2.4,2.5,2.65,2.56,2.35,2.38,2.41,2.44,2.47,2.43,2.41,2.37,2.49,2.45,2.64,2.47,2.42,2.37,2.42,2.48,2.66,2.41,2.6,2.65,2.47,2.45,2.7,2.45,2.44,2.47,2.9,2.48,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
"hsa-let-7f-1-3p",2.8,2.83,2.84,2.68,2.72,2.98,2.68,2.69,2.72,2.82,2.75,2.75,2.7,2.88,2.7,2.67,2.51,2.48,2.53,2.59,2.58,2.58,2.59,2.56,2.55,2.57,2.54,2.59,2.53,2.67,2.63,2.67,2.61,2.52,2.54,2.59,2.53,2.59,2.61,2.49,2.63,2.6,2.49,2.65,2.56,2.58,2.71,2.57,2.57,2.62,2.71,2.54,2.61,2.65,2.63,2.64,2.54,2.57,2.51,2.49,2.53,2.6,2.53,2.54,2.55,2.46,2.55,2.46,2.54,2.54,2.56,2.52,2.65,2.44,2.57,2.54,2.6,2.65,2.54,2.54,2.68,2.46,2.55,2.56,2.51,2.55,2.49,2.49,-3.08,-3.3,-3.08,-3.11,-3.05,-3.07,-3.09,-3.12,-3.11,-3.1,-3.1,-3.26,-3.32,-3.29,-3.09,-3.07
