"","GSM1349928","GSM1349929","GSM1349930","GSM1349931","GSM1349932","GSM1349933","GSM1349934","GSM1349935","GSM1349936","GSM1349937","GSM1349938","GSM1349939","GSM1349940","GSM1349941","GSM1349942","GSM1349943","GSM1349944","GSM1349945","GSM1349946","GSM1349947","GSM1349948","GSM1349949","GSM1349950","GSM1349951","GSM1349952","GSM1349953","GSM1349954","GSM1349955","GSM1349956","GSM1349957","GSM1349958","GSM1349959","GSM1349960","GSM1349961","GSM1349962","GSM1349963","GSM1349964","GSM1349965","GSM1349966","GSM1349967","GSM1349968","GSM1349969","GSM1349970","GSM1349971","GSM1349972","GSM1349973","GSM1349974","GSM1349975","GSM1349976","GSM1349977","GSM1349978","GSM1349979","GSM1349980","GSM1349981","GSM1349982","GSM1349983","GSM1349984","GSM1349985","GSM1349986","GSM1349987","GSM1349988","GSM1349989","GSM1349990","GSM1349991","GSM1349992","GSM1349993","GSM1349994","GSM1349995","GSM1349997","GSM1349998","GSM1349999","GSM1350001","GSM1350004","GSM1350006","GSM1350008","GSM1350010","GSM1350012","GSM1350014","GSM1350016","GSM1350018"
"hsa-let-7a-5p",11.038,11.441,11.852,12.176,11.852,11.852,11.852,11.441,11.585,11.852,11.585,11.852,11.353,11.852,11.353,11.585,11.441,11.353,11.25,11.585,11.852,11.585,12.176,11.585,11.585,11.441,11.585,10.681,10.783,10.893,10.893,10.681,10.893,10.594,10.515,10.681,10.893,11.25,10.594,9.787,10.783,11.038,11.038,11.038,10.783,11.138,11.038,11.038,11.138,11.25,11.25,10.681,10.783,11.25,10.783,11.038,10.594,10.594,10.515,10.515,11.353,10.783,10.783,10.893,10.783,10.681,10.783,11.353,11.138,10.893,10.783,11.038,11.25,10.893,11.138,11.138,11.25,11.038,10.893,11.138
"hsa-let-7a-3p",1.534,1.939,2.087,2.134,1.852,1.954,2.27,1.915,2.068,1.941,1.885,1.982,2.427,2.409,2.409,2.32,2.253,2.543,2.348,2.732,2.724,2.432,2.153,2.477,2.34,2.519,2.772,2.059,1.999,2.053,2.124,2.081,2.056,2.225,2.075,1.98,2.042,2.115,2.075,2.121,2.209,1.876,2.353,2.248,2.395,2.503,2.382,3.333,2.274,2.27,2.312,2.418,2.191,2.554,2.449,2.449,2.574,2.682,2.382,2.371,2.751,2.413,2.185,2.378,2.3,2.745,2.709,1.98,2.213,2.158,2.203,2.253,2.579,2.682,2.188,2.218,2.401,2.261,2.427,2.477
"hsa-let-7b-5p",9.716,11.038,11.138,9.879,10.783,9.338,9.787,10.156,11.25,11.441,10.156,11.585,10.594,10.425,9.634,9.879,9.879,9.634,9.787,9.982,9.982,9.982,10.425,9.982,9.879,9.879,9.982,9.338,9.496,9.428,9.074,9.139,9.236,9.074,9.018,9.236,9.496,9.576,9.074,9.338,9.236,9.787,9.576,9.496,9.716,9.716,9.716,9.496,9.634,10.156,9.576,9.428,9.496,9.716,10.082,9.879,9.787,9.982,9.879,9.787,10.082,9.576,9.716,10.082,9.787,9.716,9.879,9.716,9.634,9.338,9.576,9.338,9.787,9.074,9.428,9.428,9.428,9.338,9.879,9.496
"hsa-let-7b-3p",3.939,4.511,4.415,4.11,3.775,2.203,3.387,3.284,3.902,4.161,4.884,3.061,3.577,3.133,4.031,4.837,4.742,3.687,3.045,3.419,4.273,4.146,5.348,4.859,4.799,4.511,3.745,2.794,3.874,3.971,3.236,3.35,2.893,3.026,2.93,3.182,3.996,4.074,2.453,2.717,3.007,4.903,6.351,6.076,3.996,5.533,3.457,6.012,5.505,5.321,5.726,5.48,3.272,4.575,4.177,5.561,5.424,4.373,4.884,3.939,4.511,4.601,4.273,4.99,5.48,4.66,4.575,4.13,5.242,5.397,3.674,3.674,2.952,3.662,3.702,5.018,4.903,4.925,3.419,3.225
"hsa-let-7c-5p",7.806,8.883,8.953,8.735,9.074,8.181,7.623,8.315,9.018,9.634,8.315,9.787,8.388,8.671,8.181,8.241,8.439,8.241,8.087,8.241,8.087,8.315,8.612,8.181,8.388,8.516,8.241,7.311,7.462,7.242,7.198,7.021,7.242,6.745,7.133,7.133,7.416,7.574,7.133,6.674,6.908,7.87,6.783,7.416,7.242,7.133,7.516,6.614,7.516,7.462,7.623,7.416,6.713,7.311,8.087,7.678,7.953,7.806,7.623,7.953,7.74,7.462,7.623,7.87,7.806,7.574,7.416,8.017,7.574,7.678,7.574,7.87,7.462,6.745,7.416,7.516,7.462,7.462,8.087,7.416
"hsa-let-7d-5p",9.576,9.634,9.787,10.681,10.156,10.425,10.342,10.082,10.244,10.244,9.716,10.244,10.156,10.515,9.018,9.428,9.139,9.236,9.074,9.338,9.338,9.496,9.634,9.338,9.338,9.338,9.496,8.388,8.612,8.574,8.574,8.439,8.439,8.439,8.516,8.612,8.802,8.802,8.439,8.671,8.802,8.671,8.574,8.574,8.516,7.806,8.439,8.612,8.671,8.671,8.574,8.671,8.315,8.574,8.315,8.516,8.388,8.388,7.678,8.087,8.883,8.439,8.388,8.388,8.612,8.671,8.439,8.612,8.574,8.315,8.181,8.574,8.315,8.315,8.388,8.388,8.315,8.181,8.241,8.439
"hsa-let-7d-3p",3.856,3.007,3.144,2.859,3.761,2.794,3.842,3.32,3.702,3.007,3.204,3.236,3.715,3.366,3.053,2.853,2.701,2.432,3.091,3.053,3.605,2.808,3.546,2.745,2.668,2.751,2.751,2.701,2.3,2.514,2.822,2.745,2.922,3.053,2.751,2.724,2.709,2.668,2.65,3.204,2.893,3.153,2.93,2.766,3.026,2.912,2.336,4.047,4.437,3.65,2.62,2.405,3.674,3.246,2.614,2.559,2.745,2.695,2.579,2.153,2.968,2.942,2.564,2.549,2.59,2.912,2.808,3.017,2.466,2.732,2.462,2.695,3.072,2.922,2.128,2.332,2.538,2.432,2.538,2.597
"hsa-let-7e-5p",1.839,2.689,2.492,3.306,2.682,3.874,2.816,2.689,2.745,2.837,2.585,3.144,2.74,3.501,2.968,2.808,3.026,3.133,2.717,3.144,2.424,3.072,2.001,2.802,2.902,3.017,1.936,3.65,6.16,2.877,4.461,4.074,5.265,4.461,5.348,5.296,5.452,5.687,4.951,4.884,5.139,2.078,3.65,1.931,2.137,2.023,3.102,1.516,2.203,2.063,2.026,2.532,2.585,2.597,4.765,4.354,4.66,4.99,5.296,5.505,5.139,5.424,4.699,4.331,4.415,3.605,5.561,2.788,3.061,2.968,4.461,4.213,4.31,2.007,5.043,3.605,2.998,2.998,2.968,4.601
"hsa-let-7e-3p",2.432,1.713,1.872,1.954,2.366,1.784,1.993,1.486,2.203,1.968,1.889,1.617,2.336,2.336,2.124,1.487,1.819,2.218,1.716,2.232,2.543,1.778,3.73,1.92,1.925,2.701,2.472,1.925,1.693,1.359,1.606,1.99,1.617,2.026,1.502,1.441,1.934,1.778,1.28,1.846,1.523,2.386,2.32,1.915,2.284,1.695,1.5,2.893,2.663,2.284,1.949,1.887,2.188,2.559,1.949,2.378,2.32,2.203,2.209,1.8,1.901,2.401,2.047,1.881,2.018,2.284,2.15,2.569,1.814,1.802,1.883,1.642,2.345,2.053,1.697,2.101,1.934,2.115,1.809,1.99
"hsa-let-7f-5p",9.982,10.244,10.681,11.585,11.585,11.585,11.441,10.342,10.515,10.681,10.425,11.25,10.342,11.585,11.441,11.852,11.852,11.852,11.585,11.852,11.585,11.852,11.441,11.852,11.852,11.585,11.852,10.342,10.594,10.594,10.681,10.425,10.425,9.982,10.082,10.594,10.515,10.893,10.425,8.953,10.342,11.138,11.25,11.138,10.893,11.25,11.138,11.138,11.25,11.038,11.441,11.138,10.893,11.038,11.353,11.138,10.893,11.038,10.594,10.783,10.893,11.038,11.138,11.038,11.138,10.783,11.038,11.585,11.353,11.353,10.893,11.353,11.441,11.353,11.353,11.585,11.441,11.441,11.25,11.441
