"","GSM1463182","GSM1463183","GSM1463184","GSM1463185","GSM1463186","GSM1463187","GSM1463188","GSM1463189","GSM1463190","GSM1463191","GSM1463192","GSM1463193","GSM1463194","GSM1463195","GSM1463196","GSM1463197","GSM1463198","GSM1463199","GSM1463200","GSM1463201","GSM1463202","GSM1463203","GSM1463204","GSM1463205","GSM1463206","GSM1463207","GSM1463208","GSM1463209","GSM1463210","GSM1463211","GSM1463212","GSM1463213","GSM1463214","GSM1463215","GSM1463216","GSM1463217","GSM1463218","GSM1463219","GSM1463220","GSM1463221","GSM1463222","GSM1463223","GSM1463224","GSM1463225","GSM1463226","GSM1463227","GSM1463228","GSM1463229","GSM1463230","GSM1463231","GSM1463232","GSM1463233","GSM1463234","GSM1463235","GSM1463236","GSM1463237","GSM1463238","GSM1463239","GSM1463240","GSM1463241","GSM1463242","GSM1463243","GSM1463244","GSM1463245","GSM1463246","GSM1463247","GSM1463248","GSM1463249","GSM1463250","GSM1463251","GSM1463252","GSM1463253","GSM1463254","GSM1463255","GSM1463256","GSM1463257","GSM1463258","GSM1463259"
"hsa-let-7a-5p",4.978,5.042,5.078,4.982,4.972,5.925,4.909,4.99,5.007,5.187,5.206,4.968,5.01,4.946,4.99,5.055,4.982,5.018,5.07,5.07,5.172,5.068,5.091,5.263,4.961,4.925,5.056,5.172,5.011,6.478,5.24,5.854,5.082,5.698,5.228,4.994,5.004,5.176,5.097,4.991,5.168,5.104,4.943,5.448,4.966,4.951,5.193,5.194,5.137,5.096,5.998,4.981,4.972,6.628,4.965,5.044,4.989,5.547,5.013,4.97,5.471,5.231,5.343,5.429,5.051,5.999,4.945,5.167,4.612,5.209,5.124,5.009,4.973,5.219,5.122,4.944,4.973,5.079
"hsa-let-7a-3p",5.006,4.986,4.997,4.999,4.991,4.956,4.919,4.952,4.96,4.949,4.931,4.952,4.991,5.002,4.971,4.96,4.964,4.994,4.963,4.95,4.972,4.988,5,4.991,4.978,4.989,4.977,4.969,4.955,4.901,4.982,4.917,4.941,4.917,4.935,5,4.996,4.943,4.986,4.979,4.984,5.011,4.94,5.013,4.981,4.949,4.974,4.972,4.974,4.962,4.958,4.996,4.989,4.992,4.972,4.973,4.966,4.942,4.968,4.995,4.984,4.97,4.981,4.928,4.987,5.003,4.958,4.993,5.253,4.974,5.012,4.995,4.955,5.043,4.709,4.993,4.979,5.012
"hsa-let-7b-5p",4.974,5.131,5.323,5.09,5.055,8.727,5.216,5.759,6.41,6.376,5.588,5.175,5.343,5.557,5.183,5.904,5.204,5.646,5.307,5.349,5.881,5.419,5.156,5.498,5.915,5.604,5.92,5.623,5.271,9.426,6.838,7.314,6.183,8.145,6.605,5.457,5.341,7.386,5.348,5.37,5.461,6.521,5.038,5.889,5.225,5.195,6.41,5.85,6.642,5.613,7.413,5.212,5.722,7.196,5.533,6.769,5.918,6.849,5.567,5.881,6.972,8.062,5.707,6.558,5.462,8.188,5.118,6.034,5.246,6.234,5.6,5.335,5.452,5.545,5.577,7.032,5.614,5.961
"hsa-let-7b-3p",5.206,5.208,5.22,5.239,5.228,5.428,5.478,5.306,5.276,5.39,5.267,5.277,5.254,5.355,5.404,5.419,5.432,5.424,5.392,5.44,5.38,5.396,5.445,5.348,5.407,5.326,5.321,5.298,5.391,5.636,5.515,5.581,5.391,5.521,5.517,5.372,5.324,5.454,5.357,5.354,5.367,5.366,5.427,5.414,5.426,5.343,5.356,5.384,5.435,5.391,5.474,5.229,5.244,5.314,5.245,5.261,5.237,5.229,5.25,5.303,5.394,5.378,5.247,5.395,5.241,5.317,5.258,5.212,6.055,5.232,5.185,5.177,5.184,5.201,5.441,5.421,5.391,5.421
"hsa-let-7c-5p",4.957,4.979,5.057,4.992,4.987,5.797,4.923,5.01,4.98,5.283,5.089,4.987,5.016,4.915,4.961,5.062,4.957,5.078,5.038,5.052,5.065,5.01,5.009,5.061,4.943,4.948,5.104,5.071,5.029,6.349,5.257,5.572,5.069,5.351,5.165,5.011,5.004,5.24,5.035,4.996,5.017,5.096,4.937,5.229,4.989,4.964,5.119,5.16,5.298,5.107,5.802,4.975,5.031,5.84,4.977,5.038,4.993,5.611,5.005,5.019,5.522,5.56,5.139,5.293,5.036,6.35,4.972,5.051,4.674,5.195,5.132,5.051,5.017,5.13,5.025,5.01,5.004,5.155
"hsa-let-7d-5p",4.937,4.948,5.018,4.93,4.945,5.674,4.897,4.968,4.95,5.067,4.999,4.931,4.986,4.923,4.955,4.985,4.982,4.951,5.029,5.032,4.992,5.007,4.961,5.068,4.925,4.926,5.034,5.062,4.961,5.921,5.126,5.573,5.042,5.331,5.063,4.981,4.976,5.072,4.981,4.942,4.991,5.043,4.93,5.231,4.919,4.938,5.025,5.084,5.051,5.012,5.598,4.967,4.94,5.698,4.935,4.969,4.937,5.237,4.998,4.953,5.312,5.117,5.103,5.299,4.995,5.542,4.922,5.123,4.725,5.144,5.016,4.978,4.968,5.106,4.934,4.945,4.969,5.051
"hsa-let-7d-3p",5.003,4.989,5.092,5.012,4.993,5.944,5.503,5.081,5.096,5.471,5.136,5.064,5.056,5.048,5.031,5.056,5.019,5.022,5.045,5.027,5.221,5.11,5.103,5.038,5.403,5.076,5.052,5.098,5.054,5.38,5.33,5.377,5.3,5.371,5.516,5.052,5.084,5.372,5.06,4.99,5.054,5.169,5.055,5.189,5.071,5.038,5.251,5.178,5.301,5.278,5.589,5.049,5.105,5.662,5.022,5.172,5.054,5.124,5.156,5.147,5.358,5.828,5.112,5.075,5.129,5.655,5.006,5.295,6.405,5.164,5.09,5.065,5.099,5.3,5.016,5.082,5.19,5.095
"hsa-let-7e-5p",4.893,4.943,4.953,4.919,4.92,4.955,4.968,4.888,4.935,4.937,4.934,4.924,4.927,4.944,4.939,4.958,4.917,4.962,4.947,4.914,4.885,4.907,4.919,4.915,4.879,4.93,4.91,4.94,4.9,4.965,4.941,5.036,4.939,5.008,4.928,4.916,4.936,4.886,4.952,4.908,4.909,4.946,4.931,4.983,4.9,4.896,5.024,4.958,4.91,4.934,5.014,4.947,4.909,5.023,4.927,4.949,4.898,4.929,4.89,4.929,4.902,4.907,4.949,4.959,4.945,4.922,4.895,4.92,4.554,4.975,4.91,4.91,4.905,4.971,4.891,4.897,4.927,4.943
"hsa-let-7e-3p",4.958,4.932,4.956,4.961,4.964,4.943,4.911,4.964,4.914,4.875,4.884,4.945,4.904,4.95,4.886,4.888,4.879,4.876,4.908,4.945,4.878,4.949,4.95,4.941,5.073,4.915,4.876,4.89,4.903,4.891,4.913,4.865,4.928,4.916,4.915,4.965,4.921,4.848,4.928,4.915,4.901,4.989,4.909,4.896,4.932,4.891,4.89,4.917,4.966,4.917,4.882,4.927,4.923,4.927,4.934,4.936,4.938,4.911,4.926,4.918,4.935,4.868,4.907,4.972,4.935,4.967,4.951,4.926,6.061,4.905,4.935,4.896,4.905,4.983,4.812,4.948,4.957,4.919
"hsa-let-7f-5p",4.972,5.021,5.028,4.974,4.981,5.91,4.946,4.98,4.999,5.13,5.205,4.932,4.993,4.998,4.999,5.069,5.008,4.955,5.09,5.052,5.181,4.985,5.081,5.219,5.015,4.959,5.087,5.125,5.004,6.283,5.137,5.856,5.116,5.702,5.264,4.991,4.944,5.106,5.057,4.953,5.195,5.076,4.961,5.383,4.974,4.938,5.101,5.149,5.064,5.101,5.852,4.992,4.977,6.451,4.966,5.126,4.981,5.388,4.999,4.968,5.401,5.172,5.296,5.481,5.036,5.696,4.903,5.207,4.528,5.156,5.034,4.995,4.935,5.172,5.143,4.946,4.997,5.01
