"","GSM3937321","GSM3937322","GSM3937323","GSM3937324","GSM3937325","GSM3937372","GSM3937373","GSM3937374","GSM3937326","GSM3937327","GSM3937328","GSM3937329","GSM3937330","GSM3937331","GSM3937332","GSM3937333","GSM3937334","GSM3937335","GSM3937336","GSM3937337","GSM3937338","GSM3937339","GSM3937340","GSM3937341","GSM3937342","GSM3937343","GSM3937344","GSM3937345","GSM3937346","GSM3937347","GSM3937348","GSM3937349","GSM3937350","GSM3937351","GSM3937352","GSM3937353","GSM3937354","GSM3937355","GSM3937356","GSM3937357","GSM3937358","GSM3937359","GSM3937360","GSM3937361","GSM3937362","GSM3937363","GSM3937364","GSM3937365","GSM3937366","GSM3937367","GSM3937368","GSM3937369","GSM3937370","GSM3937371","GSM3937375","GSM3937376","GSM3937377","GSM3937378","GSM3937379","GSM3937380","GSM3937381","GSM3937382","GSM3937383","GSM3937384","GSM3937385","GSM3937386","GSM3937387","GSM3937388","GSM3937389","GSM3937390","GSM3937391","GSM3937392","GSM3937393","GSM3937394","GSM3937395","GSM3937396","GSM3937397","GSM3937398","GSM3937399"
"hsa-let-7a-5p",5.196,7.259,5.981,5.878,2.007,6.476,2.789,2.253,4.516,7.194,4.097,2.851,2.625,2.405,3.467,3.091,5.304,3.076,2.981,4.016,3.134,3.831,6.751,6.222,5.329,6.182,4.896,5.494,5.013,3.223,6.754,4.94,5.736,5.258,6.384,4.408,5.702,4.523,6.254,3.628,5.385,5.582,5.345,6.145,2.949,3.09,7.135,6.481,4.958,3.66,5.629,5.45,5.3,5.344,3.744,5.8,6.543,3.406,7.133,4.798,5.16,2.942,4.177,6.826,7.756,5.453,5.315,2.836,1.633,3.797,4.728,5.361,4.532,3.777,4.262,3.328,1.169,4.082,3.409
"hsa-let-7a-3p",5.196,4.652,4.509,3.075,2.007,3.806,1.599,2.253,4.516,4.692,4.097,2.851,0.876,2.405,3.467,3.091,3.691,3.076,2.981,2.367,3.134,3.831,3.74,5.426,5.329,3.048,1.672,2.961,2.635,3.223,3.253,3.156,3.122,2.98,3.758,1.817,4.394,3.233,3.996,1.534,3.59,3.777,2.941,4.861,2.949,3.09,4.243,3.151,4.958,3.66,2.306,3.851,2.669,2.619,3.744,4.005,4.391,3.406,3.982,4.798,3.503,2.942,2.624,4.158,4.081,4.427,3.188,2.836,1.633,1.337,3.071,2.844,2.405,1.756,2.556,2.532,1.169,4.082,3.409
"hsa-let-7a-2-3p",5.196,4.652,4.509,3.075,2.007,3.806,4.03,2.253,4.516,4.692,4.097,2.851,2.54,2.405,3.467,3.091,3.691,3.076,2.981,2.367,3.134,3.831,3.74,5.426,5.329,3.048,1.672,2.961,2.635,3.223,3.253,3.156,3.122,2.98,3.758,1.817,4.394,3.233,3.996,2.185,3.59,2.224,2.941,4.861,2.949,3.09,4.243,3.151,4.958,3.66,2.306,3.851,2.669,4.624,3.744,4.005,4.391,3.406,3.982,4.798,2.882,2.942,2.624,4.158,4.081,4.427,3.188,2.836,1.633,1.337,3.071,2.844,2.405,2.839,2.556,2.532,1.169,4.082,3.409
"hsa-let-7b-5p",5.196,7.26,4.509,6.07,2.007,4.711,3.731,2.253,6.115,6.182,4.097,2.851,0.876,3.225,4.999,3.091,6.129,3.723,4.564,2.367,3.134,3.831,4.981,5.426,7.077,4.231,3.856,2.961,2.635,4.502,5.364,3.156,4.695,4.799,6.357,3.715,5.078,3.233,6.105,4.128,5.331,2.224,2.941,4.861,2.949,3.09,8.118,3.151,4.958,5.529,5.573,3.851,4.415,4.731,5.97,4.005,4.391,3.406,6.302,4.798,4.364,2.942,2.624,7.404,6.385,6.637,4.711,2.836,3.495,3.61,3.071,5.158,4.671,4.071,2.556,2.985,3.452,4.082,5.247
"hsa-let-7b-3p",5.196,4.652,4.509,3.075,4.049,5.6,4.001,4.701,4.516,4.692,4.097,2.851,3.183,3.45,3.467,3.091,3.691,3.63,2.981,2.367,3.134,3.831,3.74,5.426,5.329,4.036,1.672,2.961,2.635,3.223,3.253,4.551,3.122,2.98,3.758,3.102,4.394,4.616,5.39,4.033,5.805,2.224,4.823,4.861,2.949,3.09,4.243,3.151,4.958,3.66,2.306,3.851,2.669,4.105,5.011,4.005,4.391,3.406,3.982,4.798,2.882,2.942,2.624,4.158,4.081,4.427,3.188,2.836,3.863,2.911,3.071,2.844,2.405,3.865,2.556,5.802,4.068,4.082,3.409
"hsa-let-7c-5p",6.901,6.881,4.509,3.075,2.007,5.389,1.599,2.253,4.516,4.692,7.274,2.851,0.876,4.014,3.467,3.091,3.691,3.076,4.644,4.279,3.134,3.831,6.002,5.426,5.329,5.276,3.253,4.644,4.659,5.781,5.83,5.396,5.191,6.42,5.663,3.4,4.394,4.627,5.446,3.376,6.318,4.562,6.402,4.861,5.473,7.466,7.782,6.909,7.633,3.66,5.309,3.851,4.395,4.17,3.744,4.005,7.572,3.406,3.982,4.798,5.533,2.942,2.624,7.023,5.663,6.505,6.108,2.836,3.149,4.116,5.258,6.347,2.405,3.148,5.599,2.727,3.328,7.093,3.409
"hsa-let-7c-3p",5.196,4.652,4.509,4.538,2.007,3.806,1.599,4.489,4.516,4.692,4.097,2.851,0.876,3.287,3.467,3.091,3.691,3.076,2.981,2.367,3.134,3.831,3.74,5.426,5.329,3.048,1.672,2.961,2.635,3.223,3.253,3.156,3.122,2.98,3.758,1.817,4.394,3.233,3.996,1.534,3.59,2.224,2.941,4.861,2.949,3.09,4.243,3.151,4.958,3.66,2.306,3.851,2.669,2.619,3.744,4.005,4.391,3.406,3.982,4.798,2.882,2.942,2.624,4.158,4.081,4.427,3.188,2.836,1.633,1.337,3.071,2.844,2.405,1.756,2.556,2.532,1.169,4.082,3.409
"hsa-let-7d-5p",7.596,4.652,4.509,5.68,2.007,5.527,1.599,2.253,4.516,4.692,4.097,2.851,0.876,2.405,4.992,3.091,5.313,3.076,2.981,2.367,3.134,6.002,5.093,5.426,5.329,4.76,3.121,2.961,2.635,4.565,5.128,3.428,5.225,5.246,3.758,2.67,4.394,3.233,3.996,1.744,3.59,4.155,2.941,4.861,2.949,6.427,7.925,5.215,7.503,3.66,4.641,3.851,3.679,2.619,3.744,5.777,4.391,3.406,3.982,4.798,2.882,2.942,2.624,6.934,8.473,5.652,5.976,2.836,1.633,3.839,3.071,4.48,4.582,1.756,5.034,2.532,1.169,4.082,3.409
"hsa-let-7d-3p",5.196,6.229,4.509,3.075,2.007,3.806,2.705,4.037,4.516,4.692,4.097,2.851,3.505,3.143,3.467,3.091,3.691,3.076,2.981,2.367,3.134,3.831,3.74,5.426,5.329,3.048,1.672,2.961,2.635,3.223,3.253,3.339,3.122,2.98,3.758,1.817,4.394,4.717,3.996,4.474,3.59,2.224,2.941,4.861,2.949,3.09,4.243,3.151,4.958,3.66,2.306,3.851,2.669,2.619,3.744,4.005,4.391,3.406,3.982,4.798,2.882,2.942,2.624,4.158,4.081,4.427,3.188,2.836,1.633,1.337,3.071,2.844,2.405,1.756,2.556,2.532,3.977,4.082,3.409
"hsa-let-7e-5p",5.196,6.284,4.509,5.087,2.007,4.598,3.663,2.253,4.516,6.961,4.097,2.851,2.537,4.695,3.467,3.091,3.691,3.076,2.981,2.367,3.134,3.831,5.465,5.426,5.329,3.048,1.672,5.433,4.477,3.223,5.96,5.297,5.338,4.354,6.017,1.817,6.761,4.539,5.48,5.887,3.59,2.224,4.843,4.861,2.949,3.09,6.754,3.151,7.513,3.66,2.306,3.851,2.669,4.877,3.744,4.005,5.907,3.406,6.13,4.798,2.882,2.942,4.776,4.158,6.67,6.404,3.188,2.836,1.633,1.337,3.071,4.671,2.405,3.956,2.556,5.248,4.11,4.082,3.409
