"","GSM3386619","GSM3386620","GSM3386621","GSM3386622","GSM3386623","GSM3386624","GSM3386625","GSM3386626","GSM3386627","GSM3386628","GSM3386629","GSM3386630","GSM3386631","GSM3386632","GSM3386633","GSM3386634","GSM3386635","GSM3386636","GSM3386637","GSM3386638","GSM3386639","GSM3386640","GSM3386641","GSM3386642","GSM3386643","GSM3386644","GSM3386645","GSM3386646","GSM3386647","GSM3386648","GSM3386649","GSM3386650","GSM3386651","GSM3386652","GSM3386653","GSM3386654","GSM3386655","GSM3386656","GSM3386657","GSM3386658","GSM3386659","GSM3386660","GSM3386661","GSM3386662","GSM3386663","GSM3386664","GSM3386665","GSM3386666","GSM3386667","GSM3386668","GSM3386669","GSM3386670","GSM3386671","GSM3386672","GSM3386673","GSM3386674","GSM3386675","GSM3386676","GSM3386677","GSM3386678","GSM3386679","GSM3386680","GSM3386681","GSM3386682","GSM3386683","GSM3386684"
"hsa-let-7a-5p",1.729,-3.322,-3.322,-3.322,4.035,6.076,-3.322,-3.322,-2.394,4.39,2.166,-3.322,3.294,-3.322,-3.322,3.023,2.661,-3.322,-3.322,-3.322,3.579,3.352,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,3.241,-0.611,-3.322,-3.322,2.867,-3.322,-3.322,-3.322,-1.493,3.206,-3.322,-3.322,-3.322,3.854,2.34,-3.322,1.1,2.093,-3.322,3.116,-3.322,-3.322,-3.322,-3.322,-3.322,3.012,0.71,3.494,-3.322,1.05,3.342
"hsa-let-7a-3p",-3.322,-3.322,2.033,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.3,-3.322,1.776,-3.322,-3.322,-3.322,-3.322,0.924,-3.322,-3.322,1.966,-3.322,-0.022,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.869,-3.322,-3.322,-3.322,-3.322,-3.322,2.507,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.107,-3.322,1.287,-3.322,-0.34,-3.322,-3.322,-3.322,-3.322,0.323,-0.901,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7a-2-3p",1.692,1.261,3.247,-3.322,2.949,2.135,-3.322,0.829,-3.322,2.205,2.874,-3.322,3.17,2.751,-3.322,-0.253,3.266,-3.322,-3.322,3.045,-0.654,2.892,-1.578,1.352,1.993,-3.322,NA,-3.322,2.205,2.073,-3.322,2.717,1.465,3.932,1.886,1.131,-3.322,1.719,0.201,0.557,0.877,1.384,2.801,2.737,-3.322,-3.322,-3.322,-3.322,2.81,1.578,-3.322,3.038,3.004,1.156,2.938,2.576,-3.322,1.004,1.166,1.397,-2.002,2.083,2.585,2.372,3.576,-1.183
"hsa-let-7b-5p",2.516,0.705,-3.322,-3.322,3.521,6.32,-3.322,1.601,4.092,4.366,1.979,-3.322,3.658,-3.322,-3.322,3.446,4.071,-3.322,1.725,0.961,1.475,3.521,-3.322,-3.322,1.859,-3.322,-3.322,-3.322,1.43,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.424,-3.322,-3.322,1.81,-3.322,-3.322,-3.322,1.927,3.978,-3.322,3.157,-3.322,3.812,2.115,-3.322,2.327,3.465,-3.322,2.448,1.088,1.855,1.822,-2.327,0.052,3.879,-3.322,3.534,-3.322,3.488,3.545
"hsa-let-7b-3p",3.279,3.849,3.646,1.549,3.939,4.24,2.641,2.969,2.902,3.507,3.764,1.732,2.805,3.632,-1.974,2.514,4.111,3.741,3.604,3.615,3.677,3.703,2.86,2.62,3.82,3.988,1.043,2.871,3.66,3.255,3.86,2.983,3.437,4.465,3.149,3.477,3.486,3.561,4.367,4.129,3.594,4.194,3.418,3.918,3.838,-3.322,3.577,2.603,3.878,3.943,4.099,3.694,3.843,2.754,3.425,3.606,2.653,3.216,3.437,3.452,4.478,3.253,3.419,3.359,4.086,3.563
"hsa-let-7c-5p",3.001,-3.322,-3.322,-3.322,3.547,5.979,-3.322,-3.322,-3.322,2.738,-0.176,-3.322,3.897,1.076,-3.322,2.247,2.386,-3.322,-3.322,-3.322,-3.322,1.294,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.383,-3.322,-3.322,1.709,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.381,-3.322,1.18,-3.322,-3.322,-3.322,-0.359,2.158,-3.322,-3.322,0.089,-3.322,3.232,-3.322,-3.322,-3.322,-3.322,-3.322,2.977,-3.322,1.8,-3.322,0.119,1.927
"hsa-let-7c-3p",3.449,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.447,-3.322,-3.322,-3.322,-3.322,-3.322,1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.447,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.173,-0.036,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.061,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.013,1.761,-3.322
"hsa-let-7d-5p",-0.445,-3.322,-3.322,-3.322,3.122,5.891,-3.322,-3.322,-3.322,2.658,-3.322,-3.322,2.693,-3.322,-3.322,-3.322,1.47,-3.322,-3.322,-3.322,-3.322,1.934,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.739,-3.322,1.575,-3.322,0.294,3.281,-3.322,-3.322,1.263,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.931,-3.322,0.34,-3.322,-0.27,-0.325
"hsa-let-7d-3p",2.594,2.454,-3.322,-3.322,3.367,4.889,-3.322,0.497,-2.629,2.541,3.452,-3.322,-3.322,1.099,-3.322,-3.322,3.971,-3.322,-3.322,3.017,-3.322,3.266,-3.322,2.222,2.43,-3.322,-3.322,-3.322,2.366,1.135,2.382,-3.322,-3.322,-3.322,0.76,0.555,2.55,3.338,2.096,0.109,2.489,1.85,2.015,3.817,0.799,-3.322,-3.322,-3.322,-3.322,3.686,-3.322,2.528,2.912,-3.322,2.608,2.809,1.709,-3.322,-3.322,1.299,-3.322,2.045,2.247,1.196,3.689,1.157
"hsa-let-7e-5p",-3.322,-3.322,-3.322,-3.322,0.974,1.541,-3.322,2.462,1.557,2.179,0.329,-3.322,-3.322,-3.322,-3.322,-0.248,2.348,-3.322,2.018,-1.686,-3.322,1.426,-3.322,-3.322,-3.322,-3.013,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,1.022,-3.322,-3.322,3.074,-3.322,-3.322,1.862,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-0.112,-3.322,-3.322,-3.322,1.791,-3.322,-3.322,-3.322,-3.322,-3.322,1.175,0.831,-3.322,0.892,-3.322
