"","GSM3124520","GSM3124521","GSM3124522","GSM3124523","GSM3124524","GSM3124525","GSM3124526","GSM3124527","GSM3124528","GSM3124529","GSM3124530","GSM3124531","GSM3124532","GSM3124533","GSM3124534","GSM3124535","GSM3124536","GSM3124537","GSM3124538","GSM3124539","GSM3124540","GSM3124541","GSM3124542","GSM3124543","GSM3124544","GSM3124545","GSM3124546","GSM3124547","GSM3124548","GSM3124549","GSM3124550","GSM3124551","GSM3124552","GSM3124553","GSM3124554","GSM3124555","GSM3124556","GSM3124557","GSM3124558","GSM3124559"
"hsa-let-7a-5p",-1.471,-3.082,1.753,-1.988,-1.239,-1.283,-1.537,-3.322,-1.121,-0.851,-2.393,-2.048,-1.927,-3.245,-0.192,0.374,-3.322,1.628,-0.975,-0.168,-0.814,0.486,1.052,-1.21,0.725,-0.748,0.484,0.545,0.415,-1.103,-1.713,-0.815,-3.043,-0.293,-1.15,-1.873,-0.346,-1.251,-0.832,-2.817
"hsa-let-7a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7a-2-3p",-1.078,-1.06,-0.732,-1.117,-1.798,-1.83,-0.451,-1.156,-1.725,-1.517,-1.002,-0.848,-1.032,-0.367,-2.845,-2.437,-1.511,-2.646,-2.356,-2.65,-2.369,-2.207,-2.425,-1.826,-2.173,-2.164,-2.413,-2.258,-2.367,-1.691,-1.01,-1.036,-0.579,-2.417,-2.068,-2.128,-2.041,-1.27,-2.377,-0.536
"hsa-let-7b-5p",0.19,2.305,0.99,1.327,1.854,2.091,1.855,2.805,1.587,1.063,0.765,0.577,1.225,0.812,2.115,1.453,-1.158,0.181,-0.275,0.449,0.693,1.115,1.608,0.125,0.316,0.665,-0.071,-0.271,1.05,0.275,0.571,1.946,-3.322,0.957,-0.992,-2.215,0.397,1.312,1.407,-0.073
"hsa-let-7b-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.307,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7c-5p",1.089,1.383,-0.017,0.841,2.196,1.762,1.885,2.694,0.65,1.185,1.752,1.094,1.718,0.549,2.549,-1.049,-1.878,-2.788,-2.356,-1.594,-1.571,-0.171,-0.576,-1.794,-1.752,-0.868,-1.82,-1.857,-0.793,-0.755,-0.59,-0.885,-1.638,-1.511,-1.029,-3.132,-1.955,-0.756,-0.507,-3.322
"hsa-let-7d-5p",-2.452,-2.151,0.513,-2.228,-3.143,-0.634,-1.223,-2.637,-1.17,-0.415,-1.852,-1.81,-1.949,-2.912,-0.353,-0.427,-1.702,-1.132,-1.188,-1.185,-2.004,-0.748,-0.753,-1.437,-0.766,-0.372,-0.819,-1.065,-0.332,-1.223,-1.773,-1.401,-3.322,-0.841,-2.04,-3.322,-1.073,-1.017,-0.603,-2.654
"hsa-let-7d-3p",-2.285,-1.933,-1.391,-2.368,-2.907,-2.941,-2.476,-2.333,-2.082,-2.14,-1.898,-1.936,-2.335,-2.161,-3.322,-3.189,-1.303,-3.322,-3.042,-3.028,-2.765,-2.939,-2.646,-2.792,-2.927,-2.91,-2.881,-3.142,-2.835,-2.799,-2.513,-2.305,-3.197,-3.163,-2.812,-3.322,-2.972,-2.814,-3.322,-2.926
"hsa-let-7e-5p",2.088,1.798,0.967,1.835,3.356,4.188,3.489,3.28,1.952,2.511,2.69,2.763,2.665,3.055,1.162,1.422,1.237,1.423,1.477,1.496,1.149,1.355,1.193,1.468,1.223,1.389,1.17,1.176,1.132,1.659,2.486,2.698,3.475,2.594,1.453,1.337,1.772,2.912,1.922,4.48
"hsa-let-7e-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7f-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-1.579,-3.141,-2.646,-2.025,-2.27,-2.944,-3.101,-2.987,-3.182,0.151,-1.335,-1.456,-0.735,-2.266,-2.836,-3.322,-3.322,-2.815,-2.267,-2.916,-2.733,-2.376,-2.345,-3.048,-3.19
"hsa-let-7f-1-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.7,-3.217,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7f-2-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-15a-5p",-2.515,-2.691,-3.322,-3.322,-3.322,-2.089,-2.986,-3.322,-3.322,-3.002,-3.322,-2.82,-3.322,-3.322,-3.322,-2.164,-3.322,-2.962,-2.163,-2.364,-2.583,-1.838,-2.189,-3.322,-3.322,-2.848,-3.322,-3.265,-2.575,-2.338,-1.48,-1.679,-2.307,-1.92,-2.378,-3.322,-2.666,-0.937,-2.468,-2.07
"hsa-miR-15a-3p",-2.381,-2.103,-1.699,-2.032,-3.312,-2.692,-2.066,-2.269,-2.024,-2.652,-1.954,-2.034,-2.568,-2.451,-2.878,-1.837,-1.965,-1.86,-1.873,-2.104,-1.762,-2.464,-2.002,-1.568,-1.797,-1.624,-1.519,-1.68,-1.942,-1.881,-1.678,-1.836,-2.664,-2.62,-1.765,-2.746,-1.79,-1.941,-2.334,-1.867
"hsa-miR-16-5p",-1.165,-0.584,0.044,-0.699,-2.756,-1.757,-2.338,-2.813,-0.513,-1.295,-2.537,-0.645,-2.14,-2.678,-1.326,0.147,-1.799,-0.385,0.644,0.188,-0.462,0.443,-0.607,-0.869,0.817,1.371,-0.432,-0.082,0.79,-0.165,1.062,1.097,-1.199,0.832,-1.131,-1.402,-0.172,1.096,-0.377,0.657
"hsa-miR-16-1-3p",-3.322,-3.322,-3.206,-3.321,-2.692,-3.143,-2.83,-3.185,-3.322,-2.952,-2.945,-2.596,-3.322,-2.579,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-17-5p",-1.267,-2.115,-1.996,-1.539,-2.701,-1.573,-1.761,-2.825,-2.012,-1.04,-1.774,-1.231,-2.377,-2.269,-1.94,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.279,-3.322,-2.598,-3.322,-3.258,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-17-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.068,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-18a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-18a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.272,-3.322,-3.322,-3.322,-2.402,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-19a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-19a-3p",-2.032,-2.249,-3.322,-3.322,-3.322,-2.14,-2.493,-3.322,-3.322,-2.713,-3.322,-2.394,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.019,-2.894,-3.322,-2.978,-3.011,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.233,-3.024,-0.636,-2.507,-1.754,-3.322,-3.322,-2.126,-3.322,-3.098
"hsa-miR-19b-1-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-19b-3p",-2.17,-3.273,-3.322,-3.322,-3.322,-2.467,-2.813,-3.322,-3.322,-2.925,-3.266,-3.069,-3.322,-3.322,-2.817,-2.685,-3.272,-3.322,-2.37,-3.11,-2.968,-3.101,-2.434,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-2.345,-3.262,-1.312,-2.205,-1.717,-3.322,-3.234,-1.606,-3.008,-2.996
"hsa-miR-19b-2-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-20a-5p",-2.732,-2.268,-3.322,-3.322,-3.322,-1.005,-2.699,-3.322,-3.322,-3.322,-2.849,-2.055,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.112,-3.322,-1.649,-3.322,-2.666,-3.322,-3.322,-2.612,-3.322,-3.322
"hsa-miR-20a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-21-5p",-1.349,-1.728,-0.385,-0.269,-0.297,-0.613,-0.591,-3.278,-0.726,-0.318,-1.371,-0.823,-0.891,-1.357,-0.6,1.104,-2.618,1.273,0.438,0.678,0.329,1.024,1.463,-1.197,0.372,-0.785,0.296,-0.191,0.537,-0.794,0.844,0.332,0.194,1.776,0.2,-1.18,0.708,0.916,-0.13,0.279
"hsa-miR-21-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-22-5p",-0.696,-0.799,-0.568,-0.933,-0.337,-0.907,-0.713,-0.788,-0.308,0.103,-0.136,-0.266,-0.106,-0.095,-0.993,-3.229,-2.683,-2.8,-2.788,-2.794,-2.991,-2.948,-2.986,-2.317,-2.347,-2.702,-2.699,-2.567,-2.841,-2.473,-2.794,-2.147,-2.041,-3.322,-1.537,-1.695,-3.191,-2.436,-3.145,-1.998
"hsa-miR-22-3p",-1.144,-1.579,-2.672,-2.355,-2.407,-0.989,-1.92,-1.391,-0.921,-0.008,-1.26,-0.337,-1.572,-1.629,-1.421,-1.168,-2.444,-1.826,-1.471,-1.381,-1.01,-0.564,-0.731,-0.943,-1.38,-0.559,-1.019,-0.55,-0.46,-0.191,-0.042,0.212,-0.911,-1.071,-2.144,-3.322,-1.424,-0.327,-0.734,-0.701
