"","GSM3467238","GSM3467239","GSM3467240","GSM3467241","GSM3467242","GSM3467243","GSM3467244","GSM3467245","GSM3467246","GSM3467247","GSM3467248","GSM3467249","GSM3467250","GSM3467251","GSM3467252","GSM3467253","GSM3467254","GSM3467255","GSM3467256","GSM3467257","GSM3467258","GSM3467259","GSM3467260","GSM3467261","GSM3467262","GSM3467263","GSM3467264","GSM3467265","GSM3467266","GSM3467267","GSM3467268","GSM3467269","GSM3467270","GSM3467271","GSM3467272","GSM3467273","GSM3467274","GSM3467275"
"hsa-let-7a-5p",16.624,16.605,16.642,16.419,16.764,15.288,16.845,17.148,16.068,14.656,15.605,14.319,16.561,15.628,14.659,14.394,15.136,16.629,16.43,15.086,15.231,13.628,15.865,16.313,15.491,16.617,16.512,16.185,14.346,13.998,15.6,16.478,16.145,16.178,16.471,16.51,16.262,16.257
"hsa-let-7a-3p",6.718,6.613,6.746,6.84,5.15,6.296,7.04,5.517,6.368,6.375,6.244,4.776,6.711,6.031,5.907,5.416,5.555,7.04,7.199,6.174,6.2,5.787,7.845,6.568,7.62,7.632,6.78,8.357,5.133,5.98,7.594,7.892,8.254,6.96,6.104,7.937,8.484,6.583
"hsa-let-7a-2-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7b-5p",14.357,15.166,14.108,15.477,14.93,14.54,15.566,16.344,15.691,15.097,14.567,14.422,14.272,15.066,13.011,13.061,15.107,14.37,14.133,14.57,15.901,14.173,13.442,14.059,13.001,14.918,14.351,14.746,13.967,13.694,14.855,14.568,13.907,14.042,14.176,14.909,13.603,14.151
"hsa-let-7b-3p",3.776,5.07,4.53,4.603,3.561,-3.322,3.776,4.644,-0.515,4.792,3.858,-3.322,4.573,4.446,2.036,3.087,-3.322,4.755,3.878,3.248,1.848,2.7,4.977,4.853,4.044,4.573,4.505,6.098,1.07,1.632,3.186,3.07,5.558,4.621,3.573,5.146,5.271,3.379
"hsa-let-7c-5p",11.507,11.99,11.124,12.09,12.08,10.679,11.919,12.423,11.258,10.98,10.654,10.208,11.39,11.053,9.453,9.242,11.729,11.672,11.235,10.398,11.112,9.509,11.031,11.488,10.71,11.246,11.348,11.018,10.463,10.201,10.874,10.759,10.339,10.849,11.957,10.766,10.35,10.879
"hsa-let-7c-3p",-3.322,-3.322,-3.322,-1.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,0.926,-3.322,-3.322,-3.322,-3.322,-0.737,-3.322,0.485,-3.322,-2.322,-3.322
"hsa-let-7d-5p",14.004,13.974,13.908,13.59,13.82,14.109,14.073,13.796,14.19,13.337,13.51,13.136,13.63,13.983,12.584,12.492,13.658,13.967,13.621,13.655,13.839,12.495,13.224,13.601,13.409,13.729,13.497,13.399,13.162,13.17,13.704,14.267,13.916,14.034,14.158,13.571,14.034,14.07
"hsa-let-7d-3p",10.544,10.296,10.562,10.576,10.142,9.133,10.393,10.09,9.633,9.314,9.913,8.219,10.561,9.512,9.077,7.485,9.809,10.522,10.721,9.485,9.839,8.956,10.972,10.269,10.635,11.761,10.872,11.354,8.57,9.13,10.379,11.681,11.349,10.963,10.816,12.04,11.249,10.627
"hsa-let-7e-5p",10.891,10.759,11.153,10.609,10.479,10.372,10.707,10.955,11.628,10,9.328,9.997,10.258,11.053,9.175,8.765,10.375,11.049,10.349,10.769,11.408,9.002,9.751,11.159,10.533,11.478,10.843,10.596,9.704,9.578,11.271,11.57,10.762,11.069,11.502,11.237,10.35,10.959
"hsa-let-7e-3p",2.459,2.138,3.053,1.202,2.828,-3.322,0.263,-3.322,3.121,-3.322,2.7,3.186,2.263,-3.322,3.585,-3.322,2.104,2.7,-3.322,0.926,-3.322,1.263,1.263,4.632,2.722,1.433,2.17,3.888,3.878,2.632,-3.322,3.07,3.322,3.121,2.888,1.263,3.632,1.766
"hsa-let-7f-5p",16.582,16.38,16.636,16.217,16.232,14.252,16.179,16.198,15.13,13.955,15.258,13.862,16.415,14.627,14.613,14.465,14.258,16.555,16.059,14.638,14.441,13.33,15.825,15.955,15.651,16.575,16.283,15.829,14.06,13.809,14.983,16.339,16.083,16.091,16.118,16.494,16.19,15.986
