"","GSM2108823","GSM2108824","GSM2108825","GSM2108826","GSM2108827","GSM2108828","GSM2108829","GSM2108830","GSM2108831","GSM2108832","GSM2108833","GSM2108834","GSM2108835","GSM2108836","GSM2108837","GSM2108838","GSM2108839","GSM2108840","GSM2108841","GSM2108842","GSM2108843","GSM2108844","GSM2108845","GSM2108846","GSM2108847","GSM2108848","GSM2108849","GSM2108850","GSM2108851","GSM2108852","GSM2108853","GSM2108854","GSM2108855","GSM2108856"
"hsa-let-7a-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7b-5p",-3.322,3.715,-3.322,3.601,2.703,-3.322,2.937,-3.322,-3.322,-3.322,-3.322,3.587,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.477,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,3.492,3.855,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7b-3p",1.127,3.26,3.235,0.99,2.605,3.018,3.646,-3.322,1.32,3.796,2.959,3.546,3.052,2.542,3.087,3.147,3.248,3.292,3.46,3.855,2.73,1.898,3.092,3.203,3.017,3.321,3.199,0.903,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7c-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7d-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7d-3p",2.746,2.927,-3.322,2.291,3.432,-3.322,1.653,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.854,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.678,1.244,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7e-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7e-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7f-5p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7f-1-3p",1.948,3.229,2.688,-3.322,3.156,3.45,3.751,-3.322,1.325,3.648,3.406,3.634,3.26,2.577,2.773,3.245,3.327,3.349,3.489,3.764,2.082,-3.322,2.726,2.982,3.058,3.379,3.237,1.075,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-let-7f-2-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-15a-5p",2.418,2.078,-3.322,2.589,3.567,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,2.066,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-15a-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-16-5p",4.873,5.413,-3.322,6.227,6.075,-3.322,5.306,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,4.225,-3.322,-3.322,-3.322,-3.322,2.358,-3.322,-3.322,2.54,5.749,2.831,-3.322,-3.322,-3.322,-3.322,-3.322
"hsa-miR-16-1-3p",-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322,-3.322
