"","GSM4197176","GSM4197177","GSM4197178","GSM4197179","GSM4197180","GSM4197181","GSM4197182","GSM4197183","GSM4197184","GSM4197185","GSM4197186","GSM4197187","GSM4197188","GSM4197189","GSM4197190","GSM4197191","GSM4197192","GSM4197193","GSM4197194","GSM4197195","GSM4197196","GSM4197197","GSM4197198","GSM4197199","GSM4197200","GSM4197201","GSM4197202","GSM4197203","GSM4197204","GSM4197205","GSM4197206","GSM4197207","GSM4197208","GSM4197209","GSM4197210","GSM4197211","GSM4197212","GSM4197213","GSM4197214","GSM4197215","GSM4197216","GSM4197217","GSM4197218","GSM4197219"
"hsa-let-7a-5p",1.058,1.293,1.235,1.695,1.136,1.013,1.094,1.27,1.088,1.458,6.036,4.254,1.453,1.317,1.377,1.338,1.236,1.2,1.15,1.076,1.011,1.669,1.157,1.018,1.42,1.781,5.186,1.162,2.057,1.623,2.347,6.097,7.667,1.291,1.166,8.721,1.529,1.435,1.024,1.958,1.02,1,1.024,1.879
"hsa-let-7a-3p",1.197,1.107,1.129,1.444,1.145,1.42,1.341,1.017,0.966,1.38,1.337,1.013,0.967,1.514,1.619,1.22,1.119,1.312,1.038,1.435,1.153,1.221,1.355,1.286,1.49,0.925,1.116,1.211,1.036,1.004,1.177,0.921,1.221,1.538,1.185,0.73,1.366,0.982,1.487,1.368,1.376,1.197,1.446,1.349
"hsa-let-7a-2-3p",1.705,1.442,1.273,0.999,1.391,1.351,1.088,1.306,1.51,1.354,1.154,1.292,1.237,1.349,1.143,1.313,1.352,1.314,0.911,1.406,1.576,0.99,1.252,1.45,1.349,1.335,0.802,1.103,1.225,1.2,1.091,1.214,1.299,0.999,1.347,1.2,1.312,1.365,1.239,1.398,1.175,1.363,1.424,1.062
"hsa-let-7b-5p",1.683,1.444,1.091,1.225,1.355,1.313,1.287,1.628,1.472,1.569,10.942,7.388,1.992,1.415,0.873,1.087,1.762,1.27,1.024,1.104,1.247,1.273,1.382,1.175,1.21,1.528,5.699,1.377,4.303,1.608,2.705,5.83,6.402,2.551,3.196,6.611,1.519,2.378,1.081,2.786,2.051,1.294,1.802,1.57
"hsa-let-7b-3p",1.309,1.266,1.259,2.641,1.533,2.711,1.503,1.941,1.859,1.951,2.911,1.597,1.496,1.125,1.42,1.184,2.309,2.422,1.561,1.335,1.087,1.227,2.126,1.813,1.059,1.469,1.528,1.564,2.121,3.588,1.933,1.556,1.368,1.227,1.498,1.227,2.537,1.742,1.454,1.32,1.536,1.568,1.166,2.286
"hsa-let-7c-5p",1.324,1.383,1.224,1.15,1.275,1.494,1.176,1.15,1.547,1.47,6.1,4.775,1.86,0.967,1.3,1.62,1.565,1.358,1.416,1.74,1.555,1.352,1.391,1.397,1.327,1.388,4.841,1.576,3.192,1.877,1.85,5.071,5.856,1.757,1.623,6.472,1.408,1.842,1.165,1.401,1.757,0.995,1.32,1.908
"hsa-let-7c-3p",1.057,0.862,1.051,1.14,1.244,1.129,1.046,1.243,1.38,1.083,1.551,0.972,1.685,1.227,1.171,1.254,1.219,1.052,1.41,1.204,1.386,1.355,1.525,1.014,1.687,1.511,1.081,1.28,1.087,1.061,1.051,1.282,1.189,1.187,1.117,1.149,1.166,1.43,1.201,1.174,1.406,1.195,1.009,1.2
"hsa-let-7d-5p",1.173,1.03,1.478,0.976,1.902,0.997,1.601,1.664,1.601,1.593,7.579,4.58,1.381,1.598,1.097,1.117,1.517,1.078,1.639,1.271,1.156,1.076,1.469,1.517,1.177,2.023,4.953,1.285,2.958,1.256,2.951,5.55,6.501,1.723,1.386,7.401,1.926,1.539,1.071,1.569,1.92,1.39,0.8,1.503
"hsa-let-7d-3p",1.195,1.345,1.101,1.21,1.493,1.446,1.717,1.165,1.272,1.167,1.311,1.434,1.354,1.855,1.456,1.415,1.051,1.2,1.136,1.391,1.657,1.233,1.052,1.502,1.244,1.343,1.252,1.32,1.169,1.548,1.397,1.082,1.22,1.322,1.567,2.01,1.51,1.87,1.654,1.227,1.475,1.337,1.463,1.702
"hsa-let-7e-5p",1.483,1.286,1.188,1.393,1.172,1.174,1.149,1.665,1.211,1.089,4.36,2.707,1.189,1.192,0.811,1.299,1.185,1.018,1.056,1.036,1.189,0.951,1.272,1.7,1.349,1.097,1.755,1.313,1.312,1.183,1.033,2.626,2.821,1.015,1.504,3.633,1.314,1.215,1.487,1.46,1.254,1.127,1.427,1.698
"hsa-let-7e-3p",1.511,1.391,1.091,1.061,0.902,1.177,1.601,1.722,1.585,1.508,1.343,1.525,1.164,1.422,1.321,1.03,1.487,1.195,0.989,1.617,1.467,1.218,1.384,1.475,1.008,1.204,1.211,1.244,1.21,1.476,1.107,1.412,1.478,1.314,1.623,1.314,1.16,1.493,1.165,1.302,1.37,1.293,1.122,1.343
"hsa-let-7f-5p",1.367,1.232,1.413,1.321,1.472,1.453,1.717,1.113,1.315,1.221,1.335,1.649,1.431,1.107,1.24,1.444,1.102,1.034,2.008,1.198,1.35,1.224,1.454,1.267,1.173,1.535,2.477,1.361,2.051,1.631,1.2,3.758,5.673,1.234,1.302,6.684,1.472,1.279,1.085,1.141,1.26,1.224,1.121,1.627
"hsa-let-7f-1-3p",3.102,1.56,1.534,4.117,1.186,3.968,2.251,3.177,2.789,2.269,3.14,1.976,1.553,1.464,1.32,1.682,5.118,3.932,1.309,1.595,1.078,1.595,2.343,2.669,1.984,1.254,1.349,1.577,3.272,4.194,2.512,1.608,1.513,1.716,1.682,1.357,3.999,1.45,1.335,1.391,1.641,1.487,1.691,2.07
"hsa-let-7f-2-3p",1.345,1.439,0.882,1.017,1.21,1.15,1.287,1.01,1.06,0.891,1.2,1.146,1.103,0.71,1.134,1.508,1.314,1.242,1.386,1.043,1.047,1.075,0.966,1.175,1.135,0.884,1.242,1.05,1.183,1.259,1.072,1.416,1.275,1.113,1.211,1.081,1.174,1.129,1.2,1.382,0.972,0.991,1.093,1.295
"hsa-miR-15a-5p",1.129,1.006,1.105,1.399,1.106,0.888,1.131,1.173,1.28,1.003,1.26,1.518,1.34,0.985,1.217,1.188,1.148,1.437,1.121,1.262,1.098,1.173,1.166,1.479,1.63,1.254,1.496,1.476,1.854,1.541,0.926,1.67,2.391,1.234,0.996,4.37,2.688,1.319,1.214,1.247,1.351,1.266,1.169,1.159
"hsa-miR-15a-3p",1.262,0.94,1.154,1.262,1.557,1.269,1.307,1.113,1.423,1.223,1.063,1.316,1.44,1.324,1.552,0.996,1.115,1.294,0.876,1.772,2.041,1.498,1.34,0.997,1.697,1.14,1.351,0.988,1.117,1.053,1.98,1.739,1.393,1.22,1.135,1.062,1.119,1.263,0.974,1.636,1.492,1.16,1.712,1.212
"hsa-miR-16-5p",1.005,1.387,1.296,1.415,1.142,1.224,1.391,1.209,2.16,2.002,7.438,5.051,1.172,1.798,1.214,1.195,1.281,1.263,1.495,1.441,1.331,0.983,1.21,4.294,1.766,1.382,6.752,7.154,9.093,7.295,5.382,7.486,8.466,5.15,1.749,10.075,6.524,9.037,1.392,2.086,4.702,1.481,1.368,2.52
"hsa-miR-16-1-3p",0.973,1.445,1.299,1.017,1.259,1.073,0.977,1.043,1.553,0.94,1.366,1.198,1.183,1.689,1.106,1.534,1.365,1.268,0.976,1.171,1.259,1.403,1.225,0.93,1.234,0.955,1.041,1.375,1.05,1.091,1.291,1.143,1.164,1.255,1.13,1.272,1.26,1.182,1.757,1.348,1.02,0.969,1.234,1.161
"hsa-miR-17-5p",1.203,1.395,1.333,1.03,1.247,1.439,1.616,1.335,2.221,1.692,8.057,4.76,1.394,1.038,1.203,1.285,1.443,1.372,1.196,1.485,1.055,1.214,1.637,1.535,1.819,1.434,6.461,3.595,6.072,4.228,2.713,6.53,8.123,4.516,1.652,8.291,4.942,6.67,1.76,2.066,2.657,1.297,1.364,1.771
"hsa-miR-17-3p",1.154,0.874,1.147,1.112,0.976,1.625,1.278,1.36,1.027,0.944,1.159,1.214,1.404,1.094,1.111,1.223,1.327,1.159,1.23,1.092,0.915,0.941,1.174,1.11,1.935,1.119,1.072,1.157,0.927,1.145,1.21,1.407,1.498,1.166,1.019,1.094,1.029,1.199,1.04,1.149,0.849,0.976,1.489,1.375
"hsa-miR-18a-5p",1.302,1.381,1.264,1.068,1.158,1.435,1.648,1.22,0.918,1.498,3.641,2.56,1.564,1.442,1.12,1.463,1.554,1.3,1.113,1.074,1.047,1.361,1.186,1.248,1.002,0.966,1.113,1.152,1.848,1.272,1.649,2.152,2.898,1.406,1.099,3.134,1.588,1.475,1.696,1.882,1.465,1.203,1.282,0.984
"hsa-miR-18a-3p",1.216,1.224,1.276,1.317,1.298,1.584,1.082,1.242,1.151,1.571,1.478,1.774,1.153,1.332,1.554,1.234,1.007,1.453,0.994,1.234,1.256,1.177,1.064,0.967,1.157,1.305,0.897,1.167,1.035,1.31,1.328,1.03,1.325,1.232,1.112,1.341,1.295,1.289,1.263,1.014,1.304,1.122,1.036,1.61
