"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","cell compartment:ch1","diagnosis:ch1","tissue:ch1"
"GSM2442624","Exo 1% O2 rep1","GSM2442624","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Trophoblast","Homo sapiens","cell compartment: Exosome","tissue: extravillous trophoblast","","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191730","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452258","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442624/suppl/GSM2442624_O2_HTR8_3_1percent.csv.gz","Exosome",NA,"extravillous trophoblast"
"GSM2442625","Exo 1% O2 rep2","GSM2442625","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Trophoblast","Homo sapiens","cell compartment: Exosome","tissue: extravillous trophoblast","","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191739","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452259","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442625/suppl/GSM2442625_O2_HTR8_3_3_1percent.csv.gz","Exosome",NA,"extravillous trophoblast"
"GSM2442626","Exo 8% O2 rep1","GSM2442626","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Trophoblast","Homo sapiens","cell compartment: Exosome","tissue: extravillous trophoblast","","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191738","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452260","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442626/suppl/GSM2442626_O2_HTR8_4_8percent.csv.gz","Exosome",NA,"extravillous trophoblast"
"GSM2442627","Exo 8% O2 rep2","GSM2442627","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Trophoblast","Homo sapiens","cell compartment: Exosome","tissue: extravillous trophoblast","","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191737","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452261","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442627/suppl/GSM2442627_O2_HTR8_4_4_8percent.csv.gz","Exosome",NA,"extravillous trophoblast"
"GSM2442628","Exo NP rep1","GSM2442628","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: normal pregnancy","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191736","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452262","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442628/suppl/GSM2442628_NP_1st_miRNA.csv.gz","Exosome","normal pregnancy","plasma"
"GSM2442629","Exo PE rep1","GSM2442629","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: pre-eclampsia","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191735","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452263","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442629/suppl/GSM2442629_PE_1st_miRNA.csv.gz","Exosome","pre-eclampsia","plasma"
"GSM2442630","Exo NP rep2","GSM2442630","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: normal pregnancy","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191734","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452264","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442630/suppl/GSM2442630_N1_exo.csv.gz","Exosome","normal pregnancy","plasma"
"GSM2442631","Exo SPTB rep1","GSM2442631","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: pre-term birth","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191733","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452265","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442631/suppl/GSM2442631_PTB1_exo.csv.gz","Exosome","pre-term birth","plasma"
"GSM2442632","Exo NP rep3","GSM2442632","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: normal pregnancy","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191732","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452266","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442632/suppl/GSM2442632_N2_exo.csv.gz","Exosome","normal pregnancy","plasma"
"GSM2442633","Exo SPTB rep2","GSM2442633","Public on Jun 14 2017","Dec 30 2016","May 15 2019","SRA","1","Plasma","Homo sapiens","cell compartment: Exosome","tissue: plasma","diagnosis: pre-term birth","Trophoblast cultured at 8% or 1% oxygen in phenol red-free RPMI 1640 medium supplemented with 10% heat-inactivated fetal bovine serum, 1% non-essential amino acids, 1 mM sodium pyruvate, 100 U/mL penicillin, and 100 mg/mL streptomycin. Cultures were maintained at 37 degrees.","total RNA","Exosomal RNA was extracted using the RNeasy Mini Kit 50 and TRIzol LS Reagent.","Libraries were constructed using the TruSeq® SmallRNA Library Prep Kit, following the manufacturer’s instructions. A total of 1 µg RNA or 100 to 300 ng of exosomal RNA was used as input for library construction.","9606","Remove index and adaptor sequences using TagCleaner (version 0.16)","Trim reads to 28 nucleotides using FASTX-Toolkit (version 0.0.13)","miRNAs were identified using the miRDeep2 program (version 2.0.0.7), using the deafult parameters with the exception of allowing for 1 mismatch and discarding read less than 16 nucleotides in length.","Raw miRNA counts were normalised and statistically anlaysed using the DESeq2 package (version 1.10.1) in R (version 3.2.2)","Genome_build: hg19","Supplementary_files_format_and_content: csv file containing raw miRNA counts","GPL18573","Dominic,,Guanzon","Exosome biology laboratory","UQCCR","University of Queensland","Building 71/918 RBWH Herston","Brisbane","Queensland","4029","Australia","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN06191731","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX2452267","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2442nnn/GSM2442633/suppl/GSM2442633_PTB2_exo.csv.gz","Exosome","pre-term birth","plasma"
