"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","age:ch1","cohort:ch1"
"GSM2906338","ELBW1","GSM2906338","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906338/suppl/GSM2906338_UAB_SUSCEPTIBLE_1.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906339","ELBW2","GSM2906339","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906339/suppl/GSM2906339_UAB_SUSCEPTIBLE_2.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906340","ELBW3","GSM2906340","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906340/suppl/GSM2906340_UAB_SUSCEPTIBLE_3.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906341","ELBW4","GSM2906341","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906341/suppl/GSM2906341_UAB_SUSCEPTIBLE_4.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906342","ELBW5","GSM2906342","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906342/suppl/GSM2906342_UAB_SUSCEPTIBLE_5.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906343","ELBW6","GSM2906343","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906343/suppl/GSM2906343_UAB_SUSCEPTIBLE_6.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906344","ELBW7","GSM2906344","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906344/suppl/GSM2906344_UAB_SUSCEPTIBLE_7.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906345","ELBW8","GSM2906345","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906345/suppl/GSM2906345_UAB_SUSCEPTIBLE_8.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906346","ELBW9","GSM2906346","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906346/suppl/GSM2906346_UAB_SUSCEPTIBLE_9.RCC.gz","798","AT BIRTH","Discovery"
"GSM2906347","ELBW10","GSM2906347","Public on Dec 29 2017","Dec 28 2017","Jan 23 2018","RNA","1","Tracheal Aspirate","Homo sapiens","cohort: Discovery","age: AT BIRTH","total RNA","Detailed methodology can be found in company website at www.nanostring.com","DEPC","Detailed methodology can be found in company website at www.nanostring.com","9606","Detailed methodology can be found in company website at www.nanostring.com","Detailed methodology can be found in company website at www.nanostring.com","as per nanostring protocol","Software used for analysis in nSolver Analysis Software version 2.5 by Nanostring Technologies.","GPL24452","Charitharth,,Lal","clal@peds.uab.edu","2059344680","University of Alabama at Birmingham","619 South 19th Street","Birmingham","AL","35249","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2906nnn/GSM2906347/suppl/GSM2906347_UAB_RESISTANT_1.RCC.gz","798","AT BIRTH","Discovery"
