"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","supplementary_file","supplementary_file.1","data_row_count","cell line:ch1","origin:ch1"
"GSM692615","Raji Cells_#2","GSM692615","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Raji Cells","Homo sapiens","origin: Whole cell","cell line: Raji","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Raji cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692615/suppl/GSM692615_13763_SLOT02_S01_1_1_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692615/suppl/GSM692615_251911813763_SLOT02_S01_miRNA_105_Jan09_1_1.txt.gz","808","Raji","Whole cell"
"GSM692616","Raji Cells_#3","GSM692616","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Raji Cells","Homo sapiens","origin: Whole cell","cell line: Raji","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Raji cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692616/suppl/GSM692616_13763_SLOT02_S01_1_2_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692616/suppl/GSM692616_251911813763_SLOT02_S01_miRNA_105_Jan09_1_2.txt.gz","808","Raji","Whole cell"
"GSM692617","Raji Exosomes_#2","GSM692617","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Raji Exosomes","Homo sapiens","origin: Exosome","cell line: Raji","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Raji exosomes","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692617/suppl/GSM692617_13763_SLOT02_S01_1_3_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692617/suppl/GSM692617_251911813763_SLOT02_S01_miRNA_105_Jan09_1_3.txt.gz","808","Raji","Exosome"
"GSM692618","Raji Exosomes_#4","GSM692618","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Raji Exosomes","Homo sapiens","origin: Exosome","cell line: Raji","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Raji exosomes","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692618/suppl/GSM692618_13763_SLOT02_S01_1_4_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692618/suppl/GSM692618_251911813763_SLOT02_S01_miRNA_105_Jan09_1_4.txt.gz","808","Raji","Exosome"
"GSM692619","Jurkat Cells_#5","GSM692619","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Jurkat Cells","Homo sapiens","origin: Whole cell","cell line: Jurkat","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Jurkat cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692619/suppl/GSM692619_13763_SLOT02_S01_2_1_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692619/suppl/GSM692619_251911813763_SLOT02_S01_miRNA_105_Jan09_2_1.txt.gz","808","Jurkat","Whole cell"
"GSM692620","Jurkat Cells_#6","GSM692620","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Jurkat Cells","Homo sapiens","origin: Whole cell","cell line: Jurkat","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Jurkat cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692620/suppl/GSM692620_13763_SLOT02_S01_2_2_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692620/suppl/GSM692620_251911813763_SLOT02_S01_miRNA_105_Jan09_2_2.txt.gz","808","Jurkat","Whole cell"
"GSM692621","Jurkat Exosomes_#5","GSM692621","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Jurkat Exosomes","Homo sapiens","origin: Exosome","cell line: Jurkat","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Jurkat exosomes","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692621/suppl/GSM692621_13763_SLOT02_S01_2_3_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692621/suppl/GSM692621_251911813763_SLOT02_S01_miRNA_105_Jan09_2_3.txt.gz","808","Jurkat","Exosome"
"GSM692622","Jurkat Exosomes_#7","GSM692622","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Jurkat Exosomes","Homo sapiens","origin: Exosome","cell line: Jurkat","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Jurkat exosomes","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692622/suppl/GSM692622_13763_SLOT02_S01_2_4_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692622/suppl/GSM692622_251911813763_SLOT02_S01_miRNA_105_Jan09_2_4.txt.gz","808","Jurkat","Exosome"
"GSM692623","Dendritic Cells_#1","GSM692623","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Dendritic Cells","Homo sapiens","origin: Whole cell","cell line: Dendritic","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Dendritic cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692623/suppl/GSM692623_251911811611_S02_1_1_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692623/suppl/GSM692623_US22502514_251911811611_S02_miRNA_105_Jan09_1_1.txt.gz","808","Dendritic","Whole cell"
"GSM692624","Dendritic Cells_#8","GSM692624","Public on Mar 17 2011","Mar 16 2011","Mar 17 2011","RNA","1","Dendritic Cells","Homo sapiens","origin: Whole cell","cell line: Dendritic","Donor cells were cultured in RPMI-1640 supplemented with 10% FBS (depleted of bovine exosomes by overnight centrifugation at 100000g), and exosomes were prepared from cell supernatants by several centrifugation and filtration steps . Briefly, cells were centrifuged (320g for 5 min) and the supernatant filtered through 0.22 μm membranes. Exosomes were pelleted by ultracentrifugation at 100000g for 60 min at 4C (Beckman Coulter Optima L-100 XP).","The human Jurkat-derived T-cell lines J77cl20 and the lymphoblastoid B-cell lines Raji (Burkitt lymphoma), were cultured in RPMI (Sigma) containing 10% fetal bovine serum (Invitrogen). To generate Dendritic cells, monocytes from healthy donors were cultured for 6 days in the presence of IL4 and GMCSF","total RNA","Total RNA was extracted with TRIzol reagent (Invitrogen) and the miRNeasy® mini kit (Quiagen),","Cy3","miRNA Labeling Kit (Agilent Technologies) was used to label RNA. Basically, 100 ng of total RNA were dephosphorylated and Cyanine 3-pCp molecule was ligated to the 3′ end of each RNA molecule by using T4 RNA ligase.","9606","100 ng of Cy3 labelled RNA were hybridized for 20 hours at 55C in a hybridization oven  (G2545A, Agilent) set to 15 rpm in a final concentration of 1X GE Blocking Agent and 1X Hi-RPM Hybridization Buffer, according to manufacturer's instructions (miRNA Microarray System Protocol, Agilent Technologies).","Arrays were scanned at 5mm resolution on an Agilent DNA Microarray Scanner (G2565BA, Agilent Technologies) using the default settings for miRNA Microarray v2.0 (miRNA Microarray System Protocol, Agilent Technologies).","Expression of miRNAs from Dendritic cells","Images provided by the scanner were analyzed using Agilent′s software Feature Extraction version 10.7.3.1 and protocol miRNA_105_Jan09","GPL8227","Fatima,,Sanchez-Cabo","fscabo@cnic.es","+34 91 4531200","CNIC","Melchor Fernandez Almagro","Madrid","28029","Spain","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692624/suppl/GSM692624_251911811611_S02_1_2_GeneView.txt.gz","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM692nnn/GSM692624/suppl/GSM692624_US22502514_251911811611_S02_miRNA_105_Jan09_1_2.txt.gz","808","Dendritic","Whole cell"
