"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","characteristics_ch1.4","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","data_processing","platform_id","contact_name","contact_laboratory","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","biological source of exosomes or cells:ch1","cell line:ch1","cell type:ch1","disease state:ch1","microrna source:ch1"
"GSM980009","HT-29_endo_rep1","GSM980009","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","HT-29 cells, endogenous RNA, replicate-1","Homo sapiens","microrna source: cells","biological source of exosomes or cells: colon cancer cells","cell type: epithelial","cell line: HT-29","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980009/suppl/GSM980009_US85000263_252182710298_S01_miRNA_105_Dec08_1_1.txt.gz","15739","colon cancer cells","HT-29","epithelial","colorectal adenocarcinoma","cells"
"GSM980010","HT-29_endo_rep2","GSM980010","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","HT-29 cells, endogenous RNA, replicate-2","Homo sapiens","microrna source: cells","biological source of exosomes or cells: colon cancer cells","cell type: epithelial","cell line: HT-29","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980010/suppl/GSM980010_US85000263_252182710298_S01_miRNA_105_Dec08_1_2.txt.gz","15739","colon cancer cells","HT-29","epithelial","colorectal adenocarcinoma","cells"
"GSM980011","HT-29_exo_rep1","GSM980011","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","HT-29 cells, exosomal RNA, replicate-1","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: HT-29","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980011/suppl/GSM980011_US85000263_252182710298_S01_miRNA_105_Dec08_1_3.txt.gz","15739","conditioned medium  from colon cancer cells","HT-29","epithelial","colorectal adenocarcinoma","exosomes"
"GSM980012","HT-29_exo_rep2","GSM980012","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","HT-29 cells, exosomal RNA, replicate-2","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: HT-29","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980012/suppl/GSM980012_US85000263_252182710298_S01_miRNA_105_Dec08_2_1.txt.gz","15739","conditioned medium  from colon cancer cells","HT-29","epithelial","colorectal adenocarcinoma","exosomes"
"GSM980013","HT-29_exo_rep3","GSM980013","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","HT-29 cells, exosomal RNA, replicate-3","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: HT-29","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980013/suppl/GSM980013_US85000263_252182710298_S01_miRNA_105_Dec08_2_2.txt.gz","15739","conditioned medium  from colon cancer cells","HT-29","epithelial","colorectal adenocarcinoma","exosomes"
"GSM980014","SW48_endo_rep1","GSM980014","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","SW48 cells, endogenous RNA, replicate-1","Homo sapiens","microrna source: cells","biological source of exosomes or cells: colon cancer cells","cell type: epithelial","cell line: SW48","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980014/suppl/GSM980014_US85000263_252182710472_S01_miRNA_105_Dec08_1_1.txt.gz","15739","colon cancer cells","SW48","epithelial","colorectal adenocarcinoma","cells"
"GSM980015","SW48_endo_rep2","GSM980015","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","SW48 cells, endogenous RNA, replicate-2","Homo sapiens","microrna source: cells","biological source of exosomes or cells: colon cancer cells","cell type: epithelial","cell line: SW48","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA expression profile in endogenous RNA of cells","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980015/suppl/GSM980015_US85000263_252182710472_S01_miRNA_105_Dec08_1_2.txt.gz","15739","colon cancer cells","SW48","epithelial","colorectal adenocarcinoma","cells"
"GSM980016","SW48_exo_rep1","GSM980016","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","SW48 cells, exosomal RNA, replicate-1","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: SW48","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980016/suppl/GSM980016_US85000263_252182710472_S01_miRNA_105_Dec08_1_4.txt.gz","15739","conditioned medium  from colon cancer cells","SW48","epithelial","colorectal adenocarcinoma","exosomes"
"GSM980017","SW48_exo_rep2","GSM980017","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","SW48 cells, exosomal RNA, replicate-2","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: SW48","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980017/suppl/GSM980017_US85000263_252182710472_S01_miRNA_105_Dec08_2_1.txt.gz","15739","conditioned medium  from colon cancer cells","SW48","epithelial","colorectal adenocarcinoma","exosomes"
"GSM980018","SW48_exo_rep3","GSM980018","Public on Apr 01 2014","Aug 02 2012","Apr 01 2014","RNA","1","SW48 cells, exosomal RNA, replicate-3","Homo sapiens","microrna source: exosomes","biological source of exosomes or cells: conditioned medium  from colon cancer cells","cell type: epithelial","cell line: SW48","disease state: colorectal adenocarcinoma","Conditioned medium from cell-cultured 100 mm dish (1x10^7 cells) were collected.  Exosomes fraction  were prepared by step-wise centrifugation-ultracentrifugation method.","total RNA","Exosome fraction was mixed with Trizol-LS reagent (Invitrogen), and aqueous phase was collected by adding chloroform. After addition of ethanol to the aqueous phase, it was placed on to an RNeasy mini spin column (Qiagen) for the purification of total RNAs.","Cy3","Cyanine-3 (Cy3) labeled miRNA was prepared from total RNA using the miRNA Complete Labeling and Hyb Kit (Agilent) according to the manufacturer's instructions.","9606","Cy3-labelled miRNA was incubated at 100掳C for 5 minutes in a reaction volume of 45uL containing 2x Hi-RPM Hybridization Buffer and 10x Gene Expression blocking agent following the manufacturers instructions and cooled down in ice-cold water for 5 min. Reaction mixture hybridized to Agilent Human miRNA V3 Microarray (G4470C) for 20 hours at 55掳C in a rotating Agilent hybridization oven.  After hybridization, microarrays were washed 5 minute at room temperature with GE Wash Buffer 1 (Agilent) and 5 minute with 37掳C GE Wash buffer 2 (Agilent).","Slides were scanned immediately after washing on the Agilent DNA Microarray Scanner (G2505C) using one color scan setting for 8x15k array slides (Scan Area 61x21.6 mm, Scan resolution 5 um, Dye channel is set to Green ).","MicroRNA profile in exosomes of conditioned medium","The scanned images were analyzed with Feature Extraction Software 10.7.3.1 (Agilent) using default parameters (protocol miRNA_105_Dec08 and Grid: 021827_D_F_20081129) to obtain background subtracted and spatially detrended Processed Signal intensities.","GPL14767","Naoto,,Tsuchiya","Genome Biology","National Cancer Center Reasearch Institute","Tsukiji 5-1-1","Chuo-ku","Tokyo","104-0045","Japan","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM980nnn/GSM980018/suppl/GSM980018_US85000263_252182710472_S01_miRNA_105_Dec08_2_2.txt.gz","15739","conditioned medium  from colon cancer cells","SW48","epithelial","colorectal adenocarcinoma","exosomes"
