"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","extract_protocol_ch1.2","taxid_ch1","data_processing","data_processing.1","data_processing.2","data_processing.3","data_processing.4","data_processing.5","platform_id","contact_name","contact_email","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","disease:ch1"
"GSM3039940","healthy control [NC1]","GSM3039940","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: healthy","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707951","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787689","NONE","healthy"
"GSM3039941","healthy control [NC2]","GSM3039941","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: healthy","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707960","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787690","NONE","healthy"
"GSM3039942","healthy control [NC3]","GSM3039942","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: healthy","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707959","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787691","NONE","healthy"
"GSM3039943","healthy control [NC4]","GSM3039943","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: healthy","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707958","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787692","NONE","healthy"
"GSM3039944","healthy control [NC5]","GSM3039944","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: healthy","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707957","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787693","NONE","healthy"
"GSM3039945","lung adenocarcinoma [LC3]","GSM3039945","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: lung adenocarcinoma","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707956","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787694","NONE","lung adenocarcinoma"
"GSM3039946","lung adenocarcinoma [LC4]","GSM3039946","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: lung adenocarcinoma","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707955","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787695","NONE","lung adenocarcinoma"
"GSM3039947","lung adenocarcinoma [LC5]","GSM3039947","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: lung adenocarcinoma","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707954","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787696","NONE","lung adenocarcinoma"
"GSM3039948","lung adenocarcinoma [LC6]","GSM3039948","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: lung adenocarcinoma","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707953","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787697","NONE","lung adenocarcinoma"
"GSM3039949","lung adenocarcinoma [LC11]","GSM3039949","Public on Mar 14 2019","Mar 14 2018","Mar 14 2019","SRA","1","exosome","Homo sapiens","disease: lung adenocarcinoma","total RNA","Exosomes were obtained from plamsa samples by ultracentrifuge and totoal RNAs were extracted using Trizol Reagent.","RNA libraries were prepared for sequencing using standard Illumina protocols","A total amount of 3 μg total RNA per sample was used as input material for the small RNA library. Sequencing libraries were generated using NEBNext® Multiplex Small RNA Library Prep Set for Illumina® (NEB, USA.)","9606","Illumina Casava1.8 software used for basecalling.","The clustering of the index-coded samples was performed on a cBot Cluster Generation System using TruSeq SR Cluster Kit v3-cBot-HS (Illumia) according to the manufacturer’s instructions. After cluster generation, the library preparations were sequenced on an Illumina Hiseq 2500 platform and 50bp single-end reads were generated.","Raw data (raw reads) of fastq format were firstly processed through custom perl and python scripts. In this step, clean datas(clean reads) were obtained by removing reads containing ploy-N, with 5’ adapter contaminants, without 3’ adapter or the insert tag, containing ploy A or T or G or C and low quality reads from raw data. At the same time, Q20, Q30, and GC-content of the raw datas were calculated. Then, chose a certain range of length from clean reads to do all the downstream analyses.","The small RNA tags were mapped to reference sequence by Bowtie (Langmead et al., 2009) without mismatch to analyze their expression and distribution on the reference.","Mapped small RNA tags were used to looking for known miRNA. miRBase20.0 was used as reference, modified software mirdeep2(Friedlander et al., 2011) and srna-tools-cli were used to obtain the potential miRNA and draw the secondary structures.","Supplementary_files_format_and_content: read counts, TPM","GPL16791","Hua,,Fang","foxbt0911@gmail.com","Department of Oncology","Fu Xing Hospital","Xicheng district Fu Xing Men Wai Da Jie No.20","Beijing","100038","China","0","Illumina HiSeq 2500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN08707952","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX3787698","NONE","lung adenocarcinoma"
