"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","taxid_ch1","data_processing","data_processing.1","data_processing.2","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_zip/postal_code","contact_country","data_row_count","instrument_model","library_selection","library_source","library_strategy","relation","relation.1","supplementary_file_1","fraction:ch1","tissue:ch1"
"GSM4044943","treatment-naive1","GSM4044943","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635615","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758752","NONE","exosome","plasma"
"GSM4044944","treatment-naive2","GSM4044944","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635614","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758753","NONE","exosome","plasma"
"GSM4044945","treatment-naive3","GSM4044945","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635613","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758754","NONE","exosome","plasma"
"GSM4044946","treatment-naive4","GSM4044946","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635612","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758755","NONE","exosome","plasma"
"GSM4044947","treatment-naive5","GSM4044947","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635611","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758756","NONE","exosome","plasma"
"GSM4044948","treatment-naive6","GSM4044948","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635610","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758757","NONE","exosome","plasma"
"GSM4044949","treatment-naive7","GSM4044949","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635609","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758758","NONE","exosome","plasma"
"GSM4044950","treatment-naive8","GSM4044950","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635608","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758759","NONE","exosome","plasma"
"GSM4044951","treatment-naive9","GSM4044951","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635607","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758760","NONE","exosome","plasma"
"GSM4044952","treatment-naive10","GSM4044952","Public on Jan 07 2021","Aug 26 2019","Jan 07 2021","SRA","1","treatment-naïve prostate cancer patient","Homo sapiens","tissue: plasma","fraction: exosome","total RNA","Plasma was isolated within 2 h of blood draw by centrifugation of the whole blood at 1200 g for 10 min, followed by another centrifugation of the supernatant at 2000 g for 10 min. The supernatant was taken as plasma and stored at -80°C for future use. 200 μl of plasma from each case was used. Prior to exosome precipitation, plasma samples were treated with RNase A to remove free circulating RNAs and then RNase A was inactivated with RNase inhibitor. Exosomes were isolated using the Total Exosome Isolation Kit (from plasma) (Invitrogen™) following the manufacturer’s instructions. Exosome pellet was re-suspended in Buffer RLT (Qiagen) with 0.25 μg/μl Proteinase K and incubated at 50°C for 30 min. Exosomal RNA was then extracted using miRNeasy Micro Kit (Qiagen) and QIAzol Lysis Reagent (Qiagen) according to the manufacturer’s protocols.","Indexed libraries were prepared from the exosomal RNA as instructed by the NEBNext Multiplex Small RNA Library Prep Set for Illumina (NEB) without size selection.","9606","Unaligned reads were trimmed and aligned against mirBase mature miRNA (Release 20) within Partek® Genomics Suite®. Samples were sequenced twice and read counts from two runs were combined.","Genome_build: aligned against mirBase mature miRNA (Release 20)","Supplementary_files_format_and_content: total read counts for each miRNA from two runs for all samples are summarized in miRNA_read_counts.xlsx","GPL18573","YONG-JIE,,LU","y.j.lu@qmul.ac.uk","02078823597","Barts Cancer Institute","BLSMD, Queen Mary University of London","Charterhouse Square","LONDON","EC1M 6BQ","United Kingdom","0","Illumina NextSeq 500","size fractionation","transcriptomic","miRNA-Seq","BioSample: https://www.ncbi.nlm.nih.gov/biosample/SAMN12635651","SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRX6758761","NONE","exosome","plasma"
