"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","condition:ch1","rna fraction:ch1","tissue:ch1"
"GSM2991242","TLDA-139_NC1","GSM2991242","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","control sample for fold-change calculation","NC1","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991243","TLDA-140_NC2","GSM2991243","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","MC2","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991244","TLDA-230_NC3","GSM2991244","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC3","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991245","TLDA-231_NC4","GSM2991245","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC4","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991246","TLDA-232_NC5","GSM2991246","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC5","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991247","TLDA-233_NC6","GSM2991247","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC6","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991248","TLDA-234_NC7","GSM2991248","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC7","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991249","TLDA-235_NC8","GSM2991249","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: NC","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","NC8","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","NC","exosomal miRNA","plasma"
"GSM2991250","LA_GVHD_PN1","GSM2991250","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: LA_GVHD","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","LA_GVHD_PN1","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","LA_GVHD","exosomal miRNA","plasma"
"GSM2991251","LA_GVHD_PN2","GSM2991251","Public on Jul 08 2018","Feb 09 2018","Jul 08 2018","RNA","1","exosome","Homo sapiens","condition: LA_GVHD","tissue: plasma","rna fraction: exosomal miRNA","Plasma samples were harvested form 2ml of whole blood. Exosomes were extracted from 200 μL of plasma by using Total Exosome Isolation Reagent (Invitrogen).","total RNA","Total RNA was isolated with the miRNeasy kit (Qiagen) from eight unselected healthy volunteers, five LA GVHD patients and five non-GVHD patients. The exosome pellets were dissolved by 700 μl of Qiazol. After a 5-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science) was added to aliquot followed by vortexing for 30 s and incubation for 5 min. Subsequent phenol extraction and filter cartridge was performed according to the manufacture’s instruction.","TaqMan probe (FAM-MGB)","The RT reaction and pre-amplification step were set up according to the recommendations. MiRNAs were reverse transcribed with Megaplex Prime Pools (Human Pools A v2:1; Thermo Fisher Sciences). The miRNA expression profiles were determined with a TaqMan miRNA Array Human Card A (Thermo Fisher Sciences).","9606","n/a","n/a","test","LA_GVHD_PN2","ath-miR-159 were used as a control. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","LA_GVHD","exosomal miRNA","plasma"
