"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","characteristics_ch1.3","treatment_protocol_ch1","growth_protocol_ch1","molecule_ch1","extract_protocol_ch1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","platform_id","contact_name","contact_email","contact_phone","contact_laboratory","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","relation","cell line:ch1","oxygen condition:ch1","sample group:ch1","sample pair id:ch1"
"GSM1328038","Cell 1","GSM1328038","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Cell Normoxia Pair 1","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Parental cells","sample pair id: pair 1","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Parental cell 1 under normoxia","CellNO","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328038/suppl/GSM1328038_002A_H1_Cell_564PK.CEL.gz","25119","","Molm-14","normoxia","Parental cells","pair 1"
"GSM1328039","Microvesicle 1","GSM1328039","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Exosome Normoxia Pair 1","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Released exosome","sample pair id: pair 1","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Released exosome 1 under normoxia","MVNO","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328039/suppl/GSM1328039_003A_H1_MV_564PK.CEL.gz","25119","","Molm-14","normoxia","Released exosome","pair 1"
"GSM1328040","Cell Hypoxia 1","GSM1328040","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Cell Hypoxia Pair 4","Homo sapiens","cell line: Molm-14","oxygen condition: hypoxia","sample group: Parental cells","sample pair id: pair 4","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Parental cell 1 under hypoxia","CellHO","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328040/suppl/GSM1328040_001A_H1_CellHO_564PK.CEL.gz","25119","","Molm-14","hypoxia","Parental cells","pair 4"
"GSM1328041","Microvesicle Hypoxia 1","GSM1328041","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Exosome Hypoxia Pair 4","Homo sapiens","cell line: Molm-14","oxygen condition: hypoxia","sample group: Released exosome","sample pair id: pair 4","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Released exosome 1 under hypoxia","MVHO","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328041/suppl/GSM1328041_004A_H1_MVHO_564PK.CEL.gz","25119","","Molm-14","hypoxia","Released exosome","pair 4"
"GSM1328042","Cell 5","GSM1328042","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Cell Normoxia Pair 3","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Parental cells","sample pair id: pair 3","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Parental cell 5 under normoxia","CellNO5","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328042/suppl/GSM1328042_012A_H1_Cell5_564PK.CEL.gz","25119","","Molm-14","normoxia","Parental cells","pair 3"
"GSM1328043","Microvesicle 5","GSM1328043","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Exosome Normoxia Pair 3","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Released exosome","sample pair id: pair 3","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Released exosome 5 under normoxia","MVNO5","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328043/suppl/GSM1328043_005A_H1_MV5_564PK.CEL.gz","25119","","Molm-14","normoxia","Released exosome","pair 3"
"GSM1328044","Cell Hypoxia 5","GSM1328044","Public on Feb 20 2014","Feb 13 2014","Aug 17 2016","RNA","1","Cell Hypoxia Pair 6","Homo sapiens","cell line: Molm-14","oxygen condition: hypoxia","sample group: Parental cells","sample pair id: pair 6","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Parental cell 5 under hypoxia","CellHO5","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328044/suppl/GSM1328044_009A_H1_CelHO5_564PK.CEL.gz","25119","Reanalyzed by: GSE85769","Molm-14","hypoxia","Parental cells","pair 6"
"GSM1328045","Microvesicle Hypoxia 5","GSM1328045","Public on Feb 20 2014","Feb 13 2014","Aug 17 2016","RNA","1","Exosome Hypoxia Pair 6","Homo sapiens","cell line: Molm-14","oxygen condition: hypoxia","sample group: Released exosome","sample pair id: pair 6","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Released exosome 5 under hypoxia","MVHO5","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328045/suppl/GSM1328045_011A_H1_MVHO5_564PK.CEL.gz","25119","Reanalyzed by: GSE85769","Molm-14","hypoxia","Released exosome","pair 6"
"GSM1328046","Cell 4","GSM1328046","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Cell Normoxia Pair 2","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Parental cells","sample pair id: pair 2","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Parental cell 4 under normoxia","CellNO4","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328046/suppl/GSM1328046_008A_H1_Cell4_564PK.CEL.gz","25119","","Molm-14","normoxia","Parental cells","pair 2"
"GSM1328047","Microvesicle 4","GSM1328047","Public on Feb 20 2014","Feb 13 2014","Feb 20 2014","RNA","1","Exosome Normoxia Pair 2","Homo sapiens","cell line: Molm-14","oxygen condition: normoxia","sample group: Released exosome","sample pair id: pair 2","Cells were incubated in BioSpherix hypoxia chamber under hypoxic conditions (1% O2) or in a Thermo Scientific cell culture incubator under “normoxic” conditions (20% O2), in all cases at 37C and 5% CO2.","Cells were cultured in RPMI + 1X Pen/Strep, 10% exosome-free FBS (prepared through ultracentrifugation of FBS - 100,000xg for 6h).","total RNA","RNA was extracted using the Qiagen miRNEasy kit","biotin","130ng RNA was labeled using the Affymetrix HSR miRNA Flash Tag Biotin kit","9606","130ng labeled RNA was hybridized for 18 hr at 48C on GeneChip miRNA 3.0 Arrays. GeneChips were washed and stained in the Affymetrix Fluidics Station 450","GeneChips were scanned using the Affymetrix GeneChip Scanner 3000 7G","Released exosome 4 under normoxia","MVNO4","The data were analyzed with Partek Genomcis Suite(v.6.6) using the RMA normalization method","GPL16384","Amiee,Bell,Potter","potteram@ohsu.edu","503-418-9376","GPSR","Integrated Genomics Laboratory","OHSU","3181 SW Sam Jackson Park Rd, Mail Code #L581","Portland","OR","97239","USA","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM1328nnn/GSM1328047/suppl/GSM1328047_010A_H1_MV4_564PK.CEL.gz","25119","","Molm-14","normoxia","Released exosome","pair 2"
