"","title","geo_accession","status","submission_date","last_update_date","type","channel_count","source_name_ch1","organism_ch1","characteristics_ch1","characteristics_ch1.1","characteristics_ch1.2","treatment_protocol_ch1","molecule_ch1","extract_protocol_ch1","extract_protocol_ch1.1","label_ch1","label_protocol_ch1","taxid_ch1","hyb_protocol","scan_protocol","description","description.1","data_processing","data_processing.1","platform_id","contact_name","contact_email","contact_phone","contact_department","contact_institute","contact_address","contact_city","contact_state","contact_zip/postal_code","contact_country","supplementary_file","data_row_count","cell line:ch1","condition:ch1","time:ch1"
"GSM1186676","KMS-11_Normoxia_24h-cell","GSM1186676","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","Multiple Myelima-derived cell line_normoxia (20% O2)","Homo sapiens","cell line: KMS-11","condition: normoxia (20% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 1","control","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11","normoxia (20% O2)","24 h"
"GSM1186677","KMS-11_Hypoxia_24h-cell","GSM1186677","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","Multiple Myeloma-derived cell line_hypoxia (1% O2)","Homo sapiens","cell line: KMS-11","condition: hypoxia (1% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 2","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11","hypoxia (1% O2)","24 h"
"GSM1186678","KMS-11-HR_Hypoxia_24h-cell","GSM1186678","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","hypoxia-resistant-Multiple Myeloma-derived subl line_hypoxia (1% O2)","Homo sapiens","cell line: KMS-11-HR","condition: hypoxia (1% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 3","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11-HR","hypoxia (1% O2)","24 h"
"GSM1186679","KMS-11_Normoxia_24h-exosome","GSM1186679","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","exosome derived from MM cell line_normoxia (20% O2)","Homo sapiens","cell line: KMS-11","condition: normoxia (20% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 4","control","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11","normoxia (20% O2)","24 h"
"GSM1186680","KMS-11_Hypoxia_24h-exosome","GSM1186680","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","exosome derived from MM cell line_hypoxia (1% O2)","Homo sapiens","cell line: KMS-11","condition: hypoxia (1% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 5","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11","hypoxia (1% O2)","24 h"
"GSM1186681","KMS-11-HR_Hypoxia_24h-exosome","GSM1186681","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","exosome derived from hypoxia-resistant-MM cell line_hypoxia (1% O2)","Homo sapiens","cell line: KMS-11-HR","condition: hypoxia (1% O2)","time: 24 h","KMS-11 cells and KMS-11-HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of KMS-11 cells and KMS-11-HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 6","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","KMS-11-HR","hypoxia (1% O2)","24 h"
"GSM1186682","RPMI8226_Normoxia_24h-cell","GSM1186682","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","Multiple Myelima-derived cell line _normoxia (20% O2)","Homo sapiens","cell line: RPMI8226","condition: normoxia (20% O2)","time: 24 h","RPMI8226 cells and RPMI8226HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of RPMI8226 cells and RPMI8226HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 1","control","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","RPMI8226","normoxia (20% O2)","24 h"
"GSM1186683","RPMI8226_Hypoxia_24h-cell","GSM1186683","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","Multiple Myeloma-derived cell line _hypoxia (1% O2)","Homo sapiens","cell line: RPMI8226","condition: hypoxia (1% O2)","time: 24 h","RPMI8226 cells and RPMI8226HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of RPMI8226 cells and RPMI8226HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 2","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","RPMI8226","hypoxia (1% O2)","24 h"
"GSM1186684","RPMI8226HR_Hypoxia_24h-cell","GSM1186684","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","hypoxia-resistant-Multiple Myeloma-derived subl line _hypoxia (1% O2)","Homo sapiens","cell line: RPMI8226HR","condition: hypoxia (1% O2)","time: 24 h","RPMI8226 cells and RPMI8226HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of RPMI8226 cells and RPMI8226HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 3","test","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","RPMI8226HR","hypoxia (1% O2)","24 h"
"GSM1186685","RPMI8226_Normoxia_24h-exosome","GSM1186685","Public on Oct 15 2014","Jul 16 2013","Oct 15 2014","RNA","1","exosome derived from MM cell line _normoxia (20% O2)","Homo sapiens","cell line: RPMI8226","condition: normoxia (20% O2)","time: 24 h","RPMI8226 cells and RPMI8226HR cells were seeded at a density of 5 × 10^5 cells/ml, and cultured for 24 hours under hypoxic conditions (1% O2, 5% CO2, 94% N2) in a humidified gas-sorted hypoxic incubator (MCO-5M, Sanyo, Osaka, Japan) using the degassed culture mediums (AIM-V medium, Invitrogen).","total RNA","Exosome extract protocol: The 5 ml of culture media of RPMI8226 cells and RPMI8226HR cells were obtained and centrifuged at 3,000 × g for 15 min. The supernatant was filtered through a 0.22-μm PVDF filter (Millipore). The appropriate volume of Exoquick Exosome Precipitation Solution (System Biosciences, Mountain View, CA, USA) was added to the filtered culture medium and mixed well by inverting. After refrigeration for 12 h, the mixture was centrifuged at 1,500 × g for 30 min and all supernatant was removed by aspiration.","RNA extract protocol: The Cell or exosome pellets were dissolved with 700 μl of QIAzol lysis regent (Qiagen). After a 2-min incubation, 1 μl of 1 nM ath-miR-159 (Hokkaido System Science, Hokkaido, Japan) was added to each aliquot as a spike control for losses in preparation, followed by vortexing for 30 sec and incubation on ice for 10 min. Subsequent phenol extraction and cartridge filtration were carried out according to the manufacturer’s instructions.","TaqMan probe (FAM-MGB)","A fixed volume of 3 μl of RNA solution from 50 μl of the elute was used as input in each reverse transcription (RT) reaction. An RT reaction and pre-amplification step were set up according to manufacturers’ recommendations. miRNAs were reverse transcribed using the Megaplex Primer Pools (Human Pools A v2.1) from Applied Biosystems (Bedford, MA, USA). RT reaction products from the exosome sample were further amplified using the Megaplex PreAmp Primers (Primers A v2.1).","9606","n/a","n/a","SAMPLE 4","control","RNU6B and a spike control (ath-miR159) were used as an invariant control for the cell and exosome, respectively. QRT-PCR was carried out on an Applied Biosystems 7900HT thermal cycler using the manufacturer’s recommended program.","All the raw data from each array was retrieved from the 7900HT and was run on Data Assist Software ver.3.1 (Applied Biosystems).","GPL13987","Tomohiro,,Umezu","t_umezu@tokyo-med.ac.jp","+81-3-3342-6111","Department of Molecular Science","Tokyo Medical University","6-7-1 Nishi-shinjyuku","Shinjyuku","Tokyo","160-0023","Japan","NONE","384","RPMI8226","normoxia (20% O2)","24 h"
