Accession,Technology
GPL27118,other
GPL22663,in situ oligonucleotide
GPL27636,high-throughput sequencing
GPL27637,high-throughput sequencing
GPL27639,in situ oligonucleotide
GPL27640,high-throughput sequencing
GPL27641,high-throughput sequencing
GPL27643,high-throughput sequencing
GPL24234,in situ oligonucleotide
GPL26165,in situ oligonucleotide
GPL27631,RT-PCR
GPL27633,high-throughput sequencing
GPL27634,in situ oligonucleotide
GPL27630,spotted DNA/cDNA
GPL27632,high-throughput sequencing
GPL27625,high-throughput sequencing
GPL27626,high-throughput sequencing
GPL27627,high-throughput sequencing
GPL27628,high-throughput sequencing
GPL27605,high-throughput sequencing
GPL27606,high-throughput sequencing
GPL27607,in situ oligonucleotide
GPL27609,high-throughput sequencing
GPL27611,high-throughput sequencing
GPL27601,in situ oligonucleotide
GPL27602,oligonucleotide beads
GPL27603,in situ oligonucleotide
GPL27598,high-throughput sequencing
GPL27599,high-throughput sequencing
GPL27600,high-throughput sequencing
GPL27604,high-throughput sequencing
GPL26797,other
GPL22555,in situ oligonucleotide
GPL27590,high-throughput sequencing
GPL27594,high-throughput sequencing
GPL27595,high-throughput sequencing
GPL27596,high-throughput sequencing
GPL27580,in situ oligonucleotide
GPL27588,high-throughput sequencing
GPL27577,spotted oligonucleotide
GPL27581,high-throughput sequencing
GPL27583,high-throughput sequencing
GPL27584,high-throughput sequencing
GPL27585,high-throughput sequencing
GPL27586,high-throughput sequencing
GPL27587,high-throughput sequencing
GPL27579,high-throughput sequencing
GPL27575,high-throughput sequencing
GPL27576,high-throughput sequencing
GPL27573,high-throughput sequencing
GPL27563,high-throughput sequencing
GPL27565,high-throughput sequencing
GPL27568,high-throughput sequencing
GPL25656,spotted peptide or protein
GPL25705,RT-PCR
GPL25707,RT-PCR
GPL25709,RT-PCR
GPL25711,RT-PCR
GPL25777,in situ oligonucleotide
GPL27557,high-throughput sequencing
GPL27558,high-throughput sequencing
GPL27559,high-throughput sequencing
GPL27560,high-throughput sequencing
GPL24883,RT-PCR
GPL26716,RT-PCR
GPL26793,spotted oligonucleotide
GPL27545,in situ oligonucleotide
GPL27549,high-throughput sequencing
GPL27550,high-throughput sequencing
GPL27554,high-throughput sequencing
GPL27555,high-throughput sequencing
GPL27542,in situ oligonucleotide
GPL27540,high-throughput sequencing
GPL27541,high-throughput sequencing
GPL27543,high-throughput sequencing
GPL27544,high-throughput sequencing
GPL27530,high-throughput sequencing
GPL27532,high-throughput sequencing
GPL27533,high-throughput sequencing
GPL27535,high-throughput sequencing
GPL27536,high-throughput sequencing
GPL27538,high-throughput sequencing
GPL27539,high-throughput sequencing
GPL27527,high-throughput sequencing
GPL27528,high-throughput sequencing
GPL27529,high-throughput sequencing
GPL27515,high-throughput sequencing
GPL27516,high-throughput sequencing
GPL27517,high-throughput sequencing
GPL27522,high-throughput sequencing
GPL27523,high-throughput sequencing
GPL27524,high-throughput sequencing
GPL27525,high-throughput sequencing
GPL27526,high-throughput sequencing
GPL27507,high-throughput sequencing
GPL27508,high-throughput sequencing
GPL27509,high-throughput sequencing
GPL27510,high-throughput sequencing
GPL27505,in situ oligonucleotide
GPL27506,high-throughput sequencing
GPL27487,RT-PCR
GPL27494,high-throughput sequencing
GPL27495,high-throughput sequencing
GPL27500,high-throughput sequencing
GPL27501,high-throughput sequencing
GPL27502,high-throughput sequencing
GPL27504,high-throughput sequencing
GPL22463,RT-PCR
GPL27484,high-throughput sequencing
GPL27485,high-throughput sequencing
GPL27486,high-throughput sequencing
GPL27492,high-throughput sequencing
GPL27493,high-throughput sequencing
GPL27468,spotted oligonucleotide
GPL27477,high-throughput sequencing
GPL27478,high-throughput sequencing
GPL27479,high-throughput sequencing
GPL27480,high-throughput sequencing
GPL27481,high-throughput sequencing
GPL27482,high-throughput sequencing
GPL27483,high-throughput sequencing
GPL27469,high-throughput sequencing
GPL27471,high-throughput sequencing
GPL27472,high-throughput sequencing
GPL27473,high-throughput sequencing
GPL27474,high-throughput sequencing
GPL27462,high-throughput sequencing
GPL27463,high-throughput sequencing
GPL27464,high-throughput sequencing
GPL27465,high-throughput sequencing
GPL27466,high-throughput sequencing
GPL27467,high-throughput sequencing
GPL27461,high-throughput sequencing
GPL19274,in situ oligonucleotide
GPL27454,in situ oligonucleotide
GPL26323,RT-PCR
GPL27451,high-throughput sequencing
GPL27452,high-throughput sequencing
GPL27455,high-throughput sequencing
GPL27457,high-throughput sequencing
GPL27450,high-throughput sequencing
GPL27448,high-throughput sequencing
GPL27449,high-throughput sequencing
GPL25793,in situ oligonucleotide
GPL19292,in situ oligonucleotide
GPL27429,in situ oligonucleotide
GPL27441,high-throughput sequencing
GPL27442,high-throughput sequencing
GPL27443,high-throughput sequencing
GPL27444,high-throughput sequencing
GPL27445,high-throughput sequencing
GPL27446,high-throughput sequencing
GPL27424,high-throughput sequencing
GPL27425,high-throughput sequencing
GPL27426,high-throughput sequencing
GPL27427,high-throughput sequencing
GPL27430,high-throughput sequencing
GPL27431,high-throughput sequencing
GPL27432,high-throughput sequencing
GPL27433,high-throughput sequencing
GPL27434,high-throughput sequencing
GPL27435,high-throughput sequencing
GPL27436,high-throughput sequencing
GPL27437,high-throughput sequencing
GPL27438,high-throughput sequencing
GPL27439,high-throughput sequencing
GPL27440,high-throughput sequencing
GPL27418,RT-PCR
GPL27420,high-throughput sequencing
GPL27421,high-throughput sequencing
GPL27422,high-throughput sequencing
GPL27423,high-throughput sequencing
GPL27414,high-throughput sequencing
GPL27415,high-throughput sequencing
GPL27417,high-throughput sequencing
GPL27419,high-throughput sequencing
GPL27408,high-throughput sequencing
GPL27409,high-throughput sequencing
GPL27410,high-throughput sequencing
GPL25574,in situ oligonucleotide
GPL26600,RT-PCR
GPL27404,in situ oligonucleotide
GPL25446,in situ oligonucleotide
GPL25683,in situ oligonucleotide
GPL27403,high-throughput sequencing
GPL27398,high-throughput sequencing
GPL27399,high-throughput sequencing
GPL27400,high-throughput sequencing
GPL27401,high-throughput sequencing
GPL27402,high-throughput sequencing
GPL27157,high-throughput sequencing
GPL27158,high-throughput sequencing
GPL27159,high-throughput sequencing
GPL27160,high-throughput sequencing
GPL27153,high-throughput sequencing
GPL27142,in situ oligonucleotide
GPL27143,in situ oligonucleotide
GPL27144,high-throughput sequencing
GPL27147,high-throughput sequencing
GPL27148,high-throughput sequencing
GPL22369,spotted oligonucleotide
GPL27139,spotted oligonucleotide
GPL27135,high-throughput sequencing
GPL27136,high-throughput sequencing
GPL27138,high-throughput sequencing
GPL27140,high-throughput sequencing
GPL27131,high-throughput sequencing
GPL27132,high-throughput sequencing
GPL27120,high-throughput sequencing
GPL27121,high-throughput sequencing
GPL27122,high-throughput sequencing
GPL27123,high-throughput sequencing
GPL27125,high-throughput sequencing
GPL27126,high-throughput sequencing
GPL27127,high-throughput sequencing
GPL27129,high-throughput sequencing
GPL27130,in situ oligonucleotide
GPL25015,in situ oligonucleotide
GPL25177,in situ oligonucleotide
GPL27108,in situ oligonucleotide
GPL27116,high-throughput sequencing
GPL27117,high-throughput sequencing
GPL27119,high-throughput sequencing
GPL27105,high-throughput sequencing
GPL27106,high-throughput sequencing
GPL27107,high-throughput sequencing
GPL27109,high-throughput sequencing
GPL27110,high-throughput sequencing
GPL27111,high-throughput sequencing
GPL27114,high-throughput sequencing
GPL27098,RT-PCR
GPL27099,high-throughput sequencing
GPL26190,in situ oligonucleotide
GPL27053,in situ oligonucleotide
GPL27062,high-throughput sequencing
GPL27055,high-throughput sequencing
GPL27057,high-throughput sequencing
GPL27058,high-throughput sequencing
GPL27059,high-throughput sequencing
GPL27060,high-throughput sequencing
GPL27061,high-throughput sequencing
GPL26966,in situ oligonucleotide
GPL27047,high-throughput sequencing
GPL27048,high-throughput sequencing
GPL27051,high-throughput sequencing
GPL27052,high-throughput sequencing
GPL27043,high-throughput sequencing
GPL27044,high-throughput sequencing
GPL27045,high-throughput sequencing
GPL27040,high-throughput sequencing
GPL27038,high-throughput sequencing
GPL27039,high-throughput sequencing
GPL26730,antibody
GPL27029,high-throughput sequencing
GPL27030,high-throughput sequencing
GPL27031,high-throughput sequencing
GPL27032,high-throughput sequencing
GPL27037,high-throughput sequencing
GPL27026,other
GPL27027,high-throughput sequencing
GPL27028,high-throughput sequencing
GPL23959,in situ oligonucleotide
GPL27022,high-throughput sequencing
GPL27023,high-throughput sequencing
GPL27024,high-throughput sequencing
GPL27025,high-throughput sequencing
GPL27010,high-throughput sequencing
GPL27011,high-throughput sequencing
GPL27012,high-throughput sequencing
GPL27013,high-throughput sequencing
GPL27015,high-throughput sequencing
GPL27016,high-throughput sequencing
GPL27018,high-throughput sequencing
GPL27009,high-throughput sequencing
GPL27004,high-throughput sequencing
GPL27005,high-throughput sequencing
GPL25831,oligonucleotide beads
GPL27003,high-throughput sequencing
GPL25452,spotted DNA/cDNA
GPL26761,RT-PCR
GPL27001,high-throughput sequencing
GPL27002,high-throughput sequencing
GPL26911,in situ oligonucleotide
GPL26089,in situ oligonucleotide
GPL26090,in situ oligonucleotide
GPL27000,high-throughput sequencing
GPL22855,in situ oligonucleotide
GPL25372,in situ oligonucleotide
GPL26989,in situ oligonucleotide
GPL26995,high-throughput sequencing
GPL26996,high-throughput sequencing
GPL26997,high-throughput sequencing
GPL26986,high-throughput sequencing
GPL26987,high-throughput sequencing
GPL26988,high-throughput sequencing
GPL26990,high-throughput sequencing
GPL26992,high-throughput sequencing
GPL26993,high-throughput sequencing
GPL26983,high-throughput sequencing
GPL25405,in situ oligonucleotide
GPL26525,spotted oligonucleotide
GPL26659,spotted oligonucleotide
GPL26961,in situ oligonucleotide
GPL26962,in situ oligonucleotide
GPL26963,in situ oligonucleotide
GPL26970,high-throughput sequencing
GPL26971,high-throughput sequencing
GPL26957,high-throughput sequencing
GPL26958,high-throughput sequencing
GPL26959,high-throughput sequencing
GPL26964,high-throughput sequencing
GPL26967,high-throughput sequencing
GPL26968,high-throughput sequencing
GPL26969,high-throughput sequencing
GPL26735,spotted peptide or protein
GPL23262,in situ oligonucleotide
GPL26950,high-throughput sequencing
GPL26951,high-throughput sequencing
GPL26952,high-throughput sequencing
GPL26946,high-throughput sequencing
GPL26948,high-throughput sequencing
GPL26949,high-throughput sequencing
GPL26941,high-throughput sequencing
GPL26942,high-throughput sequencing
GPL26943,high-throughput sequencing
GPL26944,in situ oligonucleotide
GPL26945,in situ oligonucleotide
GPL26925,in situ oligonucleotide
GPL26932,spotted peptide or protein
GPL26931,spotted DNA/cDNA
GPL26934,high-throughput sequencing
GPL26935,in situ oligonucleotide
GPL26937,high-throughput sequencing
GPL26938,high-throughput sequencing
GPL26939,high-throughput sequencing
GPL26927,RT-PCR
GPL26929,high-throughput sequencing
GPL26930,high-throughput sequencing
GPL25401,in situ oligonucleotide
GPL26918,in situ oligonucleotide
GPL26924,high-throughput sequencing
GPL26926,high-throughput sequencing
GPL25603,in situ oligonucleotide
GPL26919,high-throughput sequencing
GPL26920,high-throughput sequencing
GPL26921,high-throughput sequencing
GPL26922,high-throughput sequencing
GPL26923,high-throughput sequencing
GPL26916,high-throughput sequencing
GPL26915,high-throughput sequencing
GPL26908,high-throughput sequencing
GPL26909,high-throughput sequencing
GPL26913,high-throughput sequencing
GPL26904,high-throughput sequencing
GPL24560,RT-PCR
GPL26901,high-throughput sequencing
GPL26902,high-throughput sequencing
GPL26903,high-throughput sequencing
GPL26895,high-throughput sequencing
GPL26896,high-throughput sequencing
GPL26894,high-throughput sequencing
GPL26892,RT-PCR
GPL26888,in situ oligonucleotide
GPL26889,high-throughput sequencing
GPL26890,high-throughput sequencing
GPL26891,high-throughput sequencing
GPL25313,RT-PCR
GPL26881,RT-PCR
GPL26884,high-throughput sequencing
GPL26885,high-throughput sequencing
