,Sensitivity,Specificity,Informedness,Support,Relevant miRNAs
Oral squamous cell cancer,1.0,1.0,1.0,5,"{'hsa-miR-5100': 0.467, 'hsa-miR-1228-5p': 0.267}"
Lung cancer (post-operation),1.0,1.0,1.0,36,"{'hsa-miR-1228-5p': 0.528, 'hsa-miR-5100': 0.259, 'hsa-miR-4688': 0.102, 'hsa-miR-6803-5p': 0.065}"
Chronic pancreatitis,1.0,1.0,1.0,2,"{'hsa-miR-1228-5p': 0.667, 'hsa-miR-3611': 0.5, 'hsa-miR-5100': 0.333, 'hsa-miR-4655-5p': 0.333, 'hsa-miR-6803-5p': 0.333, 'hsa-miR-8062': 0.333, 'hsa-miR-3928-3p': 0.167, 'hsa-miR-4695-5p': 0.167, 'hsa-miR-8059': 0.167}"
Esophageal squamous cell carcinoma,0.97,1.0,0.96,123,"{'hsa-miR-5100': 0.711, 'hsa-miR-1228-5p': 0.508, 'hsa-miR-4730': 0.215, 'hsa-miR-6803-5p': 0.023, 'hsa-miR-6071': 0.014, 'hsa-miR-4695-5p': 0.011, 'hsa-miR-548x-3p': 0.007, 'hsa-miR-8059': 0.007, 'hsa-miR-199a-3p': 0.007, 'hsa-miR-548aj-5p': 0.007, 'hsa-miR-3928-3p': 0.005, 'hsa-miR-6820-5p': 0.005, 'hsa-miR-6893-5p': 0.005, 'hsa-miR-4429': 0.003, 'hsa-miR-4655-5p': 0.003, 'hsa-miR-1207-5p': 0.003, 'hsa-miR-1225-5p': 0.003, 'hsa-miR-4688': 0.003, 'hsa-miR-1246': 0.001, 'hsa-miR-187-5p': 0.001}"
Lung cancer,0.94,1.0,0.93,360,"{'hsa-miR-5100': 0.703, 'hsa-miR-1228-5p': 0.498, 'hsa-miR-1343-3p': 0.023, 'hsa-miR-6088': 0.013, 'hsa-miR-7150': 0.01, 'hsa-miR-6862-3p': 0.008, 'hsa-miR-192-5p': 0.007, 'hsa-miR-3194-5p': 0.005, 'hsa-miR-4728-5p': 0.004, 'hsa-miR-137-3p': 0.003, 'hsa-miR-371a-5p': 0.003, 'hsa-miR-422a': 0.003, 'hsa-miR-6729-5p': 0.003, 'hsa-miR-16-5p': 0.002, 'hsa-miR-4442': 0.002, 'hsa-miR-4513': 0.002, 'hsa-miR-6746-5p': 0.002, 'hsa-miR-6845-5p': 0.002, 'hsa-miR-221-3p': 0.001, 'hsa-miR-4429': 0.001}"
Ovarian cancer,0.91,0.96,0.88,81,"{'hsa-miR-5100': 0.621, 'hsa-miR-1228-5p': 0.382, 'hsa-miR-1343-3p': 0.013, 'hsa-miR-6088': 0.013, 'hsa-miR-4728-5p': 0.012, 'hsa-miR-6803-5p': 0.011, 'hsa-miR-548x-3p': 0.008, 'hsa-miR-8059': 0.008, 'hsa-miR-6717-5p': 0.006, 'hsa-miR-4652-5p': 0.004, 'hsa-miR-187-5p': 0.003, 'hsa-miR-6746-5p': 0.003, 'hsa-miR-221-3p': 0.001, 'hsa-miR-4710': 0.001, 'hsa-miR-4655-5p': 0.001, 'hsa-miR-920': 0.001, 'hsa-miR-4464': 0.001, 'hsa-miR-6845-5p': 0.001}"
Breast cancer,0.89,0.98,0.87,339,"{'hsa-miR-5100': 0.186, 'hsa-miR-1228-5p': 0.136, 'hsa-miR-6803-5p': 0.062, 'hsa-miR-548x-3p': 0.056, 'hsa-miR-6879-5p': 0.054, 'hsa-miR-6873-5p': 0.051, 'hsa-miR-6888-5p': 0.05, 'hsa-miR-614': 0.044, 'hsa-miR-548a-3p': 0.031, 'hsa-miR-3116': 0.03, 'hsa-miR-516b-3p': 0.027, 'hsa-miR-4326': 0.026, 'hsa-miR-103b': 0.024, 'hsa-miR-3128': 0.021, 'hsa-miR-4695-5p': 0.02, 'hsa-miR-8059': 0.02, 'hsa-miR-3148': 0.019, 'hsa-miR-6805-3p': 0.018, 'hsa-miR-199b-3p': 0.016, 'hsa-miR-18a-5p': 0.014}"
Wilms tumor (post chemotherapy),1.0,0.86,0.86,6,"{'hsa-miR-1225-5p': 0.857, 'hsa-miR-1228-5p': 0.492, 'hsa-miR-6803-5p': 0.452, 'hsa-miR-5100': 0.175, 'hsa-miR-888-3p': 0.167, 'hsa-miR-219a-1-3p': 0.111, 'hsa-miR-449c-5p': 0.111, 'hsa-miR-10b-5p': 0.056}"
Glioma,0.88,0.98,0.85,58,"{'hsa-miR-5100': 0.502, 'hsa-miR-1228-5p': 0.134, 'hsa-miR-6836-3p': 0.053, 'hsa-miR-125a-3p': 0.04, 'hsa-miR-6831-5p': 0.04, 'hsa-miR-4763-3p': 0.036, 'hsa-miR-3162-3p': 0.034, 'hsa-miR-6088': 0.034, 'hsa-miR-1343-3p': 0.029, 'hsa-miR-1199-5p': 0.024, 'hsa-miR-6736-5p': 0.024, 'hsa-miR-3188': 0.018, 'hsa-miR-328-3p': 0.017, 'hsa-miR-941': 0.017, 'hsa-miR-2110': 0.017, 'hsa-miR-203a-3p': 0.017, 'hsa-miR-17-5p': 0.017, 'hsa-miR-1976': 0.017, 'hsa-miR-223-3p': 0.017, 'hsa-miR-323a-3p': 0.017}"
Prostate cancer,0.97,0.87,0.84,261,"{'hsa-miR-5100': 0.49, 'hsa-miR-1228-5p': 0.421, 'hsa-miR-6836-3p': 0.098, 'hsa-miR-6803-5p': 0.04, 'hsa-miR-186-3p': 0.023, 'hsa-miR-212-5p': 0.022, 'hsa-miR-1343-3p': 0.021, 'hsa-miR-221-5p': 0.012, 'hsa-miR-6736-5p': 0.012, 'hsa-miR-152-5p': 0.009, 'hsa-miR-216a-3p': 0.009, 'hsa-miR-371a-5p': 0.009, 'hsa-miR-25-5p': 0.008, 'hsa-let-7c-3p': 0.008, 'hsa-miR-124-5p': 0.008, 'hsa-miR-149-5p': 0.008, 'hsa-miR-6088': 0.008, 'hsa-miR-16-2-3p': 0.007, 'hsa-miR-132-5p': 0.007, 'hsa-miR-197-5p': 0.007}"
