,Sensitivity,Specificity,Informedness,Support,Relevant miRNAs
Polycystic ovary syndrome,1.0,1.0,1.0,3,"{'hsa-miR-497-5p': 4.36, 'hsa-miR-376a-3p': 3.23, 'hsa-miR-1287-5p': 2.06}"
Liver cancer,1.0,1.0,1.0,10,{}
Oral squamous cell cancer,1.0,1.0,1.0,5,{}
Esophageal squamous cell carcinoma,0.98,1.0,0.97,123,"{'hsa-miR-622': 24.45, 'hsa-miR-4290': 14.53, 'hsa-miR-524-3p': 12.33, 'hsa-miR-6828-3p': 11.45, 'hsa-miR-937-3p': 10.22, 'hsa-miR-4312': 8.97, 'hsa-miR-6752-3p': 7.4, 'hsa-miR-4754': 7.2, 'hsa-miR-371b-3p': 6.74, 'hsa-miR-374b-5p': 6.63, 'hsa-miR-6832-3p': 6.02, 'hsa-miR-1914-5p': 5.97, 'hsa-miR-548v': 5.91, 'hsa-miR-28-5p': 5.84, 'hsa-miR-5010-3p': 5.58, 'hsa-miR-4524b-3p': 5.34, 'hsa-miR-623': 5.21, 'hsa-miR-125b-2-3p': 5.06, 'hsa-miR-422a': 4.76, 'hsa-miR-4777-3p': 4.6, 'hsa-miR-4745-3p': 4.59, 'hsa-miR-324-3p': 4.41, 'hsa-miR-6788-3p': 4.22, 'hsa-miR-518d-3p': 4.21, 'hsa-miR-8053': 3.98, 'hsa-miR-375-3p': 3.84, 'hsa-miR-5707': 3.6, 'hsa-miR-4725-5p': 3.48, 'hsa-miR-1287-3p': 3.36, 'hsa-miR-324-5p': 3.35, 'hsa-miR-602': 3.21, 'hsa-miR-222-3p': 3.05, 'hsa-miR-6777-3p': 2.95, 'hsa-miR-378f': 2.67, 'hsa-miR-1273h-5p': 2.67, 'hsa-miR-6848-3p': 2.63, 'hsa-miR-105-3p': 2.6, 'hsa-miR-338-3p': 2.56, 'hsa-miR-3200-3p': 2.52, 'hsa-miR-181b-2-3p': 2.52, 'hsa-miR-659-5p': 2.5, 'hsa-miR-548ay-5p': 2.5, 'hsa-miR-4783-3p': 2.49, 'hsa-miR-6820-3p': 2.48, 'hsa-miR-4730': 2.24, 'hsa-miR-1471': 2.17, 'hsa-miR-6760-3p': 2.05, 'hsa-miR-3679-3p': 2.01, 'hsa-miR-7160-3p': 2.01}"
Ovarian cancer,0.96,0.97,0.94,81,"{'hsa-miR-4279': 30.79, 'hsa-miR-6752-3p': 25.44, 'hsa-miR-365a-3p': 16.17, 'hsa-miR-1249-3p': 11.5, 'hsa-miR-4687-5p': 10.4, 'hsa-miR-6800-3p': 9.75, 'hsa-miR-5001-3p': 9.32, 'hsa-miR-6760-3p': 5.51, 'hsa-miR-6730-3p': 5.43, 'hsa-miR-6785-3p': 5.22, 'hsa-miR-3177-5p': 3.84, 'hsa-miR-3151-3p': 3.76, 'hsa-miR-4732-3p': 2.99, 'hsa-miR-4633-5p': 2.94, 'hsa-miR-193b-3p': 2.77, 'hsa-miR-758-3p': 2.73}"
Lung cancer (post-operation),0.92,1.0,0.92,36,"{'hsa-miR-4754': 7.41, 'hsa-miR-6832-3p': 6.18, 'hsa-miR-4519': 6.11, 'hsa-miR-330-3p': 5.97, 'hsa-miR-602': 5.78, 'hsa-miR-4304': 5.11, 'hsa-miR-7160-5p': 4.82, 'hsa-miR-376b-3p': 4.71, 'hsa-miR-6828-3p': 4.28, 'hsa-miR-375-3p': 4.0, 'hsa-miR-125b-2-3p': 3.99, 'hsa-miR-4451': 3.98, 'hsa-miR-622': 3.93, 'hsa-miR-6126': 3.9, 'hsa-miR-361-3p': 3.76, 'hsa-miR-524-3p': 3.74, 'hsa-miR-8062': 3.74, 'hsa-miR-374b-5p': 3.6, 'hsa-miR-4655-5p': 3.5, 'hsa-miR-4661-5p': 3.26, 'hsa-miR-105-3p': 3.18, 'hsa-miR-5707': 3.11, 'hsa-miR-4745-3p': 3.09, 'hsa-miR-374c-3p': 2.98, 'hsa-miR-324-3p': 2.97, 'hsa-miR-548ay-5p': 2.97, 'hsa-miR-548ag': 2.87, 'hsa-miR-3665': 2.86, 'hsa-miR-4730': 2.86, 'hsa-miR-302b-3p': 2.84, 'hsa-miR-6848-3p': 2.83, 'hsa-miR-518d-3p': 2.65, 'hsa-miR-30c-2-3p': 2.63, 'hsa-miR-4707-5p': 2.48, 'hsa-miR-196b-5p': 2.47, 'hsa-miR-3195': 2.42, 'hsa-miR-541-3p': 2.34, 'hsa-miR-6872-5p': 2.34, 'hsa-miR-6840-3p': 2.3, 'hsa-miR-3655': 2.28, 'hsa-miR-526b-3p': 2.23, 'hsa-miR-4296': 2.19, 'hsa-miR-4743-5p': 2.05, 'hsa-miR-5571-3p': 2.03}"
Breast cancer,0.95,0.96,0.91,339,"{'hsa-miR-1914-5p': 24.29, 'hsa-miR-324-5p': 19.57, 'hsa-miR-423-3p': 15.38, 'hsa-miR-4312': 14.51, 'hsa-miR-4783-3p': 14.09, 'hsa-miR-3683': 12.26, 'hsa-miR-6893-3p': 10.24, 'hsa-miR-6836-5p': 8.32, 'hsa-miR-2277-5p': 6.18, 'hsa-miR-1295b-5p': 6.09, 'hsa-miR-1909-3p': 6.07, 'hsa-miR-4672': 5.95, 'hsa-miR-4764-3p': 5.01, 'hsa-miR-4745-3p': 4.52, 'hsa-miR-548ax': 4.45, 'hsa-miR-548ap-5p': 4.35, 'hsa-miR-3184-5p': 4.26, 'hsa-miR-324-3p': 4.12, 'hsa-miR-559': 4.04, 'hsa-miR-5010-3p': 4.03, 'hsa-miR-3925-5p': 3.86, 'hsa-miR-7975': 3.74, 'hsa-miR-1911-3p': 3.68, 'hsa-miR-764': 3.62, 'hsa-miR-514b-5p': 3.31, 'hsa-miR-671-3p': 3.28, 'hsa-miR-6848-3p': 3.15, 'hsa-miR-409-5p': 2.85, 'hsa-miR-3682-5p': 2.8, 'hsa-miR-105-3p': 2.77, 'hsa-miR-576-5p': 2.47, 'hsa-miR-7160-3p': 2.37, 'hsa-miR-16-5p': 2.3, 'hsa-miR-5707': 2.09, 'hsa-miR-6516-3p': 2.05}"
Lung cancer,0.9,0.99,0.89,360,"{'hsa-miR-6752-3p': 9.75, 'hsa-miR-6760-3p': 2.84, 'hsa-miR-6730-3p': 2.58, 'hsa-miR-4279': 2.33}"
Benign prostate disease,0.86,1.0,0.86,29,"{'hsa-miR-3683': 16.15, 'hsa-miR-1914-5p': 14.23, 'hsa-miR-4312': 11.4, 'hsa-miR-6836-5p': 11.39, 'hsa-miR-6893-3p': 10.22, 'hsa-miR-423-3p': 8.59, 'hsa-miR-1909-3p': 8.14, 'hsa-miR-324-5p': 8.0, 'hsa-miR-1295b-5p': 7.95, 'hsa-miR-2277-5p': 7.24, 'hsa-miR-4764-3p': 6.08, 'hsa-miR-559': 6.04, 'hsa-miR-7975': 5.62, 'hsa-miR-497-5p': 5.57, 'hsa-miR-4745-3p': 5.53, 'hsa-miR-3925-5p': 5.41, 'hsa-miR-4672': 5.31, 'hsa-miR-671-3p': 4.94, 'hsa-miR-514b-5p': 4.73, 'hsa-miR-324-3p': 4.32, 'hsa-miR-6832-3p': 4.29, 'hsa-miR-548ax': 4.24, 'hsa-miR-764': 4.15, 'hsa-miR-105-3p': 4.07, 'hsa-miR-548ap-5p': 3.96, 'hsa-miR-374c-3p': 3.85, 'hsa-miR-1911-3p': 3.83, 'hsa-miR-5707': 3.75, 'hsa-miR-4783-3p': 3.57, 'hsa-miR-3184-5p': 3.4, 'hsa-miR-576-5p': 3.29, 'hsa-miR-6848-3p': 3.12, 'hsa-miR-6516-3p': 3.01, 'hsa-miR-146b-3p': 2.95, 'hsa-miR-5010-3p': 2.85, 'hsa-miR-376a-3p': 2.68, 'hsa-miR-510-5p': 2.65, 'hsa-miR-3664-5p': 2.59, 'hsa-miR-7160-5p': 2.57, 'hsa-miR-409-5p': 2.56, 'hsa-miR-602': 2.27, 'hsa-miR-4655-5p': 2.26, 'hsa-miR-3682-5p': 2.13, 'hsa-miR-7160-3p': 2.12, 'hsa-miR-4519': 2.07, 'hsa-miR-6837-5p': 2.01}"
Bladder cancer,0.88,0.91,0.79,89,"{'hsa-miR-6752-3p': 36.07, 'hsa-miR-4279': 19.5, 'hsa-miR-6760-3p': 12.01, 'hsa-miR-6730-3p': 11.29, 'hsa-miR-5001-3p': 7.73, 'hsa-miR-1249-3p': 7.38, 'hsa-miR-4687-5p': 6.91, 'hsa-miR-5100': 5.81, 'hsa-miR-6785-3p': 5.4, 'hsa-miR-6800-3p': 3.94, 'hsa-miR-3685': 3.56, 'hsa-miR-483-3p': 3.52, 'hsa-miR-3151-3p': 3.1, 'hsa-miR-6884-3p': 2.96, 'hsa-miR-758-3p': 2.72, 'hsa-miR-3679-3p': 2.38, 'hsa-miR-4749-3p': 2.24, 'hsa-miR-1227-3p': 2.15}"
